# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	polB//nirD//
AcrR_neg	fabD//yeaG//
Ada_neg	ynfH//wzb//
Ada_pos	ulaD//allA//bioB//fadE//
AdiY_pos	nanE//cysI//ddlB//aspA//
AgaR_neg	galK//
AidB_neg	accB//
AlaS_neg	pflB//
AllR_neg	glyA//aceA//lpxC//metH//patA//katE//
AllS_pos	ssuE//guaA//sdhA//
AlsR_neg	epd//narH//metH//
AppY_pos	argH//ftsI//
AraC_neg	cysD//rbsD//fadH//gpmA//cysC//
AraC_pos	pyrD//glxK//wecC//fabD//chbG//
ArgP_neg	
ArgP_pos	hcp//mtlD//paaG//fucA//eno//fruK//mngB//malP//pdeL//
ArgR_neg	guaB//zwf//pncB//nirB//sucB//uxuA//rutD//sdhB//umpH//epd//ldtC//hyaC//purM//nagA//nrdE//ubiX//edd//murF//
ArgR_pos	speB//speB//mltF//murC//hypF//
ArsR_neg	mtlD//glgX//
AscG_neg	glgC//aspA//
AsnC_neg	ndh//
AsnC_pos	nadB//
AtoC_pos	fabZ//xapA//dinB//
BaeR_pos	lsrG//lpxC//
BasR_neg	dapB//
BasR_pos	malQ//aceF//
BetI_neg	hyi//waaH//aroL//
BirA_neg	fabG//araA//xylA//srlD//fabD//
BluR_neg	
BolA_neg	acnA//chbF//
BolA_pos	entB//paaF//
CadC_pos	nagB//entE//
CaiF_pos	mhpE//talA//wecB//pheT//purC//
Cbl_pos	epd//guaB//metK//galT//phnI//
CdaR_pos	hyaA//sucA//dmsA//entD//wzc//wecC//asnA//pgaD//chbG//
CecR_neg	
ChbR_neg	sdhD//fadI//pyrC//
ChbR_pos	pck//ynfF//rhaA//
ComR_neg	
CpxR_neg	patD//pspE//sucA//
CpxR_pos	galK//astE//allD//garK//yeaG//nadB//rutC//poxB//gloA//ulaF//argF//nrfC//murD//sucB//gltB//yfbR//tnaA//umuC//
Cra_neg	murQ//gcl//hcaB//cadA//glpQ//frdA//hycC//fadD//citD//moaA//tdcB//alkA//nagA//cdd//entE//metL//gutQ//hycC//asnA//rutD//citE//adiA//torC//moeB//metE//pdeR//cysE//puuD//metA//allC//araD//pgpC//aceB//pdeR//rsmH//araA//hycF//fadM//rutB//appA//recF//fucI//xylB//deoC//phnG//rdoA//
Cra_pos	paaI//phnM//pck//wrbA//xapA//glgP//fabB//fadA//bioB//gdhA//garL//nanA//aceA//accB//mngB//glk//ulaF//
CreB_neg	araA//
CreB_pos	bioF//
CsgD_neg	xapA//malS//
CsgD_pos	lyxK//slt//mpaA//
CsiR_neg	glgP//uxaC//katE//mltF//
CspA_pos	argB//
CueR_neg	kbaY//paaB//
CueR_pos	ascB//ubiX//
CusR_pos	paaI//pdeR//gadA//
CynR_neg	
CynR_pos	nadB//ribA//purM//
CysB_neg	hycF//sdhB//pgaD//
CysB_pos	galM//fadD//citE//mazG//ychF//feaB//sufS//deoC//kbaY//fucK//uxuB//prpB//nfsB//trpE//gcvT//
CytR_neg	adiA//wecC//fabG//hycB//betB//ahpC//malY//allE//fucI//purH//
Dan_pos	atoD//nrfC//
DcuR_pos	leuA//pykF//folE//glmU//
DeoR_neg	dhaK//sgbU//cadA//glpC//citG//metA//
DhaR_neg	
DhaR_pos	nrfD//
DicA_neg	
DinJ-YafQ_neg	gdhA//
DnaA_neg	putA//chbF//ynfG//trpB//paaE//
DnaA_pos	galE//ynfH//hcaF//
DpiA_neg	
DpiA_pos	garL//accB//wecB//epd//argH//
DsdC_neg	
DsdC_pos	dgkA//dmsB//
EbgR_neg	
EnvR_neg	fabA//cysD//
EnvY_pos	narI//lpd//
EvgA_pos	dhaK//lldD//paaK//bioF//nrdF//cysK//
ExuR_neg	aceE//citG//narH//glpC//sgbH//lpxA//
FabR_neg	ybjG//dhaK//
FadR_neg	mhpC//hycE//fadJ//lacZ//lsrG//ascB//entH//gutQ//ubiC//
FadR_pos	gltB//fumC//astB//aceF//rbsK//dmsB//pdeR//mtlD//sdhD//
FeaR_pos	cysH//sdhB//
FhlA_pos	nanM//gpmM//folA//chbG//lhgO//dinB//betA//
FlhDC_neg	ulaF//fau//
FlhDC_pos	mngB//mngB//malP//ppsA//cysH//galE//phnJ//chbF//fucI//
FliZ_neg	metH//glgC//moeA//dhaL//purN//
FucR_pos	chbF//ybjG//lyxK//napG//pykF//cynT//
Fur_neg	gdhA//purH//glpQ//trpB//paaC//poxB//napH//alaC//nirB//nirB//citD//araD//cysG//asnB//pdeR//ybaS//caiA//nrdB//rffT//bioD//caiB//rhaB//pgk//deoA//leuB//gnd//mhpA//sdhD//metB//dgkA//ndh//uxaC//moeA//fucA//guaA//uvrB//ampC//mhpE//argH//nfsA//aroF//mhpC//nrdF//phnG//treC//rutB//entH//phnP//glpD//patA//rsmH//fabZ//waaY//gatZ//
Fur_pos	puuC//tdcG//lysA//argF//mhpA//nanK//kbaZ//atoD//lpd//uxaC//xapA//phnM//paaE//garD//ilvC//chbF//astE//
GadE-RcsB_pos	dinB//citE//ybaS//pgi//
GadE_pos	fumC//tehB//patD//deoC//nrfC//aroL//gatZ//uidA//gatD//purD//
GadW_neg	dacC//hemH//fabB//
GadW_pos	dhaL//sgbE//paaC//ahpF//
GadX_neg	ppsA//dsdA//
GadX_pos	fdhF//metL//srlD//trpE//xylB//hycB//fadJ//araB//araD//hcaD//
GalR_neg	sdhB//aroH//argG//murQ//xylB//dacC//
GalR_pos	kbaZ//argC//moaD//pgm//
GalS_neg	malQ//rfe//nanK//citX//caiD//uxaB//
GalS_pos	dmsA//bioA//ynfF//fadD//
GatR_neg	poxB//cysN//ttdA//
GcvA_neg	icd//ychF//nrfA//
GcvA_pos	rffM//eda//katG//
GlcC_neg	
GlcC_pos	prpC//tadA//paaK//
GlpR_neg	paaY//murG//aspC//dkgA//tyrB//fabI//aroH//
GlrR_pos	
GntR_neg	astC//bioB//entE//napG//phnO//rutA//melA//paaC//glpD//
GutM_pos	fbaB//phnN//rhaA//
GutR_neg	hycG//hyi//rfe//
HU_neg	astD//uxaB//ycjG//fadE//mhpD//glgC//nrdE//
HU_pos	
HcaR_neg	
HcaR_pos	rhaD//allB//
HdfR_neg	
HdfR_pos	
HigA_neg	fabH//
HigB-HigA_neg	fadI//
HipAB_neg	mtlD//paaH//
HipB_neg	appA//cysE//uxuA//
HyfR_pos	accA//
HypT_neg	galE//entH//
HypT_pos	waaH//mngB//pgaC//astA//uxuB//
IclR_neg	citG//fabA//ahpC//
IdnR_neg	fucO//hypB//
IdnR_pos	dkgB//malS//gntK//patA//
IlvY_neg	
IlvY_pos	glpB//
IscR_neg	ftnA//lsrF//entF//araA//
IscR_pos	nirD//accC//
KdgR_neg	yfbR//citE//
KdpE_pos	dapD//
LacI_neg	nadB//arsC//paaC//
LeuO_neg	
LeuO_pos	fucA//napA//citD//glcF//wecB//phnI//
LexA_neg	treC//leuD//nrdE//rhaB//cueO//pgaB//aroH//melA//sucA//glcD//metA//arsC//sucC//aroF//glgC//carA//glgA//pgpC//gltB//malY//rbsK//
LldR_neg	ybaS//nrfA//
LldR_pos	entH//frdD//
LrhA_neg	
LrhA_pos	
LsrR_neg	rhaB//rimK//leuA//ruvA//carA//
LysR_neg	
LysR_pos	prpD//
MalI_neg	bioC//sdhC//
MalT_pos	glgB//caiB//ssuE//argF//fucI//alaC//
MarA_neg	glgP//
MarA_pos	entH//lsrF//citE//tyrB//hypB//prpE//ampC//paaF//hycB//rutD//umpH//ycjG//zwf//narG//entD//pnp//sdhB//argI//adhE//trpA//ribA//phnJ//
MarR_neg	
MatA_neg	purB//
MatA_pos	
MazE-MazF_neg	dgcC//
MazE_neg	dapB//
McbR_neg	
McbR_pos	
MelR_neg	mhpC//mhpD//
MelR_pos	ubiC//mhpE//
MetJ_neg	caiC//epd//hycF//cysJ//allE//fucA//dapD//fabB//malS//speB//
MetR_neg	srlD//
MetR_pos	uxaA//bioB//hypB//atoD//
MhpR_pos	argF//nadB//bglB//torA//treC//metE//
Mlc_neg	leuC//recF//lacA//dapB//
MlrA_pos	napG//
MngR_neg	aceA//rhaA//
MntR_neg	citX//
MntR_pos	lsrG//
ModE_neg	cysG//glnA//fadJ//trpE//allD//paaJ//garK//hycD//
ModE_pos	trpB//glcE//mpl//caiD//leuD//lyxK//
MprA_neg	purM//hypF//frdB//
MqsA_neg	relA//nanA//
MraZ_neg	mhpB//paaG//ulaG//luxS//trpE//dhaM//serA//icd//lpxC//mpl//accD//
MtlR_neg	lsrG//speA//garR//
MurR_neg	lpxA//argH//murC//
MurR_pos	
Nac_neg	aceA//cysD//gapA//
Nac_pos	mpaA//glgP//uvrA//puuA//glmU//argH//nfsA//
NadR_neg	icd//umuC//moeA//aceF//
NagC_neg	udp//treC//argI//allA//prpE//purC//argE//fucI//edd//prpB//ppc//frdD//ulaG//hyaB//astA//patD//ppc//glxR//
NagC_pos	epd//moaE//
NanR_neg	tpiA//mtlD//gudD//glk//codA//ppsA//
NanR_pos	
NarL_neg	fabG//puuD//mpl//hycF//rutB//zwf//uvrA//purC//rutE//ldtC//yiaK//phnI//betA//gcvT//purK//tnaA//fadA//umpH//add//entD//nrdD//glcB//gnd//nrfD//
NarL_pos	nrfA//trpC//glcF//cysN//pheS//nagA//tynA//lsrF//pagP//hycE//mnmG//gpmM//tam//
NarP_neg	glpC//araA//dacC//
NarP_pos	entD//accA//nfsB//mnmG//murD//citC//purF//slt//narI//codA//
NemR_neg	icd//ynfH//
NhaR_pos	hyaA//pgaC//fumC//tdcG//atoB//
NikR_neg	gatD//
NimR_neg	ynfE//
NorR_neg	
NorR_pos	treC//
NrdR_neg	wrbA//frdC//accD//waaY//
NsrR_neg	pnp//napA//citC//entC//umpH//tdcE//gcl//rutD//pgi//araA//glgC//narG//ada//slt//nirB//ldtD//garK//glpK//ilvC//guaA//galM//napG//fadB//serA//fadM//araA//amn//cysJ//accD//asnA//murE//gatY//gutQ//alaS//idnO//leuA//
NtrC_neg	rffT//lyxK//
NtrC_pos	aroH//astE//citG//gor//phnH//astC//nadA//pdeR//narG//torA//bioA//phr//ampC//ubiA//malP//paaB//umpH//cadA//glgX//arsC//uvrC//
OmpR_neg	tdcE//aceE//hycD//lpxD//bioB//
OmpR_pos	hyaA//glcD//pgi//purH//
OxyR_neg	sdhC//nrdA//phnJ//glgX//hemL//
OxyR_pos	ldtC//nrfD//lsrK//dinB//rutD//yiaK//nirD//sucD//bioB//
PaaX_neg	pagP//sdhD//malS//allA//malP//sdhC//ribA//bioC//uxaB//
PdeL_pos	umpH//
PdhR_neg	psd//ruvA//ulaG//nfsA//araD//wecC//astD//lacZ//phr//mnmG//moaA//aroH//ribA//tyrB//ribA//icd//nrdA//nagA//prpB//frdB//rhaA//paaI//nadB//phnH//
PdhR_pos	nemA//yqjH//
PepA_neg	xylB//fabG//
PgrR_neg	dinB//caiA//
PhoB_neg	phnO//glcE//nrdA//phnO//
PhoB_pos	yibQ//sgbH//glpX//glxR//lpd//betA//nanM//adhE//tadA//nrdA//fbaB//rimK//deoA//talA//edd//ppiA//
PhoP_neg	glcD//cysM//dsdA//
