# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	xylB//ynfG//
AcrR_neg	ynfF//moeB//
Ada_neg	gapA//araB//
Ada_pos	hcaB//ldtB//bioA//allB//
AdiY_pos	torC//pheS//rsmH//gabD//
AgaR_neg	trpC//
AidB_neg	mhpD//
AlaS_neg	glpQ//
AllR_neg	hcaB//glgP//aroF//pagP//phnH//purN//
AllS_pos	edd//pykF//yfbR//
AlsR_neg	sgbH//metC//polA//
AppY_pos	glpD//glgC//
AraC_neg	nadA//cadA//cysH//sgbH//mhpE//
AraC_pos	lysC//glgX//phnN//entD//codA//
ArgP_neg	
ArgP_pos	leuB//purN//uvrC//fabB//gatD//fucU//argF//purF//katG//
ArgR_neg	gadB//phnJ//caiB//tdcG//bioC//dgcZ//allD//mltF//phnG//puuB//tehB//fadB//ulaG//glcF//hcaF//glxK//purB//gcl//
ArgR_pos	argE//dinB//caiB//paaK//gltD//
ArsR_neg	prpC//ynfF//
AscG_neg	sodB//ndh//
AsnC_neg	ttdA//
AsnC_pos	tauD//
AtoC_pos	argD//rfe//phnP//
BaeR_pos	cdd//purB//
BasR_neg	torA//
BasR_pos	accB//phnG//
BetI_neg	cueO//torC//udp//
BirA_neg	purH//acnB//aspC//mhpB//hycE//
BluR_neg	
BolA_neg	cysE//dgcC//
BolA_pos	nfsA//pdeR//
CadC_pos	ahpF//sucB//
CaiF_pos	mdh//oxc//hyaA//gadA//ampC//
Cbl_pos	pgm//bacA//ulaD//gpmA//nrdA//
CdaR_pos	wrbA//hcaF//kbaY//alaC//dkgB//purL//nrfA//dapD//entD//
CecR_neg	
ChbR_neg	lysA//nrfB//umpH//
ChbR_pos	glmU//fucK//fucK//
ComR_neg	
CpxR_neg	folA//allC//ulaD//
CpxR_pos	lldD//metF//xylA//codA//ogt//hmp//fadA//gdhA//moeB//lhgO//entB//paaJ//torA//rutE//gpmA//fabZ//sgbH//mhpC//
Cra_neg	dkgA//phnG//fabZ//aroG//purM//argG//phoA//waaZ//entB//uxuB//ubiA//caiD//ada//idnD//patD//citC//entH//paaI//nrdB//psd//garR//truB//hypF//waaZ//fabA//putA//slt//srlD//eno//glgB//nrfC//ldtD//fau//glpD//allB//pyrC//cysK//fes//trpB//citG//pyrD//nirD//slt//glpC//prpE//cdd//
Cra_pos	uvrA//narI//rffH//glgB//tyrB//malZ//entA//wzb//malZ//paaJ//sodB//garK//lpxC//ampC//lpxD//puuD//folE//
CreB_neg	glmU//
CreB_pos	argF//
CsgD_neg	uxaA//katE//
CsgD_pos	ndh//moeB//trpA//
CsiR_neg	pykF//aroF//ftnA//lacA//
CspA_pos	ppsA//
CueR_neg	entA//xylB//
CueR_pos	allB//ppiA//
CusR_pos	fau//lpxC//uxuA//
CynR_neg	
CynR_pos	allE//fabI//yibQ//
CysB_neg	lpxC//metF//putA//
CysB_pos	talA//fabA//leuC//frdB//metL//talA//glcE//gcvP//argC//bioC//lpxD//rhaB//murC//hyaA//gadB//
CytR_neg	prpC//atoB//puuE//leuC//paaF//galT//gdhA//bacA//fadJ//alaS//
Dan_pos	argA//dmsC//
DcuR_pos	asnB//fabH//murD//citX//
DeoR_neg	napA//frc//tktB//ynfF//caiB//araD//
DhaR_neg	
DhaR_pos	dmsB//
DicA_neg	
DinJ-YafQ_neg	fabH//
DnaA_neg	ldtB//lsrK//mraY//rpiB//cueO//
DnaA_pos	gapA//moaE//cyoE//
DpiA_neg	
DpiA_pos	pfkA//glpA//lyxK//thrS//ada//
DsdC_neg	
DsdC_pos	rpiB//paaI//
EbgR_neg	
EnvR_neg	gatY//speA//
EnvY_pos	metF//pgm//
EvgA_pos	nadB//mazG//acnB//ynfE//nirB//nagA//
ExuR_neg	uvrA//citD//hyi//betA//glpC//pheT//
FabR_neg	glnA//rutB//
FadR_neg	murF//katG//hcp//kbaY//psd//pflB//fadB//ampC//entE//
FadR_pos	cysG//paaI//rutA//moaA//cysK//purK//aroF//dgkA//nrdE//
FeaR_pos	metK//pdeH//
FhlA_pos	fabZ//caiD//pgaC//allA//adiA//polA//dapD//
FlhDC_neg	hypB//umuD//
FlhDC_pos	asnA//uidA//allE//sodA//hmp//cysH//eno//fadE//argF//
FliZ_neg	frdA//fadH//moaA//nfsA//moeB//
FucR_pos	rhaB//murE//glpA//speB//tktB//deoA//
Fur_neg	ubiX//fumB//sdhB//ilvC//kbaZ//polA//araA//yfdE//lysA//bglB//carB//slt//malQ//uxuB//atoB//entC//mazG//fadI//glcF//pnp//narI//ruvB//glpB//argI//paaZ//yiaK//murC//ychF//rpiB//patD//entD//pagP//lsrF//sdhC//deoC//malZ//cysM//aspA//purD//patA//leuC//appA//gpmA//pheS//malY//leuA//aceE//malZ//sodB//galT//glpD//gor//tktB//napH//
Fur_pos	deoA//tktB//tynA//chbF//pagP//nrdE//frdB//napH//glpA//glxK//fbaA//metC//umuC//hemL//malZ//hycG//wrbA//
GadE-RcsB_pos	nrdA//argB//purA//ppiA//
GadE_pos	waaH//oxc//metK//pheT//gor//glpC//rimK//alkA//pyrC//eda//
GadW_neg	lyxK//polA//fabI//
GadW_pos	cdd//cysD//metL//asnB//
GadX_neg	moeB//yfdE//
GadX_pos	ahpC//waaY//yibQ//murG//deoC//tdcD//sdhD//nrdB//recF//frdD//
GalR_neg	pgaC//rhaA//fbaB//deoA//malQ//accC//
GalR_pos	ubiA//xapA//nemA//alkB//
GalS_neg	moeB//hyi//phnM//argB//lpd//yibQ//
GalS_pos	uidA//hycE//aspC//aldA//
GatR_neg	hyaB//asnA//fadB//
GcvA_neg	ruvA//rffT//tadA//
GcvA_pos	hyaB//rhaB//hypF//
GlcC_neg	
GlcC_pos	acnB//hycB//moeA//
GlpR_neg	phnJ//bioC//srlD//ascB//metB//pgi//pepD//
GlrR_pos	
GntR_neg	caiA//napC//fadE//asnA//luxS//paaJ//tdcB//citE//torA//
GutM_pos	purL//trpD//poxB//
GutR_neg	leuB//purE//rffH//
HU_neg	chbF//araD//ribA//cyoE//yibQ//caiD//citD//
HU_pos	
HcaR_neg	
HcaR_pos	folA//guaB//
HdfR_neg	
HdfR_pos	
HigA_neg	hyaB//
HigB-HigA_neg	rpiB//
HipAB_neg	pncB//hcaB//
HipB_neg	hycE//glyA//paaE//
HyfR_pos	umpH//
HypT_neg	bacA//lsrK//
HypT_pos	glcF//ttdA//mpl//mnmG//fabB//
IclR_neg	adhE//cadA//astE//
IdnR_neg	fucI//icd//
IdnR_pos	leuD//lpxC//cadA//glmS//
IlvY_neg	
IlvY_pos	paaJ//
IscR_neg	gor//rutA//astA//gntK//
IscR_pos	cysM//leuD//
KdgR_neg	hcaB//melA//
KdpE_pos	paaF//
LacI_neg	citD//prpC//paaE//
LeuO_neg	
LeuO_pos	murI//tynA//hyi//ynfH//ribA//uvrA//
LexA_neg	epd//dhaL//astC//fadJ//araB//gcvH//fucU//lpxC//tam//truB//cysJ//lsrK//epd//oxc//gpmA//fau//atoD//entD//citD//katE//fucU//
LldR_neg	accA//puuD//
LldR_pos	pgk//cueO//
LrhA_neg	
LrhA_pos	
LsrR_neg	lyxK//fau//polB//narH//gpmM//
LysR_neg	
LysR_pos	astA//
MalI_neg	paaE//oxc//
MalT_pos	mngB//relA//pspE//aceE//argD//gapA//
MarA_neg	lpxD//
MarA_pos	ulaD//lldD//pgaD//leuD//ynfE//glcE//pgpC//phnO//malY//dsdA//aceA//srlD//nadB//glxK//ruvB//lpxC//chbF//ttdA//rffM//gnd//mhpF//nagA//
MarR_neg	
MatA_neg	ulaD//
MatA_pos	
MazE-MazF_neg	paaH//
MazE_neg	wzb//
McbR_neg	
McbR_pos	
MelR_neg	cueO//glgC//
MelR_pos	bacA//trpA//
MetJ_neg	ubiX//atoA//ribA//gntK//idnK//napH//nrfB//allE//galT//dhaL//
MetR_neg	fadA//
MetR_pos	rimK//cysD//sgbU//glgX//
MhpR_pos	sdhD//rimK//dmsA//frdC//uxaA//phnI//
Mlc_neg	lyxK//gabD//asnB//glpK//
MlrA_pos	gabD//
MngR_neg	dhaL//mhpE//
MntR_neg	rutA//
MntR_pos	rhaB//
ModE_neg	bioD//hycE//add//nrdF//cysG//glgA//trpC//paaI//
ModE_pos	pgi//glpQ//hcaD//deoD//garL//gcvT//
MprA_neg	glgX//umuC//narG//
