# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dhaL//leuA//
AcrR_neg	glgX//nrdA//
Ada_neg	mhpC//cysG//
Ada_pos	sdhD//paaF//lyxK//leuC//
AdiY_pos	kbaY//nanK//waaZ//rhaD//
AgaR_neg	amn//
AidB_neg	murG//
AlaS_neg	bioA//
AllR_neg	phnL//alaS//mngB//ung//glmS//sucA//
AllS_pos	dkgA//glnA//fdhF//
AlsR_neg	gapA//pck//gcvH//
AppY_pos	gdhA//fdhF//
AraC_neg	lacZ//cadA//alkB//nfsA//amn//
AraC_pos	alaC//atoB//rbsD//murC//paaI//
ArgP_neg	
ArgP_pos	paaC//gnd//allE//yeaE//tdcE//sdhA//rbsK//lhgO//ynfH//
ArgR_neg	idnD//ulaE//gudD//dhaL//pyrC//gabT//argG//garL//metF//hycG//nrfA//glpC//pflB//entD//mpaA//fes//metK//glpQ//
ArgR_pos	katE//dgcC//glpC//aroH//mhpB//
ArsR_neg	ynfH//tktB//
AscG_neg	lpxA//mltF//
AsnC_neg	lsrK//
AsnC_pos	entD//
AtoC_pos	poxB//paaY//umuC//
BaeR_pos	hycB//glgC//
BasR_neg	purM//
BasR_pos	galM//atoB//
BetI_neg	ruvA//pgaD//torC//
BirA_neg	hyaA//fadB//bioF//ldtC//ilvC//
BluR_neg	
BolA_neg	ynfE//garD//
BolA_pos	moaE//argF//
CadC_pos	frdB//chbF//
CaiF_pos	dmsB//citC//ppiA//pflB//phnJ//
Cbl_pos	uxaA//betB//phoA//yeaG//phnO//
CdaR_pos	dhaL//pheT//rutA//lsrK//dkgA//tadA//nanA//luxS//uvrC//
CecR_neg	
ChbR_neg	luxS//edd//prpB//
ChbR_pos	uxaC//waaH//glpC//
ComR_neg	
CpxR_neg	fadH//sgbE//paaK//
CpxR_pos	patD//sufS//napA//cysI//rimK//rimK//metB//dhaM//murF//entA//pgi//rnpB//phnJ//srlD//uxuB//dmsB//leuA//alaC//
Cra_neg	accA//betB//leuC//rhaB//cysD//mtlD//mhpF//caiB//nfsB//glmU//phnI//ynfE//folE//mpaA//cynT//guaA//pdeL//tynA//leuD//bioB//patD//dgcZ//fbaB//uvrC//fadE//ubiA//edd//melA//polA//relA//purK//lacZ//glpQ//purH//dmsB//wrbA//tnaA//nrdD//yeaG//fes//dgcC//fdhF//wecB//ubiA//phnI//rutE//
Cra_pos	fadE//ubiC//phoA//wecC//murG//uxuA//pdeR//hcaF//nadB//allB//caiD//dmsC//nemA//glpB//ampC//ppc//betB//
CreB_neg	murC//
CreB_pos	napC//
CsgD_neg	nfsB//puuC//
CsgD_pos	waaH//entD//astC//
CsiR_neg	ftsI//alkB//mhpC//ttdB//
CspA_pos	paaG//
CueR_neg	nrfB//eno//
CueR_pos	allD//phnL//
CusR_pos	nfsA//moaE//frc//
CynR_neg	
CynR_pos	hypF//pheS//leuA//
CysB_neg	fbaB//tdcB//gcvH//
CysB_pos	talA//cysM//napC//lacZ//paaB//dgcZ//sodB//betB//hcaC//gntK//garD//fbaA//eno//betA//patD//
CytR_neg	polA//atoB//accC//folA//bioD//ynfH//iscS//adiA//purC//cysJ//
Dan_pos	phnI//fabZ//
DcuR_pos	pgaC//glpC//rutA//pnp//
DeoR_neg	dgcZ//mpaA//glpB//aspA//pepD//purN//
DhaR_neg	
DhaR_pos	polB//
DicA_neg	
DinJ-YafQ_neg	cysJ//
DnaA_neg	uxaB//ynfH//malS//xapA//eno//
DnaA_pos	hmp//tam//purB//
DpiA_neg	
DpiA_pos	folE//bacA//glcB//mltF//citX//
DsdC_neg	
DsdC_pos	luxS//fabD//
EbgR_neg	
EnvR_neg	ribA//rhaD//
EnvY_pos	moaE//paaA//
EvgA_pos	paaH//rhaB//xylB//deoA//malZ//wecB//
ExuR_neg	fabB//mdh//tdcB//waaH//leuD//fucU//
FabR_neg	fadD//hemH//
FadR_neg	hyaC//ldtD//fadB//trpD//astB//araA//fadH//puuD//malZ//
FadR_pos	prpB//dmsB//serA//ldtC//argF//bioB//dinB//mpl//moaE//
FeaR_pos	gadA//metE//
FhlA_pos	entD//guaA//asnA//prpB//mhpE//fabH//ddlB//
FlhDC_neg	polB//gutQ//
FlhDC_pos	citD//pagP//entB//astA//entD//nrdE//glk//ynfH//nemA//
FliZ_neg	fdhF//glk//ftsI//glpK//rbsD//
FucR_pos	kbaZ//uvrB//fau//lacZ//bacA//ldtB//
Fur_neg	phnL//zwf//moeA//putA//phnL//lacZ//ppsA//pdeR//sucD//hyaB//mhpA//sdhD//fadI//argD//umuC//nrdD//napA//speB//umuD//zwf//idnK//entH//prs//glgX//ppc//trpD//recF//accB//mhpC//icd//xapA//gcl//nirB//acnB//malQ//mhpF//leuA//nemA//pepD//narG//ynfE//cysC//lysC//kbaY//fadJ//fabB//lsrF//sucB//gatZ//paaF//cysM//katG//prpB//paaJ//
Fur_pos	ubiC//deoC//folA//fucI//idnO//glgA//rffT//icd//hycC//ddlB//purM//aceF//alaS//fumB//hycF//phnJ//caiD//
GadE-RcsB_pos	ynfG//glmU//argH//citC//
GadE_pos	ppc//argD//napC//ulaE//srlD//murF//malZ//paaB//hcaF//recF//
GadW_neg	allE//sucC//ppsA//
GadW_pos	ssuD//murQ//hcaE//uxuA//
GadX_neg	ycjG//frdC//
GadX_pos	lpxC//glpA//aceF//pgpC//nanA//hcaC//ssuD//alsE//carB//trpE//
GalR_neg	paaI//moaE//ttdA//tam//astB//nadA//
GalR_pos	deoD//fumC//metL//allC//
GalS_neg	cyoE//araD//trpC//fabZ//deoD//fucA//
GalS_pos	betB//entE//gudD//fau//
GatR_neg	xylA//udp//hypB//
GcvA_neg	wecC//citE//glmS//
GcvA_pos	uvrC//nadB//gadA//
GlcC_neg	
GlcC_pos	atoA//gnd//deoB//
GlpR_neg	pspE//rffG//metB//treC//idnD//hcaE//hyi//
GlrR_pos	
GntR_neg	hcaE//idnD//argD//lpxD//xylA//cysM//cysJ//astC//nanM//
GutM_pos	deoA//tam//fucU//
GutR_neg	yeaE//paaC//nrdE//
HU_neg	nrfC//murQ//bioD//ynfG//gloA//glgC//napA//
HU_pos	
HcaR_neg	
HcaR_pos	dinB//entF//
HdfR_neg	
HdfR_pos	
HigA_neg	metB//
HigB-HigA_neg	frdA//
HipAB_neg	ynfG//nrdA//
HipB_neg	uxuB//argB//paaF//
HyfR_pos	purA//
HypT_neg	hcaC//cysK//
HypT_pos	caiA//phnN//glxR//hmp//paaF//
IclR_neg	sufS//rhaD//astD//
IdnR_neg	waaZ//mpaA//
IdnR_pos	gpmM//gltD//astE//napG//
IlvY_neg	
IlvY_pos	malP//
IscR_neg	galK//argG//aceA//fumB//
IscR_pos	puuB//bioF//
KdgR_neg	aceF//ttdA//
KdpE_pos	appA//
LacI_neg	alaC//cynS//glgA//
LeuO_neg	
LeuO_pos	purE//pgaD//glcE//astC//ppc//argF//
LexA_neg	wecC//pyrC//yqhD//pnp//hcp//aceA//puuE//malZ//malQ//aceE//fbaB//slt//araB//cysI//araB//pheT//ftnA//betA//gatY//ruvB//trpE//
LldR_neg	srlD//aroL//
LldR_pos	lldD//metK//
LrhA_neg	
LrhA_pos	
LsrR_neg	aceB//hyaC//ldtD//gdhA//relA//
LysR_neg	
LysR_pos	trpC//
MalI_neg	lysA//sucC//
MalT_pos	mngB//puuA//hyi//wecB//astC//speA//
MarA_neg	codA//
MarA_pos	mpaA//dgcZ//rhaA//ybjG//malY//ulaD//pflB//purK//feaB//murG//luxS//mltF//eno//polB//malP//amn//pck//yiaK//sgbU//uvrA//rffG//glgP//
MarR_neg	
MatA_neg	phnG//
MatA_pos	
MazE-MazF_neg	mpaA//
MazE_neg	srlD//
McbR_neg	
McbR_pos	
MelR_neg	patA//fucA//
MelR_pos	lldD//bioC//
MetJ_neg	caiA//pheS//ftnA//udp//nrdE//sdhC//recF//fucK//mhpE//codA//
MetR_neg	betA//
MetR_pos	sgbU//dhaL//fucA//guaA//
MhpR_pos	glgA//allE//mdh//waaZ//murD//waaZ//
Mlc_neg	trpB//pdeR//dacC//frdD//
MlrA_pos	glpA//
MngR_neg	gdhA//glpC//
MntR_neg	glcD//
MntR_pos	mltF//
ModE_neg	ynfE//deoA//fabI//galE//metL//ndh//gapA//ynfE//
ModE_pos	sgbE//puuE//sdhA//psd//sodA//cysE//
MprA_neg	katE//udp//rffM//
MqsA_neg	glcF//rbsK//
MraZ_neg	xapA//allC//glpX//paaI//cysJ//oxc//dgcC//nrdD//nrfA//cysG//astC//
MtlR_neg	epd//gutQ//glxK//
MurR_neg	narG//frdD//torA//
MurR_pos	
Nac_neg	fucO//uvrA//moaE//
Nac_pos	gltB//metH//glpX//rfe//melA//phnI//katE//
NadR_neg	sgbH//ynfG//sdhD//narI//
NagC_neg	paaF//speB//hycE//lpxC//idnK//nrdD//polA//lacZ//entD//gcvH//paaY//lhgO//xylA//citF//yqjH//gor//metC//glyA//
NagC_pos	gntK//rhaA//
NanR_neg	ada//paaK//ldtB//puuC//sucA//yeaE//
NanR_pos	
NarL_neg	astD//uxuA//waaZ//hemL//yeaE//fucK//glxK//fdhF//cysC//ldtD//rutA//ttdA//carA//ubiC//atoB//metK//phnP//ulaF//talA//purA//moaD//leuA//ychF//nanA//
NarL_pos	purE//paaY//bioB//rffH//pykF//sucD//moaE//astB//paaB//gcvH//dgcC//hycE//accD//
NarP_neg	pflB//ahpF//sucB//
NarP_pos	nemA//paaG//asnA//ubiC//moaE//purM//rffG//idnD//yeaE//wzb//
NemR_neg	fucK//aceA//
NhaR_pos	pgaC//dmsB//tpiA//gltB//hycG//
NikR_neg	fabG//
NimR_neg	hypB//
NorR_neg	
NorR_pos	ppsA//
NrdR_neg	zwf//lhgO//mhpF//murG//
NsrR_neg	tyrA//accB//patD//moaA//guaA//ppc//acnB//hyaB//ulaE//hcaC//sdhA//murQ//frdB//purD//wzc//bioA//betB//hemH//nrfB//fadA//nrfB//rsmH//iscS//ndh//mhpA//ldtD//xylA//glxR//melA//fabA//sdhA//murI//aroL//mazG//nfsB//sdhC//
NtrC_neg	phr//alkA//
NtrC_pos	narG//pgaC//hmp//gltB//hycG//pgi//waaY//accA//hycE//rpiB//purB//argI//yfdE//allC//tktB//mhpB//eda//mngB//ldtB//udp//yiaK//
OmpR_neg	fabD//purM//tauD//aroG//uidA//
OmpR_pos	fabZ//mhpB//yfbR//fadH//
OxyR_neg	purL//hypB//glcB//puuD//argA//
OxyR_pos	nirB//paaG//gnd//polB//glgX//dinB//rffH//nirD//astA//
PaaX_neg	bioC//argH//entD//hemH//rsmH//hcaD//nrfA//eda//metK//
PdeL_pos	sdhA//
PdhR_neg	pgaB//leuD//ssuE//ampC//hcp//entA//purL//puuE//paaA//fucA//leuB//pagP//paaC//entB//argE//sucD//tauD//pagP//gadA//fucO//truB//nrdE//ubiA//folA//
PdhR_pos	argB//ftnA//
PepA_neg	hypB//fadB//
PgrR_neg	gatD//eda//
PhoB_neg	asnA//napA//citD//gapA//
PhoB_pos	mltF//sodB//oxc//caiD//pnp//ppsA//pyrD//argF//sucD//garK//uidA//phnO//fabZ//ulaD//fabA//xylA//
PhoP_neg	napA//gltB//uvrC//
