# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	idnK//waaY//
AcrR_neg	chbG//aroH//
Ada_neg	paaZ//fruK//
Ada_pos	polB//paaE//lsrG//talA//
AdiY_pos	ampC//ruvA//ssuD//garR//
AgaR_neg	lacZ//
AidB_neg	ldtD//
AlaS_neg	hycB//
AllR_neg	aroH//amn//accC//folA//cysG//tadA//
AllS_pos	waaZ//rhaD//nrfD//
AlsR_neg	fadM//fbaA//moeB//
AppY_pos	fruK//napG//
AraC_neg	glpQ//ssuD//speA//phnP//ubiX//
AraC_pos	purL//prpE//frdA//fabH//dsdA//
ArgP_neg	
ArgP_pos	epd//hycG//gpmM//sgbU//fumB//dgcZ//malS//narI//phr//
ArgR_neg	amn//alsE//nanM//cysN//accA//puuB//caiB//putA//nrdF//napA//fabG//phnO//citC//sgbU//ycjG//purK//allD//mdh//
ArgR_pos	waaZ//cueO//allE//yfbR//kbaY//
ArsR_neg	napC//allB//
AscG_neg	mhpB//accB//
AsnC_neg	aceE//
AsnC_pos	murQ//
AtoC_pos	nrdD//speA//napB//
BaeR_pos	hycF//rutC//
BasR_neg	phnP//
BasR_pos	alkB//edd//
BetI_neg	nrdE//rfe//allC//
BirA_neg	lacZ//gabD//purH//purB//atoA//
BluR_neg	
BolA_neg	moaE//tyrB//
BolA_pos	rffM//tam//
CadC_pos	hyaB//accA//
CaiF_pos	lsrK//glgB//poxB//mnmG//caiC//
Cbl_pos	pncB//gcvH//uxuA//idnK//pgm//
CdaR_pos	murF//lpxD//edd//pheT//lsrF//hycG//deoC//mhpE//melA//
CecR_neg	
ChbR_neg	ldtB//puuA//pgm//
ChbR_pos	murD//argH//pepD//
ComR_neg	
CpxR_neg	ychF//rimK//nadB//
CpxR_pos	ttdA//tadA//rsmH//glgC//pyrD//glcF//fumC//mdh//paaH//nfsB//add//rutE//adhE//entE//rhaB//phoA//moeA//metC//
