# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	caiC//bioC//
AcrR_neg	deoB//hcaE//
Ada_neg	phoA//garK//
Ada_pos	xapA//glpK//cysG//puuD//
AdiY_pos	dmsB//yfdE//argH//frdD//
AgaR_neg	rffC//
AidB_neg	luxS//
AlaS_neg	ssuE//
AllR_neg	tam//hyaA//fabA//ynfE//moeB//ulaG//
AllS_pos	entF//patD//acnB//
AlsR_neg	ogt//uxaB//ssuE//
AppY_pos	ddlB//glyA//
AraC_neg	citD//waaH//fabD//lpxA//bioF//
AraC_pos	argA//fabZ//deoB//hycD//cysC//
ArgP_neg	
ArgP_pos	astB//murF//glpC//malZ//mpaA//tnaA//glgC//poxB//purB//
ArgR_neg	guaA//metK//ung//pdeR//sucB//murG//zwf//betA//prpE//cysD//pykF//frdA//speA//dkgA//purM//uxaB//lpxA//lysA//
ArgR_pos	xapA//paaF//hycD//ppc//feaB//
ArsR_neg	frdB//speA//
AscG_neg	paaI//glpB//
AsnC_neg	aroG//
AsnC_pos	nrdA//
AtoC_pos	tynA//gdhA//umpH//
BaeR_pos	garR//fabG//
BasR_neg	mhpB//
BasR_pos	hcaC//appA//
BetI_neg	ynfH//tdcG//phnL//
BirA_neg	puuD//betA//rffT//pnp//bacA//
BluR_neg	
BolA_neg	dgkA//puuC//
BolA_pos	murF//pgaB//
CadC_pos	tdcE//truB//
CaiF_pos	napC//nfsB//nrdD//cysK//pgi//
Cbl_pos	alkA//malS//narH//allA//deoB//
CdaR_pos	pdeR//tehB//bioC//tdcG//galM//cysM//paaC//pdeL//codA//
CecR_neg	
ChbR_neg	trpD//phoA//ribA//
ChbR_pos	yfdE//cysJ//oxc//
ComR_neg	
CpxR_neg	paaF//citX//ugpQ//
CpxR_pos	ilvC//paaC//hycF//alaC//fadI//tadA//purE//dacC//phr//fumB//uxuB//fadI//hcaB//phnL//fadI//mpaA//dinB//aldA//
Cra_neg	metL//mhpE//phnG//dsdA//dgkA//cyoE//fadH//fadI//metK//glyA//mltF//fau//lysA//caiD//purH//ftnA//frdA//lysA//metA//malS//mhpC//malY//lsrK//icd//codA//gcvP//phnG//glgC//phnP//murF//sdhB//uxuA//rutE//galM//bioD//nrdA//murD//ahpF//argD//gapA//nemA//tehB//sgbH//cysK//paaE//phnL//
Cra_pos	kbaY//lsrK//tnaA//purE//glgX//cyoE//moeB//nrfC//entC//uvrC//aroF//tehB//paaY//uxuB//rutC//gcvP//lysA//
CreB_neg	sucB//
CreB_pos	paaF//
CsgD_neg	fucI//nirB//
CsgD_pos	prpD//sucD//fucO//
CsiR_neg	poxB//nrdB//mngB//dhaK//
CspA_pos	argG//
CueR_neg	ldtB//rfe//
CueR_pos	lysC//nrdA//
CusR_pos	pgi//cysC//idnK//
CynR_neg	
CynR_pos	citX//fdhF//nirD//
CysB_neg	iscS//sdhA//betA//
CysB_pos	purK//nirB//ubiX//uvrB//dhaM//pncB//speB//ynfE//glxK//citE//lpd//adhE//entH//nrdE//metK//
CytR_neg	mhpB//nanM//phnM//argC//bioA//tadA//ldtD//frdD//argD//talA//
Dan_pos	ftsI//fadM//
DcuR_pos	gcl//pgaB//glpA//purL//
DeoR_neg	atoB//polB//rffM//folE//cysK//fabH//
DhaR_neg	
DhaR_pos	rutD//
DicA_neg	
DinJ-YafQ_neg	deoB//
DnaA_neg	narG//rhaA//araA//torA//rbsK//
DnaA_pos	gloA//lsrF//hcaF//
DpiA_neg	
DpiA_pos	sucD//gor//napC//tnaA//lpxC//
DsdC_neg	
DsdC_pos	nrdB//xapA//
EbgR_neg	
EnvR_neg	mltF//purL//
EnvY_pos	chbF//hcaE//
EvgA_pos	phnH//nirD//fucA//uxaA//deoC//nrfB//
ExuR_neg	xylA//sdhD//relA//treC//sufS//allB//
FabR_neg	rhaD//dmsC//
FadR_neg	carA//fau//gnd//cynS//murQ//gdhA//allD//luxS//ogt//
FadR_pos	hemL//phnM//nagB//feaB//cyoE//ldtB//nrfA//glcF//mazG//
FeaR_pos	fabD//galM//
FhlA_pos	cueO//nrdE//guaB//ybaS//phnJ//trpE//tehB//
FlhDC_neg	purK//katG//
FlhDC_pos	hcp//wrbA//argB//sgbU//putA//ttdB//phr//gpmA//cysK//
FliZ_neg	fucA//nrdA//gltB//nanA//purN//
FucR_pos	narI//allD//cynT//glpB//katG//mazG//
Fur_neg	pfkA//cynS//udp//hcaC//ftnA//torA//kbaY//paaE//murI//citE//fes//atoB//fadB//pfkA//metK//adiA//ugpQ//phnH//uxuB//phnH//dhaK//glgX//idnD//rffH//rbsK//hypB//accA//fau//feaB//carA//murE//sdhB//mdh//cysC//allC//sdhD//trpB//murG//ftnA//aroL//lsrK//astB//appA//purF//mhpB//allA//yfbR//glpD//ndh//galE//phnH//rbsD//mpl//carB//
Fur_pos	eno//fumB//bacA//entF//torC//xapA//glgP//leuB//astB//hcaB//hyi//xylA//allE//paaI//rhaA//pgpC//dkgA//
GadE-RcsB_pos	chbF//arsC//nrfC//nrdB//
GadE_pos	eda//fabD//treC//wzb//moeA//glxR//astD//katG//uidA//frdB//
GadW_neg	sdhC//relA//frdC//
GadW_pos	metC//chbF//paaY//mazG//
GadX_neg	ppiA//xylB//
GadX_pos	ttdB//moaD//hycD//polB//leuB//mnmG//fucI//gltB//treC//alaS//
GalR_neg	hyaC//asnA//cysC//ttdB//fadE//caiB//
GalR_pos	tdcG//asnA//cysD//idnO//
GalS_neg	rbsK//aroL//entC//polA//katE//carB//
GalS_pos	rhaD//icd//ulaE//nadB//
GatR_neg	glpK//adiA//frc//
GcvA_neg	aceA//yeaE//pykF//
GcvA_pos	truB//mltF//paaC//
GlcC_neg	
GlcC_pos	glxK//uxaB//metL//
GlpR_neg	malZ//nanM//paaB//deoC//patA//lpd//rhaD//
GlrR_pos	
GntR_neg	metE//ruvB//lhgO//lpxA//fucO//prpE//caiB//astB//poxB//
GutM_pos	paaA//fucU//ssuE//
GutR_neg	ndh//wrbA//araB//
HU_neg	glnA//hemH//bglB//idnO//yfbR//allD//mpaA//
HU_pos	
HcaR_neg	
HcaR_pos	ugpQ//dhaM//
HdfR_neg	
HdfR_pos	
HigA_neg	lacA//
HigB-HigA_neg	paaF//
HipAB_neg	accA//paaG//
HipB_neg	purD//allA//chbG//
HyfR_pos	leuC//
HypT_neg	moeB//murD//
HypT_pos	lpxA//iscS//aroG//purA//fau//
IclR_neg	murD//napC//glpC//
IdnR_neg	araA//pgaC//
IdnR_pos	nrfB//cysE//uvrA//dinB//
IlvY_neg	
IlvY_pos	argC//
IscR_neg	cynT//rbsK//aceA//allD//
IscR_pos	metH//gloA//
KdgR_neg	dkgB//glpK//
KdpE_pos	acnB//
LacI_neg	frdC//tyrA//lpxD//
LeuO_neg	
LeuO_pos	tdcB//garR//murC//cdd//entB//tynA//
LexA_neg	purC//tdcG//fadD//araA//epd//alkB//ubiA//garK//ppsA//ynfF//ubiA//hemL//fadE//glmS//entH//argD//argD//bioF//hycB//cysJ//hycC//
LldR_neg	yqjH//aspA//
LldR_pos	phnN//ugpQ//
LrhA_neg	
LrhA_pos	
LsrR_neg	icd//ilvC//gadB//garK//araD//
LysR_neg	
LysR_pos	aroF//
MalI_neg	aroF//cysE//
MalT_pos	polB//dgcC//garK//ybaS//purK//araB//
MarA_neg	dhaL//
MarA_pos	napH//hycG//astD//fes//malY//aceA//aroL//paaC//dsdA//sucC//galM//dmsA//galM//puuE//rhaD//trpB//napB//sgbH//gutQ//uxaC//mhpC//garR//
MarR_neg	
MatA_neg	nfsA//
MatA_pos	
MazE-MazF_neg	phoA//
MazE_neg	purB//
McbR_neg	
McbR_pos	
MelR_neg	putA//deoC//
MelR_pos	garR//cysG//
MetJ_neg	truB//sodA//rffC//glpK//murG//gadA//xylA//patD//ogt//ttdB//
MetR_neg	lsrF//
MetR_pos	purK//uidA//sodA//lsrK//
MhpR_pos	tdcB//astE//glgX//trpE//metE//dhaM//
Mlc_neg	yeaE//purA//hypB//aroG//
MlrA_pos	aroL//
MngR_neg	malS//galT//
MntR_neg	waaY//
MntR_pos	glpX//
ModE_neg	nanA//trpE//cyoE//dapB//glxK//fadB//rffH//ynfG//
ModE_pos	gpmM//cynT//nanK//ybjG//tehB//deoB//
MprA_neg	srlD//deoA//metE//
MqsA_neg	alkB//cynT//
MraZ_neg	gcvT//glgC//ppc//pdeR//trpE//lpd//sucC//ynfF//ynfE//hycF//napH//
MtlR_neg	frdD//paaK//malQ//
MurR_neg	nrdA//gutQ//gntK//
MurR_pos	
Nac_neg	melA//xylA//malQ//
Nac_pos	atoB//lsrG//mltF//gutQ//cynS//alaC//katE//
NadR_neg	tadA//bioC//fabB//fabZ//
NagC_neg	polB//fucA//chbF//guaB//dhaK//yibQ//metH//ada//mhpC//nadA//moeB//garK//waaH//malZ//gpmA//paaG//lacA//dgcZ//
NagC_pos	atoA//ssuE//
NanR_neg	aspC//sufS//wecB//purD//glgP//glk//
NanR_pos	
NarL_neg	ttdB//astA//cysD//nirD//lhgO//galK//kbaZ//citD//hmp//murI//hycF//fucU//ynfF//mhpD//fadE//nfsB//tdcB//tdcD//deoD//dapB//gadB//pck//purD//rhaB//
NarL_pos	pgm//mhpA//rffC//ynfH//fbaA//tdcD//argF//alaC//glmU//deoD//hyaB//accC//ldtC//
NarP_neg	sodB//uxaA//sdhC//
NarP_pos	argD//malP//puuA//astD//ulaD//hcaE//caiD//purA//murG//ribA//
NemR_neg	wecB//paaF//
NhaR_pos	purD//glgA//lsrK//nanE//rdoA//
NikR_neg	ubiA//
NimR_neg	speA//
NorR_neg	
NorR_pos	hemH//
NrdR_neg	bglB//hcaB//caiB//rhaD//
NsrR_neg	phnH//narH//glk//cysC//nanM//nirD//wzc//garK//prpD//uvrA//ulaF//aceA//pspE//accB//mnmG//lacZ//rffG//umuD//rffM//yfbR//allC//fabD//moaA//rffG//speB//rsmH//mtlD//mpl//glyA//deoC//ruvB//aroL//zwf//bioD//nrfD//citX//
NtrC_neg	pflB//phnP//
NtrC_pos	hypB//alkB//hmp//ynfH//puuC//mraY//aceA//sdhB//patD//kbaY//rsmH//folE//fau//aldA//idnK//glcE//yqjH//cysC//uxuA//nrfD//metL//
OmpR_neg	dhaL//astD//hemL//pncB//pgaC//
OmpR_pos	caiD//nrfC//nanK//pgaC//
OxyR_neg	chbG//ychF//hmp//tnaA//ttdA//
OxyR_pos	rhaD//trpB//ldtD//idnD//paaI//kbaY//fumB//waaY//glgC//
PaaX_neg	fadB//gatY//prs//ppsA//aceA//bioD//bglB//fabH//frdD//
