# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	napA//gntK//
AcrR_neg	mtlD//fadJ//
Ada_neg	astD//astD//
Ada_pos	bioF//leuB//fabD//nrdF//
AdiY_pos	fadM//ppc//add//rutA//
AgaR_neg	purL//
AidB_neg	deoB//
AlaS_neg	fbaB//
AllR_neg	tdcD//icd//yfbR//pagP//adhE//murF//
AllS_pos	icd//purB//narG//
AlsR_neg	paaJ//idnO//gpmA//
AppY_pos	psd//gutQ//
AraC_neg	cueO//guaA//cysG//nagB//hcaD//
AraC_pos	fucU//ppiA//hycE//mpaA//glpX//
ArgP_neg	
ArgP_pos	leuB//puuD//aspA//dgcC//citF//glpA//sdhC//pfkA//glcF//
ArgR_neg	nirB//tyrB//cdd//phnO//nagA//fabG//cysG//gatZ//napG//ynfH//adiA//rffG//allE//hyaB//murE//lyxK//metE//uxaB//
ArgR_pos	astC//cysG//wzc//nrdA//ugpQ//
ArsR_neg	hycG//wrbA//
AscG_neg	paaK//ynfG//
AsnC_neg	phnN//
AsnC_pos	phnL//
AtoC_pos	gcvT//hyaB//entH//
BaeR_pos	dgcZ//rbsK//
BasR_neg	prpC//
BasR_pos	hcaD//wecC//
BetI_neg	alsE//lpxC//garD//
BirA_neg	metA//glgB//entA//gor//frc//
BluR_neg	
BolA_neg	rnpB//glk//
BolA_pos	phnL//mngB//
CadC_pos	hcaB//purD//
CaiF_pos	leuC//tyrB//guaA//lpxD//glpD//
Cbl_pos	narG//gadA//ribA//aroH//dkgA//
CdaR_pos	fruK//aceE//carA//entC//luxS//glgB//arsC//gcvH//argA//
CecR_neg	
ChbR_neg	sufS//aroG//aceB//
ChbR_pos	folA//ilvC//glmU//
ComR_neg	
CpxR_neg	ubiC//glcB//paaE//
CpxR_pos	bacA//citD//yfbR//yibQ//putA//xylB//fadD//fumB//umpH//melA//cysE//torA//hcaC//guaB//ynfH//fabH//ldtD//ahpF//
Cra_neg	lyxK//ynfF//pspE//paaK//cyoE//tehB//kbaZ//moeA//gcvP//leuC//nrdA//add//cysD//aroF//murI//sucA//eda//mpaA//prpD//fabG//tpiA//mnmG//rffT//frdC//atoD//ldtD//argI//ycjG//gadA//hmp//hycD//rutC//ahpF//adiA//atoB//ruvA//astD//dapD//nemA//rhaD//metC//alaS//nrdF//bacA//paaH//cadA//
Cra_pos	luxS//puuA//uvrA//cynT//katG//ruvB//fes//lpd//tynA//pheS//torC//hyaC//mnmG//astA//puuD//fbaA//dhaK//
CreB_neg	cysE//
CreB_pos	sucD//
CsgD_neg	nirB//gadB//
CsgD_pos	rimK//citD//ldtD//
CsiR_neg	glmU//citG//nrfB//puuB//
CspA_pos	pnp//
CueR_neg	glcD//rutA//
CueR_pos	ruvA//tyrB//
CusR_pos	gltD//gudD//paaB//
CynR_neg	
CynR_pos	ubiA//umuD//gatY//
CysB_neg	trpD//argC//rffH//
CysB_pos	fbaA//ascB//bioD//dmsA//bioB//glcB//leuB//murF//nanM//hemH//yqhD//glcF//dsdA//umuC//torC//
CytR_neg	caiD//speA//hcaB//pdeH//fruK//luxS//rffH//mhpE//trpD//pepD//
Dan_pos	cdd//paaY//
DcuR_pos	rutB//ppiA//fabG//mhpB//
DeoR_neg	lpd//arsC//purH//hycD//fabD//pflB//
DhaR_neg	
DhaR_pos	rutC//
DicA_neg	
DinJ-YafQ_neg	ssuE//
DnaA_neg	nemA//garR//melA//trpD//feaB//
DnaA_pos	trpB//tynA//truB//
DpiA_neg	
DpiA_pos	ppc//acnA//trpD//malP//purB//
DsdC_neg	
DsdC_pos	nfsB//cdd//
EbgR_neg	
EnvR_neg	metL//nagA//
EnvY_pos	pgaC//waaZ//
EvgA_pos	citF//paaJ//hcp//nagA//trpD//mhpB//
ExuR_neg	yqjH//waaH//atoD//kbaZ//ttdB//umuC//
FabR_neg	umuD//bioD//
FadR_neg	codA//aroH//dapB//trpB//alkA//uxuB//tauD//wzc//pgaB//
FadR_pos	malZ//hypB//gor//trpA//rutC//bglB//alaS//leuC//nrdA//
FeaR_pos	uxaC//cysC//
FhlA_pos	frdC//caiA//trpB//bioC//puuB//napG//thrS//
