# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	tnaA//yqhD//
AcrR_neg	nagA//gatZ//
Ada_neg	pdeH//prpC//
Ada_pos	cysK//lpxA//rbsD//nrdD//
AdiY_pos	hycF//udp//lysA//mhpA//
AgaR_neg	gdhA//
AidB_neg	citC//
AlaS_neg	paaI//
AllR_neg	fumC//metF//rnpB//frdC//nrdA//nfsA//
AllS_pos	dgkA//cyoE//mltF//
AlsR_neg	garL//ada//uxaB//
AppY_pos	aroH//nrfC//
AraC_neg	purC//tdcB//galT//trpB//aldA//
AraC_pos	puuC//lhgO//purA//galK//alsE//
ArgP_neg	
ArgP_pos	add//metL//nanK//rffG//feaB//glpA//glcB//pepD//phnM//
ArgR_neg	aceB//rffT//yibQ//tyrB//gltD//adhE//nanA//citF//relA//entE//sgbH//mhpE//pykF//glpB//glcE//tdcG//phr//pdeH//
ArgR_pos	dinB//phoA//ruvB//metK//mazG//
ArsR_neg	cysD//carA//
AscG_neg	murD//putA//
AsnC_neg	dmsB//
AsnC_pos	bioA//
AtoC_pos	mazG//glpQ//ddlB//
BaeR_pos	rhaD//ldtD//
BasR_neg	nagB//
BasR_pos	cysH//uvrB//
BetI_neg	acnA//pgpC//dhaK//
BirA_neg	galM//gcvP//ynfE//kbaZ//ybaS//
BluR_neg	
BolA_neg	citG//pdeR//
BolA_pos	nanK//oxc//
CadC_pos	hycD//yibQ//
CaiF_pos	murF//argB//tadA//katE//epd//
Cbl_pos	cysD//fadB//murD//fumC//ldtD//
CdaR_pos	argH//paaJ//gatY//ftnA//ddlB//narH//glxK//aspC//guaA//
CecR_neg	
ChbR_neg	tauD//nanK//gatY//
ChbR_pos	argC//yiaK//murQ//
ComR_neg	
CpxR_neg	ldtC//napA//ssuE//
CpxR_pos	uxuA//trpE//betB//dhaM//ynfG//gatD//gutQ//bioB//fau//aspC//mhpF//tnaA//entC//cueO//lacA//aspC//argD//ahpC//
Cra_neg	mhpE//hcaD//sodB//garD//cdd//murC//cysJ//ybaS//xylB//narH//sgbE//deoC//nemA//metC//tam//ugpQ//napA//entC//sufS//argE//sgbE//trpE//gatY//udp//mnmG//astE//deoD//dhaK//melA//nrdE//puuC//purH//allA//glyA//asnB//umpH//mpl//bglB//galK//alkA//aroF//ilvC//folE//murE//metC//murF//
Cra_pos	purM//ycjG//puuE//hycF//argF//purE//rutB//ftnA//fbaB//tpiA//ttdA//gltD//dgkA//mhpE//murI//paaY//metE//
CreB_neg	cysH//
CreB_pos	fabH//
CsgD_neg	pck//cysC//
CsgD_pos	glmU//mhpF//ynfG//
CsiR_neg	allD//rpiB//narH//ycjG//
CspA_pos	wzb//
CueR_neg	fucU//gltB//
CueR_pos	wecC//ldtC//
CusR_pos	ycjG//gnd//metA//
CynR_neg	
CynR_pos	alsE//melA//uvrB//
CysB_neg	cyoE//edd//cysE//
CysB_pos	cueO//ubiX//tdcE//purD//leuA//astD//deoB//ascB//pykF//caiC//tadA//galK//ftsI//hcaF//puuA//
CytR_neg	trpA//nrdE//cysG//fadB//malP//accB//chbG//thrS//mnmG//puuD//
Dan_pos	lldD//alaC//
DcuR_pos	metA//pgaB//fabH//mazG//
DeoR_neg	fabA//ssuE//prpD//prs//zwf//phnO//
DhaR_neg	
DhaR_pos	metF//
