# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lacZ//idnK//
AcrR_neg	hcp//cadA//
Ada_neg	icd//glnA//
Ada_pos	ilvC//umuC//ada//xylB//
AdiY_pos	deoD//gapA//gatD//cadA//
AgaR_neg	entE//
AidB_neg	araB//
AlaS_neg	eda//
AllR_neg	fumB//gutQ//fdhF//argG//leuB//metF//
AllS_pos	astC//fucU//phnN//
AlsR_neg	fabB//paaZ//nrfC//
AppY_pos	polA//metE//
AraC_neg	betB//purB//glmU//paaA//argB//
AraC_pos	astC//gabT//caiA//mpl//dkgA//
ArgP_neg	
ArgP_pos	fumB//gatY//pnp//acnB//cysC//glmS//entE//carA//adhE//
ArgR_neg	narG//nanE//pgm//paaA//aceE//lldD//tyrB//deoC//poxB//lldD//glyA//napB//rhaA//gloA//hyaA//rffM//fes//glmU//
ArgR_pos	aroH//accA//aroG//gadA//fes//
ArsR_neg	frdD//citX//
AscG_neg	pgaD//purD//
AsnC_neg	puuB//
AsnC_pos	hycG//
AtoC_pos	pdeH//ung//phr//
BaeR_pos	glxK//yqjH//
BasR_neg	yeaE//
BasR_pos	argH//entB//
BetI_neg	entA//dgkA//fadI//
BirA_neg	allA//gnd//ldtD//cueO//aroL//
BluR_neg	
BolA_neg	tauD//cynT//
BolA_pos	entA//entE//
CadC_pos	argB//leuA//
CaiF_pos	malP//dhaK//citC//rsmH//leuC//
Cbl_pos	rutE//talA//fadJ//idnK//puuD//
CdaR_pos	nrdD//fadD//trpA//ilvC//recF//tadA//lyxK//fucK//nfsB//
CecR_neg	
ChbR_neg	nrdD//narG//rimK//
ChbR_pos	gltB//gatD//metK//
ComR_neg	
CpxR_neg	ruvB//codA//purN//
CpxR_pos	glgB//garR//fabB//cysC//ycjG//araD//cynS//tauD//asnB//hmp//astA//torA//tam//ampC//recF//sucC//dapD//nrdF//
Cra_neg	argG//dacC//moaA//paaF//narH//paaA//ilvC//fabA//epd//fadJ//nrfC//gpmM//fdhF//trpC//uvrB//lpd//leuD//hycE//astD//gpmM//mhpA//nrfC//rnpB//yeaG//aroL//pck//thrS//ogt//mltF//metF//zwf//dhaL//murC//glgB//gabD//relA//rsmH//glyA//argD//rffG//accD//ybaS//murG//argB//acnB//entF//
Cra_pos	glgA//iscS//polA//metC//cynT//fadI//accC//fes//gadB//nrdB//phnI//rutE//purN//waaH//rfe//paaZ//nanK//
CreB_neg	phnP//
CreB_pos	napB//
CsgD_neg	atoD//pdeR//
CsgD_pos	fucK//nrdE//ychF//
CsiR_neg	gatD//yqhD//fes//paaG//
CspA_pos	sucD//
CueR_neg	edd//aspA//
CueR_pos	araB//narI//
CusR_pos	gnd//ldtD//gltD//
CynR_neg	
CynR_pos	entE//ttdA//hycE//
CysB_neg	astE//gabD//rutA//
CysB_pos	nanM//tam//pflB//torA//allB//mhpB//sucB//trpB//purN//argH//entH//dapD//pyrC//glcF//alkA//
CytR_neg	argD//uxaB//bioC//purN//fabH//rutA//tnaA//fucU//pncB//citX//
Dan_pos	dapD//bacA//
DcuR_pos	phnP//cyoE//metK//nfsB//
DeoR_neg	nrdA//murC//rsmH//sgbH//rhaD//dapD//
DhaR_neg	
DhaR_pos	phnH//
DicA_neg	
DinJ-YafQ_neg	glcB//
