# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	caiD//tam//
AcrR_neg	fabD//leuA//
Ada_neg	paaI//argC//
Ada_pos	nrdD//hemL//garR//rhaB//
AdiY_pos	sucC//pyrC//purL//tadA//
AgaR_neg	fadA//
AidB_neg	phnH//
AlaS_neg	uxaA//
AllR_neg	frdA//glpC//talA//fabH//purH//fabB//
AllS_pos	torA//fucI//paaF//
AlsR_neg	mnmG//narG//murD//
AppY_pos	aceA//hcaC//
AraC_neg	cadA//aceF//hycG//sucB//gatD//
AraC_pos	fumC//cyoE//bioF//gapA//pfkA//
ArgP_neg	
ArgP_pos	leuD//tpiA//glpC//fabI//rutB//fucU//moeB//araA//paaK//
ArgR_neg	hcaE//adhE//tynA//ftsI//paaY//astB//nemA//sufS//pgpC//fadD//lsrF//hycD//ilvC//paaJ//accB//ssuE//garR//gntK//
ArgR_pos	glgX//dgkA//cysI//ynfF//pyrC//
ArsR_neg	glcE//galE//
AscG_neg	cysN//hcaC//
AsnC_neg	puuD//
AsnC_pos	purH//
AtoC_pos	araB//araD//nanK//
BaeR_pos	rdoA//fadJ//
BasR_neg	deoD//
BasR_pos	nemA//gabD//
BetI_neg	umpH//frdB//citX//
BirA_neg	dmsC//lhgO//uvrA//purE//phr//
BluR_neg	
BolA_neg	hycD//purB//
BolA_pos	asnA//speA//
CadC_pos	lpd//glgC//
CaiF_pos	waaY//gabT//pdeH//wecC//mpaA//
Cbl_pos	pheS//ubiX//metL//ulaE//pgk//
CdaR_pos	allE//waaZ//citG//nrdD//uxaC//narG//phnJ//purD//metL//
CecR_neg	
ChbR_neg	glgP//fadA//dmsC//
ChbR_pos	astC//rutA//aldA//
ComR_neg	
CpxR_neg	polB//hycD//argF//
CpxR_pos	oxc//hcaC//pgi//ttdA//argH//pykF//atoD//pykF//glpQ//uidA//allB//argF//aroL//cysE//nagB//glpX//pncB//pgm//
