# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	glpQ//cynT//
AcrR_neg	atoA//argB//
Ada_neg	aceE//dgcZ//
Ada_pos	glpK//ftsI//mpl//polA//
AdiY_pos	puuD//rnpB//cysH//napB//
AgaR_neg	nadA//
AidB_neg	polB//
AlaS_neg	aceF//
AllR_neg	hemH//uvrA//argE//fadD//purH//pdeR//
AllS_pos	deoB//dhaM//rnpB//
AlsR_neg	hypF//pfkA//allE//
AppY_pos	glcF//nirB//
AraC_neg	paaI//cysH//fucO//lsrF//phnL//
AraC_pos	fucO//slt//xylB//ahpC//astE//
ArgP_neg	
ArgP_pos	acnA//lyxK//hemH//metE//lsrK//accD//sgbE//pnp//nfsB//
ArgR_neg	ugpQ//aroL//paaY//glcF//puuB//pgaC//nrfB//putA//metA//rbsK//yfdE//metL//aroG//argE//speB//sgbU//astC//sgbH//
ArgR_pos	nirB//cysG//nrdE//tnaA//bioF//
ArsR_neg	ychF//gapA//
AscG_neg	allC//chbF//
AsnC_neg	pyrD//
AsnC_pos	garD//
AtoC_pos	mraY//paaH//mhpC//
BaeR_pos	mhpD//ssuE//
BasR_neg	mhpC//
BasR_pos	polA//ppsA//
BetI_neg	entA//moaD//patD//
BirA_neg	nrdA//aspC//waaZ//paaK//caiC//
BluR_neg	
BolA_neg	waaY//alkB//
BolA_pos	malQ//entH//
CadC_pos	katG//umuD//
CaiF_pos	ftnA//fbaA//serA//glxR//yqjH//
Cbl_pos	srlD//glpX//idnO//hyi//citD//
CdaR_pos	cadA//puuB//uxaB//dsdA//nanA//atoB//speB//napC//aroF//
CecR_neg	
ChbR_neg	cdd//gatZ//atoD//
ChbR_pos	ada//aspA//cysC//
ComR_neg	
CpxR_neg	argA//glpQ//xylB//
CpxR_pos	tdcE//ndh//nirD//acnA//epd//hmp//aceE//fes//folA//rnpB//hmp//trpD//astB//ppiA//pheT//rfe//garL//edd//
Cra_neg	rhaD//phnP//entE//puuB//glxR//yfdE//fucA//asnA//fucK//fadJ//idnO//cysJ//aroH//gntK//caiD//cdd//glpB//ldtB//sgbU//fbaA//glk//phnL//sdhB//accA//ldtD//gudD//bioB//uxuB//bioA//ubiX//polA//lysA//treC//hycE//dinB//murF//sdhA//uidA//ftnA//dapB//metA//adhE//ubiA//accD//pheS//rbsK//
Cra_pos	nfsB//trpB//folE//gntK//wzc//bioD//fabZ//fadH//cynS//dacC//phr//patD//phnL//trpC//treC//glpK//pgk//
CreB_neg	alkA//
CreB_pos	argE//
CsgD_neg	folA//udp//
CsgD_pos	lpxA//ogt//pyrD//
CsiR_neg	dhaL//pyrC//paaE//xapA//
CspA_pos	aceE//
CueR_neg	tnaA//glgX//
CueR_pos	gntK//idnD//
CusR_pos	ftsI//metB//pdeL//
CynR_neg	
CynR_pos	prpE//gabD//metL//
CysB_neg	nrdF//lldD//wrbA//
CysB_pos	murD//paaI//torC//pnp//rnpB//paaF//galT//fbaB//mhpE//feaB//purE//slt//caiD//alaC//rffC//
CytR_neg	garD//allB//cynS//uxuB//bioD//mpaA//sucA//paaA//uidA//pyrC//
Dan_pos	tyrA//moaE//
DcuR_pos	psd//nrdF//sgbH//ddlB//
DeoR_neg	iscS//wzc//murC//mazG//atoB//sucD//
DhaR_neg	
DhaR_pos	alaS//
DicA_neg	
DinJ-YafQ_neg	adiA//
DnaA_neg	bacA//hycG//nrdB//tynA//fruK//
DnaA_pos	idnK//xapA//metL//
DpiA_neg	
DpiA_pos	metA//polB//pncB//aspA//waaZ//
DsdC_neg	
DsdC_pos	sgbH//lysA//
EbgR_neg	
EnvR_neg	ldtD//fau//
EnvY_pos	murF//idnO//
EvgA_pos	rbsK//citF//entA//purA//metH//nagA//
ExuR_neg	prpB//gudD//wzc//lpxC//murE//ttdA//
FabR_neg	nrfC//allD//
FadR_neg	aroH//hyaA//narH//ddlB//argB//tdcG//feaB//relA//trpD//
FadR_pos	deoA//araD//astE//entF//pheS//paaE//uvrA//tpiA//ynfE//
FeaR_pos	talA//yfbR//
FhlA_pos	glpB//pdeH//pyrD//ahpC//ada//phnP//fabB//
FlhDC_neg	glpA//dmsB//
FlhDC_pos	argG//cysG//murF//phnN//narI//garK//glcD//wecB//ybjG//
FliZ_neg	deoA//argH//hemL//ndh//xylB//
FucR_pos	waaY//fbaA//prs//ynfF//recF//bacA//
Fur_neg	fucO//bioB//dmsB//argG//ada//uxaB//nadB//hyaA//phnO//nanA//aldA//gor//nadB//mhpE//rhaA//napB//yqhD//araB//entF//cysK//nrfC//phnM//fbaA//ampC//yeaG//galM//prpD//gntK//glcB//ugpQ//hyaB//folE//uxaB//tam//gutQ//glgB//hypF//purD//sodA//cysG//glpQ//leuA//katG//uidA//puuA//dmsB//ubiX//nemA//hcaF//ychF//nanE//glk//cysG//pagP//
Fur_pos	guaB//carB//umuD//rffC//murI//recF//glpX//wecB//gadA//gpmA//aceF//prpC//guaA//glpQ//polA//gapA//pyrD//
GadE-RcsB_pos	argA//napH//glgC//cynT//
GadE_pos	uvrB//mhpD//citC//gloA//accD//cadA//fucA//carB//allA//dgkA//
GadW_neg	mhpD//umpH//paaF//
GadW_pos	caiD//fabD//garL//fucO//
GadX_neg	astA//tehB//
GadX_pos	dgcZ//ftsI//uxaC//sdhD//leuC//sgbE//nrdD//ddlB//purB//ulaE//
GalR_neg	argG//phnL//cysM//fbaA//napG//frdC//
GalR_pos	paaK//lpxA//nadB//citC//
GalS_neg	ynfG//phnH//rimK//ulaD//ppsA//garL//
GalS_pos	ulaE//arsC//hycD//cysN//
GatR_neg	guaA//paaA//acnA//
GcvA_neg	nanM//kbaZ//malZ//
GcvA_pos	pnp//fucA//ribA//
GlcC_neg	
GlcC_pos	phnH//lpxC//yeaE//
GlpR_neg	rbsK//ssuD//add//pheS//phnN//nrdD//lsrG//
GlrR_pos	
GntR_neg	patA//tnaA//dsdA//nrdD//leuD//ulaD//sucC//talA//glcF//
GutM_pos	purE//glcD//guaA//
GutR_neg	cueO//mhpA//hcaB//
HU_neg	ahpC//tyrA//prs//astB//gutQ//entD//slt//
HU_pos	
HcaR_neg	
HcaR_pos	caiD//lldD//
HdfR_neg	
HdfR_pos	
HigA_neg	ogt//
HigB-HigA_neg	epd//
HipAB_neg	rpiB//hycF//
HipB_neg	cysG//ruvB//guaA//
HyfR_pos	torA//
HypT_neg	rutE//feaB//
HypT_pos	hyaA//murQ//mhpC//accA//ftsI//
IclR_neg	nirD//lsrG//sufS//
IdnR_neg	malY//rutB//
IdnR_pos	puuE//hycC//pncB//leuC//
IlvY_neg	
IlvY_pos	cysC//
IscR_neg	melA//yqhD//argD//mtlD//
IscR_pos	allB//garD//
KdgR_neg	ilvC//dgcZ//
KdpE_pos	cysC//
LacI_neg	caiD//ulaD//argA//
LeuO_neg	
LeuO_pos	glmS//edd//uxuB//paaE//thrS//glxR//
LexA_neg	pyrD//tpiA//nadB//tynA//ugpQ//lacZ//cysH//ung//glmU//lsrG//phnP//arsC//frdB//rutD//fdhF//gutQ//cyoE//lyxK//fabZ//hyaB//tpiA//
LldR_neg	napC//rutC//
LldR_pos	hyaA//ybaS//
LrhA_neg	
LrhA_pos	
LsrR_neg	lysC//sdhB//araB//ada//uxuB//
LysR_neg	
LysR_pos	sdhB//
MalI_neg	lyxK//ppsA//
MalT_pos	moaD//rbsD//pgaD//paaI//tyrB//cynS//
MarA_neg	mpaA//
MarA_pos	fbaB//fucU//rfe//bioC//glxK//hcaC//katG//tdcE//gnd//prpB//trpE//fadB//wzc//trpD//leuA//phoA//nrfA//aceF//rsmH//ybaS//napA//rbsK//
MarR_neg	
MatA_neg	paaY//
MatA_pos	
MazE-MazF_neg	rutB//
MazE_neg	nanM//
McbR_neg	
McbR_pos	
MelR_neg	betB//frc//
MelR_pos	narH//ynfG//
MetJ_neg	tauD//gpmA//fumC//ynfH//puuC//cysG//tdcD//icd//pfkA//tehB//
MetR_neg	ynfF//
MetR_pos	pheS//dgkA//glpD//aceA//
MhpR_pos	gdhA//yeaG//uxaB//allD//psd//araB//
Mlc_neg	hycD//ruvA//ynfF//poxB//
MlrA_pos	bioC//
MngR_neg	caiA//poxB//
MntR_neg	xylA//
MntR_pos	narH//
ModE_neg	prpD//dkgA//ynfH//wrbA//fdhF//arsC//astD//nanK//
ModE_pos	napA//rffH//paaJ//caiC//caiA//kbaY//
MprA_neg	sucA//phoA//cynT//
MqsA_neg	murE//garK//
MraZ_neg	rhaD//pflB//tynA//astB//aceA//bioD//leuC//sucC//hcp//leuA//caiA//
MtlR_neg	rnpB//purC//glpB//
MurR_neg	fadJ//tpiA//glxR//
MurR_pos	
Nac_neg	fabZ//truB//alkA//
Nac_pos	ugpQ//zwf//cueO//ddlB//argA//rnpB//purB//
NadR_neg	araD//kbaY//dmsA//fadM//
NagC_neg	ssuE//ubiA//folA//sodA//narG//metK//cysK//wzb//nrdF//murQ//malS//argH//uxaA//gcvT//cysN//hycG//sdhB//deoD//
NagC_pos	lysC//cynS//
NanR_neg	cysM//fucO//glxK//sucC//accC//ynfF//
NanR_pos	
NarL_neg	metA//deoB//pck//narH//allB//fabA//deoB//garD//rhaA//alkB//pfkA//prpD//bioA//mltF//gnd//napH//deoB//eno//lhgO//dinB//deoA//puuE//deoC//metA//
NarL_pos	poxB//nanK//tdcG//glxK//torA//narG//argE//asnB//frdC//dhaK//moeB//frdD//entC//
NarP_neg	nanA//ulaG//paaC//
NarP_pos	pdeL//phnM//fumB//galE//trpA//idnO//murG//purC//folE//gatY//
NemR_neg	ulaE//codA//
NhaR_pos	deoD//mtlD//hypB//dacC//metE//
NikR_neg	rutE//
NimR_neg	entA//
NorR_neg	
NorR_pos	trpD//
NrdR_neg	uxuA//dapB//moeB//metE//
NsrR_neg	appA//yfbR//slt//argF//xylB//umuD//gltB//hycF//hycF//prs//phnL//dmsB//nanE//deoD//feaB//glpK//paaG//moaA//gadB//dmsB//garD//ilvC//garR//napA//eda//caiA//bacA//tdcB//pyrC//glpX//feaB//aspA//glnA//fabG//yfdE//tpiA//
NtrC_neg	purF//deoA//
