# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	garR//fumB//
AcrR_neg	gadB//argC//
Ada_neg	nanA//wecC//
Ada_pos	hycB//kbaZ//aldA//murE//
AdiY_pos	lpd//iscS//gabT//glk//
AgaR_neg	aroF//
AidB_neg	purC//
AlaS_neg	glcF//
AllR_neg	narI//malP//pdeL//aspA//fadM//dhaL//
AllS_pos	hmp//aspA//trpA//
AlsR_neg	gdhA//astB//pyrD//
AppY_pos	hcaD//rnpB//
AraC_neg	trpE//tktB//poxB//phnN//paaB//
AraC_pos	fumC//aroH//dkgA//phnM//deoD//
ArgP_neg	
ArgP_pos	tdcE//moaE//pgaC//paaA//aroL//glxK//glpD//ahpC//pyrC//
ArgR_neg	murQ//hcaB//zwf//katE//mraY//nfsA//lyxK//codA//metE//gpmM//mpl//katE//fau//frdD//dmsC//nanE//ynfG//hyaB//
ArgR_pos	glk//pyrD//argI//galM//glmS//
ArsR_neg	entE//gor//
AscG_neg	caiD//paaB//
AsnC_neg	astA//
AsnC_pos	rnpB//
AtoC_pos	caiD//dinB//hemL//
BaeR_pos	pagP//glgX//
BasR_neg	ldtC//
BasR_pos	pdeH//nrdF//
BetI_neg	mhpE//ulaF//gcl//
BirA_neg	fes//gutQ//sodB//fadE//bioD//
BluR_neg	
BolA_neg	prpB//caiB//
BolA_pos	cysJ//garK//
CadC_pos	prpB//phnM//
CaiF_pos	prs//carB//fes//entH//xylB//
Cbl_pos	cysG//tadA//dacC//entA//purD//
CdaR_pos	pyrD//gadB//phnG//ldtB//cysJ//ubiA//phnG//pgi//fabH//
CecR_neg	
ChbR_neg	uvrA//zwf//gpmM//
ChbR_pos	serA//nanA//hyi//
ComR_neg	
CpxR_neg	glpA//gltB//ascB//
CpxR_pos	nemA//trpC//umuD//malS//rutD//ada//mngB//ynfH//hycD//argI//tam//putA//fumB//bioF//ubiC//phnH//lldD//aceA//
Cra_neg	bioA//dhaM//glyA//aspC//glpX//paaE//napB//glcF//speA//wrbA//lsrK//dapD//fabH//hcaD//hypB//argH//pdeR//nfsA//fabA//ssuE//sdhA//fabH//leuD//entF//cueO//argG//ulaG//trpE//hyaB//argI//ychF//ugpQ//carB//putA//ubiA//melA//gadB//ulaD//aceF//rutE//fadB//trpD//aceF//ynfH//uxaC//ldtB//
Cra_pos	oxc//glpD//mhpB//cysG//cysJ//entA//pdeR//deoB//galT//garL//caiC//lhgO//fucK//garK//dkgA//phnP//galM//
CreB_neg	pck//
CreB_pos	gor//
CsgD_neg	garL//hcaF//
CsgD_pos	eno//argE//hycD//
CsiR_neg	accA//recF//mhpE//puuC//
CspA_pos	fruK//
CueR_neg	appA//fabG//
CueR_pos	ubiA//ynfG//
CusR_pos	sgbU//sodB//ybjG//
CynR_neg	
CynR_pos	treC//fdhF//aceF//
CysB_neg	gnd//sgbH//cysM//
CysB_pos	pdeR//dapD//uidA//fadB//allA//feaB//garL//rnpB//caiD//trpE//araA//tyrB//phnO//cysK//frdA//
CytR_neg	phnN//lyxK//fruK//alkA//entC//speA//umpH//fadI//napB//glpQ//
Dan_pos	speA//citF//
DcuR_pos	gudD//rbsD//citF//hcaF//
DeoR_neg	waaY//glxK//purK//hemL//glpQ//galM//
DhaR_neg	
DhaR_pos	rpiB//
DicA_neg	
DinJ-YafQ_neg	gpmA//
DnaA_neg	asnA//cysM//entH//gabD//rutC//
DnaA_pos	allE//cysE//ugpQ//
DpiA_neg	
DpiA_pos	glcD//lpxC//tehB//edd//nfsA//
DsdC_neg	
DsdC_pos	kbaY//nfsA//
EbgR_neg	
EnvR_neg	polA//ynfE//
EnvY_pos	nanK//sucB//
EvgA_pos	ruvB//glgC//torC//sgbH//entC//citF//
ExuR_neg	tadA//narI//entF//phnN//gloA//rffC//
FabR_neg	lysC//uxuA//
FadR_neg	bacA//argA//xapA//prpB//pgm//zwf//fabG//lysA//pgk//
FadR_pos	ssuD//hycB//dgkA//caiB//umpH//napC//gapA//ldtB//rhaD//
FeaR_pos	prpE//nrfD//
FhlA_pos	polB//astE//cynS//mnmG//glgA//aroL//bacA//
FlhDC_neg	citC//nanA//
FlhDC_pos	ahpC//hyi//dmsB//gapA//treC//psd//nrdD//ugpQ//hmp//
FliZ_neg	rutB//sucA//pgaD//frc//ldtB//
FucR_pos	mpl//uvrA//phnN//aceF//pck//eno//
Fur_neg	napA//lysC//rutE//wecC//araD//hycG//gudD//hemL//deoA//nadB//metK//asnB//ruvB//sdhC//tyrB//allE//wecC//gpmM//sgbE//napH//hcaE//entA//sgbH//ynfG//argD//mraY//ldtD//katG//uxaA//aceA//folE//phnH//leuB//mnmG//nadB//gpmA//nanA//ahpC//cysC//entH//ogt//cynS//hycG//icd//hcaC//rbsK//gltB//araA//lsrG//tdcG//paaE//dsdA//katG//frdB//
Fur_pos	hcaD//sufS//codA//hyaB//hcaF//iscS//lyxK//nanA//nrfA//entC//kbaY//gntK//pgaD//astB//pncB//entB//ulaD//
GadE-RcsB_pos	narG//uxuA//mraY//fumC//
GadE_pos	hcaC//uxaC//prpE//ogt//mnmG//dmsA//argD//purB//nanE//dhaL//
GadW_neg	uxaA//fadB//ychF//
GadW_pos	allC//fadJ//ruvA//sdhA//
GadX_neg	mpaA//bioD//
GadX_pos	ynfG//fadJ//purM//glxR//rhaD//glyA//lpxA//trpD//lsrG//hmp//
GalR_neg	moaA//allE//mhpC//ascB//prpB//nanM//
GalR_pos	ftnA//ftsI//fabZ//paaA//
GalS_neg	uxuB//mtlD//astB//sodA//phnH//pflB//
GalS_pos	sodB//pgk//ribA//astD//
GatR_neg	nfsA//aroG//moeB//
GcvA_neg	gpmA//pagP//rffC//
GcvA_pos	yeaE//purK//argI//
GlcC_neg	
GlcC_pos	ybaS//rbsD//mhpC//
GlpR_neg	hcaF//paaK//dkgA//guaB//glmU//betB//betA//
GlrR_pos	
GntR_neg	hycG//garK//gor//codA//chbF//ulaF//argI//hcaD//rbsD//
GutM_pos	paaE//ldtB//nfsB//
GutR_neg	dkgB//fucO//gpmA//
HU_neg	sdhA//moeB//nadB//folE//napG//aroH//nagA//
HU_pos	
HcaR_neg	
HcaR_pos	yeaG//sucD//
HdfR_neg	
HdfR_pos	
HigA_neg	murC//
HigB-HigA_neg	gdhA//
HipAB_neg	mpaA//aceF//
HipB_neg	ssuE//trpC//waaH//
HyfR_pos	argE//
HypT_neg	melA//ribA//
HypT_pos	nrfD//pykF//rffG//uvrC//lyxK//
IclR_neg	wzc//purF//pdeL//
IdnR_neg	gcl//cynT//
IdnR_pos	gdhA//sufS//ugpQ//patA//
IlvY_neg	
IlvY_pos	wecC//
IscR_neg	cysK//astD//torC//glcE//
IscR_pos	ycjG//garR//
KdgR_neg	mtlD//tpiA//
KdpE_pos	alkA//
LacI_neg	rhaD//ppsA//glyA//
LeuO_neg	
LeuO_pos	entA//cdd//gpmA//nrdA//rutA//purN//
LexA_neg	srlD//purD//narH//galK//leuC//puuB//cadA//ribA//hcaE//ppc//murG//yqhD//ascB//polB//galE//putA//argD//astC//adhE//astA//idnO//
LldR_neg	glgA//gltD//
LldR_pos	gadA//glgC//
LrhA_neg	
LrhA_pos	
LsrR_neg	rfe//moaD//leuC//deoD//deoC//
LysR_neg	
LysR_pos	pspE//
MalI_neg	fabA//phnL//
MalT_pos	sodA//mtlD//pflB//hcp//glcF//sodA//
MarA_neg	recF//
MarA_pos	malP//patA//entD//lacZ//mhpE//sodA//ynfE//entH//ssuD//paaF//hycD//paaB//pdeR//glgX//gltD//dkgB//ttdA//melA//lacZ//ybaS//srlD//puuC//
MarR_neg	
MatA_neg	entF//
MatA_pos	
MazE-MazF_neg	napA//
MazE_neg	hmp//
McbR_neg	
McbR_pos	
MelR_neg	frdC//moaD//
MelR_pos	waaZ//ychF//
MetJ_neg	amn//yqjH//ttdA//nrdB//allB//cysE//dmsC//glpX//lpxD//fucI//
MetR_neg	waaH//
MetR_pos	torA//glxK//lpxA//mdh//
MhpR_pos	paaK//puuB//pgi//rutC//rdoA//pgaB//
Mlc_neg	katE//nirD//nanA//lsrG//
MlrA_pos	rfe//
MngR_neg	fucO//gltB//
MntR_neg	ulaF//
MntR_pos	fucA//
ModE_neg	ahpF//rutB//serA//relA//metA//hcaE//ttdA//entD//
ModE_pos	paaB//katE//nadA//allA//ruvB//paaF//
MprA_neg	citD//cysC//murQ//
MqsA_neg	talA//lyxK//
