# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	bioC//tynA//
AcrR_neg	gnd//paaG//
Ada_neg	amn//ppc//
Ada_pos	gntK//patD//deoB//cynT//
AdiY_pos	cysC//galT//accB//leuA//
AgaR_neg	fucI//
AidB_neg	paaY//
AlaS_neg	nrfA//
AllR_neg	moaE//garD//sucB//gadB//cysJ//glxK//
AllS_pos	ahpC//astA//alkA//
AlsR_neg	cyoE//glpD//entB//
AppY_pos	puuD//sgbH//
AraC_neg	pheT//ampC//yfdE//pgi//glcE//
AraC_pos	nanM//sdhB//yiaK//iscS//glpX//
ArgP_neg	
ArgP_pos	purE//argA//fdhF//pgi//pgaD//leuA//malQ//deoA//leuA//
ArgR_neg	murG//fumC//lpxA//waaH//fabH//trpE//entE//tdcD//dhaL//frdD//malS//cynS//citC//frdB//fucA//pgaD//garK//rutA//
ArgR_pos	serA//ppc//citE//hycB//uxuA//
ArsR_neg	purD//nagA//
AscG_neg	entF//gabT//
AsnC_neg	bglB//
AsnC_pos	pgaC//
AtoC_pos	ldtC//ulaG//uvrA//
BaeR_pos	nrfD//glmS//
BasR_neg	idnO//
BasR_pos	aceF//appA//
BetI_neg	lpxA//sgbH//glmU//
BirA_neg	ampC//nfsA//glpX//tdcG//pdeR//
BluR_neg	
BolA_neg	yeaG//ttdB//
BolA_pos	ubiA//citD//
CadC_pos	astA//aspA//
CaiF_pos	purC//leuA//metE//argA//nfsB//
Cbl_pos	gabD//aceE//torC//dhaL//bioF//
CdaR_pos	mnmG//ynfF//fumB//treC//hyaA//phnM//cyoE//rutB//pdeH//
CecR_neg	
ChbR_neg	moeA//fadM//trpC//
ChbR_pos	umuD//leuC//ada//
ComR_neg	
CpxR_neg	fabH//moaA//glpB//
CpxR_pos	psd//serA//prpC//tpiA//accB//allD//purE//fabI//bioA//sucA//glpD//ahpC//moaD//rutD//ulaD//nrfD//deoC//glnA//
Cra_neg	hcaD//icd//fabI//puuA//rutD//paaC//murQ//araD//ynfE//rimK//pgpC//aceE//glcF//yfdE//treC//leuA//xapA//guaB//atoD//rutD//purA//ulaD//luxS//trpB//murG//paaH//ruvA//betB//adhE//hycF//fbaB//pykF//fadM//nrdF//rhaD//cysM//argB//sucA//glxR//rhaB//mhpC//dkgB//nanA//fruK//napA//fabI//
