# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	rutA//ubiA//
AcrR_neg	ynfG//pnp//
Ada_neg	hycC//cyoE//
Ada_pos	aceB//gloA//accB//gpmM//
AdiY_pos	alaS//eno//mpl//pflB//
AgaR_neg	napH//
AidB_neg	entD//
AlaS_neg	murQ//
AllR_neg	ascB//fbaA//ycjG//gpmA//astB//cynT//
AllS_pos	dapB//idnK//hycG//
AlsR_neg	moeA//nanK//fadH//
AppY_pos	napB//frdB//
AraC_neg	purB//moeB//sucB//ilvC//argC//
AraC_pos	pck//purB//srlD//argG//ahpF//
ArgP_neg	
ArgP_pos	gadA//idnK//tehB//gatY//fadM//ttdA//pheT//chbG//rffH//
ArgR_neg	serA//accA//purL//phnN//ttdB//lysA//tynA//xylB//glmS//glmU//ulaF//leuA//waaH//sgbU//aroH//sufS//udp//paaY//
ArgR_pos	cysI//yfbR//murE//rutE//lacA//
ArsR_neg	ldtD//glpA//
AscG_neg	moeA//hycG//
AsnC_neg	hcaF//
AsnC_pos	entB//
AtoC_pos	pgaD//aldA//leuD//
BaeR_pos	murE//fadA//
BasR_neg	pck//
BasR_pos	rfe//deoD//
BetI_neg	entA//glyA//rffH//
BirA_neg	fadJ//hycB//nanE//pdeH//atoB//
BluR_neg	
BolA_neg	tynA//metH//
BolA_pos	cysD//cadA//
CadC_pos	ddlB//cysE//
CaiF_pos	murE//yqhD//udp//aceA//ftnA//
Cbl_pos	bioF//cysG//chbF//sdhA//hycB//
CdaR_pos	napB//hycD//prpC//fumB//lldD//entE//hemL//hyaC//ttdB//
CecR_neg	
ChbR_neg	mhpA//murG//sdhB//
ChbR_pos	rbsK//gntK//gor//
ComR_neg	
CpxR_neg	aspA//dhaL//dkgB//
CpxR_pos	entB//nrfC//nagB//deoD//malZ//dgkA//kbaY//mtlD//tdcE//srlD//gadA//gpmM//pgk//prpB//yibQ//edd//xapA//glcD//
