# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	leuD//gabT//
AcrR_neg	speB//asnB//
Ada_neg	atoD//glgP//
Ada_pos	uxaC//rimK//nanK//malQ//
AdiY_pos	allA//ulaG//alaS//uxuA//
AgaR_neg	purN//
AidB_neg	speA//
AlaS_neg	nfsA//
AllR_neg	araD//dkgB//citD//ppsA//aceF//guaA//
AllS_pos	paaG//fadB//pgk//
AlsR_neg	uvrB//paaZ//deoD//
AppY_pos	hcaF//dgkA//
AraC_neg	tdcD//acnA//pgk//fabG//tktB//
AraC_pos	glpD//rsmH//fadE//zwf//prpB//
ArgP_neg	
ArgP_pos	ppc//purD//purA//purM//rhaD//hcp//relA//paaF//asnB//
ArgR_neg	ulaG//moaE//pgaD//sufS//lysC//fucI//aceF//rffM//frdA//pgpC//argA//uidA//sucB//pck//rbsK//gcvH//katG//trpA//
ArgR_pos	icd//phnL//betA//fadJ//glpB//
ArsR_neg	nirD//phnG//
AscG_neg	hemL//kbaY//
AsnC_neg	fabA//
AsnC_pos	narG//
AtoC_pos	hyi//araD//purM//
BaeR_pos	galT//ppc//
BasR_neg	pnp//
BasR_pos	ppc//melA//
BetI_neg	pyrC//zwf//gadA//
BirA_neg	tadA//ftsI//katE//paaI//argA//
BluR_neg	
BolA_neg	hemL//rhaD//
BolA_pos	aroF//cueO//
CadC_pos	allA//malZ//
CaiF_pos	cysG//glmU//purD//trpE//hcaF//
Cbl_pos	entA//ugpQ//cynT//fdhF//katE//
CdaR_pos	pepD//fruK//glyA//entC//malS//citC//appA//deoD//atoD//
CecR_neg	
ChbR_neg	adhE//hycC//ubiA//
ChbR_pos	lyxK//glpA//glpQ//
ComR_neg	
CpxR_neg	pgi//mtlD//hyi//
CpxR_pos	sucC//mpaA//carB//aldA//purC//rutE//ldtC//uxaA//edd//gatZ//hycE//narG//xapA//paaE//metH//fadJ//torC//astC//
Cra_neg	ybaS//cdd//lpxD//rdoA//phnG//thrS//chbG//pspE//sodA//ssuD//fabD//deoB//ftnA//nirD//galM//aceF//malY//entD//narI//bioD//pgaC//pgm//waaH//murE//aceE//glgC//glxR//argA//paaY//cysN//phnP//cysH//fbaA//glgX//trpE//mtlD//sucC//lsrG//yqhD//chbF//pheT//paaB//serA//nagB//dgkA//alkA//
Cra_pos	ybjG//ynfH//gcvP//lysC//katG//talA//gcvH//ynfG//speA//caiB//phnG//dhaM//hemL//pyrD//leuA//mhpB//glxK//
CreB_neg	lysC//
CreB_pos	pgaD//
CsgD_neg	poxB//ppiA//
CsgD_pos	fabG//cysD//alsE//
CsiR_neg	allB//glpX//malP//fadB//
CspA_pos	glnA//
CueR_neg	ycjG//rhaB//
CueR_pos	fruK//alkA//
CusR_pos	ppsA//cysD//rutE//
CynR_neg	
CynR_pos	speB//pgaB//paaK//
CysB_neg	gcvT//truB//rutD//
CysB_pos	yqhD//yibQ//dmsC//caiA//puuD//uidA//dkgA//cysI//bioA//hcp//ulaF//gabT//uxuB//dgcZ//aceB//
CytR_neg	rutB//gcvT//glcF//argG//pykF//purH//rhaA//narG//cysH//tdcB//
Dan_pos	pagP//lpd//
DcuR_pos	hyaB//speA//paaI//putA//
DeoR_neg	glgB//icd//garL//metF//uidA//glmS//
DhaR_neg	
DhaR_pos	ulaD//
DicA_neg	
DinJ-YafQ_neg	leuB//
DnaA_neg	ribA//entD//aroH//mhpF//psd//
DnaA_pos	lpxA//glpA//cysJ//
DpiA_neg	
DpiA_pos	thrS//glxR//amn//tdcD//galE//
DsdC_neg	
DsdC_pos	fabZ//mnmG//
EbgR_neg	
EnvR_neg	fbaA//sgbU//
EnvY_pos	narI//acnA//
EvgA_pos	pgaD//mngB//ruvB//argB//glyA//gdhA//
ExuR_neg	fadA//sdhA//araD//bioD//gatY//sgbH//
FabR_neg	umuC//yeaE//
FadR_neg	nanA//dhaL//hcaD//glk//accB//leuA//ubiC//xylA//glnA//
FadR_pos	entF//ada//argB//prpB//bioA//sgbH//asnB//rutB//phr//
FeaR_pos	rbsK//fadH//
FhlA_pos	pck//argA//lysC//prpD//sdhC//atoA//idnO//
FlhDC_neg	nanK//nadB//
FlhDC_pos	metL//uxuA//betA//dsdA//fucI//allC//cysI//gudD//ychF//
FliZ_neg	fadD//yqjH//deoB//bioA//citF//
FucR_pos	paaH//ssuD//trpE//paaH//nemA//argE//
Fur_neg	tyrA//nagB//argB//dacC//dgcC//nirB//araD//astE//aroL//sdhB//citD//rffM//cysN//murE//lyxK//tdcB//purD//glk//dmsC//cysN//cysM//gpmM//fabA//rimK//frdA//paaF//paaY//ybjG//rnpB//alkB//hycG//ybjG//ulaF//lysC//sodA//rutB//pck//murF//puuE//gcvP//uvrB//citF//sodB//betA//lpxA//add//glnA//pflB//dgcZ//entB//ybjG//trpC//hycC//ybjG//
Fur_pos	galK//moaE//cysM//ahpF//sdhC//gnd//codA//rutA//malQ//pncB//caiB//moaD//mraY//paaC//uxaC//ycjG//gltD//
GadE-RcsB_pos	gcvT//carB//nrfD//ulaF//
