# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	tdcG//relA//
AcrR_neg	glxR//glyA//
Ada_neg	fadJ//ndh//
Ada_pos	glcB//rutC//ulaD//purB//
AdiY_pos	atoA//cysM//wzc//citC//
AgaR_neg	thrS//
AidB_neg	entB//
AlaS_neg	mdh//
AllR_neg	sufS//glcD//citG//cadA//lpxD//pykF//
AllS_pos	pnp//pspE//gor//
AlsR_neg	gabD//ppsA//epd//
AppY_pos	yqjH//atoD//
AraC_neg	garL//gatZ//mhpD//pgi//hycC//
AraC_pos	sodB//speA//entH//murC//nrfC//
ArgP_neg	
ArgP_pos	hycC//rfe//nagA//tdcB//hypF//tdcG//glpQ//idnD//hyaA//
ArgR_neg	pfkA//ndh//iscS//lpd//frdD//purE//murI//glpA//cysM//astE//gatY//paaZ//wecC//accA//paaY//argE//fucO//leuC//
ArgR_pos	umuD//tpiA//bglB//sucB//gatD//
ArsR_neg	sucA//glgC//
AscG_neg	nirB//nrfB//
AsnC_neg	katE//
AsnC_pos	fau//
AtoC_pos	folA//glgC//paaY//
BaeR_pos	nemA//nadB//
BasR_neg	gcvT//
BasR_pos	nrdB//wzb//
BetI_neg	leuC//rffG//entA//
BirA_neg	ulaD//fadE//leuA//cysJ//melA//
BluR_neg	
BolA_neg	ynfH//caiA//
BolA_pos	araB//umuC//
CadC_pos	moeB//tnaA//
CaiF_pos	glpA//fumC//gltB//garL//ogt//
Cbl_pos	wzc//ampC//sdhC//dmsC//rffH//
CdaR_pos	metA//narG//yfdE//astD//yibQ//purB//gcl//aspC//udp//
CecR_neg	
ChbR_neg	pspE//cysG//gcvT//
ChbR_pos	epd//fabI//narI//
ComR_neg	
CpxR_neg	murE//glxR//bioB//
CpxR_pos	fadA//leuA//mhpB//fau//yfbR//pdeR//hmp//ruvB//fabA//torC//pheS//mhpB//caiA//hycE//poxB//argC//dmsA//purH//
Cra_neg	gatZ//feaB//accB//fabH//rdoA//frdA//caiA//ldtC//ubiX//deoC//moaA//ada//fabB//tehB//hyaB//araD//dkgB//atoD//speA//ttdB//trpD//nrfA//paaG//rffM//tadA//puuE//murI//aceB//patA//glpK//fadA//ppiA//purD//lsrF//purC//fadE//napG//entB//pgaD//bglB//idnK//rdoA//tktB//umuD//nanE//fadA//
Cra_pos	ybjG//waaH//pgaD//uxaC//garD//pgm//ybaS//alaC//entD//napC//araA//ppc//pgk//allC//gapA//nrdD//chbF//
CreB_neg	metA//
CreB_pos	zwf//
CsgD_neg	srlD//lysA//
CsgD_pos	edd//nirD//ynfH//
CsiR_neg	ssuD//nanM//murE//aroL//
CspA_pos	sodA//
CueR_neg	cyoE//alaC//
CueR_pos	sucB//nanM//
CusR_pos	gltB//alaC//lpxD//
CynR_neg	
CynR_pos	argC//fau//guaA//
CysB_neg	ulaF//ulaE//mltF//
CysB_pos	moeA//treC//cysD//fbaB//gatD//lysA//hycG//trpE//nrfB//nrdF//ftnA//folA//ulaG//nanM//gnd//
CytR_neg	moaD//bioC//sucC//sucB//prpB//phnJ//lysA//yfdE//fadM//glcB//
Dan_pos	rffM//puuD//
DcuR_pos	ubiA//gutQ//rffC//prpB//
DeoR_neg	leuC//hcp//fes//pgi//metK//umuD//
DhaR_neg	
DhaR_pos	psd//
DicA_neg	
DinJ-YafQ_neg	pncB//
DnaA_neg	rutE//gltB//xylA//trpB//tadA//
DnaA_pos	lpxC//aroL//phnM//
DpiA_neg	
DpiA_pos	lysC//ldtD//alsE//citX//hypB//
DsdC_neg	
DsdC_pos	alkB//sucA//
EbgR_neg	
EnvR_neg	glgX//pncB//
EnvY_pos	gdhA//cysD//
EvgA_pos	katE//melA//galM//entF//aspC//fadM//
ExuR_neg	dsdA//adiA//garR//pdeR//wrbA//mngB//
FabR_neg	citX//gnd//
FadR_neg	nemA//guaB//ubiC//aceF//purD//pagP//cyoE//glpK//glmU//
FadR_pos	pgaD//paaZ//folA//metK//pfkA//puuD//ndh//bioB//pgk//
FeaR_pos	phr//arsC//
FhlA_pos	dkgB//asnB//citC//tktB//entF//cysD//nrdF//
FlhDC_neg	accD//rffM//
FlhDC_pos	deoC//murI//mazG//glgC//glcE//nrdF//cynT//aroG//pykF//
FliZ_neg	cynS//sucA//glpA//alkA//acnA//
FucR_pos	glpK//mhpC//gpmA//nrdD//cysH//lhgO//
Fur_neg	hycG//lacA//entE//tdcD//yqhD//cysC//aceE//gor//fau//ftnA//alaC//cdd//adiA//paaB//tam//sufS//frdA//pdeL//narI//nrfD//garR//trpC//moaE//entC//gutQ//pheS//deoA//pgi//frdB//ssuE//uxaC//mhpF//fdhF//fadI//uxaC//citD//pdeR//leuA//aceB//paaG//deoB//glgB//nemA//hycB//argB//appA//entH//nfsB//leuC//pgk//ssuD//dacC//paaC//mtlD//
Fur_pos	polB//fucK//tyrB//murC//aceE//luxS//torC//rfe//purM//paaJ//argG//phnH//appA//wzb//malS//ldtB//moaD//
GadE-RcsB_pos	wecC//pyrC//caiC//glpD//
GadE_pos	hypB//fabA//gatD//wecC//ycjG//fadH//glmS//yeaG//tdcB//acnB//
GadW_neg	wzc//fabG//fabD//
GadW_pos	polB//prpC//accD//pdeR//
GadX_neg	fumB//uvrC//
GadX_pos	ldtC//chbF//nrdB//murF//pncB//prpE//citC//uvrC//galK//alaC//
GalR_neg	prpB//cysH//allA//gatY//hycG//caiC//
GalR_pos	oxc//pncB//glcF//rhaB//
GalS_neg	phnP//gcl//fau//murE//frdB//nrfC//
GalS_pos	hcaB//metE//pgaD//glpB//
GatR_neg	feaB//araB//katG//
GcvA_neg	caiD//lldD//ruvA//
GcvA_pos	malZ//allD//metC//
GlcC_neg	
GlcC_pos	dgkA//fucK//cadA//
GlpR_neg	mngB//fucK//entA//narH//nfsA//glmU//hycC//
GlrR_pos	
GntR_neg	cysK//tdcE//adiA//gabD//aceE//alsE//gatD//cynT//fucA//
GutM_pos	ftsI//rffC//uxuA//
GutR_neg	ftsI//polA//glpQ//
HU_neg	caiA//chbG//ssuE//rffH//cyoE//rutE//wrbA//
HU_pos	
HcaR_neg	
HcaR_pos	malS//wecC//
HdfR_neg	
HdfR_pos	
HigA_neg	wzc//
HigB-HigA_neg	ubiC//
HipAB_neg	atoA//uxuA//
HipB_neg	citE//paaH//ppiA//
HyfR_pos	pgk//
HypT_neg	mnmG//phnG//
HypT_pos	ulaE//phnI//metC//phnP//napG//
IclR_neg	dapB//polA//hypF//
IdnR_neg	cysJ//pyrD//
IdnR_pos	fabG//metE//rpiB//nagB//
IlvY_neg	
IlvY_pos	lldD//
IscR_neg	gdhA//glpQ//tktB//sodB//
IscR_pos	malP//purA//
KdgR_neg	tdcB//purA//
KdpE_pos	rutC//
LacI_neg	paaK//galT//ubiA//
LeuO_neg	
LeuO_pos	pykF//rdoA//sdhA//glk//caiA//fruK//
LexA_neg	serA//aroL//asnA//ycjG//acnB//glpD//lysA//nanK//metC//dapB//adiA//waaY//ahpF//sgbH//aspA//hcaC//aceA//edd//rimK//lacZ//ung//
LldR_neg	icd//accA//
LldR_pos	moeB//rhaA//
LrhA_neg	
LrhA_pos	
LsrR_neg	metK//pdeR//nfsB//rutA//wrbA//
LysR_neg	
LysR_pos	pdeH//
MalI_neg	aroL//metH//
MalT_pos	hcaD//kbaY//polB//ruvA//wecC//ppc//
MarA_neg	mazG//
MarA_pos	yiaK//astD//arsC//edd//sodA//fucO//gudD//entC//nfsB//gloA//nadB//kbaY//fabB//sucC//aceF//aroF//murI//rffC//accB//idnK//paaC//ulaF//
MarR_neg	
MatA_neg	wecC//
MatA_pos	
MazE-MazF_neg	cyoE//
MazE_neg	trpD//
McbR_neg	
McbR_pos	
MelR_neg	nanM//dmsB//
MelR_pos	fbaB//purF//
MetJ_neg	cysN//allC//polB//ldtC//mhpC//paaG//cysN//phr//paaZ//tyrA//
MetR_neg	tdcE//
MetR_pos	atoA//yeaE//fucO//pgk//
MhpR_pos	allB//phnJ//rffM//deoB//purM//torC//
Mlc_neg	alsE//sgbH//trpB//cdd//
MlrA_pos	cysG//
MngR_neg	hycD//betA//
MntR_neg	lhgO//
MntR_pos	edd//
ModE_neg	malQ//hycF//gdhA//aspC//rbsK//hycD//adiA//lsrG//
