# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	prpB//frdB//
AcrR_neg	purF//rimK//
Ada_neg	galK//eno//
Ada_pos	phnI//guaB//astA//metA//
AdiY_pos	hypB//purC//mhpF//hcp//
AgaR_neg	nanK//
AidB_neg	paaA//
AlaS_neg	hemH//
AllR_neg	mpaA//ynfG//paaB//polB//argI//narI//
AllS_pos	pnp//gudD//nanA//
AlsR_neg	leuD//hypF//glcD//
AppY_pos	hycF//leuD//
AraC_neg	pepD//uvrB//murF//fadA//nanA//
AraC_pos	rnpB//ugpQ//fabI//argF//uvrC//
ArgP_neg	
ArgP_pos	pnp//tdcD//gntK//ssuE//ybjG//rhaB//ulaF//sgbU//dinB//
ArgR_neg	accC//katG//gltB//tehB//yfdE//fadJ//hypB//lysC//ada//ybjG//glcB//fadD//lldD//allA//citD//leuB//tam//phnJ//
ArgR_pos	lhgO//speB//glpX//luxS//hemL//
ArsR_neg	cdd//betB//
AscG_neg	prs//mdh//
AsnC_neg	metC//
AsnC_pos	ada//
AtoC_pos	uxaB//lacA//xylA//
BaeR_pos	gudD//nrfA//
BasR_neg	rimK//
BasR_pos	serA//allA//
BetI_neg	asnA//glmS//purL//
BirA_neg	alkA//sucD//mazG//cynS//ycjG//
BluR_neg	
BolA_neg	deoC//dhaM//
BolA_pos	citG//rhaD//
CadC_pos	astE//dkgB//
CaiF_pos	ddlB//kbaZ//oxc//dhaM//rsmH//
Cbl_pos	sucA//cysC//dkgB//rutC//ulaG//
CdaR_pos	astE//slt//argD//hcaD//ychF//glgB//hcaE//phnG//dgcC//
CecR_neg	
ChbR_neg	hycD//atoB//metE//
ChbR_pos	uvrC//glpX//nrfA//
ComR_neg	
CpxR_neg	paaB//asnB//dgcC//
CpxR_pos	glpB//yqhD//sdhA//moaA//rffC//glyA//frdA//deoA//fau//phnI//astA//cdd//rimK//glk//nanK//araB//argD//bioB//
Cra_neg	allC//metK//gabT//umuD//hemH//purK//idnD//wrbA//malP//trpC//hyi//moaE//wecC//pheT//cysM//nrfD//melA//xapA//aroF//cysH//lyxK//purL//rbsD//sucC//leuA//pck//fbaA//sgbH//ybjG//purA//sucD//malP//umuD//gloA//galE//mltF//rhaD//glpA//hcaF//aroF//argE//cysC//rffT//ttdB//frdC//nrdF//
Cra_pos	purK//trpC//lhgO//entE//truB//talA//treC//thrS//kbaY//cdd//alkB//nemA//hypB//rimK//argI//sdhD//hycG//
CreB_neg	rbsK//
CreB_pos	tauD//
CsgD_neg	gabT//ybaS//
CsgD_pos	gcvT//dgcZ//sdhC//
CsiR_neg	astD//puuD//tynA//lhgO//
CspA_pos	argI//
CueR_neg	chbF//rutA//
CueR_pos	bioD//ascB//
CusR_pos	moeB//psd//cynT//
CynR_neg	
CynR_pos	aroL//dgkA//ahpC//
CysB_neg	hyi//yeaG//hycG//
CysB_pos	malS//rutC//phnL//nrdB//accC//malP//tktB//rffM//uxaA//lsrF//pgaD//bioD//astE//speA//arsC//
CytR_neg	paaH//trpD//ftsI//bioF//fabG//atoB//astB//atoA//murE//dacC//
Dan_pos	paaG//pyrD//
DcuR_pos	argB//sucC//cysM//tdcG//
DeoR_neg	cysD//ada//lhgO//tehB//fadM//gadA//
DhaR_neg	
DhaR_pos	deoC//
DicA_neg	
DinJ-YafQ_neg	recF//
DnaA_neg	kbaY//rbsD//lpxC//add//paaG//
DnaA_pos	pflB//feaB//uvrC//
DpiA_neg	
DpiA_pos	guaA//deoC//araB//guaB//paaY//
DsdC_neg	
DsdC_pos	tktB//sodA//
EbgR_neg	
EnvR_neg	metB//nrdD//
EnvY_pos	uidA//glk//
EvgA_pos	recF//ulaF//astB//dapD//ppiA//hycG//
ExuR_neg	ppiA//astB//uxaB//sucA//argF//cysE//
FabR_neg	cysM//arsC//
FadR_neg	cysJ//lacA//pdeL//ybjG//phnO//dhaK//chbF//yqjH//kbaY//
FadR_pos	phnM//glyA//ttdA//metE//glgC//betB//fadE//glgX//argB//
FeaR_pos	tehB//dhaM//
FhlA_pos	lacZ//citX//hcp//phnI//mhpC//ttdB//purM//
FlhDC_neg	mhpE//pspE//
FlhDC_pos	hyi//accA//purK//dapD//caiC//metB//metE//ppiA//paaG//
FliZ_neg	entD//entD//talA//wecC//idnO//
FucR_pos	paaI//hcaD//fadI//caiB//sufS//trpC//
Fur_neg	astC//pgaB//phnH//fadH//alkB//galT//caiC//lacZ//murF//ubiX//ada//umpH//hyaB//uvrB//aceB//oxc//gabT//torC//waaY//citE//prpE//adiA//dhaM//rsmH//ulaE//pyrC//mhpC//rhaA//phr//pflB//aceE//glcE//ttdA//fumB//speB//ftsI//gutQ//prpC//ldtC//pdeL//paaK//prs//katE//paaJ//cdd//kbaY//pfkA//trpE//eno//phnL//chbF//astD//fadA//hycC//
Fur_pos	fucI//gatZ//bglB//purA//gapA//hycE//tehB//yfdE//adiA//purB//glpQ//ppsA//tauD//ldtB//metL//rutD//yqjH//
GadE-RcsB_pos	galM//atoA//gatZ//nrfD//
GadE_pos	sodA//hycF//mltF//guaA//uxaB//guaB//glpB//accA//lsrK//ybjG//
GadW_neg	tauD//hyaB//amn//
GadW_pos	pykF//allC//tktB//folE//
GadX_neg	nrfD//alkA//
GadX_pos	yeaE//glxR//ulaF//lpxA//recF//idnD//hycC//glpC//nemA//phnM//
GalR_neg	umuC//tyrA//citG//glpX//eda//hcaE//
GalR_pos	fabH//dgcZ//narI//paaG//
GalS_neg	pheS//ynfH//argI//rdoA//sgbH//cysH//
GalS_pos	frdB//dkgB//tdcD//aldA//
GatR_neg	ynfG//astC//metB//
GcvA_neg	thrS//pgk//allE//
GcvA_pos	purM//phnP//murG//
GlcC_neg	
GlcC_pos	pgaC//xapA//moaA//
GlpR_neg	astD//gntK//dgkA//rffC//sucA//paaH//dmsC//
GlrR_pos	
GntR_neg	mdh//uxuA//cysE//sucA//gatD//lpxD//fadH//dmsB//ugpQ//
GutM_pos	ogt//fadA//allA//
GutR_neg	phnP//murQ//leuC//
HU_neg	bioA//rdoA//purA//polA//dinB//atoB//fadJ//
HU_pos	
HcaR_neg	
HcaR_pos	phr//cadA//
HdfR_neg	
HdfR_pos	
HigA_neg	rhaD//
HigB-HigA_neg	zwf//
HipAB_neg	glpX//garR//
HipB_neg	rutA//epd//ulaD//
HyfR_pos	tnaA//
HypT_neg	cueO//rutA//
HypT_pos	yfbR//tehB//hycE//entB//relA//
IclR_neg	recF//bioF//paaE//
IdnR_neg	glpB//glmS//
IdnR_pos	lsrK//argF//astB//lpxD//
IlvY_neg	
IlvY_pos	gcvH//
IscR_neg	paaG//purN//murE//paaF//
IscR_pos	fabI//dgcZ//
KdgR_neg	hcp//fabZ//
KdpE_pos	entA//
LacI_neg	puuA//mnmG//cysK//
LeuO_neg	
LeuO_pos	lhgO//hypF//frdA//lysA//sufS//paaG//
LexA_neg	wzc//argI//rffC//gabT//garD//tynA//dmsB//glyA//murI//ycjG//ubiX//mpl//umuD//mhpE//fumC//nadA//dhaK//ppiA//nanK//nirB//fumB//
LldR_neg	trpA//cynS//
LldR_pos	xylA//tyrA//
LrhA_neg	
LrhA_pos	
LsrR_neg	rnpB//hycG//mhpF//fabD//mpaA//
LysR_neg	
LysR_pos	phnH//
MalI_neg	ahpF//gdhA//
MalT_pos	dsdA//mhpC//purE//pdeH//mpl//aspA//
MarA_neg	ppsA//
MarA_pos	gatY//recF//edd//atoB//feaB//ldtC//glmU//napA//sgbE//garL//phr//rffH//yqhD//phnH//fumC//nrdF//mnmG//metH//relA//glpB//tauD//yfbR//
MarR_neg	
MatA_neg	argC//
MatA_pos	
MazE-MazF_neg	purA//
MazE_neg	gadA//
McbR_neg	
McbR_pos	
MelR_neg	oxc//metC//
MelR_pos	fumC//fau//
MetJ_neg	astE//hypB//pgaC//leuA//sdhA//entB//moeA//entB//glyA//ddlB//
MetR_neg	argB//
MetR_pos	ulaE//galK//accD//sucD//
MhpR_pos	argB//fruK//argE//purC//purC//malZ//
Mlc_neg	fadB//phnJ//pheT//nrfB//
MlrA_pos	dapD//
MngR_neg	dkgA//murF//
MntR_neg	ynfH//
MntR_pos	pgi//
ModE_neg	moeB//argA//cadA//nanM//lpxC//frdC//sgbE//fabB//
ModE_pos	uvrA//nrfD//hycD//ulaE//nagA//uxuA//
MprA_neg	talA//waaZ//cysN//
MqsA_neg	kbaZ//fucO//
MraZ_neg	dgcC//rhaA//fadA//moeB//glcB//purH//nrfB//hycD//xylB//bglB//bglB//
MtlR_neg	sdhA//oxc//putA//
MurR_neg	ndh//puuC//hcp//
MurR_pos	
Nac_neg	moaD//mhpF//dacC//
Nac_pos	dhaL//idnK//ssuD//gloA//ynfE//deoD//aspC//
NadR_neg	nagB//prpD//hemL//rbsD//
NagC_neg	gcvT//nagA//aroL//glcE//yqhD//leuB//trpB//sucD//glyA//nadA//mhpD//rffT//fbaB//garK//kbaZ//fucO//carB//moaD//
NagC_pos	pykF//paaF//
NanR_neg	srlD//cysG//ribA//dapB//lysC//ruvA//
NanR_pos	
NarL_neg	cysE//allC//tdcD//melA//atoB//paaF//frc//rffM//hcaC//ampC//narH//asnB//murD//dsdA//add//nirB//asnB//ubiX//pgpC//hcaF//codA//mdh//narH//gapA//
NarL_pos	rffH//codA//pdeH//garD//ubiC//paaA//hypF//glpD//yibQ//malS//tdcB//cysD//sgbU//
NarP_neg	ycjG//glpC//hyi//
NarP_pos	pflB//tynA//nanE//hemH//tauD//sucB//aceB//alaS//astB//deoA//
NemR_neg	malZ//tktB//
NhaR_pos	paaE//pck//murQ//ugpQ//mpaA//
NikR_neg	pepD//
NimR_neg	poxB//
NorR_neg	
NorR_pos	ldtB//
NrdR_neg	prpB//gatY//galE//murF//
NsrR_neg	ynfE//moeA//speA//sucC//relA//murD//hypF//guaA//phnI//phnH//srlD//hcaE//pgaB//hycF//trpA//ssuD//rffT//glmU//cysE//sucD//nadA//pgk//pyrD//fbaA//entH//araB//acnA//fucU//frc//hycG//patD//betB//fucI//acnB//pdeL//dinB//
NtrC_neg	bioF//uvrB//
NtrC_pos	gutQ//ftnA//gadB//hyaC//astB//glcB//dinB//ubiC//phnH//glyA//fabG//thrS//ada//paaY//xapA//amn//ogt//ugpQ//aceE//entA//lldD//
OmpR_neg	umuC//ugpQ//ldtB//astC//rffH//
OmpR_pos	phnG//glpD//rhaA//sgbU//
OxyR_neg	folA//putA//ychF//yfdE//dacC//
OxyR_pos	nemA//argC//puuA//tdcD//caiD//yfdE//trpE//hemH//sgbU//
PaaX_neg	puuC//rhaA//nrfB//bioA//alsE//mtlD//dkgA//gudD//wecB//
PdeL_pos	sodB//
PdhR_neg	dgkA//tauD//trpD//entH//frdB//dapB//cynT//putA//phnI//putA//uxaA//wzb//uvrC//purM//dhaK//purM//malY//glpD//paaZ//alaS//fucA//rffG//purE//leuD//
PdhR_pos	lsrK//fes//
PepA_neg	sgbH//glpD//
PgrR_neg	ilvC//ampC//
PhoB_neg	pdeL//frc//mpl//ynfF//
PhoB_pos	phnM//phnO//wzb//alaC//tdcB//pheS//glmU//frdD//pykF//purA//fadE//frc//dhaK//truB//leuC//glcF//
PhoP_neg	ahpC//glpA//hycB//
PhoP_pos	xylA//hcaE//cysE//yibQ//tynA//glpA//wzb//gltB//frdA//caiC//purA//fbaA//yiaK//asnA//purA//udp//bioB//metF//glmS//gadB//pgaC//tam//uvrB//arsC//ldtB//tauD//phnI//nrdA//glpA//lpxC//pdeR//glk//
PrpR_neg	
PrpR_pos	cdd//gcvT//entD//paaK//
PspF_neg	
PspF_pos	phnP//
PurR_neg	atoA//bioF//malQ//eda//paaA//fes//phoA//entH//murD//eda//citX//metA//dkgA//purD//phnN//ybjG//garD//nrdD//paaA//treC//guaA//frdD//gutQ//speA//add//allE//
PutA_neg	accC//feaB//
PuuR_neg	nadA//glgB//guaB//galK//asnA//rsmH//
QseB_pos	
RbsR_neg	dmsC//rutE//glcE//waaY//argC//
RbsR_pos	fucU//
RcdA_neg	
RcdA_pos	ynfF//
RclR_pos	
RcnR_neg	purL//
RcsAB_neg	prpD//
RcsAB_pos	rffT//citC//
RcsB-BglJ_pos	murF//gltD//
RcsB_neg	ldtD//
RcsB_pos	glk//uxaA//phoA//
RelB-RelE_neg	bacA//
RelB_neg	fbaB//
RhaR_pos	
RhaS_pos	bglB//pgaB//gloA//murE//
Rob_neg	
Rob_pos	metK//metF//glpA//rutE//nagA//dkgB//aroH//lysC//leuB//fucU//mhpB//paaG//rhaD//cueO//puuC//srlD//uxuB//mraY//glpK//
RstA_neg	tam//paaG//
RstA_pos	dhaM//
RtcR_pos	ynfG//yfdE//
RutR_neg	sucC//ung//hyaA//ulaD//hcaC//citC//purN//cysD//pgaC//epd//
RutR_pos	dhaL//
SdiA_neg	
SdiA_pos	
SgrR_neg	phoA//
SgrR_pos	gpmM//citE//
SlyA_pos	
SoxR_neg	
SoxR_pos	purL//
SoxS_neg	
SoxS_pos	phnH//ttdB//bioB//fumB//sgbU//feaB//dhaL//yeaE//garR//ftsI//pheT//pdeL//add//ubiC//puuC//sucA//paaE//bioA//phnH//ycjG//uvrC//kbaZ//tdcE//argD//purA//patA//
StpA_neg	mhpA//umuC//glpQ//
SutR_neg	tdcB//aroL//
SutR_pos	
TdcA_pos	fes//glgC//nirD//caiA//uvrA//
TdcR_pos	sodB//entF//argG//ynfH//pykF//
TorR_neg	uxaB//
TorR_pos	entC//rbsD//cysD//
TreR_neg	fucI//pykF//
TrpR_neg	ynfE//ynfF//add//napB//dacC//allE//leuA//hypB//astA//
TyrR_neg	edd//rffG//galM//pflB//deoD//torC//malZ//
TyrR_pos	rffM//argB//ruvB//
UhpA_pos	eno//
UidR_neg	srlD//hyaB//
UlaR_neg	hcaF//araA//cysH//gutQ//folE//
UvrY_pos	caiB//ulaD//
UxuR_neg	ynfE//sodB//hycG//mazG//garL//
XapR_pos	ycjG//fadM//
XylR_neg	
XylR_pos	argA//moeA//caiC//
YdeO_neg	
YdeO_pos	malP//galK//nirB//
YedW_neg	wecB//fadJ//
YedW_pos	napB//
YefM-YoeB_neg	murC//
YefM_neg	tdcD//
YehT_pos	
YeiL_pos	
YiaJ_neg	glcD//pnp//fucA//hcaF//prpE//tehB//
YjjQ_neg	entH//
YpdB_pos	
YqhC_pos	pnp//moaE//
YqjI_neg	pspE//
ZntR_pos	paaC//
ZraR_pos	
Zur_neg	dapD//
