# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	poxB//polA//
AcrR_neg	allE//lsrF//
Ada_neg	ruvA//fucI//
Ada_pos	puuA//luxS//mltF//gatY//
AdiY_pos	hycD//paaI//codA//gloA//
AgaR_neg	entE//
AidB_neg	dhaK//
AlaS_neg	phnP//
AllR_neg	gltD//dmsB//alkA//glpX//glmS//wecC//
AllS_pos	puuA//sucD//pnp//
AlsR_neg	gnd//gabD//argF//
AppY_pos	cysN//argB//
AraC_neg	cysG//ttdB//waaH//mhpC//uxaB//
AraC_pos	astB//paaB//citC//luxS//paaB//
ArgP_neg	
ArgP_pos	gntK//citG//ddlB//hcaF//fumB//fucA//fucU//hycE//ynfH//
ArgR_neg	entH//feaB//asnB//accC//ung//deoA//glpX//glcB//moeB//yfbR//metH//moaA//ftnA//ycjG//astA//wecC//glpC//hemH//
ArgR_pos	cysN//sdhD//fadD//add//pspE//
ArsR_neg	metK//allE//
AscG_neg	lysA//puuC//
AsnC_neg	rnpB//
AsnC_pos	metF//
AtoC_pos	narI//dapD//fadH//
BaeR_pos	paaZ//dkgA//
BasR_neg	glgX//
BasR_pos	alaS//relA//
BetI_neg	lpxD//leuD//gabD//
BirA_neg	mhpA//murQ//garR//chbG//citC//
BluR_neg	
BolA_neg	ahpC//ftsI//
BolA_pos	galK//ascB//
CadC_pos	narH//araA//
CaiF_pos	appA//ulaD//cysI//accB//add//
Cbl_pos	frc//hcaD//murD//codA//thrS//
CdaR_pos	napA//paaG//entC//murC//wrbA//cynT//dacC//dgcZ//dacC//
CecR_neg	
ChbR_neg	yeaE//dgcZ//icd//
ChbR_pos	metA//purF//umuC//
ComR_neg	
CpxR_neg	atoB//dhaL//deoC//
CpxR_pos	nemA//yfdE//mngB//nrdB//pgaB//pheT//citE//moaD//frdD//hcaD//citX//galE//murG//luxS//paaE//eno//dinB//allD//
Cra_neg	garK//atoA//metA//bioA//betA//cysK//pgi//hypB//gabT//feaB//mdh//fabH//malY//melA//pgaD//deoD//speA//gloA//pgaD//hcaC//rfe//gadB//glxK//mpaA//bioD//sucD//hemL//glyA//arsC//carB//cdd//speB//fucO//nrdE//ynfF//pncB//caiD//yqhD//mraY//puuD//nrdB//ppsA//pgm//wecC//pgpC//mnmG//
Cra_pos	speA//purM//pspE//gltB//astB//gatY//gcl//mhpC//citX//mhpC//add//garK//rhaD//ynfH//phr//patD//argF//
CreB_neg	mhpE//
CreB_pos	fabB//
CsgD_neg	ilvC//fabD//
CsgD_pos	gloA//ycjG//carA//
CsiR_neg	sucB//acnB//uxaC//wecC//
CspA_pos	paaK//
CueR_neg	mnmG//ftsI//
CueR_pos	idnD//yibQ//
CusR_pos	uxuB//moaA//paaC//
CynR_neg	
CynR_pos	cysK//ruvA//fadA//
CysB_neg	nrfD//ada//hycB//
CysB_pos	prpC//rpiB//gcvT//purE//mhpB//cysH//glcE//entB//add//nagB//fadH//hycD//fumB//narI//ldtD//
CytR_neg	mhpA//glxK//pyrD//hemL//alsE//phnN//pgi//fadJ//rffT//gdhA//
Dan_pos	umuD//gudD//
DcuR_pos	metE//murF//moaE//speB//
DeoR_neg	thrS//glpX//allD//chbF//accC//cysJ//
DhaR_neg	
DhaR_pos	leuD//
DicA_neg	
DinJ-YafQ_neg	moaE//
DnaA_neg	prpD//codA//yeaE//lsrK//argI//
DnaA_pos	gudD//pnp//nirD//
DpiA_neg	
DpiA_pos	caiB//tam//ycjG//fucK//nadB//
DsdC_neg	
DsdC_pos	fadI//gapA//
EbgR_neg	
EnvR_neg	guaA//galT//
EnvY_pos	gdhA//napA//
EvgA_pos	pdeH//fadE//pnp//dkgA//dgcZ//pgaC//
ExuR_neg	glcE//malY//gudD//paaK//aspA//gcvH//
FabR_neg	prs//pgaB//
FadR_neg	astB//ahpC//chbG//bioA//gcvT//bioA//pgk//hcaE//eno//
FadR_pos	ychF//fabB//glmU//entF//argD//hyaC//phnG//nanE//hcaB//
FeaR_pos	tdcB//hyaB//
FhlA_pos	rpiB//mhpB//pdeL//argC//chbG//sodB//glgB//
FlhDC_neg	ascB//glyA//
FlhDC_pos	purL//ascB//entE//fau//sdhA//nanA//nrfC//nrdE//phnJ//
FliZ_neg	luxS//gltD//uxaA//leuD//uxaC//
FucR_pos	fau//entF//pck//betB//thrS//argF//
