# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lysA//rhaD//
AcrR_neg	ybjG//ruvB//
Ada_neg	rdoA//rutB//
Ada_pos	hcaF//pgpC//dapB//mpaA//
AdiY_pos	hyaC//paaY//moeA//nrdA//
AgaR_neg	dgkA//
AidB_neg	luxS//
AlaS_neg	glpQ//
AllR_neg	talA//metL//lsrK//dkgB//appA//murC//
AllS_pos	fucA//cysI//fadH//
AlsR_neg	frc//mhpE//allB//
AppY_pos	arsC//uxuA//
AraC_neg	rsmH//bioF//nrdE//lyxK//accB//
AraC_pos	sdhC//dgcC//atoD//fes//thrS//
ArgP_neg	
ArgP_pos	hyaC//ahpF//purN//guaA//fucO//cysJ//argD//purD//rpiB//
ArgR_neg	feaB//ttdA//talA//bioC//iscS//lsrG//truB//rffG//ung//hyaC//folA//pgk//cysM//cadA//ttdB//hycE//moaA//hycE//
ArgR_pos	chbG//sdhC//tdcG//gloA//hycD//
ArsR_neg	appA//betB//
AscG_neg	metE//gabD//
AsnC_neg	purH//
AsnC_pos	citX//
AtoC_pos	atoD//garR//rsmH//
BaeR_pos	adiA//citF//
BasR_neg	katG//
BasR_pos	guaB//tyrB//
BetI_neg	patD//ubiX//paaE//
BirA_neg	hyaB//mhpD//rffT//yqhD//cysE//
BluR_neg	
BolA_neg	phnO//pncB//
BolA_pos	umuC//galE//
CadC_pos	purK//nemA//
CaiF_pos	bioF//entH//dhaL//psd//prpD//
Cbl_pos	pagP//prpE//polA//murG//nrfA//
CdaR_pos	rsmH//argD//hcaB//gudD//adhE//puuE//phnI//patA//ldtC//
CecR_neg	
ChbR_neg	tpiA//alkA//sgbH//
ChbR_pos	tdcB//ynfE//allE//
ComR_neg	
CpxR_neg	allA//ada//napG//
CpxR_pos	phoA//pncB//pyrD//phnG//gatD//galE//epd//hyaB//uxuB//galK//deoC//rutE//gutQ//purN//pheS//tyrA//malS//uvrC//
Cra_neg	alaC//dapB//garD//narG//phnJ//sgbH//pykF//add//dmsA//pfkA//phnG//dhaL//tnaA//cyoE//rsmH//gatY//mhpF//nemA//rbsK//glpX//ycjG//mhpE//pgaB//caiC//ulaG//cysK//lsrF//citF//gltB//pgi//ynfE//nrdE//rutB//gapA//ndh//gloA//pfkA//argC//uxaA//torC//phnL//sgbH//narG//gdhA//prpC//relA//
Cra_pos	paaF//mltF//nrdD//fucA//fucO//napC//tam//nfsB//gcl//paaJ//atoD//paaI//cynT//tpiA//purN//nrdE//glcE//
CreB_neg	umuC//
CreB_pos	frdD//
CsgD_neg	aspA//nrdA//
CsgD_pos	srlD//ampC//fabG//
CsiR_neg	purH//prpE//rffT//rdoA//
CspA_pos	uidA//
CueR_neg	fadB//hyaA//
CueR_pos	citC//pgaC//
CusR_pos	caiC//fabZ//appA//
CynR_neg	
CynR_pos	katG//metC//ubiX//
CysB_neg	malY//hcaC//murF//
CysB_pos	idnD//trpC//cysK//pheS//caiA//ychF//narG//citD//torA//codA//gadA//metL//entA//ynfE//caiD//
CytR_neg	polA//argG//aceE//tdcE//paaZ//gcvT//patA//rsmH//rdoA//lsrK//
Dan_pos	cysK//hmp//
DcuR_pos	lldD//accC//aceA//moeB//
DeoR_neg	phnI//trpB//rsmH//ldtD//tktB//prs//
DhaR_neg	
DhaR_pos	metF//
DicA_neg	
DinJ-YafQ_neg	napC//
DnaA_neg	yfbR//fabH//mhpA//napA//gatY//
DnaA_pos	nemA//sufS//tam//
DpiA_neg	
DpiA_pos	metL//aldA//citD//phnI//nfsB//
DsdC_neg	
DsdC_pos	argA//asnB//
EbgR_neg	
EnvR_neg	pgaC//glpK//
EnvY_pos	aroF//rdoA//
EvgA_pos	lysA//sdhC//uvrB//glnA//ampC//rutA//
ExuR_neg	glgA//ulaE//pdeH//fdhF//recF//uvrB//
FabR_neg	sdhB//nrfC//
FadR_neg	fruK//folE//malQ//carB//tdcB//pdeL//phnJ//hcaB//katG//
FadR_pos	gcvH//ynfE//astD//pnp//idnD//fadI//glpQ//allE//purM//
FeaR_pos	uxuB//ubiA//
FhlA_pos	galM//deoD//narI//napH//gdhA//fumC//polB//
FlhDC_neg	accA//napC//
FlhDC_pos	betA//gpmM//gcl//tdcG//sodB//dmsB//argB//fbaB//rhaA//
FliZ_neg	nrfC//relA//dgcZ//citE//glpD//
FucR_pos	paaA//uxaC//murE//amn//appA//fes//
Fur_neg	entE//cadA//dhaM//metF//paaC//fabH//dinB//allE//umuD//udp//rbsD//idnK//murQ//uxuB//rhaD//uxuA//sucD//fabI//paaY//trpD//bioB//glgA//fabZ//paaK//metC//citE//fabB//malY//ttdB//frdB//argD//hcaB//phnI//dhaK//sgbH//mngB//narI//argH//alaC//dmsA//slt//yibQ//caiA//yqhD//serA//ugpQ//ahpC//mhpD//argC//ssuD//rhaB//mdh//dhaK//yqjH//
Fur_pos	umuD//pgi//araA//atoD//nanM//ubiC//entF//fabH//betA//uidA//atoB//paaY//deoC//mhpC//hypF//fabZ//lpxD//
GadE-RcsB_pos	entH//tauD//yqhD//pgpC//
GadE_pos	bioB//hcaD//dsdA//tdcG//patD//fabD//tam//paaE//tdcE//fadE//
GadW_neg	aceA//tpiA//argD//
GadW_pos	ruvA//murG//rimK//aceE//
GadX_neg	lpd//rffT//
GadX_pos	eda//tyrA//ampC//garK//paaJ//ubiX//nfsA//purH//cysK//cysJ//
GalR_neg	lhgO//fucU//mhpF//galK//napC//nfsB//
GalR_pos	cysM//carB//fau//alkA//
GalS_neg	fumC//glpA//alaC//hycC//frc//mhpB//
GalS_pos	alkB//frdB//purC//accB//
GatR_neg	cysG//cynS//caiB//
GcvA_neg	gpmM//uvrA//uxuB//
GcvA_pos	lsrF//fabB//mhpD//
GlcC_neg	
GlcC_pos	mhpC//mhpB//ldtD//
GlpR_neg	ahpF//ulaD//rutE//fadM//bioF//purF//garK//
GlrR_pos	
GntR_neg	puuE//argC//entA//glcF//dapD//pyrC//nrdF//citG//gpmM//
GutM_pos	epd//fadE//araD//
GutR_neg	cysG//melA//ampC//
HU_neg	fabD//prpE//nanM//malQ//fadJ//puuE//pgaC//
HU_pos	
HcaR_neg	
HcaR_pos	glgX//gadA//
HdfR_neg	
HdfR_pos	
HigA_neg	paaI//
HigB-HigA_neg	ynfH//
HipAB_neg	aroG//pheT//
HipB_neg	lacZ//glpC//trpE//
HyfR_pos	lsrG//
HypT_neg	glcF//ugpQ//
HypT_pos	fucK//glk//citF//nadA//pykF//
IclR_neg	galM//lsrK//waaZ//
IdnR_neg	ttdA//paaH//
IdnR_pos	malY//purE//allB//galE//
IlvY_neg	
IlvY_pos	allD//
IscR_neg	allC//udp//entA//paaZ//
IscR_pos	pck//sucA//
KdgR_neg	hemL//prpD//
KdpE_pos	cysI//
LacI_neg	entB//garD//ssuE//
LeuO_neg	
LeuO_pos	phr//deoC//puuA//waaH//fadE//rsmH//
LexA_neg	galE//gnd//aceE//ulaD//glgA//sucD//mhpC//prpD//allC//aldA//nrdE//ppc//sufS//hemL//treC//nagB//sucD//betB//glmU//aroF//paaY//
LldR_neg	cysI//recF//
LldR_pos	cysI//ogt//
LrhA_neg	
LrhA_pos	
LsrR_neg	fucU//sucA//malY//purA//aspC//
LysR_neg	
LysR_pos	deoB//
MalI_neg	phnN//rbsD//
MalT_pos	fucK//purM//murE//lhgO//fabZ//uidA//
MarA_neg	polA//
MarA_pos	ssuE//speA//rffH//idnO//glgX//pagP//yeaE//mazG//gatD//bioA//pdeR//lpxD//dacC//uvrC//cynT//mpaA//pgaC//dhaM//moeB//lldD//aceB//fbaB//
MarR_neg	
MatA_neg	gabD//
MatA_pos	
MazE-MazF_neg	leuA//
MazE_neg	ybaS//
McbR_neg	
McbR_pos	
MelR_neg	ulaG//carB//
MelR_pos	gpmM//lsrF//
MetJ_neg	sucB//citD//cysI//betA//yeaG//pepD//pagP//purN//gabD//idnK//
MetR_neg	trpA//
MetR_pos	uxuB//narI//fabD//guaB//
MhpR_pos	kbaZ//ugpQ//idnD//gatZ//purN//puuD//
Mlc_neg	cyoE//entC//ulaG//mnmG//
MlrA_pos	lldD//
MngR_neg	betB//metL//
MntR_neg	nanE//
MntR_pos	metH//
ModE_neg	fau//lacZ//gor//metE//mpaA//uxaA//fadE//cysK//
ModE_pos	guaB//paaY//glcE//ada//lsrF//lpd//
MprA_neg	garK//ybjG//aceB//
MqsA_neg	fucK//moaA//
MraZ_neg	purC//alaC//hycD//nanA//ynfG//bioC//gadB//appA//hycD//waaY//mpl//
MtlR_neg	lsrK//fadH//fabI//
MurR_neg	fabH//paaZ//frdA//
MurR_pos	
Nac_neg	glxR//fadM//fucI//
Nac_pos	citX//yiaK//edd//cynT//idnD//purL//uxuA//
NadR_neg	adiA//pflB//nrdF//dgkA//
NagC_neg	metL//fadD//pspE//fumC//uxuB//gcvP//phnH//pykF//rhaB//phnH//sdhB//kbaZ//frdB//murC//galE//rimK//tam//frdD//
NagC_pos	galT//hcaC//
NanR_neg	accA//paaF//cynT//galM//guaA//narG//
NanR_pos	
NarL_neg	dapB//gltD//moaA//chbF//purC//glk//glyA//purM//ahpC//cysI//deoC//citD//mhpE//gatZ//rffG//nanA//moaA//dmsB//fadA//aroG//glgX//lpxD//cysE//add//
NarL_pos	murG//glgC//aspA//allE//puuA//ynfE//puuA//chbF//gpmA//glnA//mhpB//hycG//tdcB//
NarP_neg	nfsB//cysN//paaF//
NarP_pos	dkgA//cysM//mhpD//ynfG//ddlB//citD//phnO//nanE//wzb//nagB//
NemR_neg	nirD//rdoA//
NhaR_pos	lhgO//psd//phnH//nrfC//rsmH//
NikR_neg	citG//
NimR_neg	deoC//
NorR_neg	
NorR_pos	ndh//
NrdR_neg	pncB//allE//folA//napB//
