# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	cysJ//leuA//
AcrR_neg	hycG//nagB//
Ada_neg	rffH//rutE//
Ada_pos	phnO//fumB//trpE//fadJ//
AdiY_pos	ruvB//tadA//purM//gloA//
AgaR_neg	glpX//
AidB_neg	cynT//
AlaS_neg	mraY//
AllR_neg	aroH//gabD//citE//phnN//lysA//lpxA//
AllS_pos	rbsK//paaZ//prpD//
AlsR_neg	recF//umuD//metA//
AppY_pos	yeaG//fruK//
AraC_neg	ttdB//mtlD//mhpE//ybaS//fucO//
AraC_pos	araD//gloA//moaA//xylA//yfdE//
ArgP_neg	
ArgP_pos	chbF//nrdF//uidA//citG//guaA//bioC//paaY//mnmG//rutC//
ArgR_neg	tadA//tktB//nrdF//nrfA//nrdB//gnd//recF//purC//leuD//cysE//bioC//paaA//phnL//argG//folE//glpB//carB//fucA//
ArgR_pos	phr//sdhB//astA//prpC//dhaK//
ArsR_neg	cysI//pdeH//
AscG_neg	gor//ynfH//
AsnC_neg	gcvT//
AsnC_pos	malS//
AtoC_pos	moeA//nrfC//lsrK//
BaeR_pos	iscS//fucA//
BasR_neg	aroL//
BasR_pos	bioC//argD//
BetI_neg	putA//alkA//ssuE//
BirA_neg	lhgO//hcaB//pgaC//prs//sgbU//
BluR_neg	
BolA_neg	aldA//citX//
BolA_pos	metB//eda//
CadC_pos	gcl//kbaY//
CaiF_pos	metF//nanM//paaF//mpl//tnaA//
Cbl_pos	pnp//prpC//glgB//nfsB//nrdF//
CdaR_pos	sdhB//gutQ//eda//hycF//add//mhpA//rutB//atoB//entH//
CecR_neg	
ChbR_neg	mtlD//rutD//argI//
ChbR_pos	leuA//aroL//dsdA//
ComR_neg	
CpxR_neg	umuD//allC//puuE//
CpxR_pos	nrdD//ubiX//fruK//xylA//napC//rfe//cysG//patD//hypB//rutA//murQ//fadJ//ruvA//ampC//tdcG//tdcG//aroG//hemH//
Cra_neg	allE//murD//glnA//purF//phnG//yibQ//katG//ruvA//ldtC//adiA//sodB//aroG//rffG//ubiC//nanE//atoA//metC//rhaD//fadM//paaI//rffM//yfbR//waaZ//rutD//idnK//rhaB//puuC//purM//sucA//hyaC//glxK//yeaG//chbG//ulaF//acnA//kbaY//gpmA//wecC//ldtB//hcaC//polA//paaC//codA//mnmG//glpD//glxK//
Cra_pos	wecC//phnP//araD//rffG//pgi//pykF//wrbA//wecC//ampC//tdcB//sgbU//nrfA//rhaB//alkB//talA//argF//murQ//
CreB_neg	gcvP//
CreB_pos	gpmM//
CsgD_neg	glpK//ttdB//
CsgD_pos	glyA//phnJ//ilvC//
CsiR_neg	ldtB//accB//aroH//sodA//
CspA_pos	gudD//
CueR_neg	dgkA//malS//
CueR_pos	phnG//leuD//
CusR_pos	bioC//glcB//carA//
CynR_neg	
CynR_pos	folA//tpiA//sdhB//
CysB_neg	ulaG//purL//dacC//
CysB_pos	aspA//fucU//patA//hycE//ulaD//serA//sdhA//mpaA//frc//metA//trpE//speA//dmsC//ulaG//hycD//
CytR_neg	caiC//asnA//glcE//entH//gatD//pnp//carB//atoB//purA//fabD//
Dan_pos	fruK//fabD//
DcuR_pos	purC//fucI//ada//gatY//
DeoR_neg	glpC//aroF//patD//citD//waaY//bglB//
DhaR_neg	
DhaR_pos	ynfE//
DicA_neg	
DinJ-YafQ_neg	glgB//
DnaA_neg	betA//eno//aroH//rbsK//dmsA//
DnaA_pos	citG//dmsC//fabB//
DpiA_neg	
DpiA_pos	fumC//glpQ//nemA//glpQ//feaB//
DsdC_neg	
DsdC_pos	gcvT//arsC//
EbgR_neg	
EnvR_neg	speB//wzc//
EnvY_pos	wzb//hmp//
EvgA_pos	hyaC//phnP//lpd//caiA//nanM//alaC//
ExuR_neg	wzb//ahpC//mltF//tam//yqjH//trpE//
FabR_neg	puuA//citE//
FadR_neg	mhpE//fbaB//glpB//tdcD//gabD//ruvA//galT//ynfF//cysK//
FadR_pos	sdhB//idnO//cysE//dinB//glgC//trpD//codA//sdhB//nrfB//
FeaR_pos	nrdF//paaA//
FhlA_pos	paaH//accD//tktB//nirD//ruvB//carB//moeA//
FlhDC_neg	uvrC//rimK//
FlhDC_pos	lhgO//wecC//nanA//astA//phnJ//chbG//yqjH//araA//glgX//
FliZ_neg	ldtB//idnK//sucA//mhpF//pdeR//
FucR_pos	uxaC//carA//allA//fadA//phr//deoC//
Fur_neg	purE//pykF//glpX//yiaK//carB//ahpC//rutB//codA//nrfD//cadA//gcvT//cysN//fucA//gor//sgbH//paaG//nrfA//mpaA//aroH//hcp//bioC//fdhF//sdhC//alsE//glmU//uxaC//argC//lysA//waaY//lsrK//folE//caiC//adhE//mhpD//tdcB//frdC//mraY//yeaG//lysA//nfsA//gapA//pgaD//glpD//phr//uidA//hcaE//fbaB//idnK//rutE//mpaA//phnP//nrfD//fucI//yqjH//
Fur_pos	dapB//mazG//alkA//caiB//cueO//zwf//bioF//melA//allC//caiA//uvrB//ybjG//ynfG//uxaA//citF//dmsB//folE//
GadE-RcsB_pos	ychF//entF//sucD//deoD//
GadE_pos	torC//pepD//lacZ//aroF//bacA//fabB//trpB//uvrC//tktB//ycjG//
GadW_neg	glcD//paaE//glnA//
GadW_pos	dinB//sgbE//carB//nrdD//
GadX_neg	lpxD//epd//
GadX_pos	moaD//sucC//gapA//garR//codA//hycD//polA//glmS//sucD//moeB//
GalR_neg	uxaA//eda//pgm//oxc//ruvA//glgX//
GalR_pos	appA//malQ//uxaC//rffT//
GalS_neg	citG//udp//cysM//metK//cysK//rffG//
GalS_pos	rimK//ribA//metC//ttdB//
GatR_neg	patD//tehB//gntK//
GcvA_neg	codA//hemH//phnN//
GcvA_pos	gdhA//ung//astB//
GlcC_neg	
GlcC_pos	astE//purB//araD//
GlpR_neg	ribA//pagP//phr//carA//allD//prpE//glcD//
GlrR_pos	
GntR_neg	rhaD//patA//moaE//ampC//malS//puuD//uvrC//galE//leuA//
GutM_pos	metB//purD//trpA//
GutR_neg	tdcB//gabD//puuC//
HU_neg	epd//fucI//prpB//talA//glcD//glpC//wzc//
HU_pos	
HcaR_neg	
HcaR_pos	glpD//purN//
HdfR_neg	
HdfR_pos	
HigA_neg	tadA//
HigB-HigA_neg	sucC//
HipAB_neg	lsrG//puuE//
HipB_neg	tpiA//rffM//waaH//
HyfR_pos	umuC//
HypT_neg	glpB//argF//
HypT_pos	carB//dsdA//rutA//tdcE//wecB//
IclR_neg	bioB//xylA//araB//
IdnR_neg	patD//allE//
IdnR_pos	citE//cueO//uvrB//tdcD//
IlvY_neg	
IlvY_pos	glxK//
IscR_neg	cynT//ribA//garK//garL//
IscR_pos	yfbR//aspC//
KdgR_neg	waaY//citC//
KdpE_pos	nadA//
LacI_neg	ruvA//hcaB//hemL//
LeuO_neg	
LeuO_pos	gnd//accD//chbG//mhpA//glnA//mhpF//
LexA_neg	poxB//uxaA//galK//epd//pgaC//fabI//glgC//atoD//bacA//fabD//glgX//uxaA//mhpD//cadA//lacZ//deoD//metE//alsE//fumC//caiB//ppc//
LldR_neg	metA//aldA//
LldR_pos	katG//nfsA//
LrhA_neg	
LrhA_pos	
LsrR_neg	ftsI//uvrB//glpD//malQ//nrdB//
LysR_neg	
LysR_pos	ybaS//
MalI_neg	argD//hcp//
MalT_pos	fbaA//araB//nfsA//napC//allE//leuC//
MarA_neg	codA//
MarA_pos	fucI//cysG//iscS//mltF//lhgO//yqhD//pnp//caiA//sodB//glgC//phnJ//malY//cysI//glpX//nadB//folE//lhgO//lpxC//cynT//yqjH//nanA//mpl//
MarR_neg	
MatA_neg	pgi//
MatA_pos	
MazE-MazF_neg	kbaY//
MazE_neg	cysH//
McbR_neg	
McbR_pos	
MelR_neg	tdcB//pyrC//
MelR_pos	bioB//ahpC//
MetJ_neg	cyoE//deoC//mhpF//hyaA//wecB//paaH//ychF//tnaA//ttdA//aceF//
MetR_neg	deoC//
MetR_pos	hcaC//betB//pgpC//dapD//
MhpR_pos	lpxD//glxK//sdhD//metC//cysI//bglB//
Mlc_neg	caiC//paaZ//gapA//glcF//
MlrA_pos	glcE//
MngR_neg	lysC//tpiA//
MntR_neg	glpC//
MntR_pos	cysI//
ModE_neg	murE//hycC//metB//kbaZ//rhaD//ssuD//entD//ampC//
ModE_pos	argD//gcvT//nrdE//yibQ//prpD//purC//
MprA_neg	ruvA//uxuB//fau//
MqsA_neg	entH//rsmH//
MraZ_neg	rimK//lpxA//torA//atoD//fucO//fadI//hcaF//yfbR//napC//napC//citD//
MtlR_neg	relA//yfbR//amn//
MurR_neg	fucO//tpiA//astA//
MurR_pos	
Nac_neg	rffG//malY//fucI//
Nac_pos	murD//uxaC//gadA//glnA//ldtD//slt//betB//
NadR_neg	aceE//phnL//uvrC//folA//
NagC_neg	ubiC//phnH//sgbH//nagA//mhpB//fadJ//astE//astC//wecC//asnB//puuA//ynfE//lyxK//fadJ//pgi//aceA//hyaC//tehB//
NagC_pos	cysI//pheT//
NanR_neg	idnO//relA//napA//ybjG//luxS//caiC//
NanR_pos	
NarL_neg	glgC//ascB//trpD//araD//adhE//gadA//hycE//aceB//ynfE//sufS//ung//dmsA//rhaA//rsmH//fucK//sdhB//paaY//rutE//hypF//hycF//nrdF//prs//serA//pflB//
NarL_pos	citG//tadA//napH//tpiA//ampC//folA//prs//cysH//glpB//moeB//araA//carA//ppc//
NarP_neg	rffM//cdd//metE//
NarP_pos	ddlB//dmsB//poxB//rfe//puuD//araD//alaC//fadD//idnD//nrfD//
NemR_neg	fabH//kbaY//
NhaR_pos	purC//glcD//betB//accD//prpC//
NikR_neg	cdd//
NimR_neg	alkA//
NorR_neg	
NorR_pos	gnd//
NrdR_neg	cueO//hycE//rffH//dinB//
NsrR_neg	alkA//galM//cysH//accA//uidA//gadA//glk//entB//deoA//astA//phnI//gatD//frdA//ynfE//glgC//phr//citX//cysG//frdC//malS//ilvC//frdC//narH//murQ//cyoE//dapD//aceF//betA//leuB//aceA//trpD//lysC//sdhC//glpB//psd//mtlD//
NtrC_neg	yeaG//hcaF//
NtrC_pos	lpxD//add//aldA//ynfE//putA//thrS//ada//melA//gatD//bacA//entB//appA//cysM//nrfD//polA//ychF//purB//dmsC//galK//sodB//frdA//
OmpR_neg	tpiA//fbaA//nrdF//uxaC//hycG//
OmpR_pos	mpl//fadI//adhE//aspA//
OxyR_neg	dsdA//pgpC//dgcZ//leuC//fumB//
OxyR_pos	ubiA//betA//moeA//hcaB//prpD//ubiA//dhaK//mhpC//ldtB//
PaaX_neg	lpxC//galM//glgA//gapA//yqjH//uxaB//cysN//cadA//alsE//
PdeL_pos	mltF//
PdhR_neg	bioF//nrdD//araA//moeA//tktB//paaZ//hemL//dkgA//paaC//fabZ//ynfG//paaY//frc//ruvB//hycG//alaS//phnL//yfdE//narH//prs//allE//puuB//ynfG//lacZ//
PdhR_pos	gutQ//hycE//
PepA_neg	lpxA//aroF//
PgrR_neg	nrfD//phnG//
PhoB_neg	mhpF//mhpB//rnpB//folA//
