# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	argG//malP//
AcrR_neg	adiA//fruK//
Ada_neg	thrS//lpxA//
Ada_pos	puuB//hyi//entH//aroF//
AdiY_pos	tyrB//caiA//mhpD//nrdB//
AgaR_neg	ulaF//
AidB_neg	araD//
AlaS_neg	fumC//
AllR_neg	galK//ttdB//aroF//glyA//aceF//uvrB//
AllS_pos	sdhA//aldA//glcB//
AlsR_neg	cysM//dhaK//entB//
AppY_pos	paaI//hycG//
AraC_neg	gcvP//rffT//mpaA//mnmG//paaZ//
AraC_pos	citG//glcB//metK//ssuD//malS//
ArgP_neg	
ArgP_pos	murF//dkgA//argF//tauD//fbaB//fabD//ribA//kbaY//hcaC//
ArgR_neg	wrbA//nrfA//accD//truB//frdB//gatZ//entC//nrdA//paaC//argD//gltB//yqhD//caiC//atoB//hcaB//alaC//eno//ppc//
ArgR_pos	ftnA//cdd//ybjG//allE//gapA//
ArsR_neg	prpD//dhaM//
AscG_neg	fucU//sdhD//
AsnC_neg	frdA//
AsnC_pos	patD//
AtoC_pos	hycC//frdC//amn//
BaeR_pos	murD//accB//
BasR_neg	aroF//
BasR_pos	gudD//ssuE//
BetI_neg	mltF//gatZ//ung//
BirA_neg	purA//gadA//malY//glpB//mhpC//
BluR_neg	
BolA_neg	alkA//allE//
BolA_pos	sucA//rutC//
CadC_pos	fadH//katG//
CaiF_pos	yiaK//ldtC//polA//nanA//melA//
Cbl_pos	uxaA//narI//tynA//yiaK//cadA//
CdaR_pos	nanK//accC//malS//rutE//umuC//cadA//fruK//uvrC//gadA//
CecR_neg	
ChbR_neg	aspC//cdd//metB//
ChbR_pos	recF//hcaB//uxaC//
ComR_neg	
CpxR_neg	frdD//fabG//tehB//
CpxR_pos	sodA//tdcE//rffH//sodB//nrfC//phnH//rpiB//gor//pagP//cyoE//phoA//dkgA//sucA//uvrC//tktB//tam//narI//argH//
Cra_neg	dapB//sdhB//uxuA//glmS//prpC//hycD//pheT//gatY//argC//phoA//aroF//gutQ//lldD//napG//argG//rpiB//dgkA//argB//gpmM//paaI//glgC//mhpC//metH//fabA//dhaM//nagB//betA//deoB//mraY//hyaA//murE//phnI//pgk//purK//rutD//psd//ldtC//lacZ//murQ//napC//katE//arsC//ppiA//paaC//galE//ascB//
Cra_pos	dmsB//pdeH//fbaB//torA//pgi//thrS//bioA//argD//gatY//mdh//pheT//paaB//phnP//dmsB//purN//citF//phnM//
CreB_neg	malY//
CreB_pos	iscS//
CsgD_neg	napA//purL//
CsgD_pos	accC//astD//fabH//
CsiR_neg	accC//fabH//asnB//sgbH//
CspA_pos	gcl//
CueR_neg	hypB//speB//
CueR_pos	rutD//kbaY//
CusR_pos	prpB//frdD//gor//
CynR_neg	
CynR_pos	mngB//prs//gadB//
CysB_neg	pykF//nadB//sucB//
CysB_pos	luxS//narH//caiB//nfsB//pgaD//yqjH//napB//araD//idnO//glcD//araA//yiaK//glcB//ynfF//xapA//
CytR_neg	aceA//alaS//puuC//uxaB//nfsA//gabD//ugpQ//yqjH//hcaF//tehB//
Dan_pos	purL//tdcB//
DcuR_pos	patD//acnA//cysG//alaC//
DeoR_neg	narI//pflB//purA//glmU//bioF//slt//
DhaR_neg	
DhaR_pos	accC//
DicA_neg	
DinJ-YafQ_neg	prpD//
DnaA_neg	gcvP//cysD//astC//gpmM//ilvC//
DnaA_pos	lpd//tpiA//sucD//
DpiA_neg	
DpiA_pos	mdh//yfdE//mpl//sgbE//chbF//
DsdC_neg	
DsdC_pos	garL//citD//
EbgR_neg	
EnvR_neg	dgcZ//allD//
EnvY_pos	dacC//cysI//
EvgA_pos	yiaK//guaA//gcvP//puuD//slt//gltD//
ExuR_neg	garR//cysC//galT//araB//relA//xylB//
FabR_neg	asnB//yqjH//
FadR_neg	guaB//codA//atoD//accA//nrfC//moaD//glpK//uxaA//nfsB//
FadR_pos	dgkA//glmU//moeB//ybjG//purD//sdhD//yiaK//aroG//aspA//
FeaR_pos	nrdF//ybjG//
FhlA_pos	wrbA//ttdB//ssuD//purL//atoD//aspA//bioD//
FlhDC_neg	mraY//ftnA//
FlhDC_pos	hypB//pncB//lhgO//fucK//prs//hycF//nfsB//ldtB//katE//
FliZ_neg	fadI//citD//prpB//nagB//paaH//
FucR_pos	tnaA//phnJ//gloA//cysG//rutD//ftnA//
Fur_neg	nrdA//paaG//astA//entA//ubiA//ulaG//hycE//argG//cysJ//hycG//alaS//rsmH//malP//caiB//galM//ddlB//puuC//aceF//rffH//entE//gnd//puuB//kbaY//fumB//bioB//luxS//gadA//fadI//trpA//mhpA//cdd//cynT//alkA//dhaM//nrdE//ynfG//dkgB//tynA//argA//narI//hypB//guaB//rdoA//citG//bioD//gcl//umuD//purB//prpE//sgbU//dinB//aroH//dsdA//malQ//
Fur_pos	fucA//acnB//cysJ//ldtD//tyrB//ftnA//ulaG//pgm//appA//rffG//pheS//nrfD//astA//caiD//fadJ//narI//citE//
GadE-RcsB_pos	paaA//cueO//allE//deoB//
GadE_pos	fabZ//paaZ//frdA//purC//citD//talA//rsmH//idnK//gltD//yqjH//
GadW_neg	rffM//lacZ//gadB//
GadW_pos	murC//fumC//ldtD//atoA//
GadX_neg	cadA//napB//
GadX_pos	cynT//phnM//gudD//metF//pdeR//waaY//uxaB//alaS//sgbH//trpC//
GalR_neg	nrdD//astC//atoB//rfe//pdeH//dkgA//
GalR_pos	hyi//ftsI//lsrF//deoA//
GalS_neg	lpxD//ldtC//rimK//yfbR//ascB//lacZ//
GalS_pos	trpC//glpD//udp//gatY//
GatR_neg	ybaS//phr//ruvB//
GcvA_neg	fadD//ttdB//pagP//
GcvA_pos	paaI//tadA//fumC//
GlcC_neg	
GlcC_pos	treC//entE//ampC//
GlpR_neg	yeaE//rpiB//purL//leuC//polA//purD//acnB//
GlrR_pos	
GntR_neg	glyA//pgi//leuC//glcE//lhgO//wzc//garL//srlD//murG//
GutM_pos	fdhF//paaY//purM//
GutR_neg	rhaB//fucK//glcE//
HU_neg	dgkA//purN//narG//accB//pgaC//glpA//gcvH//
HU_pos	
HcaR_neg	
HcaR_pos	uvrB//nrfB//
HdfR_neg	
HdfR_pos	
HigA_neg	phnN//
HigB-HigA_neg	allB//
HipAB_neg	garD//allB//
HipB_neg	paaB//hmp//dhaL//
HyfR_pos	caiA//
HypT_neg	glpA//ogt//
HypT_pos	ampC//sucC//argE//xylA//talA//
IclR_neg	moeB//hcaF//paaG//
IdnR_neg	glpX//mpaA//
IdnR_pos	uvrB//paaB//phnO//fabH//
IlvY_neg	
IlvY_pos	waaH//
IscR_neg	gloA//mhpC//malZ//gapA//
IscR_pos	ldtC//caiD//
KdgR_neg	fucA//sdhD//
KdpE_pos	glmU//
LacI_neg	slt//glgX//dhaK//
LeuO_neg	
LeuO_pos	aroF//rpiB//metH//paaF//nagB//rhaB//
LexA_neg	bioC//purF//glyA//hcaB//fau//galM//aroH//narG//argF//fabA//nrdA//hyaB//araA//putA//srlD//ttdB//xylB//rpiB//aceF//glpB//phnJ//
LldR_neg	argE//nanE//
LldR_pos	pgm//caiB//
LrhA_neg	
LrhA_pos	
LsrR_neg	mpl//fumB//napA//asnA//nfsA//
LysR_neg	
LysR_pos	cadA//
MalI_neg	sucC//napC//
MalT_pos	phnM//hcaF//gpmM//nanM//xapA//ruvA//
MarA_neg	metK//
MarA_pos	xylB//prs//waaY//caiB//bioD//betB//deoB//dgkA//ulaG//moaE//uvrA//atoD//ldtC//pgaC//frdD//moeA//ulaD//sgbE//ppiA//uxaB//gntK//dkgB//
MarR_neg	
MatA_neg	tdcG//
MatA_pos	
MazE-MazF_neg	sgbU//
MazE_neg	fucA//
McbR_neg	
McbR_pos	
MelR_neg	mraY//lsrG//
MelR_pos	bioC//rffH//
MetJ_neg	tauD//caiD//paaG//pheS//torC//nrfC//pck//hyaA//fabD//narI//
MetR_neg	glcD//
MetR_pos	ycjG//cysJ//purH//fucA//
MhpR_pos	umpH//malP//caiC//deoC//guaB//ycjG//
Mlc_neg	napG//ftsI//allA//entH//
MlrA_pos	fabI//
MngR_neg	dhaK//phnJ//
MntR_neg	glxK//
MntR_pos	deoD//
ModE_neg	atoB//phnI//argH//dkgB//mpaA//purB//entD//gcvP//
ModE_pos	wrbA//tdcB//amn//dacC//nanM//phr//
MprA_neg	bioD//gntK//mhpF//
MqsA_neg	idnO//cadA//
MraZ_neg	napC//moaA//dgcC//pfkA//uxuA//ubiX//gcvP//dkgB//mhpD//waaH//leuB//
MtlR_neg	pheT//tdcD//glmU//
MurR_neg	rffG//gdhA//rpiB//
MurR_pos	
Nac_neg	aspA//malZ//hypB//
Nac_pos	hcaE//hcp//galM//garL//pdeR//pgaD//allA//
NadR_neg	bglB//paaK//lysA//tynA//
NagC_neg	carB//metK//leuD//napH//nirB//pfkA//glxK//frdB//mhpE//paaY//glcF//nrdA//hcaB//allB//alkA//feaB//uxuA//hycC//
NagC_pos	purE//phnI//
NanR_neg	pheT//dmsC//murE//fumB//rutA//xapA//
