# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	dmsC//mltF//
AcrR_neg	araA//glcF//
Ada_neg	katG//argA//
Ada_pos	lsrG//dkgA//recF//acnB//
AdiY_pos	alkA//dkgB//hycF//carB//
AgaR_neg	garK//
AidB_neg	aldA//
AlaS_neg	moaA//
AllR_neg	fau//ulaF//paaH//trpE//mhpA//entB//
AllS_pos	gadB//ruvB//citE//
AlsR_neg	argB//rutC//mngB//
AppY_pos	puuE//fau//
AraC_neg	lldD//sdhB//rutD//frdD//galE//
AraC_pos	pck//amn//garR//pfkA//acnA//
ArgP_neg	
ArgP_pos	add//caiA//caiC//cynT//ulaD//metK//mhpD//argG//bioD//
ArgR_neg	nagB//pck//hcaD//fadJ//dsdA//aspA//betB//sodB//katG//pyrC//nadA//patA//tdcG//umuC//polA//pck//hycF//fadA//
ArgR_pos	dsdA//glmS//putA//phnO//asnA//
ArsR_neg	ftsI//fucA//
AscG_neg	metA//add//
AsnC_neg	argH//
AsnC_pos	purD//
AtoC_pos	nrfC//idnK//trpC//
BaeR_pos	rutD//sucA//
BasR_neg	garD//
BasR_pos	garD//caiA//
BetI_neg	lsrG//chbG//prpB//
BirA_neg	lysC//sufS//entA//appA//moeB//
BluR_neg	
BolA_neg	leuD//fadE//
BolA_pos	gcvH//gabD//
CadC_pos	patA//pgpC//
CaiF_pos	glgP//fumB//chbG//fadA//polB//
Cbl_pos	cadA//dmsC//bacA//frdB//acnB//
CdaR_pos	alaS//puuC//fabZ//rffG//uvrC//ppc//purH//kbaZ//mhpB//
CecR_neg	
ChbR_neg	entB//purK//hcaC//
ChbR_pos	sucD//fadA//pyrD//
ComR_neg	
CpxR_neg	nirB//deoD//citG//
CpxR_pos	metB//frdD//gnd//napA//allE//allC//bglB//rpiB//fadM//bioA//napB//metE//nrdF//sucC//purA//lldD//argC//nrfA//
