# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	betB//iscS//
AcrR_neg	ahpC//srlD//
Ada_neg	dkgA//fadH//
Ada_pos	alkA//lpxD//ybaS//speB//
AdiY_pos	hcaC//gabD//nirD//glcE//
AgaR_neg	fau//
AidB_neg	glgC//
AlaS_neg	adhE//
AllR_neg	murI//cdd//accB//sucC//bioA//gadB//
AllS_pos	xapA//argF//glpK//
AlsR_neg	phnL//asnB//nrfC//
AppY_pos	glpD//phnH//
AraC_neg	uvrB//fucU//torA//prpD//paaC//
AraC_pos	ppc//purD//citX//fucI//napG//
ArgP_neg	
ArgP_pos	glcB//hemH//hycC//fdhF//pgaB//argH//gabT//fabZ//uxuA//
ArgR_neg	pdeL//xylA//codA//fabH//hycB//astD//argB//frdD//sucD//sodA//betB//xapA//poxB//rutA//rnpB//ssuE//gltB//hcaD//
ArgR_pos	gloA//nemA//ulaF//mnmG//glk//
ArsR_neg	trpA//purM//
AscG_neg	deoA//lldD//
AsnC_neg	rutD//
AsnC_pos	napC//
AtoC_pos	gpmM//citX//pgaD//
BaeR_pos	sgbH//argB//
BasR_neg	argE//
BasR_pos	gcvH//trpD//
BetI_neg	moeB//tyrB//malQ//
BirA_neg	ung//paaB//napA//carB//paaY//
BluR_neg	
BolA_neg	gatD//mazG//
BolA_pos	pgk//prpD//
CadC_pos	moeA//trpD//
CaiF_pos	zwf//carB//purD//leuD//deoA//
Cbl_pos	add//nrdB//eno//nfsB//mhpD//
CdaR_pos	cynS//purN//glnA//ftnA//uxaC//tktB//frdD//napC//fruK//
CecR_neg	
ChbR_neg	tyrA//gpmA//prs//
ChbR_pos	fadJ//gloA//pagP//
ComR_neg	
CpxR_neg	malS//ampC//gpmM//
CpxR_pos	ssuE//gcvT//purN//xylB//torC//fadE//hcaB//cysN//pykF//bacA//pgk//dhaK//dmsC//dhaL//mngB//hycF//rutD//idnO//
Cra_neg	mnmG//dgcC//alaS//fadI//tauD//aceF//rpiB//kbaZ//entB//citC//lsrF//murG//pgi//hyaB//sdhA//wecB//sucA//frdC//lpd//sodB//glpK//folE//metL//fucO//tpiA//ruvA//metE//leuB//paaF//yeaG//gabT//ftsI//nrdD//caiD//ulaD//malY//cysK//prs//hyi//psd//pfkA//purM//folE//moaD//citX//nagB//
Cra_pos	nrdA//argD//caiC//tktB//aroF//nadA//pdeH//gpmM//alaS//aspC//deoC//malP//napA//recF//hycD//pck//nemA//
CreB_neg	citF//
CreB_pos	rsmH//
CsgD_neg	narI//sgbE//
CsgD_pos	glmU//leuD//hyaC//
CsiR_neg	napC//acnA//ynfG//tyrB//
CspA_pos	mhpC//
CueR_neg	ynfE//talA//
CueR_pos	glgX//tehB//
CusR_pos	cysE//lsrK//phnI//
CynR_neg	
CynR_pos	galT//lysA//uxaA//
CysB_neg	allB//rutE//bacA//
CysB_pos	garL//treC//tktB//argD//paaY//gcvP//nanM//aroF//waaZ//lsrK//galK//paaK//napH//icd//purB//
CytR_neg	entD//pgm//icd//frdB//napA//cueO//lsrG//pgaC//pgi//aceB//
Dan_pos	aroL//trpC//
DcuR_pos	fabB//tehB//dmsC//bacA//
DeoR_neg	glxR//yibQ//pck//garD//folE//entH//
DhaR_neg	
DhaR_pos	glgC//
DicA_neg	
DinJ-YafQ_neg	mtlD//
DnaA_neg	tam//fabD//dkgB//fucK//yiaK//
DnaA_pos	gcvH//cysI//bioB//
DpiA_neg	
DpiA_pos	phnJ//metF//waaH//allE//sucD//
DsdC_neg	
DsdC_pos	citX//astB//
EbgR_neg	
EnvR_neg	gdhA//phnJ//
