# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	ppsA//katE//
AcrR_neg	fumC//fabA//
Ada_neg	rutE//citG//
Ada_pos	patA//chbG//tynA//arsC//
AdiY_pos	phnI//nrfB//sdhD//argD//
AgaR_neg	nanE//
AidB_neg	ubiX//
AlaS_neg	iscS//
AllR_neg	paaZ//gntK//gntK//dgcZ//ugpQ//caiB//
AllS_pos	prpE//glmS//pck//
AlsR_neg	purA//rfe//cueO//
AppY_pos	yfbR//sdhD//
AraC_neg	gcvT//carB//fabG//cadA//rutB//
AraC_pos	araD//paaK//aroH//yqhD//udp//
ArgP_neg	
ArgP_pos	nirD//alsE//uidA//allA//puuB//fabH//purD//fadJ//rdoA//
ArgR_neg	glpX//paaI//tdcD//astB//lsrG//pyrD//kbaZ//bioC//fabB//ybaS//dapD//yqjH//aspA//guaB//mpl//cysK//fes//ybaS//
ArgR_pos	nrdF//moeB//uvrB//paaH//ldtC//
ArsR_neg	bglB//patD//
AscG_neg	citG//garD//
AsnC_neg	tadA//
AsnC_pos	rhaD//
AtoC_pos	gltB//leuA//gatY//
BaeR_pos	narH//narG//
BasR_neg	accD//
BasR_pos	pncB//kbaY//
BetI_neg	malQ//ampC//phnJ//
BirA_neg	lpxA//tdcG//dhaL//aceE//gor//
BluR_neg	
BolA_neg	tehB//uvrA//
BolA_pos	zwf//rhaB//
CadC_pos	astB//ubiX//
CaiF_pos	lhgO//metL//citF//glxK//phnL//
Cbl_pos	argC//hycD//hycF//fadM//melA//
CdaR_pos	fbaB//srlD//glgP//mpaA//adiA//sgbE//idnO//moeA//lsrK//
CecR_neg	
ChbR_neg	sufS//cdd//luxS//
ChbR_pos	nanM//narH//murQ//
ComR_neg	
CpxR_neg	pgm//astD//araA//
CpxR_pos	eno//metK//citG//truB//citE//bglB//fadA//alaS//aceE//purK//wecB//gcvH//codA//tdcG//glpC//ruvB//puuC//sucA//
Cra_neg	hyaC//yfdE//glcF//sdhC//rbsD//speB//wzc//bioF//frdD//uidA//sucA//atoD//tauD//gatY//fabH//gltB//puuD//citD//tdcD//fabH//nrdF//cyoE//aceA//phnI//nfsB//eda//hyaC//fabB//edd//serA//yiaK//zwf//adhE//tpiA//guaA//metB//malP//trpD//tehB//cysC//purF//ilvC//puuD//purM//metC//dgcC//
Cra_pos	ynfG//ynfE//gpmM//hypB//pdeH//purL//fbaA//mngB//ilvC//pflB//caiA//pepD//gpmM//fabA//treC//phnO//murD//
CreB_neg	nrfA//
CreB_pos	sgbU//
CsgD_neg	glpQ//gcvT//
CsgD_pos	idnD//purF//rffH//
CsiR_neg	aceE//pgi//dgcZ//leuD//
CspA_pos	ldtB//
CueR_neg	argG//caiC//
CueR_pos	hypB//phnH//
CusR_pos	lpxA//bioF//umpH//
CynR_neg	
CynR_pos	pnp//add//ribA//
CysB_neg	sucC//moaE//betA//
CysB_pos	wecC//glpQ//sucB//nadA//acnB//lhgO//hcaF//waaZ//ppiA//trpB//entA//phnN//pagP//fabH//uxaB//
CytR_neg	gadA//citC//umuD//cyoE//lpxA//lpxD//gatZ//allD//garR//ung//
Dan_pos	kbaY//malP//
DcuR_pos	ftsI//accA//ppsA//rffG//
DeoR_neg	glgP//pck//chbG//ulaF//allB//nrdB//
DhaR_neg	
DhaR_pos	napG//
DicA_neg	
DinJ-YafQ_neg	bioD//
DnaA_neg	ynfG//fabB//idnD//guaA//cysE//
DnaA_pos	xapA//galK//torA//
DpiA_neg	
DpiA_pos	pepD//argD//mhpB//gatZ//lacZ//
DsdC_neg	
DsdC_pos	glk//nrdB//
EbgR_neg	
EnvR_neg	astC//moaE//
EnvY_pos	mltF//entC//
EvgA_pos	epd//trpC//pspE//ahpC//poxB//adhE//
ExuR_neg	hcaB//yqjH//sufS//sucD//mpl//tadA//
FabR_neg	lldD//tauD//
FadR_neg	sdhD//phr//asnB//paaE//serA//ddlB//hemL//hyaA//cysH//
FadR_pos	tdcE//entH//nrdE//moaE//gcvT//purD//moeA//gatZ//uxuB//
FeaR_pos	hycE//psd//
FhlA_pos	citG//phoA//nanE//accD//pgaC//bioC//phnN//
FlhDC_neg	glgC//ulaG//
FlhDC_pos	deoD//nadA//ahpC//garK//glgX//galK//wzc//tdcE//moeA//
FliZ_neg	trpE//glpQ//pnp//aceE//fadM//
FucR_pos	glcD//xylB//tynA//metC//ubiC//folE//
Fur_neg	glxK//hmp//galK//pgk//ybaS//purL//malP//paaE//sdhB//aldA//alkA//hycE//malS//entH//ruvB//caiA//pgi//pdeH//nrfC//pgk//hcaC//deoB//glgC//yeaE//chbG//wzc//betA//prpB//puuE//ttdA//aceE//moeA//nirB//ulaD//tdcG//acnA//hemL//alsE//nrfC//asnB//hyi//ahpF//rffT//gatD//yfbR//phnN//argA//garD//wecC//hcaB//tyrA//sgbU//luxS//prpB//
Fur_pos	sdhA//cysN//paaY//lpd//mpaA//lsrK//gcvH//dgcZ//argD//umuD//hemH//alkB//glmS//deoC//narI//amn//torC//
GadE-RcsB_pos	pnp//talA//napG//gatZ//
GadE_pos	entB//gcvH//pflB//idnD//chbG//pgaB//frc//purB//ampC//accC//
GadW_neg	puuB//carA//ahpC//
GadW_pos	murE//allE//glcB//truB//
GadX_neg	nanK//nanM//
GadX_pos	citX//pdeL//nanA//glpB//rutB//tktB//rffT//ada//gabT//araA//
GalR_neg	accC//rutE//fabD//yqjH//rimK//cysD//
GalR_pos	sucA//aroH//bioD//cueO//
GalS_neg	cysI//ung//fadM//guaA//frdD//purL//
GalS_pos	uxaB//malY//fadB//tauD//
GatR_neg	fadH//pdeR//hycB//
GcvA_neg	leuD//xapA//alkB//
GcvA_pos	xapA//ssuD//prpE//
GlcC_neg	
GlcC_pos	trpB//gutQ//hypF//
GlpR_neg	fadJ//hycB//waaY//hyi//nadB//murF//gor//
GlrR_pos	
GntR_neg	pgaB//sdhD//dkgA//narH//allE//fucO//phnG//pgpC//alaC//
GutM_pos	acnA//sodA//rhaA//
GutR_neg	pgaD//hyi//nadA//
HU_neg	puuE//galK//hcp//narH//fbaA//fbaB//umuD//
HU_pos	
HcaR_neg	
HcaR_pos	dmsA//patD//
HdfR_neg	
HdfR_pos	
HigA_neg	frc//
HigB-HigA_neg	paaC//
HipAB_neg	metL//paaI//
HipB_neg	malQ//rhaD//argG//
HyfR_pos	caiB//
HypT_neg	relA//pflB//
HypT_pos	rdoA//torC//lsrG//srlD//entF//
IclR_neg	sdhC//gloA//cysE//
IdnR_neg	paaK//ung//
IdnR_pos	ttdA//mhpF//bioA//deoD//
IlvY_neg	
IlvY_pos	ascB//
IscR_neg	fadD//dhaL//rsmH//allD//
IscR_pos	wrbA//argC//
KdgR_neg	metC//aceA//
