# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	purL//gadB//
AcrR_neg	idnD//moaA//
Ada_neg	aroL//trpE//
Ada_pos	napH//entE//pdeR//dmsA//
AdiY_pos	murD//ada//moaA//pncB//
AgaR_neg	citX//
AidB_neg	pyrC//
AlaS_neg	rffT//
AllR_neg	fadM//sdhA//purK//aceB//pfkA//paaC//
AllS_pos	nfsB//prpD//galM//
AlsR_neg	sucC//fabZ//entE//
AppY_pos	dkgA//pgaC//
AraC_neg	kbaZ//uidA//cysI//edd//citC//
AraC_pos	zwf//nadB//metL//ycjG//patA//
ArgP_neg	
ArgP_pos	hcp//entF//garR//purN//codA//ada//entB//murI//dhaM//
ArgR_neg	lpd//trpE//frdC//torC//argF//uxuB//lysA//entD//glmU//rpiB//hemH//bioD//astB//murQ//citG//cysC//recF//fabA//
ArgR_pos	hcaB//gadB//caiD//murG//sucD//
ArsR_neg	polA//chbG//
AscG_neg	ftsI//codA//
AsnC_neg	cysJ//
AsnC_pos	entD//
AtoC_pos	argD//nrfC//trpC//
BaeR_pos	prpD//paaE//
BasR_neg	entC//
BasR_pos	nrdF//trpE//
BetI_neg	paaA//hcaE//alsE//
BirA_neg	tyrB//purL//paaE//pgi//nirD//
BluR_neg	
BolA_neg	citE//appA//
BolA_pos	pdeH//zwf//
CadC_pos	pdeL//deoB//
CaiF_pos	rbsK//ycjG//glmU//sgbU//betA//
Cbl_pos	bioA//puuB//wzc//tyrB//narG//
CdaR_pos	sucB//prpB//paaE//citX//glpK//acnA//argG//cysC//tktB//
CecR_neg	
ChbR_neg	wecC//napA//trpB//
ChbR_pos	aroG//napB//frc//
ComR_neg	
CpxR_neg	fumC//ftnA//ftnA//
CpxR_pos	oxc//lacA//lhgO//gabD//amn//ulaD//hycE//murE//treC//paaY//murF//phnL//tdcE//dhaK//argC//mdh//lhgO//pgaD//
