# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lpxC//uxaA//
AcrR_neg	malY//argD//
Ada_neg	phnL//tpiA//
Ada_pos	gltB//napG//idnO//ascB//
AdiY_pos	pncB//puuD//astA//moaA//
AgaR_neg	purN//
AidB_neg	paaH//
AlaS_neg	nrdE//
AllR_neg	dhaM//tdcD//mngB//gadA//ldtB//pgi//
AllS_pos	allE//rffM//nagB//
AlsR_neg	luxS//uvrA//paaA//
AppY_pos	aroF//ddlB//
AraC_neg	waaH//mnmG//phnM//amn//nrfD//
AraC_pos	bioC//fdhF//phoA//malZ//phnG//
ArgP_neg	
ArgP_pos	uvrA//ruvB//rutC//ribA//tktB//glgA//mazG//gloA//tdcB//
ArgR_neg	truB//uxaC//cueO//hemL//pnp//hcaC//paaZ//nfsA//dhaM//pgaB//arsC//mhpA//ulaE//deoB//galK//acnB//glcB//sucC//
ArgR_pos	lacA//murF//ulaF//dhaL//putA//
ArsR_neg	feaB//mhpB//
AscG_neg	appA//gntK//
AsnC_neg	aceB//
AsnC_pos	uxaA//
AtoC_pos	serA//nanA//fabG//
BaeR_pos	ruvA//garD//
BasR_neg	ddlB//
BasR_pos	pncB//fumC//
BetI_neg	acnB//idnO//ndh//
BirA_neg	araB//murI//dkgA//katE//lsrF//
BluR_neg	
BolA_neg	glpA//prpC//
BolA_pos	bioF//rffC//
CadC_pos	rbsK//ftsI//
CaiF_pos	frc//ulaD//chbG//ychF//glcD//
Cbl_pos	purK//sdhB//garL//arsC//relA//
CdaR_pos	bioA//metA//prpD//paaH//murD//glcE//pflB//acnB//dgkA//
CecR_neg	
ChbR_neg	uxuA//hemH//acnB//
ChbR_pos	allA//dmsC//ldtC//
ComR_neg	
CpxR_neg	sucC//moeA//rhaB//
CpxR_pos	allD//glmS//waaY//yfdE//argH//cysN//prpD//paaG//dgkA//fadI//katE//purN//fabZ//puuC//bglB//galE//malP//chbF//
Cra_neg	argH//dapD//mtlD//uxaB//atoD//rhaD//mpaA//allB//tdcB//paaE//guaB//rdoA//hycD//dinB//dkgB//nrfB//paaA//purC//mhpE//fabA//ttdB//pfkA//sgbH//astB//ampC//cysG//katG//nrdD//poxB//recF//deoD//fabA//serA//sucA//malS//tdcB//tnaA//accC//uidA//malS//aspA//phnL//nrfD//trpE//wrbA//mhpA//
Cra_pos	purM//cysD//nagB//xylB//asnB//appA//nanE//wrbA//cysC//aroL//leuB//fadE//treC//sdhD//entB//fucI//cysH//
CreB_neg	pspE//
CreB_pos	glpK//
CsgD_neg	pdeH//nanA//
CsgD_pos	tadA//napC//gcl//
CsiR_neg	puuB//lldD//sgbE//caiB//
CspA_pos	dhaM//
CueR_neg	hypB//deoD//
CueR_pos	hcaE//tpiA//
CusR_pos	glcB//lpxA//glgC//
CynR_neg	
CynR_pos	glgP//fucU//dkgB//
CysB_neg	purF//hemL//allD//
CysB_pos	metE//hypF//uxuA//garL//purC//mhpE//purH//pagP//entH//glmS//wzb//aroL//hypF//cysE//nrfB//
CytR_neg	metH//gcl//trpB//zwf//codA//rutB//argI//sgbE//ldtD//tynA//
Dan_pos	allA//udp//
DcuR_pos	hyaC//fdhF//yfbR//deoC//
DeoR_neg	nrdA//carA//purN//sodA//accC//hycD//
DhaR_neg	
DhaR_pos	gcvH//
DicA_neg	
DinJ-YafQ_neg	uxaA//
DnaA_neg	mhpE//umpH//appA//lpxA//cysN//
DnaA_pos	paaY//leuC//entD//
DpiA_neg	
DpiA_pos	bglB//ttdB//trpC//fumB//sucA//
DsdC_neg	
DsdC_pos	malP//fadM//
EbgR_neg	
EnvR_neg	entH//wecB//
EnvY_pos	cynS//pck//
EvgA_pos	purD//entA//folA//astD//mhpA//purM//
ExuR_neg	leuC//narG//zwf//waaH//trpA//argH//
FabR_neg	phnJ//yibQ//
FadR_neg	glpA//lsrK//sucA//dhaM//pncB//hcaC//hcaB//bioF//fabG//
FadR_pos	nrdA//adhE//edd//cysE//rutE//fucU//argG//sodA//hycF//
FeaR_pos	purH//glcE//
FhlA_pos	argC//paaK//uvrB//hemL//tehB//fadM//argA//
FlhDC_neg	caiD//phoA//
FlhDC_pos	hyaA//ulaG//katE//garD//cueO//fadM//phnI//aroL//dgcZ//
FliZ_neg	leuB//lpxC//folE//glcF//mnmG//
FucR_pos	leuD//pagP//nadB//add//dgcZ//purF//
Fur_neg	phnP//tadA//metC//entA//torA//glxK//purB//nrdA//gpmM//glpK//zwf//rimK//dsdA//trpE//cynS//paaY//pdeL//gcvP//entF//pflB//phnM//fabH//pheT//mpaA//aroL//bioF//dkgA//mltF//cysJ//accD//xylA//chbF//mazG//cynT//entB//puuB//trpC//glk//fumC//cysJ//glpK//ugpQ//nanK//paaI//lacZ//garL//ilvC//waaH//yfbR//arsC//mraY//mdh//ulaD//guaB//
Fur_pos	mnmG//gadA//murQ//moaA//pgk//tehB//hycF//deoB//glgA//fes//allE//dinB//bioB//truB//glpQ//aceF//pflB//
GadE-RcsB_pos	pdeR//aroL//hyaA//nadB//
GadE_pos	hmp//trpC//waaH//sufS//gatD//rfe//dhaL//ybjG//nadB//prs//
GadW_neg	nrfC//ssuD//torC//
GadW_pos	mhpC//gpmM//rutC//ycjG//
GadX_neg	ynfG//sdhB//
GadX_pos	ulaG//thrS//adhE//caiC//fabI//moaE//pck//hyaC//mngB//alsE//
GalR_neg	idnO//puuD//fumB//speA//hypF//carB//
GalR_pos	deoD//hyaA//dhaK//pagP//
GalS_neg	cyoE//cysC//rnpB//paaB//bglB//talA//
GalS_pos	relA//phnL//gatD//fucU//
GatR_neg	gltB//sodB//fadD//
GcvA_neg	hyaA//rhaD//lsrK//
GcvA_pos	glmU//glpQ//nemA//
GlcC_neg	
GlcC_pos	citC//pyrC//citF//
GlpR_neg	ddlB//fau//hcaD//recF//tdcB//chbG//recF//
GlrR_pos	
GntR_neg	hcaB//srlD//glpC//pyrD//deoA//sodB//nrdB//tauD//allC//
GutM_pos	adhE//paaK//gpmM//
GutR_neg	wzc//malP//speB//
HU_neg	carB//bioD//trpA//katG//phnN//napA//chbG//
HU_pos	
HcaR_neg	
HcaR_pos	argE//yfdE//
HdfR_neg	
HdfR_pos	
HigA_neg	asnB//
HigB-HigA_neg	lpxD//
HipAB_neg	paaK//rdoA//
HipB_neg	sdhD//fucU//murG//
HyfR_pos	sucD//
HypT_neg	moaE//truB//
