# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	fadD//gabT//
AcrR_neg	truB//tauD//
Ada_neg	wzc//wecC//
Ada_pos	rdoA//astE//fau//wecB//
AdiY_pos	fadE//nagB//carB//fbaA//
AgaR_neg	accA//
AidB_neg	ldtD//
AlaS_neg	cueO//
AllR_neg	ulaE//leuC//entB//murI//tktB//add//
AllS_pos	rffT//fucK//narG//
AlsR_neg	murE//phnO//metK//
AppY_pos	alaS//metL//
AraC_neg	aceF//rffT//cysE//mhpB//citD//
AraC_pos	paaG//galE//mhpD//nrfA//dmsB//
ArgP_neg	
ArgP_pos	leuB//gcvP//malY//malY//cysG//thrS//tyrB//purD//dmsA//
ArgR_neg	narH//paaK//glpK//rutD//frdA//pncB//hcaD//feaB//rnpB//sgbH//murI//purB//argG//aspA//waaZ//gor//nrdA//glpC//
ArgR_pos	phnH//dsdA//tdcE//tdcD//carB//
ArsR_neg	acnB//lysC//
AscG_neg	dinB//yeaG//
AsnC_neg	paaY//
AsnC_pos	malP//
AtoC_pos	ldtB//cysM//nrdF//
BaeR_pos	argF//hycG//
BasR_neg	xapA//
BasR_pos	phnN//add//
BetI_neg	accA//tyrB//cysG//
BirA_neg	purC//xylA//narG//yeaG//frdD//
BluR_neg	
BolA_neg	entA//glpX//
BolA_pos	fabA//mtlD//
CadC_pos	ycjG//edd//
CaiF_pos	cyoE//leuC//argG//feaB//ulaE//
Cbl_pos	ribA//metB//tktB//nanA//argA//
CdaR_pos	citC//gutQ//polB//tdcE//citX//uvrB//mtlD//gatY//ubiC//
CecR_neg	
ChbR_neg	metF//ppsA//ldtB//
ChbR_pos	pdeL//rbsK//katE//
ComR_neg	
CpxR_neg	ychF//waaY//sodA//
CpxR_pos	cysC//slt//puuE//dkgB//cysH//gloA//treC//moaA//metK//ttdB//nrfC//dgkA//lhgO//chbG//betB//glgP//narI//fadH//
Cra_neg	cysD//frc//nemA//gcvP//glcD//ubiA//malZ//rutD//bioB//gatZ//phnN//pflB//mtlD//recF//nadB//pgi//moaA//paaF//murC//tadA//hypB//bioA//astE//glpQ//srlD//putA//guaB//garD//nagA//glpD//nrdE//glcE//rbsK//cysN//kbaZ//malP//pncB//ogt//napG//nrdD//pgaB//nagA//pykF//tynA//dgkA//rbsK//
