# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	lsrG//dgcC//
AcrR_neg	rutA//rfe//
Ada_neg	uxaA//rffM//
Ada_pos	ulaD//nfsB//udp//gor//
AdiY_pos	sdhA//purH//mngB//mhpD//
AgaR_neg	citG//
AidB_neg	epd//
AlaS_neg	gcvP//
AllR_neg	paaI//wecB//gadB//rhaB//alaC//alkB//
AllS_pos	gltB//moaD//amn//
AlsR_neg	paaB//trpA//hypB//
AppY_pos	citX//fucK//
AraC_neg	pykF//pyrC//codA//gcvH//paaB//
AraC_pos	rutC//glcE//ruvB//ubiX//allE//
ArgP_neg	
ArgP_pos	purK//sdhB//trpC//paaB//mhpC//tdcG//astD//napC//paaB//
ArgR_neg	glpC//malS//purD//nrfC//argC//murD//tpiA//wzb//entC//pyrD//accB//trpB//lacZ//ftsI//ybjG//idnO//araB//phr//
ArgR_pos	astE//gor//ttdB//malS//cynS//
ArsR_neg	phnJ//pgaB//
AscG_neg	tadA//argH//
AsnC_neg	argA//
AsnC_pos	fadA//
AtoC_pos	fabZ//gadB//ribA//
BaeR_pos	hmp//napC//
BasR_neg	uxaC//
BasR_pos	allD//rhaD//
BetI_neg	uxuB//yeaG//nanA//
BirA_neg	argA//aceE//icd//paaY//fdhF//
BluR_neg	
BolA_neg	fabA//astE//
BolA_pos	atoD//glgB//
CadC_pos	nagA//dgcC//
CaiF_pos	gltD//glpA//ulaF//tktB//epd//
Cbl_pos	aceB//caiA//purK//paaK//fucO//
CdaR_pos	phoA//tyrB//mhpE//fdhF//moaE//tyrB//thrS//ubiC//tauD//
CecR_neg	
ChbR_neg	garL//citF//wecC//
ChbR_pos	ttdB//glpK//fadE//
ComR_neg	
CpxR_neg	mtlD//carB//nadA//
CpxR_pos	dkgB//uxaA//astD//glcB//ftsI//garD//fau//ycjG//alkB//idnO//rffT//dgcZ//fadH//glgB//poxB//fucK//pspE//caiB//
Cra_neg	murE//folE//wzb//fabG//dmsA//udp//narI//allE//araA//ssuE//ppc//psd//prpD//rnpB//mnmG//bioB//wrbA//ttdB//rfe//lldD//wrbA//trpC//frdA//metC//xapA//fbaA//entE//pdeR//murC//cysE//hcaB//pdeR//pykF//glpD//caiB//murI//iscS//bglB//speB//hypF//acnB//cueO//nadB//cysH//hemL//araB//
Cra_pos	metB//fabZ//fucA//melA//aspC//sgbH//torC//gatY//argA//argH//kbaY//paaF//acnB//hcaB//bioC//glgC//fumC//
CreB_neg	mhpB//
CreB_pos	leuA//
CsgD_neg	hyaB//appA//
CsgD_pos	entA//napA//fbaA//
CsiR_neg	eno//allC//tam//rnpB//
CspA_pos	argD//
CueR_neg	allE//rbsD//
CueR_pos	ldtD//mhpE//
CusR_pos	pheS//ynfH//icd//
CynR_neg	
CynR_pos	hycF//ugpQ//ulaF//
CysB_neg	aceE//ldtD//glpA//
CysB_pos	glpB//katE//araD//srlD//pflB//leuA//ulaD//dinB//fadE//ppsA//mazG//fabD//fabA//ada//ppc//
CytR_neg	patD//bacA//tynA//iscS//dhaM//lpd//deoA//cysJ//purN//fadI//
Dan_pos	fumB//eda//
DcuR_pos	dsdA//murF//citC//pnp//
DeoR_neg	mngB//garK//dkgA//rutC//ssuE//glmU//
DhaR_neg	
DhaR_pos	mraY//
DicA_neg	
DinJ-YafQ_neg	glpK//
DnaA_neg	lpxA//codA//icd//mhpA//ynfF//
DnaA_pos	rutC//ilvC//entF//
DpiA_neg	
DpiA_pos	ubiA//nfsA//ulaF//uxuA//galE//
DsdC_neg	
DsdC_pos	phnM//argB//
EbgR_neg	
EnvR_neg	glmS//hcaC//
EnvY_pos	citF//nrdF//
EvgA_pos	yqjH//prpC//aroG//pgaD//wzc//fdhF//
ExuR_neg	fabB//paaK//dhaK//nrfD//napA//cysN//
FabR_neg	napB//slt//
FadR_neg	putA//acnA//aspC//uxaA//purD//deoD//nrfD//uvrB//ssuD//
FadR_pos	sgbE//relA//metA//dgkA//wzc//rbsK//garR//hyaB//nrfA//
FeaR_pos	atoA//prpE//
FhlA_pos	nemA//moaE//leuC//ynfF//ttdA//fadM//chbG//
FlhDC_neg	lpxC//leuD//
FlhDC_pos	lpxD//lsrG//lsrK//puuA//mhpF//nrdB//cysK//fadI//sufS//
FliZ_neg	pgk//prs//frdA//nirD//guaB//
FucR_pos	waaH//fucK//pdeR//dgcC//fucA//uxuB//
