# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	pnp//cysI//
AcrR_neg	uxaC//cdd//
Ada_neg	ychF//fucA//
Ada_pos	wzb//frdC//tyrB//fucO//
AdiY_pos	malS//nirD//katG//fadA//
AgaR_neg	tyrB//
AidB_neg	rhaA//
AlaS_neg	codA//
AllR_neg	hycC//murI//cysK//phnO//bioC//araD//
AllS_pos	galM//leuC//argD//
AlsR_neg	trpE//wecC//alkA//
AppY_pos	ssuE//glpD//
AraC_neg	fabA//argI//zwf//mhpA//phnP//
AraC_pos	caiD//metB//metC//rhaA//pepD//
ArgP_neg	
ArgP_pos	glgX//mnmG//galT//aldA//puuC//pgk//aroL//sdhC//wrbA//
ArgR_neg	glxK//gltB//mltF//rutA//lldD//psd//bacA//srlD//xylA//rutA//pspE//psd//metE//srlD//purE//paaB//fabZ//betA//
ArgR_pos	mraY//glmS//truB//lacA//fbaA//
ArsR_neg	pgaD//nrdF//
AscG_neg	psd//luxS//
AsnC_neg	napH//
AsnC_pos	luxS//
AtoC_pos	leuB//cdd//gadA//
BaeR_pos	lyxK//metE//
BasR_neg	pflB//
BasR_pos	glcD//tauD//
BetI_neg	bacA//phnI//prs//
BirA_neg	rutB//udp//putA//aspA//cysD//
BluR_neg	
BolA_neg	citD//paaZ//
BolA_pos	alkA//fdhF//
CadC_pos	moeB//lldD//
CaiF_pos	gntK//aldA//pdeR//ynfH//yfbR//
Cbl_pos	hcaF//glgP//nrdB//glpD//hycG//
CdaR_pos	napB//lsrK//puuE//murQ//ynfG//nirD//tdcB//glyA//iscS//
CecR_neg	
ChbR_neg	murI//astA//argA//
ChbR_pos	rutD//pyrD//caiB//
ComR_neg	
CpxR_neg	eno//leuA//phnM//
CpxR_pos	luxS//caiC//rimK//ppsA//lhgO//aspA//gatD//narH//metC//carA//napH//moaA//torA//garL//guaB//lsrG//dsdA//talA//
Cra_neg	sdhD//accA//alkA//phnN//ascB//sucA//nanK//argA//rffM//luxS//gpmA//moaE//mhpC//entF//hemL//tpiA//phnJ//argE//murD//pgpC//sdhC//aldA//srlD//trpB//puuB//bglB//hyaB//mpl//purL//alaC//allD//ynfH//ppc//gatY//narI//glpD//nfsA//uidA//frdB//fbaB//paaB//aroL//allB//aroL//sgbH//cysN//
Cra_pos	gcvP//dmsB//tehB//mhpF//aroG//atoA//uxaB//glxK//glcB//garD//ppc//fadM//fadA//astA//bioA//cysG//pspE//
CreB_neg	nrfA//
CreB_pos	rutC//
CsgD_neg	astA//aceE//
CsgD_pos	napB//citX//fadH//
CsiR_neg	frdB//alsE//pnp//moaD//
CspA_pos	speA//
CueR_neg	argH//mhpE//
CueR_pos	entF//eno//
CusR_pos	metA//aceE//epd//
CynR_neg	
CynR_pos	sgbE//ppc//moeB//
CysB_neg	ynfH//yfbR//napG//
CysB_pos	garK//fbaB//fadD//galK//pagP//fadH//katG//ndh//gcvH//gloA//tdcB//ubiC//cdd//srlD//fes//
CytR_neg	nrfB//feaB//torA//murQ//hycC//gcvT//fabD//pepD//glxK//uxaB//
Dan_pos	glpX//cysE//
DcuR_pos	deoB//ynfF//umuD//gcvT//
DeoR_neg	moaA//dmsC//cysC//rutC//garR//malY//
DhaR_neg	
DhaR_pos	ubiC//
DicA_neg	
DinJ-YafQ_neg	tdcG//
DnaA_neg	metB//ldtB//cadA//ybjG//lsrF//
DnaA_pos	argG//citG//ubiX//
DpiA_neg	
DpiA_pos	lsrK//purD//fadJ//lyxK//dkgA//
DsdC_neg	
DsdC_pos	lysC//nrdD//
EbgR_neg	
EnvR_neg	metC//mhpD//
EnvY_pos	phnP//argF//
EvgA_pos	leuD//chbG//xylB//nanK//hcaF//pgm//
ExuR_neg	purH//folE//lpxC//fumC//fbaA//pflB//
FabR_neg	rutD//tam//
FadR_neg	gloA//atoB//rfe//galK//fbaA//mhpC//argE//purH//ftsI//
FadR_pos	sufS//dacC//talA//pgk//tynA//murQ//mpaA//fucI//ubiX//
FeaR_pos	mhpC//argE//
FhlA_pos	hmp//pdeR//lpxC//moeA//cysC//fadJ//gcl//
FlhDC_neg	cynT//fadI//
FlhDC_pos	tadA//frdA//hcaD//hemH//gcvT//glxK//nanE//malQ//dmsC//
FliZ_neg	hycD//ycjG//kbaZ//yfbR//narG//
FucR_pos	nagB//prpE//xylA//hycE//mhpD//nrdE//
Fur_neg	glpQ//kbaZ//cynT//phnI//hcaB//guaB//nirD//tauD//astD//glxK//cynS//moeA//dhaK//gor//dgcC//uxaA//mpl//astA//mpaA//malQ//purH//narI//ascB//cynS//feaB//betA//putA//gcl//purH//fadM//uvrB//cyoE//fabZ//prpE//dmsB//puuC//citG//astE//lldD//kbaZ//puuB//fbaA//purN//ybjG//glcF//uxaC//patA//mhpE//dapB//chbF//glnA//puuE//fabA//fucI//
Fur_pos	purL//sufS//metH//argA//uxaC//mhpF//gpmM//poxB//astB//phnN//paaC//katG//moaA//icd//ttdA//waaH//ppsA//
GadE-RcsB_pos	wecB//phoA//gntK//waaH//
GadE_pos	betB//cyoE//accC//astD//yiaK//ldtD//ynfF//phnG//fes//entB//
GadW_neg	nanM//accA//caiB//
GadW_pos	murE//lpd//garD//argI//
GadX_neg	ruvB//cdd//
GadX_pos	mpl//pnp//glmS//nrdD//dgcZ//hycC//purA//glcF//ppsA//hcaF//
GalR_neg	mdh//nadA//napB//purL//speB//caiB//
GalR_pos	glpD//argG//paaF//accD//
GalS_neg	bioF//cysI//hycB//epd//ung//ahpC//
GalS_pos	allE//sdhA//frdC//phnG//
GatR_neg	dmsB//hyaC//lpd//
GcvA_neg	sgbE//waaZ//ugpQ//
GcvA_pos	argG//ubiC//hycB//
GlcC_neg	
GlcC_pos	gnd//pheS//tauD//
GlpR_neg	tauD//rnpB//nfsB//sgbU//paaH//umuC//lysC//
GlrR_pos	
GntR_neg	fabB//gabT//ldtC//phnP//nirB//accD//accC//betA//hyaA//
GutM_pos	nanE//lhgO//hyaB//
GutR_neg	waaY//citX//ascB//
