# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	gltD//fbaA//
AcrR_neg	fabA//luxS//
Ada_neg	frdD//pyrC//
Ada_pos	entF//alaS//lpxC//kbaZ//
AdiY_pos	cdd//astC//nanE//phnH//
AgaR_neg	aceB//
AidB_neg	uxuA//
AlaS_neg	phnN//
AllR_neg	murI//cysH//paaG//cysD//mtlD//ampC//
AllS_pos	idnO//malY//hycC//
AlsR_neg	glpC//lpxA//murG//
AppY_pos	napG//dapB//
AraC_neg	dhaL//ynfG//glgX//rffM//rffG//
AraC_pos	lldD//gcvH//phnP//pepD//caiD//
ArgP_neg	
ArgP_pos	pgk//uxuA//uxuB//fadJ//ldtB//tnaA//mngB//aroG//recF//
ArgR_neg	rbsK//tpiA//paaG//glcB//leuD//mnmG//speA//pdeH//dmsB//dkgA//metE//phnO//bioD//aceA//fabI//pgpC//yqjH//rhaB//
ArgR_pos	mpl//mhpB//cysC//hmp//araA//
ArsR_neg	glcE//dinB//
AscG_neg	purD//pfkA//
AsnC_neg	relA//
AsnC_pos	mraY//
AtoC_pos	edd//rhaB//pck//
BaeR_pos	pgaB//puuD//
BasR_neg	nanK//
BasR_pos	lsrG//rutD//
BetI_neg	astC//ubiX//ycjG//
BirA_neg	guaB//feaB//cysK//ubiA//ppiA//
BluR_neg	
BolA_neg	ugpQ//nrfC//
BolA_pos	betA//asnB//
CadC_pos	gloA//ubiC//
CaiF_pos	aroH//ppc//fbaA//galM//pyrC//
Cbl_pos	fumB//sucD//paaA//nrdF//dsdA//
CdaR_pos	pgaB//speA//ppc//uxaB//feaB//fadE//fabB//ybaS//lyxK//
CecR_neg	
ChbR_neg	ycjG//frdA//sucB//
ChbR_pos	araB//slt//glgA//
ComR_neg	
CpxR_neg	purM//cynT//lldD//
CpxR_pos	paaE//mraY//entE//alkB//sucD//sodA//fabB//rutD//alkA//uvrB//glgA//garR//gor//bioA//ddlB//deoC//pdeH//murG//
Cra_neg	caiD//napA//purA//rutE//argG//ybjG//accC//glpD//rhaB//pheS//puuB//ubiC//feaB//gudD//purD//glgB//sodA//lpxD//lpd//dapD//trpE//pepD//psd//yfdE//trpE//alsE//entA//purA//hypB//metK//sodB//mhpF//aspA//torA//uvrC//rffC//purM//rffT//ycjG//dmsB//ugpQ//argF//katE//malS//rffG//xapA//
Cra_pos	leuC//fumC//phr//napB//ampC//murF//nanK//gatZ//glxK//lacA//puuC//glpK//accC//ulaD//folE//purL//cysJ//
CreB_neg	sodB//
CreB_pos	add//
CsgD_neg	sgbE//cysE//
CsgD_pos	glpC//malS//katG//
CsiR_neg	tauD//fabZ//astD//mngB//
CspA_pos	puuE//
CueR_neg	trpC//narG//
CueR_pos	nanE//dmsC//
CusR_pos	galE//leuC//puuD//
CynR_neg	
CynR_pos	talA//lacZ//ulaF//
CysB_neg	puuB//truB//moeB//
CysB_pos	umuC//ubiX//uxaB//atoA//idnO//ilvC//polB//hcaE//hycB//malZ//allB//umpH//fadM//citX//rutD//
CytR_neg	gltB//speB//wzc//hyi//uxaA//lacZ//fadH//hyaB//fes//rffM//
Dan_pos	metF//idnK//
DcuR_pos	hcaB//paaG//fucI//rbsK//
DeoR_neg	xapA//nirD//nemA//mngB//purN//alkA//
DhaR_neg	
DhaR_pos	iscS//
DicA_neg	
DinJ-YafQ_neg	purL//
DnaA_neg	ynfF//nanK//gcvT//eno//cadA//
DnaA_pos	citG//tam//lacA//
DpiA_neg	
DpiA_pos	zwf//glpX//ddlB//glpA//glmS//
DsdC_neg	
DsdC_pos	acnB//nfsA//
EbgR_neg	
EnvR_neg	narH//galM//
EnvY_pos	moeA//uvrB//
EvgA_pos	nrfB//nadA//slt//pgaD//paaY//sdhC//
ExuR_neg	pgk//sucC//ychF//nrdA//ahpF//tdcB//
FabR_neg	mhpC//serA//
FadR_neg	poxB//sgbE//uxaA//ruvA//rutA//cysE//fumC//bioD//paaB//
FadR_pos	nadB//ahpF//gdhA//nrfC//cynT//mpaA//argI//mhpB//aceB//
FeaR_pos	mhpB//luxS//
FhlA_pos	fruK//argI//lpxC//srlD//dinB//gadB//acnA//
FlhDC_neg	frdD//chbF//
FlhDC_pos	ynfE//uxuA//fumC//ynfE//dhaM//idnD//glmS//hyaA//citE//
FliZ_neg	speB//sdhC//gcvP//pagP//acnA//
FucR_pos	entC//eda//pheT//nirD//recF//nrdA//
Fur_neg	torC//glnA//pyrD//pepD//lpxC//cysM//puuB//lsrK//sdhC//moeB//phnJ//hcaD//phoA//fbaA//paaE//alaS//kbaY//polA//lacZ//pgaC//chbG//luxS//cueO//citF//mnmG//metK//metC//ttdA//waaZ//glpB//caiB//puuE//uxaA//dhaK//tam//malZ//pncB//ynfE//sdhD//rbsD//pspE//trpC//putA//glyA//fau//fabB//hcaC//prpB//sodA//dkgA//gabT//betB//alkB//nrfD//
Fur_pos	pdeL//ada//rutA//betA//bioC//aroL//rsmH//gltD//tdcD//nadB//yfbR//recF//trpD//amn//caiA//nrfB//rffM//
GadE-RcsB_pos	fumB//gcvT//astC//moaD//
GadE_pos	hcaC//bioC//rutC//dkgB//rsmH//treC//ldtC//atoB//leuD//glpQ//
GadW_neg	moaE//ulaD//ahpC//
GadW_pos	bglB//aroF//metK//gloA//
GadX_neg	paaG//purM//
GadX_pos	pgpC//srlD//rffG//tktB//fbaA//bioD//gpmM//uvrC//ppsA//sodB//
GalR_neg	glpX//nanK//mhpB//serA//rdoA//ldtB//
GalR_pos	nagA//putA//gabT//alkB//
GalS_neg	uxaB//dmsA//acnA//rffH//ppsA//galK//
GalS_pos	napC//phnN//puuE//mpaA//
GatR_neg	uvrB//mraY//citD//
GcvA_neg	bacA//hypB//dgcZ//
GcvA_pos	frdA//uvrB//ilvC//
GlcC_neg	
GlcC_pos	rhaA//phnL//citF//
GlpR_neg	nadB//gapA//hypB//cysM//patA//fes//waaY//
GlrR_pos	
GntR_neg	pgk//glcB//frdB//rutC//frdA//argD//napA//lpxD//pflB//
GutM_pos	asnA//torA//metA//
GutR_neg	cysG//gcvH//sucC//
HU_neg	guaB//nrfC//bioD//speB//gadB//accC//hypF//
HU_pos	
HcaR_neg	
HcaR_pos	ribA//sdhD//
HdfR_neg	
HdfR_pos	
HigA_neg	lldD//
HigB-HigA_neg	lhgO//
HipAB_neg	glk//glgX//
HipB_neg	asnA//sodA//caiC//
HyfR_pos	allC//
HypT_neg	hmp//allE//
HypT_pos	murF//dacC//purL//lacA//mtlD//
IclR_neg	trpD//puuC//phnO//
IdnR_neg	gatZ//wzb//
IdnR_pos	kbaY//phnH//sodA//katG//
IlvY_neg	
IlvY_pos	betA//
IscR_neg	cysE//srlD//pepD//nrdD//
IscR_pos	paaA//citD//
KdgR_neg	gcvT//mhpF//
KdpE_pos	trpC//
LacI_neg	idnD//xapA//sgbU//
LeuO_neg	
LeuO_pos	ribA//mazG//uxaC//fabZ//paaH//lpxA//
LexA_neg	uxuA//caiD//pykF//cysM//glcE//glcB//paaK//dacC//fadE//mhpD//gloA//cysH//guaA//ddlB//pykF//rhaB//gatZ//amn//uxuA//hycG//waaZ//
LldR_neg	relA//mtlD//
LldR_pos	puuC//nrdB//
LrhA_neg	
LrhA_pos	
LsrR_neg	nrfA//carB//ahpF//paaE//lacA//
LysR_neg	
LysR_pos	tdcE//
MalI_neg	tktB//ndh//
MalT_pos	glyA//rsmH//astE//polB//glnA//paaE//
MarA_neg	pykF//
MarA_pos	fadD//fabA//paaC//trpD//accD//hypB//pgi//alaS//ada//epd//gutQ//adhE//cysK//uvrB//cyoE//umuC//phnP//paaG//pyrD//leuA//sgbU//nanA//
MarR_neg	
MatA_neg	argD//
MatA_pos	
MazE-MazF_neg	truB//
MazE_neg	yiaK//
McbR_neg	
McbR_pos	
MelR_neg	rffG//paaH//
MelR_pos	napG//dkgB//
MetJ_neg	tnaA//narI//pyrC//alkB//cysG//paaF//torA//wrbA//ldtC//tktB//
MetR_neg	patD//
MetR_pos	glpK//uvrB//yfbR//paaG//
MhpR_pos	nrdB//speA//rfe//accA//pdeR//lpxC//
Mlc_neg	phnN//alkA//betA//glgC//
MlrA_pos	phnN//
MngR_neg	gltD//mraY//
MntR_neg	araB//
MntR_pos	lysA//
ModE_neg	tdcB//glgP//gadB//fadM//gatY//mtlD//tam//luxS//
ModE_pos	citC//bioD//glgB//pgpC//ppsA//yfbR//
MprA_neg	relA//yfdE//rutE//
MqsA_neg	dinB//folA//
MraZ_neg	moaE//treC//murE//wrbA//gcvP//hypF//rsmH//ulaE//purC//hyaB//srlD//
MtlR_neg	rutB//rbsD//rutC//
MurR_neg	garK//moeA//tnaA//
MurR_pos	
Nac_neg	atoB//psd//carA//
Nac_pos	recF//lpxA//murQ//trpC//tauD//thrS//malS//
NadR_neg	hemH//metC//atoB//hycC//
NagC_neg	moaD//ppc//pncB//paaE//tpiA//astB//mhpF//cysE//murF//galT//gudD//hcaE//uxuB//cysI//pykF//argC//uxaC//cynS//
NagC_pos	lacZ//lysC//
NanR_neg	yeaG//cysG//pnp//hemL//fumC//napA//
NanR_pos	
NarL_neg	rffM//paaJ//ssuE//dinB//ldtB//kbaZ//fadA//trpA//glpQ//acnA//deoD//phr//icd//phnL//ttdA//yiaK//talA//nanK//malS//mtlD//fbaB//frc//pgi//pykF//
NarL_pos	bioC//glpB//pgi//fdhF//trpB//fabH//fadH//truB//hypF//tktB//allA//fabA//paaA//
NarP_neg	folE//uidA//alkB//
NarP_pos	mpl//phnP//paaY//metL//paaB//sdhD//pykF//ndh//phnI//putA//
NemR_neg	melA//fadJ//
NhaR_pos	ddlB//dmsA//aceB//cueO//dmsB//
NikR_neg	xylB//
NimR_neg	sgbE//
NorR_neg	
NorR_pos	pdeL//
NrdR_neg	nadB//nrfC//thrS//carB//
NsrR_neg	dapD//betB//malS//paaK//chbG//bacA//ppiA//xylA//puuA//galM//allA//nadB//cysE//purM//deoD//uidA//umuD//deoC//amn//dapB//astA//gcl//dmsA//hypB//glpX//hcp//waaZ//eda//chbF//moaA//pspE//sdhC//rhaD//mnmG//dhaL//speA//
NtrC_neg	gnd//aroH//
NtrC_pos	phnI//murC//pyrD//leuD//asnB//sgbU//carA//tdcG//waaH//gloA//dsdA//mazG//ulaD//ogt//umpH//aceF//mnmG//atoA//gcl//chbG//fdhF//
OmpR_neg	murD//thrS//ndh//murQ//rhaD//
OmpR_pos	ubiC//glmU//fadA//rbsD//
OxyR_neg	gnd//argI//paaI//ldtB//carA//
OxyR_pos	yiaK//cysJ//fadJ//folE//glmS//ftsI//pnp//lpd//fabB//
PaaX_neg	poxB//ssuE//lyxK//ulaE//nemA//napB//gltD//argA//prpE//
PdeL_pos	deoD//
PdhR_neg	katE//araB//cadA//gloA//purN//murQ//nadA//pgaD//asnA//ssuE//nagA//aroH//purM//guaB//cyoE//rutE//purC//lpxD//fdhF//lpxA//torC//cyoE//yfdE//lacA//
PdhR_pos	tpiA//srlD//
PepA_neg	frdD//phoA//
PgrR_neg	metB//garR//
PhoB_neg	hcaE//frdD//chbG//fucA//
PhoB_pos	ampC//tauD//tnaA//oxc//ynfH//bioD//hypF//nagA//mazG//glgB//ugpQ//pdeR//leuD//rhaB//guaA//ldtC//
PhoP_neg	kbaY//entF//aroL//
PhoP_pos	caiC//feaB//tpiA//fbaA//mazG//murC//moaA//frc//hyaC//ftsI//talA//glcD//alaC//frdD//argG//metA//ung//prs//pgpC//speA//ynfF//ahpF//gntK//lldD//tyrB//wecB//citD//glyA//uvrC//mdh//ychF//nirB//
PrpR_neg	
PrpR_pos	torA//sodB//glyA//mazG//
PspF_neg	
PspF_pos	paaG//
PurR_neg	uvrA//fucA//rffT//phnM//ldtD//glcB//moaE//purK//rpiB//rhaD//phnH//dgcC//sucA//tktB//rnpB//wecC//mhpA//chbF//rfe//sdhC//purK//uxaC//lacZ//nrdB//mpaA//galE//
PutA_neg	citD//dgkA//
PuuR_neg	ubiA//hemL//allD//fabH//polA//nrfB//
QseB_pos	
RbsR_neg	nadB//sgbU//ssuD//aroH//bioC//
RbsR_pos	nrdA//
RcdA_neg	
RcdA_pos	dmsB//
RclR_pos	
RcnR_neg	prs//
RcsAB_neg	sufS//
RcsAB_pos	glpK//rffC//
RcsB-BglJ_pos	rdoA//tadA//
RcsB_neg	prpE//
RcsB_pos	mpaA//trpC//ulaD//
RelB-RelE_neg	fucI//
RelB_neg	moaE//
RhaR_pos	
RhaS_pos	rsmH//edd//narH//aspA//
Rob_neg	
Rob_pos	chbG//napH//torA//glgP//mpaA//feaB//hcaB//tdcG//rutC//metB//idnO//nagB//gpmM//ruvB//xylB//gcvH//pykF//paaK//nirD//
RstA_neg	pyrD//caiB//
RstA_pos	citG//
RtcR_pos	trpD//nrdE//
RutR_neg	mnmG//mhpB//ulaE//mtlD//lpxD//bioC//paaF//ulaE//aceA//purE//
RutR_pos	yeaG//
SdiA_neg	
SdiA_pos	
SgrR_neg	bioF//
SgrR_pos	fucU//fucK//
SlyA_pos	
SoxR_neg	
SoxR_pos	fadE//
SoxS_neg	
SoxS_pos	mazG//pyrD//entC//tnaA//aldA//waaZ//citE//ahpC//hycB//atoD//paaZ//nagA//glcE//lacZ//garR//fadI//putA//ascB//yeaG//gatZ//glgB//uxaB//phnG//argI//murG//ynfE//
StpA_neg	tam//fabH//poxB//
SutR_neg	cysD//aroL//
SutR_pos	
TdcA_pos	purB//pgi//narG//uvrB//fucK//
TdcR_pos	lpxA//epd//nadB//phnO//yibQ//
TorR_neg	mraY//
TorR_pos	ppiA//lyxK//purC//
TreR_neg	prpE//dmsA//
TrpR_neg	relA//malP//fruK//carB//nagB//malS//iscS//ung//pfkA//
TyrR_neg	cysG//paaH//fbaB//pagP//fdhF//nanM//betB//
TyrR_pos	ilvC//pck//aceA//
UhpA_pos	sdhC//
UidR_neg	phoA//puuA//
UlaR_neg	puuE//hycF//paaA//fabA//ahpC//
UvrY_pos	purC//tdcE//
UxuR_neg	glpX//ynfH//paaI//cynS//puuB//
XapR_pos	rffH//gltB//
XylR_neg	
XylR_pos	ldtB//hmp//relA//
YdeO_neg	
YdeO_pos	lldD//mpl//murE//
YedW_neg	metB//fumC//
YedW_pos	lpxD//
YefM-YoeB_neg	dkgB//
YefM_neg	chbF//
YehT_pos	
YeiL_pos	
YiaJ_neg	galT//glyA//waaH//gloA//argB//fabG//
YjjQ_neg	astE//
YpdB_pos	
YqhC_pos	accC//fabB//
YqjI_neg	sgbU//
ZntR_pos	metF//
ZraR_pos	
Zur_neg	deoA//
