# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Mon May 14 21:06:18 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/strict_regulons/random_sets/strict_enzymes.txt
AccB_neg	argG//garK//
AcrR_neg	glcD//hycE//
Ada_neg	putA//fadE//
Ada_pos	glcD//mhpF//caiC//aroF//
AdiY_pos	entE//phnN//paaA//psd//
AgaR_neg	mngB//
AidB_neg	argH//
AlaS_neg	citX//
AllR_neg	murD//dsdA//ribA//glpC//dkgA//hycD//
AllS_pos	udp//alkB//paaY//
AlsR_neg	ulaG//ppiA//carB//
AppY_pos	fadM//slt//
AraC_neg	metA//aceA//alaS//aroL//astA//
AraC_pos	glmS//kbaZ//nrfB//guaA//ascB//
ArgP_neg	
ArgP_pos	metB//speA//aceF//nrfD//hcp//waaZ//mazG//tam//nrfA//
ArgR_neg	fdhF//deoD//galT//paaF//purF//pgaC//hcaD//moaA//torC//pyrD//rdoA//galM//appA//fadA//yfdE//mhpE//cysM//phnJ//
ArgR_pos	adiA//gutQ//paaF//ubiA//malZ//
ArsR_neg	waaH//tadA//
AscG_neg	paaG//fadI//
AsnC_neg	ddlB//
AsnC_pos	ldtC//
AtoC_pos	caiB//deoA//nanE//
BaeR_pos	fabG//prpE//
BasR_neg	metA//
BasR_pos	phnL//cysD//
BetI_neg	yeaG//fadI//citD//
BirA_neg	fadH//nagA//sdhB//asnA//moaE//
BluR_neg	
BolA_neg	sgbH//caiD//
BolA_pos	glgP//atoB//
CadC_pos	fadB//aceE//
CaiF_pos	sodA//sodA//argC//aspA//ppc//
Cbl_pos	udp//pdeH//metE//sgbE//tdcD//
CdaR_pos	gltD//carA//mhpC//alkA//gcvT//melA//uidA//malZ//deoD//
CecR_neg	
ChbR_neg	sodB//sdhD//garR//
ChbR_pos	argI//yibQ//nanE//
ComR_neg	
CpxR_neg	sgbE//frdB//add//
CpxR_pos	gadA//gntK//murD//mhpF//deoB//ssuE//sufS//citF//hyaA//adiA//astC//carB//pgaB//nagA//waaZ//napG//uxuA//cadA//
Cra_neg	paaG//nanM//xylA//katG//galE//leuD//mhpF//aroL//wecC//argE//fadJ//glpD//icd//ruvA//murQ//cynT//nrdB//moaD//caiC//pagP//mtlD//allD//deoA//hycG//rffC//idnK//sucD//nanM//accC//fabI//frdB//purA//gutQ//gatY//pspE//hycD//wzc//puuE//glmS//entB//alkA//glpA//yfdE//frdA//lpxA//yqjH//
Cra_pos	moaA//rsmH//ynfF//garR//pdeL//gudD//nagA//polA//entB//rhaD//gatY//deoB//treC//ttdB//glpX//glyA//hcaE//
CreB_neg	umuC//
CreB_pos	nagA//
CsgD_neg	dmsA//argA//
CsgD_pos	sgbU//argA//pgi//
CsiR_neg	lacZ//wecB//wecC//fucO//
CspA_pos	ppiA//
CueR_neg	yqhD//citG//
CueR_pos	metL//umuD//
CusR_pos	hycE//hemH//malZ//
CynR_neg	
CynR_pos	lsrF//purL//rutC//
CysB_neg	allE//add//nadB//
CysB_pos	napC//entF//nadB//ttdA//gloA//citC//nrdB//gatY//argA//ogt//mdh//glgP//frdB//frdD//fadM//
CytR_neg	hypF//adhE//trpC//purH//trpE//dgcC//umuC//aceA//ubiC//entC//
Dan_pos	ssuE//aroL//
DcuR_pos	metE//fabA//aceE//fbaB//
DeoR_neg	ybaS//galT//pspE//rutD//arsC//astE//
DhaR_neg	
DhaR_pos	citD//
DicA_neg	
DinJ-YafQ_neg	hmp//
DnaA_neg	atoB//sdhD//purN//purL//murF//
DnaA_pos	icd//astC//gntK//
DpiA_neg	
DpiA_pos	treC//wecB//hycD//nanA//malZ//
DsdC_neg	
DsdC_pos	rutC//lpxC//
EbgR_neg	
EnvR_neg	mnmG//idnO//
EnvY_pos	moeA//entF//
EvgA_pos	acnB//nanA//alkA//araD//napH//uvrB//
ExuR_neg	pncB//sdhD//rffH//murE//metC//glxK//
FabR_neg	gpmA//nrdD//
FadR_neg	nadB//gor//ulaD//argG//uxaC//glmU//polA//dhaM//lpxD//
FadR_pos	frdB//argA//fadH//betA//sgbE//glmU//waaZ//aroF//pykF//
FeaR_pos	yibQ//glmU//
FhlA_pos	dhaL//paaF//lysA//pck//glmU//pheT//gltB//
FlhDC_neg	nrfC//pheT//
FlhDC_pos	gudD//glxK//gnd//arsC//ynfG//gcl//accB//glpX//cdd//
FliZ_neg	slt//glpK//cysC//speA//adhE//
FucR_pos	metK//hycF//umuC//lsrK//gor//puuA//
Fur_neg	deoA//mraY//argF//hycD//hcaC//bioB//mhpD//trpB//hcaC//entB//mraY//sgbU//rffH//napB//hcaC//ynfE//garK//wecB//citF//polB//ada//entE//glxR//tehB//hyaC//gabD//fabG//frdD//trpE//rutD//argI//ubiX//mazG//accA//rimK//lldD//sucD//xapA//pheS//glpB//paaY//caiB//pgpC//paaC//nfsA//frdB//purC//metC//mhpE//accB//tyrB//melA//ycjG//fucK//
Fur_pos	treC//katE//ssuE//ttdA//metL//srlD//fabI//ndh//glgB//argD//entB//astB//accB//aceB//rutC//phnI//deoA//
GadE-RcsB_pos	phoA//paaF//cysI//ulaE//
GadE_pos	mtlD//paaG//argA//gltD//hcaD//glpD//zwf//acnA//fumB//betB//
GadW_neg	mazG//glgP//mtlD//
GadW_pos	nadA//cysM//frdD//nrdB//
GadX_neg	pepD//cysM//
GadX_pos	fabI//phnN//deoA//hycB//narH//purN//hcaD//fbaB//gatY//garR//
GalR_neg	dmsB//gpmM//accB//allE//trpC//entE//
GalR_pos	aspC//asnA//entH//murD//
GalS_neg	recF//melA//glcD//caiA//mhpC//astD//
GalS_pos	astB//entD//moaE//glpC//
GatR_neg	gadB//frdD//mhpA//
GcvA_neg	ppsA//puuB//rpiB//
GcvA_pos	cysN//dapB//ynfE//
GlcC_neg	
GlcC_pos	gatZ//caiA//accD//
GlpR_neg	astC//uvrA//purN//entH//glpC//tyrA//bioD//
GlrR_pos	
GntR_neg	napH//pdeL//accD//mazG//glmS//uxaA//glgX//yfdE//idnK//
GutM_pos	ada//tehB//pnp//
GutR_neg	fucU//ftsI//aceE//
HU_neg	rhaD//yibQ//prs//deoB//dkgA//fucK//narG//
HU_pos	
HcaR_neg	
HcaR_pos	hyaB//sdhA//
HdfR_neg	
HdfR_pos	
HigA_neg	pgaD//
HigB-HigA_neg	cysG//
HipAB_neg	ldtD//lysA//
HipB_neg	mraY//aroH//gatZ//
HyfR_pos	add//
HypT_neg	pfkA//uxaC//
HypT_pos	mhpA//phnJ//astB//ppc//ugpQ//
IclR_neg	metE//murC//uvrB//
IdnR_neg	argA//tam//
IdnR_pos	ldtB//metH//dkgA//nirD//
IlvY_neg	
IlvY_pos	wecC//
IscR_neg	polA//ynfE//polB//uvrB//
IscR_pos	ddlB//gnd//
KdgR_neg	fadI//lsrK//
KdpE_pos	fumB//
LacI_neg	paaA//gloA//ppc//
LeuO_neg	
LeuO_pos	waaZ//tdcE//guaA//icd//ulaE//accA//
LexA_neg	phnM//nirB//deoC//phnI//dmsA//ubiC//glpX//dhaM//hyaC//tam//glpA//citX//yeaE//aceA//adhE//sucD//allE//hyi//phnN//fabB//lsrF//
LldR_neg	citF//cynS//
LldR_pos	argH//hycF//
LrhA_neg	
LrhA_pos	
LsrR_neg	sucB//hycD//fadM//leuB//malY//
LysR_neg	
LysR_pos	umpH//
MalI_neg	trpD//uvrA//
MalT_pos	rbsD//codA//nrfB//glnA//pdeH//sucD//
MarA_neg	ubiC//
MarA_pos	uxuA//accD//fadD//entE//aceB//phoA//hycF//araD//hypF//aroF//ada//prs//puuC//murG//fadM//eda//gcl//lsrK//deoC//galK//cysI//puuE//
MarR_neg	
MatA_neg	alaS//
MatA_pos	
MazE-MazF_neg	rutB//
MazE_neg	wzb//
McbR_neg	
McbR_pos	
MelR_neg	fadD//ynfF//
MelR_pos	lacA//carA//
MetJ_neg	yfbR//sdhA//dmsB//pyrC//xylB//xapA//glyA//puuD//fadA//purF//
MetR_neg	fadE//
MetR_pos	hypF//fes//iscS//prs//
MhpR_pos	gdhA//glgX//glgX//hyaB//prpE//pheS//
Mlc_neg	napG//caiA//prpD//fes//
MlrA_pos	nirD//
MngR_neg	pgpC//glcF//
MntR_neg	kbaZ//
MntR_pos	nrfD//
ModE_neg	ybjG//eno//folE//udp//ulaE//zwf//pck//galE//
ModE_pos	fdhF//glcF//metF//uvrC//astE//phnO//
MprA_neg	phnJ//glpX//metC//
MqsA_neg	fadB//hmp//
MraZ_neg	tyrA//yibQ//patD//hyaB//umuD//sucB//phnH//metA//pgaB//nagB//putA//
MtlR_neg	lysC//pgk//lldD//
MurR_neg	argH//cynT//frdD//
MurR_pos	
Nac_neg	icd//carB//fucK//
Nac_pos	lysC//frdD//citD//paaA//murD//fucO//nfsB//
NadR_neg	rnpB//gcvT//alsE//pgpC//
NagC_neg	pnp//gltB//dmsB//allB//sodA//leuC//pgm//gltD//dmsC//malS//nrdF//kbaY//accC//lhgO//rutD//ldtD//lyxK//paaE//
NagC_pos	sucC//murE//
NanR_neg	pepD//sdhD//phnO//aroG//argA//tadA//
NanR_pos	
NarL_neg	eda//ubiA//argD//cyoE//fabG//malZ//wecC//xylA//glmS//rhaD//malZ//araB//bglB//leuC//rffG//rutC//dgkA//cynS//lpd//ulaE//chbF//argB//gabD//arsC//
NarL_pos	lysA//ftsI//ttdA//allE//nemA//atoA//citG//mngB//accA//cyoE//dhaM//mhpD//alaC//
NarP_neg	moeA//narG//astB//
NarP_pos	ulaG//betA//glcD//mtlD//glpQ//gloA//alkB//relA//metA//gabD//
NemR_neg	pgaC//mdh//
NhaR_pos	hemH//gudD//rffH//pgm//sucD//
NikR_neg	katG//
NimR_neg	hcaE//
NorR_neg	
NorR_pos	galT//
NrdR_neg	eno//pnp//rffM//allB//
NsrR_neg	codA//tdcB//pdeL//glgX//frc//aspA//ssuE//pnp//yeaG//trpC//ppiA//fumB//hypB//tauD//fadJ//caiD//cdd//dmsA//fabG//bioA//pykF//dhaK//idnO//glcE//guaA//gltD//purM//argB//tam//rutA//malQ//nanA//ttdB//wecB//pepD//hypB//
NtrC_neg	lacZ//fucA//
