#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ybdM//ptsG//mdtA//nanE//
GO_0000023_6	cyoA//
GO_0000025_7	pinR//
GO_0000027_7	uspE//lolE//ytfE//mhpD//yiaM//rarA//crfC//selU//cdd//hybD//thrB//srkA//ubiC//
GO_0000028_7	tamB//hypA//arnT//ydcT//ygbI//dnaJ//csgD//adiC//glnB//
GO_0000032_8	topA//
GO_0000041_8	araH//clcB//hyfR//deoB//pykF//purU//galE//xylF//insI3//mpaA//dinQ//lpxL//narW//phnH//agaW//ihfA//ilvC//tdcG//dusC//yehB//hyaD//cirA//rlmB//atpE//sgcA//murE//glgP//uhpT//stpA//fdhE//fimD//yccA//fliD//adk//hisP//menF//uof//hflK//bamA//
GO_0000050_5	dxr//yibA//ompW//rcsC//yhjB//pinQ//rimM//
GO_0000053_5	hybC//
GO_0000096_5	ydjM//zapD//lacY//ydbK//queG//prfC//uvrA//umuC//cysK//cutC//kefC//aldB//rpiR//argT//dacC//mcrA//yajL//dicB//glpX//rbsR//tyrS//
GO_0000097_6	ygeA//nanT//panF//yeeY//murC//tadA//lepA//hxpB//dcuR//fhuC//rpsB//truC//malQ//malS//
GO_0000098_6	flgI//fryC//ydjK//yadC//sseA//
GO_0000101_6	amiB//mrp//ccmF//blr//sgcR//fdhF//mobA//elbB//gyrA//nemA//ynaE//ulaE//puuD//kch//waaP//
GO_0000103_5	ybaL//hscA//intA//
GO_0000105_6	mdtF//cecR//ynhG//tdcE//yjbF//hofQ//rhaA//hofC//
GO_0000154_7	insI4//glpX//eutA//wzzE//dgoR//focA//dcyD//pphA//mgrB//cydC//purR//truD//opgB//psuG//ompW//yjgX//evgA//metE//msrQ//argP//yjiQ//cyoA//paaH//surE//tsaD//yihL//ilvB//lolC//sgcC//phoU//intS//recJ//
