#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	obgE//queD//csiD//nlpE//
GO_0000023_6	rplK//
GO_0000025_7	mliC//
GO_0000027_7	yhdW//ydjE//hypC//kefF//atpA//tsgA//yeeL//pheM//garL//hisC//greB//yehP//luxS//
GO_0000028_7	alsK//panE//ynfK//queF//exbD//speA//torZ//hemL//araC//
GO_0000032_8	yghU//
GO_0000041_8	lysU//cycA//yeaD//sodA//cysU//rutE//katG//pabC//yejF//trmB//nimT//nrdR//rraA//frlC//ycjD//thiE//ydfD//maa//mtlA//pckA//insB-2//ruvC//rzpD//yahF//yjbH//rutC//osmF//ycfJ//rsmH//dxs//paaH//glpB//yfeD//intS//bioA//rnlB//erfK//nrdG//holC//
GO_0000050_5	xanP//yadK//ghoS//lolC//ybhF//lyxK//envC//
GO_0000053_5	coaE//
GO_0000096_5	ariR//mutY//btuF//glgP//ytfP//rfaB//adeD//rhtC//cytR//glnB//argI//ppsA//ydeE//sucC//hmp//tolQ//mrdB//gltK//fetA//ldcC//potD//
GO_0000097_6	cpdA//rpsE//yraN//rcsF//aroA//cpoB//moeB//mdfA//dinD//ycjY//leuB//arnD//trmJ//preT//
GO_0000098_6	dsbC//yjeH//yghG//rimP//qseC//
GO_0000101_6	rnc//rluA//ridA//folD//eutK//trkG//add//puuA//miaB//rpsA//tcyL//lacZ//dnaN//dnaC//opgC//
GO_0000103_5	yrfG//pgpB//cmoM//
GO_0000105_6	pagP//yoaB//csgG//intS//wbbK//yafE//yggW//frvR//
GO_0000154_7	dinD//bglX//potD//rlpA//ycgB//nadC//yhcF//phnH//cmtB//pepA//gudP//upp//elfC//nrfD//mltF//yaaU//trmB//fieF//rsmD//gadA//rimI//lptG//pstB//fabI//glnD//lpxH//glnA//srlA//rfbX//folX//ydcP//yjcE//
GO_0000160_5	pgaA//marR//dapD//yhcN//luxS//emrE//waaZ//fucP//bglX//murQ//ppiD//fhuF//folM//iscU//ygdG//kdpB//narV//hdeB//aroC//cspD//uxaC//glrR//elaB//yibT//ykgO//purF//nirC//mglC//ygeR//yqeG//ydeI//hisQ//hypT//cusA//lsrK//yeeO//ygeX//rplM//fhuF//hcaE//waaO//trpB//ycbX//
GO_0000162_7	yagG//tsaD//aroD//dnaQ//rlmE//malQ//dadA//yhcN//abpB//
GO_0000255_5	fkpA//dmsA//ybcJ//emrK//mutY//
GO_0000256_6	eno//srlR//sulA//uxuR//nhaA//
