#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ndk//hipB//ybcJ//aaeR//
GO_0000023_6	pdxK//
GO_0000025_7	glsA1//
GO_0000027_7	livH//rpiR//csrA//nanR//tusD//sufD//speC//livM//dcuB//betB//fdhD//soxR//abgR//
GO_0000028_7	allS//osmC//cspB//cvpA//hisS//xapR//arnE//nadC//araF//
GO_0000032_8	bglX//
GO_0000041_8	opgC//yfcA//sulA//gor//yieK//nadA//bacA//rbsD//relE//basS//trpA//mutL//hyaB//ynfE//lolB//ybhI//ndh//afuC//waaB//treF//ymgC//recD//ycjW//rluC//ydiO//hybE//mreB//fdoI//sucC//ftsQ//uacT//nfo//aroP//tdcC//ycfJ//gudP//rsfS//rrrD//mntP//
GO_0000050_5	pinE//glgC//yieF//yfaL//fimA//atpD//mlc//
GO_0000053_5	solA//
GO_0000096_5	gatY//leuD//ackA//waaP//rpsJ//yagJ//hybE//yadK//rpsL//yebZ//paaX//nac//cysA//patZ//glsA//yciA//yoaB//torR//rsmB//syd//cynT//
GO_0000097_6	qseC//fadL//asnA//yneJ//hemG//rlmM//iscR//tsr//prs//ynaI//yqaA//tolR//speA//fkpB//
GO_0000098_6	glyS//yhhY//aaeB//yibA//rbbA//
GO_0000101_6	yciF//yadV//dsbA//glnQ//allS//dacD//narG//intF//intQ//dnaX//ybbN//lsrB//satP//sucB//dnaX//
GO_0000103_5	rdgC//srlD//nupG//
GO_0000105_6	cyoB//sdhE//xapA//citT//ccmA//thrL//artJ//htpX//
GO_0000154_7	nrdA//srlR//rplB//msrP//hofP//dadA//hprS//cho//allS//iscR//nupC//yciH//cho//yfdG//dhaM//fucP//rpmC//btuC//rplK//pntA//sdhB//rihB//caiE//oppC//pnp//elaB//fryA//hyi//ybiX//phoU//fdnH//hycA//
GO_0000160_5	glgX//priA//ynaE//uxuR//xerC//nrdF//holB//lepA//yjeH//pinR//treR//recC//fryA//rnlB//gatY//dgcE//yecS//dxs//mhpC//cca//yehU//clcB//tyrS//elfD//ydfH//ygaV//cusC//patD//parE//bioD2//exbB//ydgA//cmtA//tusE//ompA//codA//hemH//bdcR//ogt//cheY//dmlA//bcsQ//narZ//
GO_0000162_7	fsr//waaQ//qorA//fucA//arnE//ftsX//mepH//fepC//agaV//
GO_0000255_5	ilvM//groL//oppA//lsrB//adeQ//
GO_0000256_6	nrdF//etk//frwD//xanQ//yfiE//
GO_0000270_7	solA//tsgA//crl//nrdE//sohB//gltL//rbsK//bacA//ygdG//clpP//ycdY//lexA//yhjR//ycfH//sfsA//intZ//hemD//aas//rimK//yiaO//metR//elaB//rcsC//upp//fur//fecC//entD//ccmH//lpxC//sfmF//waaS//mepS//fucK//napB//nadK//sutR//yhdJ//fabD//narK//nrfC//dinQ//rpsN//lysA//prmA//ldrA//argT//pheA//eptC//rpsL//ydeP//potF//elfC//cmtA//rpsJ//xerD//oppB//nirC//setB//endA//ybjL//serS//gabP//ftnA//
GO_0000271_6	hyaA//ltaE//casB//fryC//hypB//waaJ//puuC//hyaB//dfp//ssb//tauD//gltS//obgE//yihL//valS//emrD//eco//ynbC//fruB//tsaD//ydeO//yidH//hslR//rclR//ydaC//argS//gltP//amiC//rcsB//idnK//blc//yhcN//hupB//yfcV//iscX//waaY//mepA//queE//hofP//rimJ//galF//zraS//sdhE//recQ//ftp//thrA//oppB//hybF//ycbV//yhbS//
GO_0000272_6	rutB//hyaA//narJ//yehP//nusA//ydfG//
GO_0000302_5	yieK//gntU//argB//yfcA//secG//rplS//sgcR//yccS//rffH//dps//mepA//cmtB//tdcC//intA//gcvP//srlB//cspD//gatY//gph//cdh//surA//tufB//bdcR//yddA//cobT//hofC//ibsA//emrE//ttdA//fumB//ybaO//
GO_0000303_6	dppF//csgG//
GO_0000305_5	katG//yejF//csiR//
GO_0000372_11	betI//
GO_0000375_9	gspE//
GO_0000376_10	intA//
GO_0000413_9	selB//uvrC//tas//yfeR//rlmG//rclR//ompA//sdhE//
GO_0000451_7	yfiR//fes//intA//fabB//yfcF//
GO_0000453_8	hofO//ftsK//dusB//flgM//murG//
GO_0000455_9	lsrC//fadJ//bdcR//fepC//nrdD//lpxH//rihB//
GO_0000462_11	yihT//viaA//
GO_0000469_8	yiaF//
GO_0000470_10	rffT//
GO_0000478_9	ppx//
GO_0000715_6	scpC//
GO_0000716_7	groL//
GO_0000724_8	lolA//
GO_0000725_7	ddpX//tisB//ybiI//lptB//bglB//fucA//
GO_0000726_7	rdgC//
GO_0000731_7	rpnC//etp//cysC//amiB//cobB//hscC//yneJ//
GO_0000737_7	plsB//
GO_0000738_7	pinQ//yebQ//lpxT//
GO_0000746_4	pbpG//
GO_0000820_7	ompN//
GO_0000902_5	frwB//
GO_0000910_4	tdk//rluF//cobS//lpxT//gpsA//pgaD//gdhA//argE//yjcE//yehP//fliG//ubiF//menF//fadH//rpiB//kefC//cyaY//pth//
GO_0000917_6	hycA//eutK//mdtF//cusF//allR//
GO_0000918_6	insB-4//tisB//tsaB//yebQ//
GO_0000920_3	mutH//rof//mtlD//iscX//yhdW//
GO_0000921_6	ybaM//
GO_0000966_8	cpxR//xapA//rsmF//mmuP//
GO_0000967_10	putA//aer//waaC//
GO_0001101_4	cbl//abpA//pta//bioB//nikD//ahr//mraY//frwB//sufB//serC//modB//guaC//gntU//intS//yohD//yqeG//yheT//mtn//livM//napB//bioP//cbeA//gudD//gpsA//cheB//uxuB//
GO_0001121_7	epmB//emrY//
GO_0001123_8	flgH//
GO_0001124_8	feoA//
GO_0001407_7	amiB//cecR//rzpD//tusC//
GO_0001505_4	flhE//yjhC//lldD//yciF//tolQ//ybaO//oppD//gadC//yaaA//csgE//tomB//rpnB//hemE//rpoE//yhdX//nadC//
GO_0001510_5	yjtD//sfmH//ddlA//cysG//hemG//yodD//ppsR//rzpR//rcdA//gloA//groS//dacD//greA//mazF//fruA//yieL//kdgK//yqgB//ydeO//lpxL//cas2//yfeX//emrE//fimZ//gyrA//thiD//trxC//cbtA//ascF//yqaE//dacC//envY//hemF//csdE//ldtC//rdgC//mnaT//fadA//ycjU//yhcH//
GO_0001514_8	ydcI//
GO_0001522_7	cspB//hcaE//rraA//mcbR//cobC//rsmG//katG//feoC//lasT//yeeA//udp//plsC//dcuC//
GO_0001539_4	rph//uvrY//ynfF//yicJ//murR//gltS//dhaK//rpnA//frvR//ilvN//mcrA//folC//argO//ynjD//nagZ//gfcE//torC//nuoN//ybiH//cspI//qseB//yobA//glrK//feoC//ydhC//cspE//ogt//srkA//yfdR//hyi//gph//
GO_0001558_5	rpnD//aroK//glvC//rng//pspD//gapC//dacC//fliG//
GO_0001561_6	glnA//
GO_0001666_4	hisS//
GO_0001676_6	hisF//chbA//accB//
GO_0001680_11	cobB//
GO_0001682_11	ymgA//
GO_0001731_7	aroL//
GO_0001762_6	rfe//
GO_0001887_4	tdcG//yoaA//betI//
GO_0001896_5	yhjX//frdB//hupB//hyfF//
GO_0001907_5	adiC//epmC//rcdA//fucO//
GO_0001932_8	speD//tsaC//
GO_0001934_9	bcsQ//
GO_0002047_6	rplR//fabB//
GO_0002097_8	mlaE//qseB//rluD//xylA//xanQ//tisB//flgI//yihT//ugpA//insI4//tomB//rplO//yaiV//ulaB//truC//sdhC//pliG//glrK//ispA//
GO_0002098_9	mdtM//phoA//cmoM//diaA//ygiN//ibsA//ypdI//cheW//treC//deoA//pphB//sbcD//atpA//
GO_0002099_9	lpxM//gloA//
GO_0002100_9	rsuA//
GO_0002101_9	tdcG//rpsN//
GO_0002128_7	thiH//ynaI//ddpX//gudP//
GO_0002130_8	fepC//
GO_0002131_9	mrcA//
GO_0002132_9	fimF//
GO_0002136_10	yfaV//
GO_0002143_9	sapF//csgA//folC//yfbV//fetB//acrR//
GO_0002181_7	araC//rclC//
GO_0002183_5	uof//
GO_0002184_8	prfC//
GO_0002188_6	ssuC//
GO_0002190_6	lysR//
GO_0002192_8	eptC//
GO_0002252_3	kefB//ydcP//tcyL//fadE//yhbO//tolR//speF//rdgC//yggN//folP//
GO_0002790_6	fepB//frmA//nikB//waaS//yhjG//nikB//fumC//
GO_0002937_9	relE//
GO_0002938_8	xseB//
GO_0002939_7	rstB//
GO_0002943_8	sfmH//
GO_0002949_8	argE//nikC//rsmG//puuB//
GO_0003333_7	yebG//lsrC//nei//fadR//dusC//gmk//nuoN//ymfK//wzb//seqA//yehB//rlmL//waaF//ugpA//pflC//rnhB//dnaB//rlmJ//mutM//cpsG//yohD//xylH//setC//rluC//hisA//envY//murE//frlB//cspC//kdpB//phnO//secA//leuB//prpB//yidH//ade//mqsR//roxA//yjbE//shiA//yqhC//paaC//narQ//hofC//purF//dsbA//nrdE//thrC//pnp//
GO_0005975_4	gadB//hyaB//paaJ//fkpA//ygiW//xylG//ycfJ//yihP//aroH//lsrA//fmt//pheT//gdhA//iclR//ulaE//dedD//trmL//asr//mdtI//sucC//dnaC//hcaB//ugpE//yicJ//fetA//mrdA//mltC//ybiI//yeeJ//rimM//proC//rfbD//yciF//umuD//yaaJ//aspS//hxpA//torY//yjaA//yfdC//potE//carA//ydfD//yadN//rffG//araE//gshB//ccmH//yoaA//gatA//modB//menC//kdsD//ybhP//pcm//eamB//yrbG//uhpC//rpmG//treA//caiF//ydcO//fixA//feoB//dgcZ//pepA//mltC//bamE//hypE//crp//spy//mdtF//yqhD//dinI//frwB//ddpA//yaiP//nirC//yihV//deoD//ynfF//degP//tatB//garR//puuR//rhaD//dxr//cydB//rsmI//gyrA//nudF//chbF//cbpM//fliZ//bamA//satP//fdrA//ssuA//folA//glgB//bglF//hisB//phoU//mdlB//ybhD//leuA//thrC//secF//rpiB//avtA//talB//pntB//frvA//aroG//dusB//cspA//hemE//purT//trpR//asr//ybcC//hypF//rpoA//cecR//coaE//phoU//carB//pnp//lsrR//lpxH//ynbD//fecA//tyrS//cysI//glcC//allC//yhdX//pykA//gpt//gltK//yciV//leuE//mngB//hemC//amyA//tag//zapC//yagG//yqgF//rpiR//clpS//ddpX//yraI//bcsQ//cpsG//fadB//tomB//ftsN//cpoB//yhcF//hofN//mlc//ymgA//cytR//yeeY//hisH//waaZ//yehY//yoaB//aroL//ilvB//sfmA//narV//proB//prfB//gcvH//hyaC//glsA//acrZ//yibT//sdaA//yqgB//paaD//dppD//yqcG//yieL//oxc//lspA//ychO//flgJ//iscR//dinD//purD//ugpE//rutR//yeiL//chbC//adiY//yhbY//purR//ileS//hofP//rutA//paaG//tqsA//caiE//nadB//pgpB//recR//narW//cadC//yajQ//ptsI//nhaB//ygfX//fkpA//fadL//atpH//ytfT//ahpC//tesB//hsrA//pgrR//yihT//ymgC//yfiF//casB//ybcQ//sfmF//frvA//deoR//accA//hisS//opgC//csgA//gabP//ppsR//garP//yiaB//livF//entB//yggP//puuP//mdtG//nadE//caiF//dsbC//nrfC//msrA//rplQ//arnT//gyrA//ypjD//smpB//
GO_0005976_5	yehP//bolA//tsaE//galT//murQ//talB//accC//yggD//yfaV//mdoG//sdaB//yiaN//waaL//cbl//cutA//yggP//mepS//hflK//yadV//deoD//uxuB//mnmA//oppD//ycaO//eamB//nepI//ybcF//ftsA//gcvA//manZ//pgaC//melA//ymgF//potH//yneL//zntR//cusR//hipB//dnaG//citG//fimH//mlaD//rbn//ycbU//murE//iap//yqgF//ybaT//intS//tsaC//hns//gpmM//dtd//rplW//gspE//solA//rlmF//secB//ais//
GO_0005977_6	valS//amiD//artJ//aaeR//yfaU//htpX//der//tyrS//
GO_0005978_7	yajO//aspC//codB//dacC//
GO_0005979_8	rnb//
GO_0005980_7	lptA//rtcB//folX//
GO_0005981_7	ftsP//
GO_0005984_5	dacB//sbp//insA-2//fadA//yhjR//appY//phnP//pstC//queD//yqaB//bamE//
GO_0005985_6	msrC//
GO_0005986_7	argG//
GO_0005988_6	ulaG//yhjG//
GO_0005990_7	kefB//rclB//
GO_0005991_6	fliZ//ychH//crfC//uidR//yehD//
GO_0005992_7	tufA//ileS//
GO_0005993_7	rluA//artJ//amiA//
GO_0005994_6	asnC//
GO_0005995_7	rcsC//
GO_0005996_4	hyaD//arnF//sufE//msbA//creB//malG//murB//aphA//yghO//rutR//sspA//lolA//kduD//trmL//yjcE//menH//phnJ//glnE//cysD//yjiR//yhcD//rpoS//yddM//yihX//yjhI//flgG//ttdA//fimH//mzrA//speB//cdd//chiP//ynfL//yiaM//yjbE//flgB//fepC//epd//ccmG//cobU//glnL//yihS//mreC//waaP//yicJ//ykgA//lpxP//nagB//araD//mipA//ygaV//yfcS//pflA//pldB//hemN//lptD//yihS//potH//glnH//relA//efp//ybdR//wecB//fecA//potF//glpF//yiaN//sgbU//xseB//caiE//mepS//era//dnaX//fecC//ung//rfaB//def//yidZ//sufE//tolB//insI-1//pheS//
GO_0005997_6	zur//
GO_0005998_7	gfcE//
GO_0006000_6	cysS//fliZ//cspG//
GO_0006001_7	ytfR//ynbB//
GO_0006002_5	clpS//purU//hyfR//
GO_0006004_6	waaB//preT//rihA//nagD//dinD//betI//
GO_0006006_6	mprA//murG//tdcD//trpC//mglC//aroB//elaB//yidH//prpD//pphB//purF//cyoC//hisA//glsB//yfcF//yoeB//nrdG//sgcB//ansA//thrB//ychH//crr//nmpC//
GO_0006007_7	mtfA//katG//hofN//
GO_0006011_5	yajR//
GO_0006012_6	yjiR//plsX//rlmG//ybaK//yagU//sohB//bssR//flgB//pgaC//
GO_0006013_6	malS//yobA//
GO_0006014_6	nupG//ynaI//lgoD//
