#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	deoR//lgt//sgbE//nikR//
GO_0000023_6	rffG//
GO_0000025_7	syd//
GO_0000027_7	idnD//hofO//thrL//cspD//ampG//dgoT//ybjC//ygeW//araD//lhr//rffG//srlA//hscB//
GO_0000028_7	thiD//yihT//ygbL//ydbK//livJ//yihL//yidD//gspF//setC//
GO_0000032_8	gmhB//
GO_0000041_8	accD//tdcA//phnM//ydcO//cyoA//fadI//rhaS//caiD//gluQ//yegT//tolA//nagC//ppc//thrS//zinT//ydiK//idnO//mltD//ydcT//gdhA//nuoG//rplL//ulaG//ybaQ//dsbC//fepD//feaB//uraA//ybhG//murQ//glcC//nrdA//tehA//pyrF//hisI//rnb//ridA//yoeE//ymgF//
GO_0000050_5	leuS//acrA//lacY//yfgI//mltF//ilvN//ynbD//
GO_0000053_5	thiC//
GO_0000096_5	bamE//mraZ//hslR//rimJ//tpx//araB//fruB//flgJ//allS//dnaJ//queD//menA//yajL//ydjH//cydD//amiB//fadJ//ispH//cobT//pdxK//acrA//
GO_0000097_6	tpx//sucD//rutD//abgT//uspG//rng//btuE//gltD//hcaD//sdaA//tisB//rclR//cyoC//waaG//
GO_0000098_6	sucB//intA//mliC//recF//arnF//
GO_0000101_6	cmoM//hemB//ybgI//dsdC//lolB//rpmA//prpR//yafO//sgcR//sufS//glcE//entS//ydiP//ftsK//bglX//
GO_0000103_5	tilS//sdhC//glvB//
GO_0000105_6	gltI//yjbB//mmuM//ghxP//lolA//ydeP//gutM//yjbB//
GO_0000154_7	sgrT//yjjV//btuB//yraH//elaD//murJ//ydjH//yiaT//znuC//yciT//fimC//degP//yieH//cysI//treA//putA//rpmC//cheW//insI4//maeA//lsrR//asmA//pheA//slyA//rplW//bioB//recF//infC//yjiM//sdhC//leuD//rclA//
GO_0000160_5	dsdC//flgF//wecB//priB//hcaB//yggN//lgt//yjjX//edd//rusA//hyfC//mgsA//polA//potF//gpr//rffM//yfdG//efeO//recA//cpsB//fpr//yhhT//aspS//rmuC//mdtN//yfeR//tdcB//ycbB//fadJ//fliT//frwB//fur//sbcB//ybjG//rhaD//dbpA//rplD//yfeW//nagA//kbaY//ghoT//plsX//panD//
GO_0000162_7	hmp//dapB//insI3//dinJ//rmuC//yfgI//ftnB//prmA//yaaU//
GO_0000255_5	slyD//pheM//trkA//ynjD//yoaA//
GO_0000256_6	pyrG//shoB//nrfD//rclR//fliA//
