#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	folD//adiA//phnC//modA//
GO_0000023_6	yfeX//
GO_0000025_7	lapB//
GO_0000027_7	rarD//ubiF//ybiY//nanA//napF//zraS//coaD//gutQ//yhcD//rpsG//appB//fadE//selA//
GO_0000028_7	ftsA//sppA//yagJ//rcsD//yraH//phoP//intE//cydA//lpxK//
GO_0000032_8	ybiS//
GO_0000041_8	yiaO//yhaC//nanS//xanP//bamC//rluE//yojI//yhbY//ydfD//iscR//lptA//pabC//ykgA//fieF//elaA//yhaV//hemL//modA//rnt//yjjG//yhaV//ulaG//narY//ybjG//rplW//rbsA//nac//mtn//focB//argG//ybaO//rffT//yijO//znuC//polA//elfA//uxaB//purR//viaA//
GO_0000050_5	hemD//livG//yejF//nuoL//coaA//yjjU//secA//
GO_0000053_5	ftsN//
GO_0000096_5	thiG//spoT//fadK//cysP//mnmE//yhiM//clcA//yjiR//cvpA//yheT//rplS//yjiY//artP//gatZ//phnG//yfiE//agaR//tbpA//hokB//hemB//higB//
GO_0000097_6	secY//slyA//guaC//fadJ//pgrR//frdA//ydcS//mutY//fur//fruA//pdeH//aaeA//livH//lspA//
GO_0000098_6	pheM//glsA2//yqgF//napD//osmY//
GO_0000101_6	yhhZ//cadC//lipA//mfd//yeeO//btuD//serS//mazF//psuT//osmY//yqjA//yjjG//mrcB//hyaC//ybfA//
GO_0000103_5	wecC//frwC//yjiX//
GO_0000105_6	trmI//bisC//chbA//pgsA//emrB//psuT//pbpG//uxaA//
GO_0000154_7	fucA//ldrB//yobA//yggF//alaE//ahpC//mdtB//aroE//gltX//ftsP//rbbA//ygbN//sodA//acrZ//yjiX//tusE//cobS//ycdY//glsB//ilvD//oppB//lacI//fadL//ygjK//argK//yggF//rep//xthA//yggD//creC//insI3//tdcE//
GO_0000160_5	ftsK//ygiN//vsr//tyrA//frwB//tcyP//mraZ//ycdY//waaF//ygeV//tnaA//dld//ybhI//ychF//pflA//astC//dsdA//nrdB//lolE//tolQ//rffC//lldR//rppH//yphF//ykgM//speD//ycfS//emrK//nrdH//evgA//yhiM//acpS//ycfH//nrdF//yhcF//hcaE//glsB//rbsR//pmbA//secE//melR//nagA//hiuH//
GO_0000162_7	yaaJ//hyfF//recR//phoA//ynfK//ybjI//tolA//paaE//fimZ//
GO_0000255_5	hofO//kbp//waaZ//tnaA//ybdZ//
GO_0000256_6	nimT//ftsH//glnS//fruK//rlmH//
GO_0000270_7	dicB//mdtE//ftsI//thiD//bioD1//hmp//yedL//kduI//tusC//livH//rusA//tcyN//paoC//flgK//galT//tatD//yehC//sdhC//gadC//oppB//manX//gmd//clsC//alaA//nupG//psuT//rutF//xthA//frmR//btuD//ydcO//tusD//flgK//tdcC//malQ//casA//phnG//ydcO//asd//proA//carA//cysP//hemN//hlyE//kdgT//rpmH//tcdA//yobA//btuC//casB//yfeO//yfdC//yfcQ//ygjH//rhlB//gutM//pspA//folA//dmlA//rsmH//amiB//znuB//tdcC//
GO_0000271_6	rbbA//yobF//rplL//holA//trpR//purF//dapF//uspB//eutR//speF//bglB//dgoD//kbaZ//yhjG//fucO//xylB//potF//xerD//lolB//mrr//pcm//rcsD//atpE//mlaE//puuE//mrcB//yafE//pbpG//glxK//yieK//phr//hcaF//fdnG//cysS//cysZ//purT//ycbX//ybdM//aslB//nrfF//adhP//dnaA//ydfG//cpdB//tsr//yhhY//pcnB//yciF//sad//opgB//
GO_0000272_6	fryB//gmhB//infB//mngA//dnaB//gltL//
GO_0000302_5	yhaM//araB//dnaE//recR//rsmB//hofC//narW//sapB//tdcD//ulaC//yfcF//bamB//gmd//mppA//parE//ogrK//osmC//livJ//prpC//mdlB//ybcM//fiu//yagI//dnaJ//dgcQ//yoaB//ldrA//chbR//paaE//sapF//rcnR//
GO_0000303_6	yihR//basR//
GO_0000305_5	rluC//lpxT//rclR//
GO_0000372_11	apaH//
GO_0000375_9	ftsQ//
GO_0000376_10	cobS//
GO_0000413_9	ompF//yiiE//mutS//yihR//rzoR//galS//pta//lexA//
GO_0000451_7	rsmI//ybdR//cpdA//puuA//serS//
GO_0000453_8	bhsA//argT//ycgB//setC//ycfL//
GO_0000455_9	dicB//gmd//hypE//asnS//leuE//dgoR//rfaD//
GO_0000462_11	yehB//yidK//
GO_0000469_8	ydcT//
GO_0000470_10	rluC//
GO_0000478_9	mhpA//
GO_0000715_6	fepE//
GO_0000716_7	phnG//
GO_0000724_8	ortT//
GO_0000725_7	pbpC//ppsR//gstA//ushA//ubiD//metK//
GO_0000726_7	rhlB//
GO_0000731_7	gadC//ugpA//fabZ//rplY//ampH//sgcE//roxA//
GO_0000737_7	hscA//
GO_0000738_7	hemA//higA//iap//
GO_0000746_4	lrp//
GO_0000820_7	purF//
GO_0000902_5	lpcA//
GO_0000910_4	yedF//rpoE//leuS//yfdC//yegD//pykA//ttcA//queE//cytR//trkA//fdoG//ydjL//rhaA//setB//rluD//cyaA//mdlA//tatE//
GO_0000917_6	dacA//argD//carA//cadB//pcnB//
GO_0000918_6	mscS//kdsD//pgaC//xisE//
GO_0000920_3	nuoF//relB//dmsC//queD//pdxJ//
GO_0000921_6	fimI//
GO_0000966_8	treB//yfcG//dgoR//rhaB//
GO_0000967_10	ygcR//thiC//sdaB//
