#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	sgbU//recF//nrdH//cvpA//
GO_0000023_6	yiaL//
GO_0000025_7	ebgR//
GO_0000027_7	miaB//cysG//elfC//ruvB//csgB//ilvL//ilvE//yqeF//tusC//recC//rrrD//epmC//pcnB//
GO_0000028_7	argA//fcl//hsdM//chaC//amyA//umuD//yhaM//nanT//kdsD//
GO_0000032_8	ung//
GO_0000041_8	tsaB//rnd//glrK//arnA//ftsB//hybO//ansA//nhaB//queD//hofO//pyrB//yehX//hns//gudX//araD//rplL//yfeO//rhoL//nlpA//mngA//dnaX//livH//yhfK//rpsP//xisR//symE//znuC//ttcA//yiiM//argS//lptD//cspE//ychO//tag//dhaK//osmC//raiA//frmB//ileS//
GO_0000050_5	eutR//lptA//mpaA//ascF//yjiA//mutT//ygeV//
GO_0000053_5	evgS//
GO_0000096_5	rlmA//opgE//cyoB//gfcE//ldrB//prlF//nadA//lysR//hisG//rtcR//rhmD//tyrA//rsmF//ybdH//cheB//iscR//ralR//fdhD//gabD//insI1//cbeA//
GO_0000097_6	wecC//ybiH//ptsG//hybC//cobS//yebZ//cas3//ybcL//truA//glnH//panE//livM//lplT//lnt//
GO_0000098_6	ymgA//lsrK//tar//citX//flgJ//
GO_0000101_6	dnaJ//purL//gcvR//torZ//lpoA//cysG//entH//yhjG//pabC//yeeA//kdpD//sucA//rnlA//ihfA//metN//
GO_0000103_5	abpB//yjbG//fbp//
GO_0000105_6	asnC//fryA//xseB//mnaT//znuA//poxB//cheA//yjjX//
GO_0000154_7	zraR//luxS//yafE//agaS//ssuA//tqsA//xisR//recG//cyoD//ftsN//rspB//ubiF//yhjG//alsE//ribB//yhjV//ghxQ//trmD//ampH//idnK//gadB//ynfL//hisD//secA//crcB//insK//trpR//ghoS//uhpA//glsA//rutA//fdnG//
GO_0000160_5	folX//cvpA//yjcS//murP//mrp//nuoF//yoaB//yiaT//wcaC//yadK//yeeO//yqiG//potI//yagF//flhD//ycfS//xylA//secB//cutA//hsrA//gltX//ydiR//atoB//exuT//bamA//guaA//rbsB//allS//ydjK//treB//cusS//prlF//mdtD//glpG//yddM//cedA//sgcX//cof//ybhA//rbsR//kdpB//mreD//ihfB//
GO_0000162_7	leuB//ftsH//yeaV//zinT//hisD//nanK//gntT//pyrF//zapE//
GO_0000255_5	trmA//ycdX//recD//yjaA//nrdH//
GO_0000256_6	ecpR//poxB//yejB//dnaB//pinE//
