#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rnt//cysZ//ariR//nrdG//
GO_0000023_6	fdhF//
GO_0000025_7	cobC//
GO_0000027_7	dhaM//amtB//yfcA//gnsB//recF//cynS//hemE//hns//yihO//cpdB//bamB//nrfC//yjiR//
GO_0000028_7	rpnB//ydhJ//dsbD//yieF//feoA//fliG//secE//lipA//cysW//
GO_0000032_8	ynfL//
GO_0000041_8	kduD//purR//nrfC//rhsD//yeeL//yihR//prkB//mntP//nac//nikA//aroG//rlmD//udp//nrfF//paaD//yedX//holE//grpE//ydiK//fpr//fkpB//trpS//basS//mreB//smpB//lpxK//dppB//amiD//phoR//priA//puuE//adiY//epmB//puuB//cyoE//narP//sucA//entA//argC//
GO_0000050_5	yegV//rhtB//mscS//fimI//glsB//hslV//paaX//
GO_0000053_5	ccmG//
GO_0000096_5	fabI//purR//nanE//ytfP//cueO//cnu//yoaB//cobB//bluR//rplS//yqhD//rhtA//insB-2//pdxA//uspF//tmk//mdtB//phnC//nuoG//rpoE//xdhB//
GO_0000097_6	paaD//fryC//yeaV//gppA//mscM//mgsA//rfbC//slyD//rnlB//yibT//yidL//kdpE//adiY//gshB//
GO_0000098_6	lpcA//map//rhaT//yaiP//fimF//
GO_0000101_6	flgH//glpA//ydiQ//fimC//rbfA//htrE//pstA//gpmM//higB//gudP//yhdH//yidA//hsrA//ygeR//lhr//
GO_0000103_5	ycjQ//yqhC//tdh//
GO_0000105_6	alkA//agaB//coaD//ddpX//mtlR//yhjD//cas1//gstA//
GO_0000154_7	yidA//nth//trmI//frvR//xapA//lptD//ilvH//secD//truC//lpd//moaA//phoQ//yicJ//menI//rcsD//tcyP//rssA//topAI//glvC//rfe//hsrA//thiG//kduI//panZ//csrD//pdxA//torS//ompA//degP//mdtO//tsaD//mprA//
GO_0000160_5	dnaG//rpsT//mpaA//mdlB//fur//hpt//dtd//yjjB//yfcR//rihC//pstB//ftsN//ynbC//puuA//plaP//ppiA//xylH//gudD//mscM//truC//hdfR//kdpB//gmhB//gntP//rbsR//hcp//pcnB//rsmB//trmB//eutD//opgH//gcvA//ghoT//acrD//emrB//yjhI//artI//kbp//gatB//mak//gloB//mltF//fhlA//
GO_0000162_7	mdtL//tdh//ynbC//speA//bamC//garD//waaP//flgI//rlmD//
GO_0000255_5	lsrC//yfaX//insB-2//yadM//yhaV//
GO_0000256_6	rhsD//ydaC//yieH//acrE//artM//
