#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	symE//yaiV//mlaB//potI//
GO_0000023_6	uxuA//
GO_0000025_7	bglA//
GO_0000027_7	rpoH//uspB//mrcA//radD//plsB//gsiB//yggF//murC//hha//ypdC//ahr//fpr//mtn//
GO_0000028_7	sbcB//garP//gatA//ydbD//nudB//pheS//slmA//dcuC//hns//
GO_0000032_8	lldR//
GO_0000041_8	yahF//yibT//kdsB//ybaK//hycB//rpsH//hxpB//waaH//ybjC//map//serC//yjjW//sapB//kdgT//mreC//yghO//dinD//cusS//yfdK//yehU//katE//adiY//cysG//yidR//trpR//rlmD//fhuB//pcm//pflA//hybG//bolA//ycfS//yagE//iscA//mdlB//manA//ptrA//yciG//pyrC//
GO_0000050_5	dhaK//yfeO//gadW//lptE//recJ//lpd//yieE//
GO_0000053_5	cysU//
GO_0000096_5	mdtO//oppA//trpD//trkG//rcnA//cdaR//ebgA//ansA//tatE//ppiC//tusB//artQ//yeaK//tdcB//hofN//nanA//aroB//cspC//mcbA//adiY//yfaL//
GO_0000097_6	gpr//elbB//folM//lysP//mtfA//yjhH//zinT//ydcP//yibA//mhpT//kefF//entS//ynaI//yghB//
GO_0000098_6	tdcG//hsdR//kdgR//yfbS//ygiN//
GO_0000101_6	dgoA//yodD//ycjU//chiP//ycbX//prmA//fcl//rnhA//ugpB//pykF//ygcR//mrdB//dinG//yggP//yihI//
GO_0000103_5	yqjA//mnmE//kdpE//
GO_0000105_6	murG//yehP//yqcG//flgG//yfeD//mngR//mtr//hcaR//
GO_0000154_7	yiaO//tmk//lysR//xisR//rhaT//yiaU//slyD//yfcA//astC//hycH//matP//suhB//yhbQ//ydeE//dppB//insI1//aroA//fliG//speD//ppiD//ydjM//ybcC//rplY//rsmC//pitA//endA//fecA//asnA//macA//rlmN//ychO//tcyJ//
GO_0000160_5	zapC//paaE//kefB//waaZ//narY//dppF//sgbE//ibsC//melB//metI//ytfP//dhaM//fiu//rlmF//asnS//satP//flhC//ycjU//hprR//nlpI//hdfR//purF//ftsQ//sucA//rpsE//mutL//emrK//pinE//prmC//pyrH//ybiI//hcp//fkpA//potG//phoR//rfaE//fecC//acs//cysB//arcC//rpsT//fmt//yahO//
GO_0000162_7	pdhR//nlpD//rplB//ygeX//msrA//gnsB//eutB//zraR//znuB//
GO_0000255_5	narH//wcaC//rnlB//eco//lpxH//
GO_0000256_6	trmH//rpmF//ybeY//sbcC//yeiL//
GO_0000270_7	ydcO//sppA//puuC//nlpI//menE//ycjD//dhaR//ddlA//yaiP//glpF//flhA//pspF//yihP//lptC//uxaA//ftsX//eptA//folM//cbl//priA//eptC//bioP//gdhA//dcuR//pgpB//thiQ//dcuC//narW//rsmD//nuoH//rimJ//ais//ydbD//ydgA//yjjB//ubiI//alkA//ymdB//aroH//talB//clpS//accB//deoD//argB//bglH//ydiZ//ispH//thiH//feaB//ydjM//melA//mdlB//ulaD//pdeR//pheP//ldtC//gfcE//narP//ilvD//hisS//recQ//argA//dgt//
GO_0000271_6	rpoA//modA//yaiP//hemL//hslJ//proC//acpH//ygfA//ybcL//relE//rhmR//moeB//kdgR//ogt//frdC//napC//mutS//elfG//rimM//dusB//yafO//argR//phnJ//mltF//sdaC//blc//nemA//ydfG//phr//yadV//hyaD//metR//ydhC//torD//ftsA//murP//cspE//uhpT//paaB//pstS//sgbU//ytfT//pgl//atpA//cmoB//ssuD//ypjD//yqeG//rzoD//metN//
GO_0000272_6	lpxT//yddL//waaP//narY//hdeD//hycI//
GO_0000302_5	ycjQ//ulaG//cueR//glrK//insE-1//ilvB//gppA//crr//tauA//yegV//rlmI//yhcN//citX//arfA//hscB//preA//bssR//cof//cobU//waaA//atpD//nfi//nagE//pcm//bamB//murG//priB//rffT//epmC//holC//gntK//
GO_0000303_6	yjgX//rho//
GO_0000305_5	gph//trxA//cynT//
GO_0000372_11	thiQ//
GO_0000375_9	plaP//
GO_0000376_10	dnaB//
GO_0000413_9	metG//rluE//casD//fepE//dsbA//artI//sfmF//ycgR//
GO_0000451_7	yghB//ttdB//fdx//aaeA//yihP//
GO_0000453_8	recO//bluF//kgtP//recJ//btuE//
GO_0000455_9	hisS//hrpA//radD//pgm//bdm//recR//gadC//
GO_0000462_11	tisB//secA//
GO_0000469_8	yibH//
GO_0000470_10	fepD//
GO_0000478_9	garR//
GO_0000715_6	yjiY//
GO_0000716_7	paaH//
GO_0000724_8	nmpC//
GO_0000725_7	citT//pgaC//yggT//dgcM//hprR//moaD//
GO_0000726_7	yehY//
GO_0000731_7	lsrR//arnF//pyrC//bamE//gph//symE//rayT//
GO_0000737_7	cirA//
GO_0000738_7	argE//rbsK//fkpA//
GO_0000746_4	tcyN//
GO_0000820_7	hda//
GO_0000902_5	yedX//
GO_0000910_4	waaJ//yieF//orn//rapA//tusB//ybiV//ygjH//ycbB//katE//iscA//mepS//tig//envC//fimI//maoP//yjeI//treA//yjbH//
GO_0000917_6	srlD//flhE//fumC//ynfE//ompF//
GO_0000918_6	murG//tmcA//ispG//decR//
GO_0000920_3	citX//rplN//grcA//kdpF//moaE//
GO_0000921_6	recA//
GO_0000966_8	accB//bamA//lolE//atpF//
GO_0000967_10	accC//fumB//tmcA//
GO_0001101_4	thiE//idnT//potA//ydcS//rplD//yebC//fabD//rzoR//glsA2//perR//ompC//yaiP//srmB//gatD//galR//ffh//pyrG//ilvM//icd//fadE//dnaQ//cheA//yfjV//yedP//mdtK//lapB//
GO_0001121_7	pabC//mrdA//
GO_0001123_8	deoD//
GO_0001124_8	gapA//
GO_0001407_7	prfB//topB//dkgB//cas2//
GO_0001505_4	rne//csgF//uxaC//pdeH//ddpX//tdcB//trmI//panB//cobT//pgi//chbA//frdB//gpr//narY//rhaM//hyaC//
GO_0001510_5	torZ//rbbA//yebQ//cbtA//rihC//yehC//mngA//hcaE//yciA//gcd//etk//rhtA//prlF//mmuM//folC//recJ//yneJ//cas2//frlB//melR//rne//alsK//puuE//iscX//mocA//wecC//ecpR//cdgI//hicB//rhaR//mutS//alpA//atpF//yfdG//pykA//der//fadA//sufC//tktB//glmS//
GO_0001514_8	ubiF//
GO_0001522_7	maoP//chbF//tdk//clpA//frvA//waaL//fepB//umuD//ybhD//bioD2//pbpG//btuD//chpB//
GO_0001539_4	rplY//aldA//sdhE//ygiS//ypdB//gshA//arnF//ssuC//nlpD//dsdC//yigB//cbpM//aroP//sspB//dkgB//tdk//cysG//sgbE//tolA//aspA//cysW//yahF//yeeY//wzb//narY//ydeE//araF//fruB//seqA//kdsC//ydhJ//
GO_0001558_5	insB-4//arnA//frdB//alsE//panD//yagI//accD//gltL//
GO_0001561_6	cheZ//
GO_0001666_4	udp//
GO_0001676_6	frwD//lrp//ygeX//
GO_0001680_11	cca//
GO_0001682_11	pntB//
GO_0001731_7	yidK//
GO_0001762_6	cynX//
GO_0001887_4	dppA//yjiA//tsgA//
GO_0001896_5	napF//hcp//cynX//crr//
GO_0001907_5	ychO//yohD//cysQ//rimL//
GO_0001932_8	glpG//rnd//
GO_0001934_9	nagZ//
GO_0002047_6	cheR//xisE//
GO_0002097_8	ldrA//abpB//yciT//cysP//idi//livM//yidH//aspS//yibF//prmA//envC//aaeB//melR//pyrH//metB//glmS//dkgB//tatD//clpX//
GO_0002098_9	hybA//degQ//lpoA//mltD//fumC//rapZ//dxr//gshA//mtlD//mtlA//pitA//ccmG//fabH//
GO_0002099_9	yafQ//cstA//
GO_0002100_9	zapB//
GO_0002101_9	agaA//yeeA//
GO_0002128_7	yedF//fdhF//murG//ompL//
GO_0002130_8	elyC//
GO_0002131_9	yfdS//
GO_0002132_9	rbsR//
GO_0002136_10	eamA//
GO_0002143_9	kbaY//hemB//dnaG//osmC//dcyD//yehB//
GO_0002181_7	nrdE//citC//
GO_0002183_5	narJ//
GO_0002184_8	bolA//
GO_0002188_6	cpxP//
GO_0002190_6	ybbN//
GO_0002192_8	hokE//
GO_0002252_3	yhbO//envZ//ampE//pbpG//yebK//rpmJ//mtn//sdhB//lysS//yoaA//
GO_0002790_6	idnO//argI//ftp//dkgB//yjcO//ycjD//ubiD//
GO_0002937_9	yjjB//
GO_0002938_8	eno//
GO_0002939_7	casE//
GO_0002943_8	ddpX//
GO_0002949_8	cutC//ddlA//phoE//potG//
GO_0003333_7	nanC//gstA//entF//gpmA//lipB//shoB//menE//modB//acnA//ytfQ//dtpA//yajD//yddM//ftsK//rpe//mgtL//mhpC//ykgA//ibsC//cynX//ydbK//arcB//tolQ//cydA//iscX//prlC//araH//yqjH//abgR//alkA//ldrD//ybiV//yqiJ//ttcA//narX//fucO//sohB//mug//rsmE//gapA//yieL//lysR//pppA//cutA//fimB//tonB//dam//lipB//paaE//
GO_0005975_4	secG//idnO//ybiA//ybjN//dnaA//glcD//argS//malP//adhE//rpsD//yhcF//rbfA//cydD//sapA//bcr//folP//panF//ydiP//ccmD//yfbR//yfcV//rhlE//adeQ//narL//bcp//dppB//fsr//envC//uspF//rpmH//mfd//ftsK//nagB//rpoE//lysS//fecA//yphC//cbeA//pyrE//ptsN//xanP//lspA//dmsA//bluR//rhtB//nadA//rpsS//metB//rrrD//hofN//ompR//yihU//aidB//dinB//yfeO//xapR//yaiV//tsaB//alaA//ptsH//ghxQ//ligA//galM//nemA//nhaB//ribC//yjcE//lpxB//rep//pgaD//yijO//envY//fbp//mgtA//amiD//aroD//menC//brnQ//emrB//yebG//entB//fklB//cptB//amiC//cnu//yibT//moeA//aroC//ddpX//yrfG//atpH//recR//galE//yidR//glsA//allD//btuC//ynfK//fabG//hicA//yjbG//creB//cfa//lacI//pgm//yggT//yhaV//umpG//lpxK//crr//allC//pgm//ytfT//sdaA//yehT//aphA//ycjP//arsB//ptsN//yfiE//tdcF//tonB//setC//accA//bioC//endA//yjjU//wecE//glsA2//recJ//arcC//rpsH//yihO//frmA//glgC//tatB//cnu//yiaT//deoB//gltP//bglF//fimD//feoB//slyA//ybdM//diaA//csgA//mioC//rffT//livG//yjjI//rffM//hprR//ynhG//fdx//panB//nrdE//ykgF//leuO//insF-1//yihQ//mhpT//rusA//nrdR//ydjK//kdsC//cueR//secE//tadA//dgt//pheT//mscS//insA-2//uxaA//rof//entA//cmk//hofM//crp//aaeR//uxaB//hemC//hisP//uxuR//clcB//tktB//relE//secG//rcsC//fis//rpmE//xanQ//ompA//rpsN//rhaT//dfp//moaC//flgI//insA-1//ydhK//yadM//hprS//pta//nikA//lpxB//mltB//truD//tsaE//mltA//potF//ycjD//pitA//elaD//adiA//yehX//dtpD//gatD//mepH//mscM//lpcA//fucP//hdeA//nuoE//pdxH//ivbL//ymfK//yfgI//frlA//malX//csgB//decR//uhpT//atpF//nsrR//iscX//fdrA//pheT//rffG//htpX//allD//ygjR//zapB//paaE//ydiK//mdoG//ycfJ//deoA//yegT//glnB//glpB//hsrA//glpR//yiaO//ppsR//
