#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ldrA//dgoK//thiD//yjjX//
GO_0000023_6	ssuE//
GO_0000025_7	queD//
GO_0000027_7	lptC//ubiG//ssuA//sdhD//fur//ligB//bcp//sdaA//proS//ymgC//miaA//mscL//etp//
GO_0000028_7	zwf//bisC//motA//ydfD//chpS//ybjI//frwD//yajO//rfe//
GO_0000032_8	fdx//
GO_0000041_8	rcdA//ygfI//yajL//ribD//clsA//eutR//accB//ivy//adiA//yfcF//potC//plsX//dapF//groS//yjiR//pheA//waaQ//gcvP//carA//yfeR//yjfP//evgA//acs//ihfB//waaH//glnK//dhaL//gstB//lldP//tktB//pta//ilvH//trpL//ybjD//rluD//mdtD//oxyR//cdaR//modB//
GO_0000050_5	ygiV//osmY//rpnD//tyrB//yfaL//glmU//yphF//
GO_0000053_5	leuO//
GO_0000096_5	ydhK//mprA//ugpA//phnG//borD//proC//cpdA//fhuB//nhaB//puuA//speF//flgC//lysU//atpG//envY//frdD//puuD//zur//ydcP//nadA//dcuA//
GO_0000097_6	ffh//queC//uvrD//yccS//rfaQ//hyaB//lsrG//wzc//fliK//recG//alsA//fruA//dcuA//mhpC//
GO_0000098_6	basS//yccX//yieH//xylH//elyC//
GO_0000101_6	mnmG//yghW//glxR//ydjL//citC//umuD//thiH//mnmA//ycjU//adeD//rnhB//glpT//chbG//cpdB//murC//
GO_0000103_5	cobB//eutD//pyrD//
GO_0000105_6	rpsK//ribF//rimI//ykgA//cueO//kdsD//alaE//rnd//
GO_0000154_7	hexR//casB//glpF//yeaD//wecC//xapA//lplA//rssA//yiaB//gsiA//ecpR//rfaQ//chiP//ibsD//cysS//recE//selB//ydjE//chbR//cspB//hchA//plsC//acpP//ybdO//nupG//kefB//ygjK//xseB//sodC//ybhG//nikB//wzb//
GO_0000160_5	kdsC//sbcC//bamD//gpmA//exoX//accD//ygcR//rstB//fepD//nmpC//ymjB//accC//znuB//scpB//ampE//yjbG//yraJ//cysM//ndk//pgrR//yfbV//mhpT//fau//cas1//speA//cueR//ivbL//ybiV//dinJ//tnaA//fimC//cynT//rseC//der//truB//ynfE//serS//yhaM//casA//gspE//prkB//rmuC//tdcF//
GO_0000162_7	rplJ//hypD//murD//soxR//ycbB//gcvP//citX//bglH//alaS//
GO_0000255_5	hcaF//zntR//emrK//rrrD//hslR//
GO_0000256_6	ybiY//mdtF//yjaZ//yeeL//uspC//
GO_0000270_7	tsaB//mscL//dnaT//idi//glcE//ilvA//sgbH//phoQ//nrfB//ubiF//dtpB//yceK//agaB//fetB//ettA//fadK//ogrK//ubiA//yghB//bdm//satP//leuE//yihS//phoB//agaR//ssuD//clpA//cyoE//nirB//flgH//rlmF//lptC//cmtB//yajR//ulaR//lipA//putA//melA//ompL//rihA//yhbX//allD//malE//ratA//chbC//ttdB//lplA//ppc//nusA//dld//hofC//rbsB//yhjB//potD//ptsH//ugpE//yhcF//frlA//araG//orn//yihQ//bioA//yadC//
GO_0000271_6	wrbA//rclC//ycgR//proV//glcE//gcvA//nagC//bluR//glrR//bcp//sbcC//mrp//ydjE//astB//yhjV//gltS//cydA//phnH//paaE//pinQ//bepA//hflC//higB//lptG//rhtB//gadA//parE//ampD//uspC//yfcV//livK//rcsB//aroB//glnL//potB//yhdW//ridA//kdsB//motA//mgtL//ribF//menF//fimZ//yhfK//hda//add//cbpM//chbR//bcsA//rpnC//
GO_0000272_6	cdsA//rluE//yijO//umpG//cmoM//yghG//
GO_0000302_5	ibaG//infC//manY//dmsA//sdaB//ugpE//hycI//feoA//pyrC//casC//alkB//yihP//yjhP//betI//rlpA//caiF//ynfE//araF//dgcM//yedX//mlaC//nhaB//wza//dnaE//nagA//hokE//astC//sutR//ftsP//torD//malY//
GO_0000303_6	yciV//yiaM//
GO_0000305_5	ybiW//yqaB//lysO//
GO_0000372_11	fabD//
GO_0000375_9	ptsN//
GO_0000376_10	tsgA//
GO_0000413_9	yejB//ygiB//ygcO//ykfM//rsfS//yihQ//opgG//sodB//
GO_0000451_7	chbF//asr//nlpD//ahr//dgcN//
GO_0000453_8	higA//mnaT//acrZ//uvrD//ivbL//
GO_0000455_9	xapR//yecS//mprA//hxpB//thrB//murG//patA//
GO_0000462_11	holE//yjbB//
GO_0000469_8	cho//
GO_0000470_10	malS//
GO_0000478_9	uxaB//
GO_0000715_6	ansA//
GO_0000716_7	mzrA//
GO_0000724_8	yheT//
GO_0000725_7	osmE//yfaU//zur//wecB//rutA//yjhB//
GO_0000726_7	carB//
GO_0000731_7	bcsQ//glcD//livM//xylR//rsmA//mmuM//ypdI//
GO_0000737_7	ydiK//
GO_0000738_7	rnpA//potI//wecB//
GO_0000746_4	sufB//
GO_0000820_7	acs//
GO_0000902_5	nikE//
GO_0000910_4	cpxP//dbpA//pheA//deoB//poxB//sgbH//sufC//malG//emrE//prs//adiY//zapC//sucB//gatA//abgR//yhfK//grpE//ribA//
GO_0000917_6	nuoI//alkA//alpA//rhaB//gppA//
GO_0000918_6	rpsL//prs//pheM//nuoI//
GO_0000920_3	secE//trmJ//nikD//hcaT//ssuB//
GO_0000921_6	arcC//
GO_0000966_8	bioB//dpiB//uup//tyrA//
GO_0000967_10	ygbN//yjhB//argB//
GO_0001101_4	soxR//trpR//efeO//crfC//yphC//yfeX//rnr//alkA//ppk//bioD1//lsrD//blc//ygfZ//nfo//hlyE//rseB//prpR//mreB//metR//waaF//ccmA//cnu//pepT//corA//yhfS//aroF//
GO_0001121_7	nagD//yidE//
GO_0001123_8	uxuB//
GO_0001124_8	pdxY//
GO_0001407_7	melR//ahr//rpsE//ygiW//
GO_0001505_4	ydfK//secA//gdhA//recX//mnmA//lldP//queG//lacY//cbrC//ibsD//metL//xylB//fnr//ygeW//nikD//rpsO//
GO_0001510_5	nimT//mprA//ydhK//pagP//ydjL//rpmA//ybeQ//yeaG//fabZ//patZ//ypdB//prmC//ascB//nadD//pepN//mipA//rpmH//yebS//potB//rlmN//kdpF//ycfL//flgC//aroB//kduI//ilvH//yfiC//ftsP//paaD//rnr//prpB//trmJ//acpH//malK//ccmE//rlmA//folP//rsmH//rplS//hdfR//
GO_0001514_8	rpmE//
GO_0001522_7	purN//eutK//bluR//prs//alsA//trpE//potH//cueO//rnhB//allD//pepT//csiD//agp//
GO_0001539_4	dctR//zapC//nrfB//caiE//mtgA//sseA//yjiQ//waaG//chaC//nrdH//argR//insI-1//prmC//ccmH//flhA//ybaO//gcvT//dinQ//gltX//mgtA//gltS//fdrA//nuoF//yjcS//yfeO//gsiD//sfmA//bamE//iaaA//crcB//speC//
GO_0001558_5	wecA//fimA//setA//ydiF//aaeB//pepQ//dmsC//apt//
GO_0001561_6	yqeA//
GO_0001666_4	umpH//
GO_0001676_6	tatA//katG//sgbU//
GO_0001680_11	gcvR//
GO_0001682_11	patZ//
GO_0001731_7	gshA//
GO_0001762_6	kdgR//
GO_0001887_4	tpiA//dmsA//yafS//
GO_0001896_5	asnA//aspC//nrfE//selU//
GO_0001907_5	rpoH//ybiA//dsdA//yqeG//
GO_0001932_8	tktB//sbcC//
GO_0001934_9	caiF//
GO_0002047_6	yqeF//baeS//
GO_0002097_8	pitA//tap//rutD//lpoB//cpxR//pheM//gabT//mlaF//yagG//mepS//ygbL//glgC//cysK//bioD1//cptB//glnD//mtlA//intF//eutB//
GO_0002098_9	exuR//bglA//lgt//ruvA//moaC//ftsE//rpoS//fcl//efeO//pdhR//argI//waaG//insI1//
GO_0002099_9	zraR//ftsY//
GO_0002100_9	amtB//
GO_0002101_9	yfeX//bamB//
GO_0002128_7	ilvE//rdgC//prfC//pabB//
GO_0002130_8	oppD//
GO_0002131_9	srmB//
GO_0002132_9	pyrF//
GO_0002136_10	hha//
GO_0002143_9	mdtL//ftsI//dnaT//sapA//rpoE//amiC//
GO_0002181_7	sfmC//ddlB//
GO_0002183_5	ada//
GO_0002184_8	lpoB//
GO_0002188_6	mdtQ//
GO_0002190_6	dxr//
GO_0002192_8	galK//
GO_0002252_3	ptsN//hexR//pcm//ftnA//sbcC//gloC//agaS//rplX//atoB//speF//
GO_0002790_6	umuC//acrA//opgC//hmp//yciE//cysE//nrdE//
GO_0002937_9	wecE//
GO_0002938_8	ybhD//
GO_0002939_7	etp//
GO_0002943_8	mutS//
GO_0002949_8	pepT//trkH//rzpR//treA//
GO_0003333_7	sucD//dctR//nac//ynaE//ybiY//codA//yaaA//rutD//ompR//mlaF//waaQ//ycfL//fkpA//rcsB//asnA//yhcF//yqjH//csgD//dacC//hcaB//tolB//yajR//casA//rarD//hda//potA//emrK//moaD//nikA//gshB//wzyE//rho//bcsA//waaC//cpdB//elaA//yfdC//rsmG//selB//bluF//napC//cusR//ybhI//sfmC//setB//fabR//tsaB//serA//panF//
