#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	pgpB//atoC//mntP//yieK//
GO_0000023_6	gcl//
GO_0000025_7	rplE//
GO_0000027_7	sad//ytfR//pyrF//fabB//motA//waaU//tgt//ygiN//galE//pdeH//ssuD//alsC//hyaC//
GO_0000028_7	zitB//bamD//hyaC//pbpG//uxuA//mreB//blc//ptsG//bepA//
GO_0000032_8	ybaE//
GO_0000041_8	acrZ//sdaA//gntU//cobS//abgR//borD//bglB//nudF//potH//ompG//ypdI//chbC//folD//ribB//yfgI//fhuD//ydcR//ssuA//yfeW//rimJ//yggN//rpsS//greB//dcd//bsmA//tehB//ynbB//intF//rpsS//folC//mqsA//rpnA//ulaD//galT//csgD//iaaA//waaO//allB//cysE//
GO_0000050_5	recE//bisC//glpX//ackA//rpsO//yihW//mrdA//
GO_0000053_5	galP//
GO_0000096_5	recG//gcl//phnO//lysO//citX//folX//lpp//leuS//cynT//pyrE//ascB//yeeL//ahpC//cheR//alsE//tsaD//clpB//tcyJ//nrfD//cpxA//lpxT//
GO_0000097_6	pdxK//yhaO//mtnN//btuB//ybcM//yedL//glcD//tolQ//rpsQ//cysK//rpnA//galT//frvA//hsdM//
GO_0000098_6	nupC//dcd//speG//aer//tsf//
GO_0000101_6	rhtA//psuG//ompF//yafQ//marA//elfG//lsrG//nrdF//tnaB//ybiT//cynT//soxS//yhjA//trkH//dsbB//
GO_0000103_5	yegD//aes//xdhB//
GO_0000105_6	chbR//yihR//purR//fabR//rpmC//yphC//ascB//uhpT//
GO_0000154_7	ybbW//rfaG//fliZ//ybgI//pyrG//rcsD//gspE//ghxP//fklB//insA-2//lapA//rutB//ydiB//znuC//exuR//yfdR//yehU//lepB//exuT//frdA//xylB//sgbE//rplF//yidQ//hemD//pphB//bcr//soxS//nagD//rbsK//allR//alr//
GO_0000160_5	ydeM//menD//queA//zapC//mdtI//accC//sufD//yegD//mdtF//yfdG//gcvT//cmtA//recB//yhbO//livH//trpL//borD//wza//wecC//fadI//yadV//hcaR//gltS//hfq//zinT//msrP//prfB//rlmG//gabT//uvrC//marR//nuoE//ygbM//casB//nfi//hpf//waaZ//serB//ygcO//nrdE//yhfS//gadE//gmk//
GO_0000162_7	shiA//srlE//crcB//glpK//cysE//ortT//trmI//citE//ompW//
GO_0000255_5	torI//hupA//dam//nanR//srkA//
GO_0000256_6	pheM//ibaG//fucP//srlR//holB//
GO_0000270_7	nadA//fdhF//envY//yeeY//aldB//rpnC//lpxD//cysE//bamC//ebgA//cutA//bglH//ddlB//aceF//ftsK//rplY//eutB//bamB//melR//yjiM//acrR//galM//bamB//rplM//yrdA//thiG//tap//yoeE//hipA//ycbB//purT//yieK//xylB//xerD//fkpA//ycjQ//yejB//napC//glsA2//znuB//kch//prs//tolA//cyoA//fadH//yfbS//bepA//hdeA//nfuA//guaC//lspA//rpsH//kbaY//lsrA//frvB//ribA//yiaF//galM//yjiY//menH//yciT//cynX//cbl//
GO_0000271_6	cysQ//grcA//flgG//acrA//alaS//tdcR//arfB//tusB//frlC//livM//treC//msrP//trpGD//fklB//mcbR//mepS//greB//rfaD//ybiS//nuoN//arnD//crp//yhcN//clsB//rfbX//tehB//thiH//zupT//tusB//nirD//rpe//cbtA//recC//mhpR//ybcC//cheB//slmA//srlB//dusB//baeS//atoS//msrC//yjbG//yehU//hisB//treA//mgrB//rbsK//gutM//caiF//
GO_0000272_6	blr//ldtC//dapF//yihT//sgcA//argD//
GO_0000302_5	hemC//cutA//yhjG//rssA//mqsR//yihI//spy//rcsF//wecE//pal//rpsR//abpA//cfa//rsmC//ytfQ//wzzE//hslU//sfmA//ygjK//fdrA//caiT//frvR//recT//yhgF//lyxK//dinJ//cynT//exuR//secG//lon//trxA//
GO_0000303_6	xylH//narV//
GO_0000305_5	garL//torA//yggP//
GO_0000372_11	ompW//
GO_0000375_9	yieK//
GO_0000376_10	prfC//
GO_0000413_9	yiaJ//ligA//tilS//lrhA//ulaF//galU//recC//tauB//
GO_0000451_7	hemL//asmA//flgK//ydiQ//pnp//
GO_0000453_8	eco//thiG//pabC//sppA//dinG//
GO_0000455_9	nrdA//prlC//ybcJ//hns//ulaB//ybiW//trmL//
GO_0000462_11	higA//glpC//
GO_0000469_8	nanT//
GO_0000470_10	cdgI//
GO_0000478_9	speE//
GO_0000715_6	aspA//
GO_0000716_7	cca//
GO_0000724_8	tdcA//
GO_0000725_7	ugpB//torS//yggP//uacT//eamB//ycjP//
GO_0000726_7	cysA//
GO_0000731_7	sfsB//cusF//thiQ//ldrA//efeO//waaO//nuoF//
GO_0000737_7	yghB//
GO_0000738_7	pcnB//emrD//yeeY//
GO_0000746_4	hybA//
GO_0000820_7	uxaA//
GO_0000902_5	wbbK//
GO_0000910_4	rppH//rsmD//rclC//ygiS//rnt//yhbS//rlmE//gpmM//hsdR//hprR//ulaG//btuR//bhsA//waaB//ribC//edd//csrD//mscK//
GO_0000917_6	frc//intS//fucI//dppC//rzpD//
GO_0000918_6	bglA//rayT//mdtC//yafO//
GO_0000920_3	phr//dppD//dgcM//gatC//tus//
GO_0000921_6	cusB//
GO_0000966_8	phnC//dgcJ//mrp//pgaA//
GO_0000967_10	slt//slt//dicC//
