#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	mdtF//fkpA//hyaB//sufC//
GO_0000023_6	sodB//
GO_0000025_7	tauB//
GO_0000027_7	ftsZ//yhcN//opgC//sufE//atpH//galP//chbF//yjiX//rcsD//dgcZ//symE//bioD2//insI-2//
GO_0000028_7	oxc//ogrK//mutS//galK//rnt//zntR//ompA//gatD//ykfM//
GO_0000032_8	epmB//
GO_0000041_8	fdnI//uvrD//mrcB//fimG//bdm//aceF//chaC//btuR//intA//rsmC//prmC//purU//yjcS//manY//dcd//gcd//ccmC//intS//artI//hofM//insI-1//ydjM//moaA//ydaV//ybhJ//rluB//dinB//argS//setB//patZ//yghO//sucA//waaP//galT//ttdR//atoC//ispB//livH//ndh//
GO_0000050_5	ftsZ//kdgT//prmB//entA//sdaB//pabC//rhtA//
GO_0000053_5	ygbL//
GO_0000096_5	lapA//fsr//aes//ybaL//galR//fbaA//dkgB//glnK//atpF//rplT//grcA//cbrA//ydcI//ispH//yhaM//lhr//panB//rluA//ymfA//rsmF//mglC//
GO_0000097_6	acpS//ddpX//dppB//aldB//xisE//sucC//yggX//yfhH//cobT//eptB//ackA//thiE//rplY//ivy//
GO_0000098_6	dmlR//deoD//udk//atoC//ptsI//
GO_0000101_6	yhaJ//yhjD//bglH//viaA//ydeT//ybaO//yrbG//rhaR//tcyL//glgB//yfeX//tsaC//emrD//aroC//acnA//
GO_0000103_5	rpmG//rplC//acrF//
GO_0000105_6	nanK//pgsA//rfaG//fau//essD//sufD//murE//araF//
GO_0000154_7	rpsM//ycbB//miaA//yaaA//ybjD//yfbR//modC//yfaU//higA//ygfI//pykA//gapC//mdtL//rutF//rraB//efeO//gntK//nrdF//bioP//nfuA//abgA//hisH//psuG//oppB//cheZ//emrK//frlA//pspA//acrE//hsrA//aslB//plsX//
GO_0000160_5	bdcA//proW//yeeY//cusC//rhsD//htpX//yraK//iscS//rhoL//glpF//tonB//narY//dppB//rplM//rsmJ//cpxA//dusC//zinT//yeaG//entD//gatA//gatB//fis//relE//mutY//yiaA//rsmE//ugd//radD//hybO//rne//ttdR//torR//hypC//nagA//eptA//phnG//dps//rbsK//murA//ynaE//adk//fliZ//
GO_0000162_7	arnF//insB-4//yehX//rimO//leuS//prfA//yciG//bfr//tcyL//
GO_0000255_5	hipB//hybA//mreB//fhuB//fdnG//
GO_0000256_6	csiD//galK//yqhD//emrB//rlmH//
GO_0000270_7	pspC//nth//rbsD//ampH//zupT//mraZ//npr//dacD//glrK//pncB//ybiX//mntR//fsr//dbpA//gltB//rlmI//uxuR//maeA//paaJ//pdeL//xseA//hslR//thyA//def//dgcT//ybjG//yraJ//hofC//yfiC//dsdA//yraJ//dgoK//ybjD//tolA//murG//aroL//cueR//yiaL//livG//greB//ybfE//gcvH//rpsS//csdE//kilR//iscU//tynA//aldA//hexR//elaD//alkB//hycI//melR//uxuA//argH//dld//narZ//mipA//yagE//mdtO//cysG//mdtA//ribF//
GO_0000271_6	hfq//cedA//rlmL//intS//elbB//ypdB//tesB//hybB//phnL//ybbW//rpsS//cusC//menB//mnmC//cysK//norR//mltD//ppc//rpoS//tisB//glrK//metH//sgbU//eutK//fliG//arsC//stpA//uraA//flhC//yddM//rimM//fadR//yihX//arfB//epmC//cmoM//yihO//pflC//cof//pntA//ligA//chbG//bioH//agaC//gspI//slmA//yiaM//frdD//cbtA//gnsB//
GO_0000272_6	ptsH//glvB//trxA//narQ//mrcB//acrE//
GO_0000302_5	rlmI//ydcT//exuR//rpoA//yphC//rplC//chpS//topAI//rng//sdhD//proC//rpmJ//sgrT//fic//emrE//xisE//rfaH//ftsH//ascG//trpB//iraM//tmk//ugd//ycjD//lpxK//mntR//pgk//recF//gadW//ilvL//ogt//
GO_0000303_6	mtfA//murA//
GO_0000305_5	sdhA//ligA//katE//
GO_0000372_11	ycbX//
GO_0000375_9	argK//
GO_0000376_10	cspE//
GO_0000413_9	kdpE//cusS//dcm//accB//dusC//hicB//ompN//uxuA//
GO_0000451_7	rcnB//ydcI//bioD2//nlpD//cedA//
GO_0000453_8	yjtD//grxD//hisF//ahr//fdnH//
GO_0000455_9	fdnH//rpe//rluE//flgG//yhcH//gcl//aceB//
GO_0000462_11	hypB//erpA//
GO_0000469_8	citC//
GO_0000470_10	hdfR//
