#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	gapA//ldcA//ynfK//mnmE//
GO_0000023_6	setA//
GO_0000025_7	alsB//
GO_0000027_7	ppiD//hchA//obgE//mutL//trpB//glnL//ydhQ//deoC//xylR//ybiX//deaD//yfeR//shiA//
GO_0000028_7	cspE//kbp//ndk//ubiF//purL//nrfC//artP//flgD//agaR//
GO_0000032_8	yajR//
GO_0000041_8	coaA//dicA//prs//ydiO//sfmD//tyrR//lamB//yggF//phoR//yjcE//asd//yfaU//modA//lsrR//tsx//mqsA//gatZ//rpoS//yihX//kup//rraA//dacD//galE//intE//narZ//rihC//agaW//ivbL//alpA//mutS//entB//ubiA//rutG//agaV//ribD//fabI//srlA//eutK//ybcL//
GO_0000050_5	murE//bacA//hisC//ftsX//pdxA//tamB//yfaL//
GO_0000053_5	yphD//
GO_0000096_5	hflK//cbtA//ybjD//cysB//uacT//arnB//fhuF//yobA//prs//yeeA//mdtJ//lapA//ariR//xapB//proP//truB//prmA//ykfI//rfaQ//pspA//yjbE//
GO_0000097_6	udp//phnO//pinE//ftsB//umuC//ykfM//cynX//cspI//mrcB//ynbD//priB//tatE//fryC//lldP//
GO_0000098_6	lgoR//yhdJ//ibpB//rspB//aaeA//
GO_0000101_6	mdtQ//map//emrD//rmf//ccmG//comR//fixA//udk//mnaT//glnL//yaaY//der//gspE//uidA//rsfS//
GO_0000103_5	trpC//fliM//glyA//
GO_0000105_6	lasT//rutG//yhhT//metF//mprA//menA//umpG//yejF//
GO_0000154_7	ggt//yaiW//cadA//aceA//sbmC//rpmB//umuC//cptB//djlC//baeR//dgoT//mobA//atpB//dtpB//nanR//yebZ//cvpA//mqsR//talB//insI4//opgC//rseB//tcyJ//frwD//ssuB//fumB//wecE//rsmH//yidD//yedF//slyA//fliS//
GO_0000160_5	yccA//cdd//ybjI//mrdA//deoC//nanE//ygeW//ruvB//ade//hybD//yqcC//rapA//xapA//fadD//araD//lipA//cecR//ulaB//yfbU//rhaB//yddG//fepB//gspE//pgi//yneL//rbbA//narU//artP//ycbU//araF//yciH//cadA//rlmE//mepM//tcyL//tadA//frwD//mutT//zraS//chbB//grpE//kdsD//otsA//
GO_0000162_7	nadC//ydcT//ygfI//cysM//ilvB//mutH//xylA//rbfA//frdB//
GO_0000255_5	araA//yfgI//insI3//nfsB//purC//
GO_0000256_6	betT//ybhG//ybhD//gatB//potI//
GO_0000270_7	yaaY//allB//citT//atpE//recO//ldtD//zapC//yghG//dgkA//purU//mipA//yaaA//agaD//mscL//ygiN//pcm//ispH//atpF//wzzE//menH//gutQ//dnaA//hscA//fecD//msrB//mtlA//gatB//trpGD//ghxQ//uxuR//gsiA//yahI//lrhA//fimB//yoaB//yfbV//selD//priA//atoS//gyrB//etk//lpxP//clpX//yehW//tdcG//putA//mntR//ettA//ssuC//oppA//deaD//dgcJ//metF//prpD//cycA//tyrA//hpf//astB//pgaB//ygeR//ybiW//nrdB//gabT//
GO_0000271_6	polB//sanA//mraY//mdtK//elyC//ybfE//aer//speC//hcaE//hyfC//srlD//yadN//queF//lpxD//phr//thiG//yjhI//patA//accC//tatB//yfdS//zapD//rpsO//yqiG//hflD//malE//hfq//yejA//uraA//cmk//idi//gadX//ygbL//btuB//arnT//rhlE//pstA//lsrA//yehA//dcp//cdd//slmA//treF//chbB//dsdA//atpG//relA//hchA//ynfF//phnC//
GO_0000272_6	yciV//fdnH//ruvA//satP//hyaD//manZ//
GO_0000302_5	sgcA//fadE//yagF//recO//purL//phnG//gntR//gudP//ynfL//rsmE//baeS//rnlB//rbn//dmsB//helD//rdgC//fixB//hflD//gdhA//chbR//yhjR//srlD//ahr//frdA//gcd//arcA//tdcC//adiY//hexR//oppB//dtpA//
GO_0000303_6	chbG//dpiB//
GO_0000305_5	lit//paaJ//plsX//
GO_0000372_11	ygjK//
GO_0000375_9	thiI//
GO_0000376_10	ybhR//
GO_0000413_9	flgC//ibpA//sfmD//dxr//lptG//treR//rpmB//nagZ//
GO_0000451_7	grpE//yphB//zapD//glpD//yraK//
GO_0000453_8	fliK//mpaA//yeiL//ebgR//nrdF//
GO_0000455_9	moeB//fabR//dapD//ansA//fryC//tdh//yjhI//
GO_0000462_11	prpB//ycgB//
GO_0000469_8	smpB//
GO_0000470_10	ydjE//
GO_0000478_9	ygiW//
GO_0000715_6	yfaU//
GO_0000716_7	opgD//
GO_0000724_8	crl//
GO_0000725_7	yjjU//intZ//iraM//gltP//leuO//rcdA//
GO_0000726_7	ttdB//
GO_0000731_7	hlyE//trmD//rpmE//frvA//iscS//dnaT//tcyN//
GO_0000737_7	nuoB//
GO_0000738_7	aspC//ghxP//lasT//
GO_0000746_4	lipA//
GO_0000820_7	acpP//
GO_0000902_5	rluC//
GO_0000910_4	frr//ivbL//dgt//kefF//prlF//ygeA//srmB//hemD//yqeG//dacA//ydbK//oxc//ydaV//yhjG//nadE//lysO//yegV//gsiA//
GO_0000917_6	rimI//sgbE//iclR//fes//hisM//
GO_0000918_6	csgE//yhfS//pgk//tldD//
GO_0000920_3	bfr//ribA//wza//ydaN//aaeR//
GO_0000921_6	glyS//
