#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rsmJ//trmB//hldE//iraP//
GO_0000023_6	metQ//
GO_0000025_7	arsC//
GO_0000027_7	lrp//xerC//rppH//lapA//yagG//yedA//hypB//yjjW//znuB//paaE//yeeL//yiaT//cdd//
GO_0000028_7	aaeR//asnC//insH-5//ihfB//mutL//zapC//mltC//flgA//lysP//
GO_0000032_8	tcdA//
GO_0000041_8	fdoH//dnaB//csrD//ibsE//serS//yeaK//hexR//uspF//baeR//lpxM//ccmD//cof//arsB//wecC//phoP//ftnA//brnQ//fdoH//ybeQ//uvrC//modC//sufC//gatA//ytfE//cvpA//pdeF//gntU//fabI//yaaJ//rimP//cfa//tmk//atpC//hpt//mdtB//ycjU//allR//norR//melR//
GO_0000050_5	sufS//rimM//pyrH//yqhC//hofC//birA//yieE//
GO_0000053_5	speC//
GO_0000096_5	nadA//hscC//ogt//rcnR//bepA//yfdG//phnH//dpiB//ais//ybiY//yhjC//ulaE//chbC//mtnN//rplJ//betB//polA//ybiJ//crp//yfbR//secE//
GO_0000097_6	argD//yqaA//fixB//fau//tolQ//mdtM//znuA//mdtO//yhjD//ndh//yijE//ybaM//fdhE//hscC//
GO_0000098_6	puuC//flgI//gyrA//frmR//cynS//
GO_0000101_6	mntR//ybiX//cydB//uxaB//cspG//lsrB//csrD//ascF//opgD//ugpB//lptF//yrbG//sfmA//paaG//frwB//
GO_0000103_5	chbR//yqaB//rsgA//
GO_0000105_6	argG//glnS//glgC//yfhH//clsC//motA//rhsD//cyoB//
GO_0000154_7	fdoG//glrR//dcm//crcB//kdsA//gltI//yjeI//oppA//rutC//tqsA//hemL//yajL//dsbB//gcl//ppiC//ydiF//hscA//nikE//ybcC//xylA//yajR//yedX//adiY//lptE//rplN//recX//mdtB//ivy//gpmM//prfC//gltI//dapA//
GO_0000160_5	hybO//tdh//rfe//ygjH//cysS//cysP//yfcS//tsaB//csrD//nanE//yajL//aspC//fdnI//ulaG//yfcF//ascB//zwf//csiD//rnlB//yehW//kdsB//cynX//insB-4//yhbS//rffM//tap//rplJ//cdgI//fabA//ynhG//ssuB//sapF//eptB//gyrB//yajD//rplW//gcvT//acrB//yiiD//waaU//pstA//psuG//yieF//
GO_0000162_7	malG//kefG//yibT//relE//tyrR//rpmB//narP//lepB//yahI//
GO_0000255_5	ulaB//pldB//gntP//casD//rpmH//
GO_0000256_6	ralR//thyA//yccX//yraR//rluD//
GO_0000270_7	higA//ybiH//nudG//sgcB//uspG//murG//mlaB//garL//gutQ//yjcO//trpD//yphC//yebG//insB-2//dnaJ//proV//shoB//trkA//zitB//solA//gmd//pabC//rutD//uvrC//agaR//agaI//rpsD//mcbA//rpsK//mdtJ//tdcG//yfeD//thyA//clcB//dauA//cobT//diaA//moeB//ghoS//pgaB//dsbC//gpsA//rsmI//coaE//rna//xapR//rhtA//mutL//glcD//rluE//pgpC//rpoD//rpoA//yiiE//rpsP//yfeD//coaA//cmtB//recJ//recC//ybiS//dsdX//ydiQ//
GO_0000271_6	tufA//ahpC//thyA//insI-1//mltA//nuoG//hofC//yqiH//yraN//tqsA//rhtA//rsmH//ydcS//dhaM//gspF//iscA//dinI//yfjV//hicA//yebC//araC//lsrG//ybdH//dtpC//oppA//psuT//rbsA//dadA//yiaU//tamB//slmA//ydhC//yggP//dps//sspA//rpmA//recN//rplA//frlA//malX//ddpX//nudC//minC//hemF//mreC//trmD//gcvT//ftsK//fadR//rsmB//
GO_0000272_6	dtd//yeaG//gltP//rpmE//pgaA//creC//
GO_0000302_5	gloC//yhbS//dapB//pitB//btuC//malG//yehT//yehZ//yihS//plsC//purL//rffH//rhaS//rplD//cyaY//ydiP//oxc//kdpE//ftsK//cutA//mrp//tap//hcaT//yhcD//cusF//rluE//csrA//yccS//ycjY//adiY//trpA//
GO_0000303_6	proW//ribA//
GO_0000305_5	yeaD//cpxA//hdhA//
GO_0000372_11	dsdA//
GO_0000375_9	ygaZ//
GO_0000376_10	yrfG//
GO_0000413_9	wecE//araE//garP//secG//nuoF//miaA//sfmH//asnS//
GO_0000451_7	nanE//yihQ//lysR//tauC//dnaE//
GO_0000453_8	yaaA//yoaA//yciG//ybaQ//lit//
GO_0000455_9	glgS//hlyE//yafN//metI//mdtJ//syd//epmB//
GO_0000462_11	pinR//ynfH//
GO_0000469_8	ybdO//
GO_0000470_10	ycjP//
GO_0000478_9	ydjJ//
GO_0000715_6	yajO//
GO_0000716_7	sodB//
GO_0000724_8	cueO//
GO_0000725_7	ybfA//rpnC//ypdF//trg//bioA//hisA//
GO_0000726_7	uvrY//
GO_0000731_7	ygfZ//pstC//fdx//sgcE//narV//ypdA//pitB//
GO_0000737_7	hslV//
GO_0000738_7	arnD//tsx//lipA//
GO_0000746_4	rlmI//
GO_0000820_7	patD//
GO_0000902_5	ebgR//
GO_0000910_4	flgJ//wzyE//tolA//ybhP//rzoD//cysW//hslJ//gspE//gcvA//melA//hxpB//phoU//fabB//fmt//garL//emrK//nuoF//phoP//
GO_0000917_6	ddlA//sgbU//dmsA//lptA//gcvP//
GO_0000918_6	ulaR//metL//ugpC//thrC//
GO_0000920_3	pflA//dsdC//nupG//waaS//zitB//
GO_0000921_6	ahr//
GO_0000966_8	hisM//gsiA//aroL//gabT//
GO_0000967_10	aroK//rhtA//yfcA//
GO_0001101_4	ompW//waaF//bcsQ//modA//ulaA//glpA//arnD//glpD//dinB//garR//yggT//menC//fecA//yfjR//glnA//pitA//proX//lysS//arsR//ycgV//nimT//pdxY//folP//bglH//holE//yjeH//
GO_0001121_7	glnA//rplO//
GO_0001123_8	bglA//
GO_0001124_8	ybdG//
GO_0001407_7	yeaV//lhr//rssA//pinR//
GO_0001505_4	adeP//fabB//rpiA//ytfP//gmk//fimD//rfaF//miaB//cpdB//lldR//dicC//ydiQ//uvrY//kdpD//ugpE//acnB//
GO_0001510_5	rnpA//alpA//dnaG//afuC//insF-1//wzb//hscA//yhdW//murC//ygaZ//treB//ispH//yiaB//fliL//dacA//yfeD//nanT//proA//potC//rcsD//dgkA//paaH//cho//yehX//tatA//wcaB//ycjU//chpS//csgE//iscX//selU//fimG//ebgA//ruvC//udp//serS//tdcG//ttcA//ubiF//dsbB//
GO_0001514_8	tldD//
GO_0001522_7	tusA//tbpA//ubiC//yehP//dtpD//mngA//rbsC//btuF//dadA//ligB//hofP//pgaD//rcsB//
GO_0001539_4	yigB//tehB//murR//ybhI//ybiS//yijO//lsrK//rhtB//prpR//sppA//ffh//ugpC//mrdB//ssuB//dnaQ//yadC//gpt//ubiC//mtlR//yqcG//cysP//glk//sohB//mltD//cbl//ycbB//sapA//degP//mdtE//fimZ//rluA//
GO_0001558_5	rhlE//alkA//fadI//otsB//allC//hyfA//ymgF//uxuR//
GO_0001561_6	lgoT//
GO_0001666_4	ydbK//
GO_0001676_6	hupB//pdeD//tqsA//
GO_0001680_11	cysN//
GO_0001682_11	intF//
GO_0001731_7	trmJ//
GO_0001762_6	nth//
GO_0001887_4	ybjI//kdpD//ydeT//
GO_0001896_5	betT//hinT//tatD//ampE//
GO_0001907_5	sdhB//yceD//iraP//mcrB//
GO_0001932_8	cmoA//nagE//
GO_0001934_9	fpr//
GO_0002047_6	dgcZ//uvrD//
GO_0002097_8	dhaL//lpxD//yiiD//yihX//adiY//panE//pmbA//yqiH//valS//ydjE//rpsA//hyi//recR//caiB//sbcB//rpmJ//rppH//metK//yqiG//
GO_0002098_9	phoA//ptsP//dgcT//cysN//otsB//phoB//flgD//recA//phoR//csrD//fadE//mdh//tbpA//
GO_0002099_9	glpA//rluE//
GO_0002100_9	blr//
GO_0002101_9	iraM//aspA//
GO_0002128_7	glmU//kdpD//rpsL//coaE//
GO_0002130_8	glgS//
GO_0002131_9	slyA//
GO_0002132_9	csgG//
GO_0002136_10	puuE//
GO_0002143_9	gpp//hcaD//artI//dcuS//phnJ//gutM//
GO_0002181_7	thyA//sspB//
GO_0002183_5	rfbC//
GO_0002184_8	napC//
GO_0002188_6	yhjG//
GO_0002190_6	waaG//
GO_0002192_8	yjiM//
GO_0002252_3	yjcO//preA//ecpR//cysK//phnI//ydhC//lplT//phoU//pgaC//dgcM//
GO_0002790_6	aceF//gadC//gudX//ulaF//tsf//waaL//plsB//
GO_0002937_9	narK//
GO_0002938_8	dppA//
GO_0002939_7	mak//
GO_0002943_8	dadA//
GO_0002949_8	treF//gntR//ybdO//eutR//
GO_0003333_7	potD//ygcR//dcd//recT//napD//kefC//asnS//rpnD//yjgX//cysC//nikC//dapF//tnaB//abpA//nuoI//ydhK//fdhD//hsdM//cheZ//mutS//yhhT//lacZ//rluB//glpC//yabI//lepB//ansA//exbD//sodC//hycA//ybbN//uidA//uxuR//insF-1//mlc//yacG//ivbL//yghO//cysQ//dcuB//pagP//argC//ycjU//ydiO//potH//ydgA//rpsR//trmA//xapB//
GO_0005975_4	dcuC//nhaB//gpsA//hyaC//tpx//rpmF//cueR//treR//ccmF//galT//yiiM//rplF//rsmJ//mdtC//exuR//cpxA//hcaC//ybeQ//chaA//csgE//glnH//ygbI//yfeX//gatC//dnaK//glpT//rhaR//fepB//polB//fepA//hisM//atpE//elfD//cbtA//actP//araE//ftnA//ahpC//dacA//fixA//cycA//thrL//priB//nrdI//bcr//lacY//rhaM//pflA//fecA//pphB//ispG//ampG//topB//yibA//pheM//trpB//gppA//hcp//eutR//asnA//lpxP//ubiC//ymgF//rlmM//otsA//guaB//pdxA//treC//rimM//yhbY//opgE//queE//katG//ycaO//malS//tilS//dacA//selD//mdtB//yoeE//yibA//hemD//deoC//dnaX//bioB//fdoH//hmp//phnG//fadK//yeiL//nuoE//dppC//yjbF//rihA//yehW//ubiJ//yihV//livJ//yidK//fabB//ycfL//yoeB//gnd//ribA//rimK//yadM//polB//purB//ssuD//mlaC//sdiA//bioD//pyrL//infB//lpcA//guaA//yafO//nupC//hdeA//hofO//ascG//sucB//fdnH//oppB//sohB//phoP//purA//fepA//cueR//ldtE//pitA//frr//citG//speG//xylR//gapC//cspI//ecpR//puuR//hdfR//mhpA//queD//hyaC//uxuA//mmuM//helD//ygbL//ydiZ//rsmD//pfkA//pntA//adhE//aldB//uspB//ymgC//yadK//tyrA//yjjW//oxc//yfdO//mutS//nlpD//puuR//mfd//ascG//gatZ//yjjU//rffC//hrsA//nsrR//carB//ldtA//rplX//tas//yjjW//edd//mdoG//gspI//secM//caiF//ampH//yehD//ytfT//yihP//adk//ydgA//tnaC//ybjC//ycfS//artQ//actP//intZ//fliA//ygcW//gltS//ybcJ//hisH//ycaO//tnaC//ydfK//galS//surE//kbaY//mntR//dnaA//yeiG//torA//yiaJ//hchA//yoaA//cysD//pth//yoaB//nupC//yjhB//cas3//rlmJ//ugd//hscA//cysQ//hha//hypE//fixB//ymgC//syd//sufS//tnaC//rpmE//tgt//ydcT//lplT//dbpA//yfeR//rimI//yieL//ung//ilvD//acs//sdhA//pyrE//ydgA//livK//intZ//insI1//moaC//cobU//alsC//yrdA//glpC//menF//fruB//yjhH//mdtA//frdD//
GO_0005976_5	rfe//priA//ffh//dsdA//secA//trxA//hypT//yahO//wzyE//ymjB//rpsA//cheA//waaG//exuR//glgS//oppB//waaP//garP//hexR//mglC//cspE//flgF//arsR//rfbD//arnE//greB//pspG//citC//puuB//erpA//dgcN//waaF//iscU//ybcQ//hflD//yhjB//artM//yeiE//nuoE//rdgB//ydhQ//purR//trmB//xylF//nhaA//mntS//lpd//insH-5//rplK//artM//cysI//narG//wecC//uspB//fadM//ilvB//betI//tcyJ//hisB//
GO_0005977_6	ybbN//yhhY//acpH//idnK//uidC//yajR//rsmJ//focA//
GO_0005978_7	rutG//ascF//seqA//hicA//
GO_0005979_8	yhjR//
GO_0005980_7	flhA//rutG//insA-2//
GO_0005981_7	lepA//
GO_0005984_5	yedA//yafC//cobT//yibT//cyoC//rffH//mnmG//rplA//fabH//hicB//rutD//
GO_0005985_6	dmsB//
GO_0005986_7	ftsP//
GO_0005988_6	chpS//fabD//
GO_0005990_7	nuoH//zupT//
GO_0005991_6	mdtI//viaA//yahN//selB//yfhM//
GO_0005992_7	rplJ//btuR//
GO_0005993_7	exoX//msbA//yqgF//
GO_0005994_6	ybhF//
GO_0005995_7	dusB//
GO_0005996_4	yajR//setA//dtpC//degQ//adk//ychO//era//ynbB//rplN//mdtE//ileS//pdeF//dgcZ//tufA//lgoR//aes//yghB//phnG//accC//trpR//insI1//adiY//kdpE//diaA//yhjC//elfC//yjaZ//pgsA//clcA//yghO//serS//envR//tyrB//sstT//insF-1//ydjJ//fic//cirA//flhD//tsaC//astB//yghG//aroP//gstA//gatZ//rmf//rsmB//maeA//ybjC//spy//proX//alaC//fecB//ptsH//ubiA//acrE//yraH//bhsA//ydiO//ybdN//acrB//cbrC//valS//ydjL//mutS//rmf//ybiA//cof//roxA//ddpX//sspA//citC//guaD//yigL//ugpE//trkH//mtlD//lysA//yiaU//melR//hypD//agaI//
GO_0005997_6	rfbB//
GO_0005998_7	rnpA//
GO_0006000_6	yqaE//ampD//ymdB//
GO_0006001_7	yihX//dcyD//
GO_0006002_5	prmC//pgl//pitB//
GO_0006004_6	fumA//pgaC//nirC//lamB//ppiA//ubiH//
GO_0006006_6	frwB//mdtO//dgkA//copA//mgtA//umpH//rpoA//malF//yfeD//cdd//lpxK//sdhD//gpmA//rseP//gabP//nirB//patD//trpR//macA//potA//glyA//yadI//murD//
GO_0006007_7	yejA//kdsB//napB//
GO_0006011_5	radD//
GO_0006012_6	purL//yebK//rfaQ//yoaB//yigL//pliG//rzoD//aldA//alaA//
GO_0006013_6	putA//dgcE//
GO_0006014_6	sfsB//rihA//phnJ//
GO_0006015_7	uidC//pyrF//
GO_0006020_5	yrbG//
GO_0006022_5	chbB//sapD//menA//hyfA//shiA//pdxA//curA//rhtC//mtnN//yhiM//prfC//ftsK//allS//flgE//yphF//feaB//yahB//tesB//rpsP//ssuA//patD//yebQ//ivy//nrfC//oppA//caiF//citC//mraY//napA//yghW//allB//yajO//yjiA//ygbM//rnb//iraM//glcF//asnB//apt//pppA//asnC//yagF//hcaE//gloC//ispA//znuB//metC//bioD2//wcaB//hdeA//gldA//hofN//helD//yodD//prfC//ebgR//yjcS//nuoB//preA//dsdA//yhaC//aldA//radA//
GO_0006023_6	pyrC//mngA//gutM//tufA//nuoI//xapA//marA//iap//adhP//ribC//dgcE//fhlA//metG//flhA//ttdT//nudB//hslO//ebgA//abgT//treF//trpR//galE//csgB//elfA//opgE//tsgA//fimA//galK//truC//stpA//dinG//coaE//yjiR//obgE//clpP//kdpD//yjhH//ynaI//hypB//
GO_0006024_7	yieE//yhfS//fucO//moaA//hldE//creB//preA//hsrA//xylE//ybiS//ybgP//flgK//glnQ//sixA//rplW//lsrB//uidC//sxy//gatB//tesB//napA//opgD//hemG//ralR//ftsB//xylH//psd//cmoM//uspG//tatD//hemB//ravA//cydA//fimF//yphC//tcyL//intQ//fabI//gnd//
GO_0006026_6	frvA//fruA//rof//ssuC//tonB//yghW//ydeT//argB//gatD//ddlA//
GO_0006027_7	ubiX//hyfC//priB//mcrB//mrdB//ybjN//pheA//nfsB//bioF//yhdH//
GO_0006040_5	dsdC//yfaX//yhaO//yehA//rplC//mhpA//trpL//tpx//metF//yfdR//panF//baeS//carA//rpsS//yihQ//mdtG//rseC//
GO_0006044_7	acpH//sspA//marR//fliZ//yiaT//
GO_0006046_8	yjbF//fepC//rcnR//rclB//
GO_0006047_5	yfeX//stpA//nepI//rutE//ispU//yqiJ//lpxB//
GO_0006048_6	clpB//thiM//yodD//tsr//yfaU//mdtP//
GO_0006050_6	yiaN//
GO_0006051_7	ebgR//
GO_0006053_8	yggE//
GO_0006054_6	ybiT//cobT//ygiS//ycjW//frwC//rnpA//yraI//
GO_0006056_6	nikR//
GO_0006057_7	rlmC//
GO_0006059_6	cdd//acrF//yhaC//marR//
GO_0006060_7	tsaD//
GO_0006062_8	agaW//
GO_0006063_5	xylF//mrp//ybiX//gyrB//bacA//rnb//ycjQ//ftsZ//arsB//
GO_0006064_6	ynbC//yiaB//ulaB//fdnH//glpF//ddpA//
