#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	cmtB//lgoD//sucA//rluB//
GO_0000023_6	fruA//
GO_0000025_7	nudC//
GO_0000027_7	nanE//eamA//fucA//garK//mrp//gapC//yadG//mmuM//yfbS//tadA//accA//tdcF//metR//
GO_0000028_7	prlF//ynfF//valS//yneL//cueR//lspA//tnaA//ppsA//thrS//
GO_0000032_8	rbsK//
GO_0000041_8	ydjJ//ydeI//yidR//mliC//sdhD//hemN//yibF//pcnB//acs//yggT//essD//ydfK//mntP//torY//lpp//wza//nlpA//phoQ//ruvA//queE//tyrS//kdsD//pgaD//prpC//pheA//yhaM//fucK//casE//tolC//ymgA//serA//wecA//wecE//rcnB//opgH//yidK//cmtA//accC//zupT//
GO_0000050_5	yehX//btuC//priA//thiD//ssb//uspC//ydfD//
GO_0000053_5	livG//
GO_0000096_5	fliA//cof//epd//gntR//yhgH//aaeR//ftsB//yjfP//rpmA//waaC//envZ//hisQ//mmuP//ispH//ydiQ//puuD//tatD//yaaA//actP//tcyP//sdhB//
GO_0000097_6	fepA//znuC//rnhB//glxK//yfcG//yqaA//ydiR//yggD//sgcR//ycjD//yfgJ//norW//rssB//mltD//
GO_0000098_6	cpxP//hcaD//ssuB//cysN//nagE//
GO_0000101_6	citG//argG//pfkB//leuE//rutR//hisM//murI//rlpA//miaA//rplD//ahpC//vsr//pal//fadM//ybdZ//
GO_0000103_5	yadM//ycfS//yahI//
GO_0000105_6	alpA//tsf//queF//mreD//hyfA//csdA//kdpD//umuD//
GO_0000154_7	hokE//hybC//glgA//cpdB//cobU//gstB//alsC//bolA//dhaK//nfsB//allD//malS//ydjL//eptC//hslJ//trpD//livH//narW//adhP//ycjP//livM//speE//mhpR//ppc//ffh//asr//yebS//menB//cirA//gapC//xerC//yjjI//
GO_0000160_5	msrB//metK//pspD//sdhE//yfbR//yiiM//ftsI//phnI//yahO//fryB//phnP//yjaA//tynA//pheA//cyaY//higB//pspG//torY//wcaJ//qseC//ydiF//yiiM//yahD//acrZ//kdpD//torS//nhaR//mgrB//yjiX//pdeD//rpmA//ydhJ//gyrA//sbcD//yhhZ//dld//sdaA//mepM//sbp//dacB//secF//iscR//kdpE//
GO_0000162_7	pyrB//ftsQ//tas//gadA//dppF//adhE//ybeY//lolC//sbmC//
GO_0000255_5	ydjL//mocA//kdpD//ftsE//fepG//
GO_0000256_6	glmU//csdE//ypdA//kdgR//dgcT//
GO_0000270_7	sthA//qseC//nrdR//insE-1//ytfT//pflC//panC//manZ//tdcG//slyA//nrdR//kdsA//yadN//pgaB//fetB//yfbS//cheY//yqeG//trmD//tmk//rpoE//nagA//yoeB//fryB//rfbC//pgrR//yqhC//hldE//clcB//coaE//yqcC//iap//dadA//ppiC//dmsA//gcl//dicB//sthA//wecA//yidA//yjiR//tig//yqjH//pitB//rclR//mmuP//napD//dctR//poxB//tsaE//allR//guaC//ygiW//afuB//cobB//ynjA//dinB//fiu//yfdC//fdnG//fliK//fimB//pal//
GO_0000271_6	ynfE//gntR//sugE//yjiX//yjbE//dcuB//pepN//idnO//fryA//tamB//yfbS//tusE//mlc//pnp//ftp//mepS//cdh//ybhJ//hslV//araG//rplI//pdeF//queF//iraD//pyrL//rep//bioD2//rep//yfaX//frdB//fepA//rcdA//fetA//vsr//rpsL//yajO//ymdB//yeaG//alpA//fepC//qseB//atpB//acrZ//speC//panZ//hypD//iraP//zraS//iscX//ibaG//
GO_0000272_6	rplM//hypC//mrdB//dut//pgsA//ydjJ//
GO_0000302_5	yihI//malE//asd//argT//clpP//raiA//nuoH//ymgF//ybiS//cspC//feoC//mgtL//pdxY//yhhZ//gnd//hyaD//eutD//hisC//radD//gfcE//ybhA//cysI//garL//syd//insI3//fes//bioH//zraS//yhhY//flgF//ugd//
GO_0000303_6	yrbG//yaaY//
GO_0000305_5	hcaD//yfdG//gltK//
GO_0000372_11	yobA//
GO_0000375_9	rplC//
GO_0000376_10	hprR//
GO_0000413_9	ubiD//nuoH//tas//rbbA//aspS//btuD//entF//tldD//
GO_0000451_7	degS//csrD//relE//nrdF//ybhR//
GO_0000453_8	cecR//lsrC//yabI//yneL//nei//
GO_0000455_9	nadA//yhaC//pmbA//arcA//glpT//surA//torA//
GO_0000462_11	setC//rplK//
GO_0000469_8	ivy//
GO_0000470_10	wzyE//
GO_0000478_9	serA//
GO_0000715_6	frmA//
GO_0000716_7	yoaA//
GO_0000724_8	gltX//
GO_0000725_7	frvR//atpG//xdhB//rpmA//asd//glnH//
GO_0000726_7	relE//
GO_0000731_7	lsrG//skp//tdcB//lasT//ybhF//rhaB//lpoB//
GO_0000737_7	galK//
GO_0000738_7	cnu//ccmD//cca//
GO_0000746_4	narK//
GO_0000820_7	hpt//
GO_0000902_5	dnaT//
GO_0000910_4	higB//yfaX//preT//pfkB//dapA//priB//opgB//yjhP//aer//feoC//cspA//dicB//feoB//moaA//blc//plaP//dacC//dppB//
GO_0000917_6	recF//hisA//pheT//dicC//lolE//
GO_0000918_6	dtpA//chpB//ftsY//cysG//
GO_0000920_3	pfkA//kgtP//yciE//galR//mtgA//
GO_0000921_6	folA//
GO_0000966_8	rpmJ//selA//znuC//fepE//
GO_0000967_10	yihW//hyaB//hisM//
GO_0001101_4	alsE//yfeR//yfdG//emrE//ghrB//hmp//fdoG//hisH//oppB//diaA//ccmE//sseA//rcsC//rof//rpsN//zraS//prfB//ynhF//ygaZ//ybiI//tsaB//murB//arnA//truA//hypD//mdtO//
GO_0001121_7	bcp//atoC//
GO_0001123_8	ykgF//
GO_0001124_8	trxA//
GO_0001407_7	pykF//polA//yieF//sufB//
GO_0001505_4	abgB//ybjX//cydA//hemF//fixC//gadE//hofQ//galF//ygiS//lpxC//mngB//fucK//thiC//rcnR//hflC//rlmG//
GO_0001510_5	hupB//der//puuE//mglA//yiiE//symE//sthA//btuD//yhcD//pabB//mrcB//araH//cpxP//cysQ//uspE//secB//yahF//emrD//codA//ybaT//murJ//gspJ//yebS//dinI//glmU//hyaC//narP//gadA//mdlA//yhjC//pabC//cyoC//deoC//nmpC//rimI//wzzB//sgcE//mdh//pgk//gmd//
GO_0001514_8	holB//
GO_0001522_7	intE//dppA//trmH//coaA//ibsC//gadX//ypdI//ghrB//ybiV//sbp//yhfK//yaaU//yeaV//
GO_0001539_4	crr//abgB//napD//aroK//mrdA//narW//hycI//mtnN//pdeK//adeD//ytfR//argE//ispF//ispG//gabD//spy//minE//galE//qseC//phoB//yegD//yieE//hybF//narV//yhdZ//trmD//thiQ//rlmE//nagZ//cusF//yoeE//
GO_0001558_5	glvB//ldcC//hofO//gatY//glcF//bioP//ydcT//codB//
GO_0001561_6	lptF//
GO_0001666_4	trmJ//
GO_0001676_6	entH//caiD//ygdG//
GO_0001680_11	chbF//
GO_0001682_11	modB//
GO_0001731_7	trpR//
GO_0001762_6	mrcB//
GO_0001887_4	yrfG//acrA//ftnA//
GO_0001896_5	setB//sodC//rpsA//trpB//
GO_0001907_5	cbtA//ldhA//yohC//erpA//
GO_0001932_8	mntS//sthA//
GO_0001934_9	dinB//
GO_0002047_6	nagD//secD//
GO_0002097_8	cpsG//eutA//epmC//selD//yddA//fhlA//ftp//fliL//yebG//gntT//ibaG//rsmH//dgcM//accD//ldrA//yajO//phnI//rplR//araH//
GO_0002098_9	menE//fliL//yiaO//nmpC//iraM//rpsQ//ynfH//ldtC//cmoB//gutQ//nanR//paaX//trmA//
GO_0002099_9	aroG//rtcR//
GO_0002100_9	waaH//
GO_0002101_9	yadC//bioB//
GO_0002128_7	cutC//sfmA//ycjQ//nadD//
GO_0002130_8	yiaO//
GO_0002131_9	csiR//
GO_0002132_9	ydiQ//
GO_0002136_10	casC//
GO_0002143_9	phnM//panC//atpB//rpnA//tonB//gabP//
GO_0002181_7	pgaA//yjbB//
GO_0002183_5	yidA//
GO_0002184_8	yfeD//
GO_0002188_6	mutT//
GO_0002190_6	rhaD//
GO_0002192_8	selU//
GO_0002252_3	zntA//dosP//relA//ftsY//dcp//rzoR//rplT//ugpE//yraJ//tktB//
GO_0002790_6	dsbA//znuC//ada//yjiR//ptsG//uvrY//yddG//
GO_0002937_9	ileS//
GO_0002938_8	mraY//
GO_0002939_7	tolC//
GO_0002943_8	rpnC//
GO_0002949_8	yaaY//ulaE//preA//uspG//
GO_0003333_7	tyrS//ygcW//ynaE//rpmE//pinE//ptsG//yghU//setB//rplX//mocA//acpS//yciF//ebgA//ybhF//glcC//nagB//paoC//dctR//yfgJ//rfbD//mcrB//pitB//abgT//idnK//rpoD//yqjH//tyrB//tatD//dxr//yjiA//ghxP//nikR//sapD//yggP//insH-5//clpA//srkA//kdpF//yidK//kefF//torI//yraR//tar//narI//ydeT//ycaO//tusC//panC//hypD//
GO_0005975_4	lexA//tldD//hcaE//seqA//yddL//dapF//folM//hsrA//mngA//ybiT//tcyL//cra//rpsG//sgcC//ligA//sgrT//fadR//uspF//gmhB//mtfA//ycjQ//thiD//rimP//ppc//rpsB//hns//tsgA//secB//ompW//sgbE//phnI//arsC//brnQ//mraZ//ychH//cspA//ssb//yafC//cho//cusC//waaH//acrZ//pheS//yjcE//ddlB//gloC//agaA//yaiP//nuoI//barA//kch//bepA//kefG//ynfE//bdcA//yieE//yjiM//sapD//treC//waaJ//pykA//galR//cysD//prpC//rlmI//elyC//fryC//fruA//cmk//nadE//arnT//ilvL//prkB//menD//gudX//yahI//rutR//artI//lysS//rnc//purC//yijO//rnc//trpB//lptD//folE//zapB//intE//fieF//sufE//glmS//rluD//ydiZ//wcaB//cobS//pdxK//rnt//plsC//metQ//agp//ldcC//msrB//yfiF//ppsA//kefG//ccmH//lipB//intE//asmA//ttcA//ycbB//eutA//umpG//uxuB//kdpC//ydcM//kdsD//argK//yfbR//yjjW//guaA//yfjV//xisR//ttdR//ftsW//fliM//exuR//frmA//aroF//mngR//ynfK//bglH//fhuC//ynbC//tcyP//tatB//xseB//rclC//yggE//xseA//serB//truC//abgB//yfaL//ftsZ//envC//dgt//rhaA//gldA//rpiB//lon//mutM//clcA//rmf//csrA//gor//recJ//yjjQ//mnmE//ynhG//mdtL//lolC//yghO//srkA//csrA//betB//lsrB//lepA//ortT//rluA//hslO//frsA//yibA//eptB//dnaK//xylE//intZ//hofC//rpsP//mtr//mcbR//cueR//yciV//kdpE//flgB//kdpA//ygfX//ldtE//yjcS//allD//secA//hisF//casC//pnuC//deoC//yfjV//alsB//thiE//metE//amtB//azoR//fabR//sspA//pgk//cysM//insI3//bamC//rbsA//mzrA//coaE//fucA//dnaT//gpmM//trmA//purN//cusC//codB//argT//mscS//cheR//frmR//fadJ//sodB//ybjI//yraJ//ivbL//xylE//ompC//perR//ulaA//pyrE//infC//araE//tsgA//alr//dmsB//cspI//mscL//mglB//waaL//ugpC//ihfB//fadH//pdxJ//ycbB//glpR//yciA//ccmH//cysK//fruA//grxD//fecA//aceF//tcyP//
