#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	hflD//ygiS//fepA//ravA//
GO_0000023_6	glsA1//
GO_0000025_7	gabP//
GO_0000027_7	pgpB//yehD//uvrB//tdcG//abgB//dtpA//chaC//mtn//alr//dicA//uraA//tnaB//lysR//
GO_0000028_7	nudB//dtpA//melA//sbcC//yihW//ydfK//elbB//ybhR//gabD//
GO_0000032_8	hslU//
GO_0000041_8	lolE//xapA//macB//metI//ratA//rplR//rffH//metF//phnC//ompL//nuoH//lepA//ndh//yhdZ//wecE//slmA//sodA//cbtA//pepA//lldP//yphB//gatZ//garR//ynbB//fabG//clcA//tnaC//hemH//hypD//trpE//yajD//argR//yejA//dgoT//glsA2//pdhR//essD//hcaF//ldtC//
GO_0000050_5	rplR//cynT//argK//yhjG//pstB//dedD//ispF//
GO_0000053_5	idnO//
GO_0000096_5	ygeV//hslJ//sapB//cpxR//yhjB//plsX//ibsC//rnlA//rplO//yqeG//matP//rpoS//frwC//rimK//uxaC//yfiC//sgbU//tatB//nrfF//thiM//ihfB//
GO_0000097_6	gadX//yeaD//hxpB//kdsC//cydB//yqeF//lrp//mdtD//lysO//yoeE//arcC//yihL//glmM//uhpA//
GO_0000098_6	sbmC//pepN//sbcC//nrfE//narK//
GO_0000101_6	xylF//tatB//recE//exoX//suhB//fadK//ygbI//rnb//ydjL//ssuB//sgcX//lysP//ppiD//opgH//fbp//
GO_0000103_5	yciG//yafO//guaC//
GO_0000105_6	aldB//glpA//srlD//ilvL//entD//yehY//rep//fcl//
GO_0000154_7	fecA//tdcA//asd//cadB//kefF//yajO//yceD//lysU//holC//bacA//bolA//yojI//fes//plsB//mltA//pykF//yfgO//fdx//hisH//fucO//dgoK//yedX//abpB//yciE//yidC//mtlD//yhdW//wzb//aroD//coaA//cdh//pheP//
GO_0000160_5	lipB//modA//barA//frsA//tnaA//ydcP//rplT//rcnB//yejA//cmtB//phoB//ybgQ//intQ//yafS//ydcR//dosP//rutD//yhcN//ybjG//rplT//yieK//ssuC//dxs//astB//rfbB//fecC//recD//mnmG//rnhB//glgA//ibsD//hofO//rbsR//dpiB//sbcD//ddpX//wecE//yhjB//adeQ//dcuB//poxB//ygjH//purB//
GO_0000162_7	fepC//tgt//rplA//sgcB//gutQ//codA//yeaV//mepM//flgG//
GO_0000255_5	apaH//lrhA//garD//sgcE//lolE//
GO_0000256_6	folX//ycdY//dctR//artP//rbsK//
GO_0000270_7	ilvD//mzrA//yejB//rsmJ//yfgI//uvrB//ldtA//mltB//ybhR//ssuD//pbpG//ibsA//ccmF//treA//uspE//pta//ybhF//fimH//yqjI//kbaZ//aroG//rho//nrfB//gsiD//mpaA//fic//envZ//ribC//sgbU//hisG//basS//queE//hflD//lacI//plsX//blr//puuB//lpxB//yihX//dgoT//hscC//recT//ispA//uspC//yihL//casA//marA//mrdB//motA//dgcF//yeaD//nirC//bioF//ghxQ//yiaO//recR//xylB//cysG//yehD//hldE//pagP//tisB//yjiQ//
GO_0000271_6	rplY//yfeW//hycA//frlA//ulaD//fpr//thiH//menC//atoS//bioD2//oppC//alkA//hipA//gcd//agaV//sapC//dtpA//malY//narY//entB//ampD//yajD//rluD//dapA//ddpX//gltP//uidR//rpsJ//pepB//aroF//mepH//hha//ompR//uspB//ulaD//clpX//cobC//znuB//yfeW//ftsZ//trxC//srlR//nuoG//galK//rimO//sutR//csrD//sufA//betT//argT//
GO_0000272_6	cbl//sgcX//hypB//srlB//zipA//deoD//
GO_0000302_5	rhtB//citE//yhhZ//lolD//rhaS//dcyD//rplI//kdgK//betI//argD//pepB//gabD//phnH//pgpC//sapC//pepQ//alaS//xanP//sugE//nadB//mdtM//yfcQ//nemA//cbl//frdA//plsB//ydiV//metF//yohD//ydiF//glpB//
GO_0000303_6	yihT//apaH//
GO_0000305_5	fadD//thyA//yhjV//
GO_0000372_11	frvA//
GO_0000375_9	ldtA//
GO_0000376_10	menC//
GO_0000413_9	gsiB//tolC//lolB//ydhJ//purR//atpG//ybdN//yhcH//
GO_0000451_7	pyrE//thiQ//arnE//lysP//arcA//
GO_0000453_8	hflX//ibsA//insI-2//yjfF//lptE//
GO_0000455_9	cysB//leuE//ompW//ycfJ//ibsE//dsbC//tusE//
GO_0000462_11	ygfZ//hybC//
GO_0000469_8	ygaH//
GO_0000470_10	dmsC//
GO_0000478_9	mzrA//
GO_0000715_6	potA//
GO_0000716_7	metH//
GO_0000724_8	dapA//
GO_0000725_7	cpxP//sgbH//narV//srlE//argO//mngA//
GO_0000726_7	frmB//
GO_0000731_7	ibpB//kdpF//hycA//lptE//phnG//sgcE//ykgM//
GO_0000737_7	ghxP//
GO_0000738_7	mutY//yhgF//yraN//
GO_0000746_4	aceF//
GO_0000820_7	sdaC//
GO_0000902_5	yihX//
GO_0000910_4	hycA//brnQ//yecS//lpoB//fimA//yfaV//artQ//pdeD//xylB//mcrB//glpC//yehU//cheB//ypdB//rpsO//azoR//panF//alsE//
GO_0000917_6	yfcV//ydiZ//rfaD//agaS//hprR//
GO_0000918_6	araE//ydjL//bfr//glnE//
GO_0000920_3	yifB//pstC//potA//arfB//ansA//
GO_0000921_6	aceB//
GO_0000966_8	fimB//cueO//cmoM//dgcZ//
GO_0000967_10	nirC//aceF//mdtB//
GO_0001101_4	rseB//sdhD//rhaR//ldhA//kdpD//fadI//panB//lpxT//ascB//yhjC//yhbX//ydcP//bssR//bhsA//ygiS//yehT//dtpC//iscX//ycjP//chaC//rbsK//selU//xapA//aas//gabT//galU//
GO_0001121_7	zwf//znuA//
GO_0001123_8	malZ//
GO_0001124_8	hisH//
GO_0001407_7	xanP//tolB//potH//infC//
GO_0001505_4	phoP//slt//topAI//decR//bioD1//hmp//tatA//ydeP//lptC//galM//metI//rhmR//yiaO//yehP//sbp//trmJ//
GO_0001510_5	yjgX//trmH//fepC//dtpA//fixB//moeB//mcbA//yehD//glnD//lsrD//dnaX//potC//ymgC//minC//narK//nanK//cysP//rapZ//tag//pyrL//yhaV//xdhB//glnL//ybdM//rpoH//mraZ//mppA//ahr//prmC//narZ//sufA//trkH//nimT//pabB//yafO//fieF//lit//gutM//ade//lgoD//
GO_0001514_8	ghoS//
GO_0001522_7	srmB//holD//gadB//fumC//csgF//rffM//mepH//sapF//arnT//ynfE//hyfC//glrK//chiP//
GO_0001539_4	dsbA//sucA//ybeY//nlpD//yjhC//mdlA//yiaA//patD//znuB//rplO//tusA//murC//yqjA//fimG//galT//yfaE//malY//hybG//mhpA//flhE//endA//creB//nfo//pyrF//dcuA//yiaM//dam//galU//ravA//glnK//hofP//
GO_0001558_5	sdiA//fadB//pldB//kefB//yghU//wecE//yebS//prfA//
GO_0001561_6	araH//
GO_0001666_4	waaQ//
GO_0001676_6	dgt//argE//yraH//
GO_0001680_11	nudG//
GO_0001682_11	rnd//
GO_0001731_7	murB//
GO_0001762_6	yecS//
GO_0001887_4	purC//queD//rutR//
GO_0001896_5	yddM//ackA//yadK//dcuR//
GO_0001907_5	sdhB//moaA//chpS//ydiR//
GO_0001932_8	yfdK//panB//
