#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ibpA//rclB//yjiR//paaZ//
GO_0000023_6	ebgR//
GO_0000025_7	crl//
GO_0000027_7	frlR//tig//trkA//mazG//nupG//otsB//map//kduD//speD//secB//yciA//yhdW//ulaR//
GO_0000028_7	otsB//glpC//ttdB//narL//ycjD//nagA//diaA//exuR//truD//
GO_0000032_8	allR//
GO_0000041_8	rseP//acrE//csgG//ymgA//rpiA//dapA//alpA//yfcG//prpD//ybhR//rplN//kdgK//rpoS//thiQ//sapB//ilvC//sodA//hcaB//flgG//flgM//priB//yahO//dmlR//galU//acrA//dinD//rsfS//fes//wecA//ulaA//hprR//yidA//hybE//iraP//yraK//appA//nadA//ycbB//cynX//
GO_0000050_5	hcaB//amiB//argF//ubiD//bolA//malP//hiuH//
GO_0000053_5	yqiI//
GO_0000096_5	yedA//lsrA//fabH//potA//ihfA//lexA//purR//ybfA//hyfR//rhaB//glnD//nudC//menI//pspC//dsbG//aldA//glnB//thrB//yjcS//insA-1//dauA//
GO_0000097_6	yfaX//rcsA//agaV//gluQ//kduI//ygbL//ilvH//yieK//insA-2//chbG//yebK//nrfD//yrfG//sppA//
GO_0000098_6	dsbD//sodB//nlpE//fruB//ydiF//
GO_0000101_6	phnL//exuT//zraR//trpR//cyoA//mtlR//glpC//kdgT//sgcX//slyA//dnaK//rpsR//nuoH//ihfA//frlC//
GO_0000103_5	nuoB//bamE//dapD//
GO_0000105_6	pfkB//ubiX//ybdH//ribA//yiiD//yiiM//wrbA//cspG//
GO_0000154_7	tsr//pgm//ddlA//yhfK//sgrR//bioD//yehB//mtfA//uacT//yraK//torD//lpoA//rbsK//ppiA//ynjA//bipA//pdxJ//purF//gldA//ffh//mtr//kbaY//insF-1//tauC//ydhK//pyrF//holC//holE//mhpA//deoB//garL//yhjX//
GO_0000160_5	ppk//manX//dppF//dacA//rseC//cobT//mfd//glcA//blr//metR//kefG//rimP//ymgA//ffh//insI-2//yahN//prkB//torY//arcC//pyrD//yiaU//glxR//ydcZ//rpsQ//ybeY//wecB//dcuC//hyfC//dmsB//ydjK//ftsP//tdk//aroF//aaeR//ydeP//ppsR//purD//yhdX//lgoR//ascG//adhE//ssuE//malE//
GO_0000162_7	dgcQ//mcbA//wecE//yiaL//yneL//hybB//araB//glrR//purD//
GO_0000255_5	cpxR//mdtO//yeaG//kefF//eutN//
GO_0000256_6	yhbQ//secE//pitA//yfcG//alkB//
GO_0000270_7	yraR//dcm//ccmA//cspE//adiA//rhaR//nagE//blc//yjhI//mreC//trxA//ygeW//queD//rpsA//tus//argC//rne//potF//yqcC//ghxP//mlaE//sgcA//phnP//yhfS//chbA//yihR//uvrY//ilvH//gadB//aslB//ybjC//fabR//mltF//metI//bolA//ilvC//yfaE//gltX//elaB//nuoG//ynbC//basR//araB//zapE//moeB//yidD//gyrB//rpmF//csdE//gatY//tdcR//bhsA//acpH//phoE//hcaR//phnK//araB//lysS//mdtQ//ftsA//ynhF//ybaE//bepA//
GO_0000271_6	yodD//torC//tdcE//minE//ada//cbrC//hypF//frwD//pnp//zraR//bolA//cusB//ydiR//pgaB//stpA//mraY//cheY//xylE//yiaT//tyrR//ralR//araF//alsC//hflD//chbR//mtlD//cysA//dcm//tyrR//adeQ//lptG//yiaA//aphA//entC//yhcH//yajL//yehC//nikC//prpR//secD//lpd//hupB//rssB//yjbE//ycjY//aas//yhjV//fruK//sugE//metR//
