#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rhaD//mdaB//dcuB//xerC//
GO_0000023_6	grxD//
GO_0000025_7	rhaB//
GO_0000027_7	iap//trmL//fimB//cydA//sgcA//helD//msrB//paaH//argR//gshA//dppD//rseB//gntP//
GO_0000028_7	yqcG//bdm//queF//ttdR//mhpB//queD//kbaY//fliG//yddL//
GO_0000032_8	nupG//
GO_0000041_8	rfaQ//ubiD//yidK//ispA//nrdR//ompF//tsf//ftsE//uspG//arnE//yhaJ//gmhB//betA//pgpB//ymfA//dtd//suhB//ugpE//dicA//carB//yfeR//rcnR//yraJ//ynjA//queG//yhaV//sdaC//ttdT//accA//arfB//ychF//tcyN//erfK//yjjX//xseA//minE//yaiV//katE//gudD//
GO_0000050_5	hofP//glnE//hflC//yieK//pinR//opgH//aaeA//
GO_0000053_5	dicB//
GO_0000096_5	gapC//lgoT//yhbX//lgoR//ubiD//zapC//dmsA//rfbD//kdpA//pyrB//sgcC//ilvD//gmd//xseB//feoB//ssuE//envR//argG//glmU//ybfA//waaG//
GO_0000097_6	phnG//hprS//idi//ompF//ygbM//paaF//hha//insI-2//fdrA//moeB//prc//phoB//apt//cynT//
GO_0000098_6	dgcM//hupB//yedX//yggE//mglB//
GO_0000101_6	agaW//arcC//crcB//pdxB//dcuB//treC//yghG//insI1//metF//yraH//moeB//fklB//ettA//yeeJ//fabA//
GO_0000103_5	rpmB//yjgX//dgcE//
GO_0000105_6	hxpA//casE//fliG//aceB//opgC//waaG//puuC//shoB//
GO_0000154_7	appB//ynbD//yjeH//ftsQ//lepB//yigB//afuC//ydcS//agaD//recO//mdtM//gpt//yoeE//atpH//kbaY//yihQ//hyfR//yihT//ldtD//trpB//atpH//ftp//galR//ycjQ//cpdB//sdhE//mepS//fimZ//ebgR//thiQ//malS//bsmA//
GO_0000160_5	sbmA//rplI//dppA//eco//livK//yejF//ubiF//rhtA//gntR//hipB//mfd//fimA//ymfK//glnK//ynbC//yjjV//rpsA//corA//yhdZ//recB//envZ//tolQ//aqpZ//dnaA//flgC//yegT//ygbI//rna//kefF//fimA//rimL//nuoL//tcdA//yeaK//potD//ubiA//dcuA//hipB//ygfA//serS//fucI//yqcC//cspE//
GO_0000162_7	tsx//yjfF//fumA//plaP//betA//ybeQ//moaC//pstS//yagU//
GO_0000255_5	rpmG//mrdA//waaF//sdhC//yrfG//
GO_0000256_6	yobF//yhaM//glcE//gabT//mdaB//
GO_0000270_7	hisD//rnt//treC//chbB//ubiC//idnD//ycjR//hcaR//argG//pdxY//mraY//sgrR//speF//rspB//edd//metK//pyrE//gatC//nudC//dapA//galS//gsiD//gntT//ykgM//mazG//aroE//gadX//topAI//ycgV//clsA//bhsA//yjjX//yjiY//yhhZ//gltD//yhhZ//hisM//kdgT//thiL//hcaR//srlD//creC//menC//yedX//fliZ//lhr//yadG//glnB//fimD//ykfM//fliM//gntK//rfbX//amyA//ugpE//mngA//rnr//nanR//insA-1//actP//kefF//ridA//treA//
GO_0000271_6	ymfK//mreB//pyrC//hofN//yhjV//atpC//zntR//rihB//dppA//paaX//sbcB//yhgH//insB-2//secY//yjjU//znuB//yggF//gsiB//yjcS//mdtK//creB//intQ//sstT//dacA//zntA//dhaL//speF//manA//ygfZ//rpsH//glnL//paaG//frdB//yajL//rrrD//iap//tsaE//mtn//appC//bioF//kch//livK//fdoH//ybdZ//priC//argP//hemF//dam//yhcD//rtcB//
GO_0000272_6	kdpA//rfaG//yibA//pgaA//ppiD//entB//
GO_0000302_5	nagB//ftsH//qorA//prpC//lamB//secG//cusC//tufA//dctA//csiD//solA//crr//ilvC//xisR//rhoL//zntA//hdeA//deoB//ftsW//ydiR//trmO//dmsA//yfeR//panD//rof//nagC//yjjX//fruB//argP//sbcC//cydB//
GO_0000303_6	maeA//ycbV//
GO_0000305_5	cysP//rutF//lspA//
GO_0000372_11	metL//
GO_0000375_9	yidP//
GO_0000376_10	thyA//
GO_0000413_9	polA//recD//rplM//uhpB//thrB//rpsK//argF//nepI//
GO_0000451_7	ybiW//cedA//lpxK//bdcA//asmA//
GO_0000453_8	ydcT//acnB//gltD//nlpI//dnaE//
GO_0000455_9	mnmE//dgoD//rsmI//garL//ccmG//gpr//nupC//
GO_0000462_11	parE//nemA//
GO_0000469_8	arsC//
GO_0000470_10	envC//
GO_0000478_9	recQ//
GO_0000715_6	gdhA//
GO_0000716_7	shiA//
GO_0000724_8	phnK//
GO_0000725_7	bamA//kdpD//djlC//lpxK//citE//ompG//
