#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	flhA//ppc//polA//soxS//
GO_0000023_6	cheR//
GO_0000025_7	glpG//
GO_0000027_7	putA//slyD//rdgB//hofP//proX//hofQ//pabB//wzc//paaF//ycjW//entC//garD//galT//
GO_0000028_7	sfmH//argT//yfcV//appA//glpB//hfq//yidK//ybfE//ydbK//
GO_0000032_8	dosP//
GO_0000041_8	xylR//yhbO//ilvM//narI//hslV//fruK//cbeA//dsdX//hha//folX//ykfI//kduD//ydeP//artM//ycgV//tmcA//sgcC//rpmH//ftsE//yjhP//hybC//malE//zapE//lsrG//epmA//rtcR//bssR//satP//fpr//rihB//rihA//yjiQ//mdh//ompC//kduD//acrZ//rsmB//crl//entF//
GO_0000050_5	katG//ulaA//chbB//cspA//cynS//secF//rpmB//
GO_0000053_5	argI//
GO_0000096_5	yedL//putA//focB//xapA//acs//flgI//lpoB//fbp//ymgC//cutC//gutQ//flhD//rpsB//ydiQ//osmE//msrB//rlmH//cdgI//hrpA//holA//baeS//
GO_0000097_6	yohC//prlC//yphD//deoD//rof//ibsE//shiA//yoaA//mepA//insH-5//murE//bglF//hns//tauD//
GO_0000098_6	srlA//hisD//fruK//ccmE//frwC//
GO_0000101_6	yfaU//uspC//bioH//tdcR//pgi//coaE//panC//ybiV//aspS//ybdO//tbpA//uhpT//yidA//nagA//sapF//
GO_0000103_5	proQ//glnL//hisI//
GO_0000105_6	rusA//cyoE//chpB//pepT//menC//yceK//tamA//purL//
GO_0000154_7	nrdR//gltP//lldR//dld//der//clpB//wcaB//fdhE//yebG//emrB//paaJ//yagE//ftp//rhmR//erfK//yqgF//fepB//glpD//atoS//yjiM//ybdM//xapR//crr//opgC//selA//cspC//pgpC//yqaA//ymgF//yhjA//yhgH//rcnB//
GO_0000160_5	ybbN//cysG//ybbN//dsdA//rluF//lrp//hyi//holD//fimZ//gshB//ttdT//yfcQ//lpxP//nikD//rbfA//argB//ybcC//mioC//chbG//nrdD//groS//pgaA//hscC//mcrB//malZ//crl//uxaB//cheB//yehP//rhaT//nlpA//ynjD//rplS//ygiV//nac//tdcA//asmA//nirC//glgB//dctR//relB//ybhA//metN//
GO_0000162_7	gcvA//aer//dmsC//selB//hypF//hdhA//recA//solA//kdpE//
GO_0000255_5	ygfX//alsB//kefG//hyaD//metI//
GO_0000256_6	fklB//cas3//araE//rlmE//frdB//
GO_0000270_7	asnS//lysP//pheT//djlC//pyrB//ynfE//phoQ//cdd//mepA//tonB//lpp//ybeF//sufB//ygaH//hda//yjjQ//pncB//flgH//bhsA//gadW//aspC//iraD//tpx//sfmD//yrdA//speD//rhmD//yciG//mscK//fumB//ynbB//cpdA//wzc//sfsB//apaH//uxaA//rfbB//argT//cedA//ychF//fhuB//phnJ//kdgR//wzyE//xanQ//aldA//yegT//yjgX//malK//caiF//lysU//ldtB//cysB//mutM//fdoH//mrr//murG//hipB//ynjD//gyrA//ribA//tmcA//udp//
GO_0000271_6	allR//idnD//tnaB//adk//ltaE//ptsG//hycB//tas//gcvP//ybcF//yceO//rpoH//cysQ//yejB//insB-4//guaB//fepB//yfhH//gltX//yfcS//paoC//aaeB//queE//cdgI//rimL//arcB//rplA//murQ//nrdH//flhA//ychO//fliS//hcp//kdsD//tatA//glnE//hicA//wzc//hxpB//leuO//dinB//yiiD//leuB//alaS//kdpB//pfkA//entF//ortT//ppsR//opgD//
GO_0000272_6	rcsF//fliK//aroK//cyaA//yceD//nagC//
GO_0000302_5	nikA//dapA//yahB//fklB//puuA//ppk//prmB//agp//yceO//sdhD//psuG//gadE//dhaR//clpP//cueO//rnt//gfcE//lgt//tdcD//yggW//rnb//recB//frmA//upp//gadC//cpxP//dinI//dnaJ//yafQ//nadB//gmd//
GO_0000303_6	tnaB//bssR//
GO_0000305_5	yaaU//fliL//recQ//
GO_0000372_11	ybiY//
GO_0000375_9	secF//
GO_0000376_10	hprR//
GO_0000413_9	fetB//yidL//rpoS//baeR//bglX//rpsK//gadC//msrP//
GO_0000451_7	dctA//hyaC//mutS//thiE//dgcM//
GO_0000453_8	ulaG//rluD//thiE//ibpA//sucA//
GO_0000455_9	dnaA//pspF//ybfA//fumC//sgrR//atpA//appA//
GO_0000462_11	intZ//carB//
GO_0000469_8	upp//
GO_0000470_10	rsmJ//
GO_0000478_9	torD//
GO_0000715_6	bcsA//
GO_0000716_7	cyoB//
GO_0000724_8	mhpA//
GO_0000725_7	relB//nemR//ybcC//fepG//aphA//ispB//
GO_0000726_7	glgA//
GO_0000731_7	sgcA//csdE//glnH//fes//cusC//ytfQ//glsB//
GO_0000737_7	atoC//
GO_0000738_7	yibA//malI//glnP//
GO_0000746_4	rne//
GO_0000820_7	sapC//
GO_0000902_5	csdE//
GO_0000910_4	pphB//ypdA//smrA//uhpC//ftsL//yciF//oppB//ptsP//pspF//srlE//yehY//pgpB//lhr//atpC//paaJ//nikE//nuoB//clpX//
GO_0000917_6	nanE//recN//mmuP//frlB//paaX//
GO_0000918_6	hdeB//yjiY//glrK//thyA//
GO_0000920_3	hycI//fic//ydiR//ymfK//ydjL//
GO_0000921_6	yphD//
GO_0000966_8	cho//yhaC//purR//degS//
GO_0000967_10	nuoM//ptsH//intF//
GO_0001101_4	chbF//mscM//sapB//map//gsiA//pphB//cspI//xanP//yccS//rplR//rhaD//lsrD//ygeR//argO//lysU//fabG//nlpA//proA//htpG//rpnA//dcuD//intF//glmM//atoS//cydA//dhaL//
GO_0001121_7	yidK//rcnB//
GO_0001123_8	parE//
GO_0001124_8	tufA//
GO_0001407_7	rpsH//ybcF//uvrB//ynbD//
