#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	wzc//intF//eutK//tamB//
GO_0000023_6	ybjX//
GO_0000025_7	gudD//
GO_0000027_7	ldtB//osmE//ydcZ//pgl//yibH//yibT//fimG//leuA//cysN//sspB//rffC//idnD//waaS//
GO_0000028_7	ybhI//holB//selB//dinJ//yifB//yaiP//mmuM//cusF//aceK//
GO_0000032_8	hisI//
GO_0000041_8	hxpA//fliG//ygcR//frdA//fabH//norR//dgcN//rrrD//hisC//ilvI//nudB//ybiY//yiaF//cysE//wbbK//deoA//ugpA//sspB//yqaE//pdeL//iscS//mdfA//cynT//rpsA//mak//yihU//yeiL//oxyR//yedA//blr//yfaL//phoP//ycfL//hemB//pspG//rarD//hisF//trmD//gsiC//
GO_0000050_5	yjjQ//rlmD//folD//hipB//radA//fkpB//sfsA//
GO_0000053_5	iaaA//
GO_0000096_5	glpT//yddM//yhjR//ais//kdgR//rseP//fimB//xapR//nlpA//tdh//aldA//ybiV//frmR//mlaF//ivy//murI//aslB//folE//ygcW//frc//purA//
GO_0000097_6	ybiW//cecR//tufA//zapA//eptB//recJ//glrK//tabA//ybfE//cnu//rplX//phnL//bioC//abgR//
GO_0000098_6	ispB//cmoM//sgcB//moeB//bglX//
GO_0000101_6	yehB//dauA//dicC//thiH//gatD//mdaB//uxaB//sixA//ada//ldtB//uhpA//yidR//cdgI//parE//speF//
GO_0000103_5	degS//ibsA//yghW//
GO_0000105_6	uhpB//sufS//yqcG//sdhA//dgcT//argG//ruvB//nudF//
GO_0000154_7	grcA//xerC//yajQ//tdcE//lhr//tmcA//queG//rutB//yehX//glnQ//lptC//cynT//fepB//yfeX//eutK//fixA//pagP//menF//rna//lpp//malQ//guaD//znuA//puuR//yedF//tusB//sixA//rplO//mutT//dgoK//fnr//gpmA//
GO_0000160_5	epmA//yohD//gfcE//nuoM//narV//allS//sufB//yqiJ//frlB//yfjV//yaaA//diaA//puuD//ubiJ//frdA//exbD//leuB//cyaY//ldtE//prpB//dgcZ//ydeP//ddpA//argE//cvrA//valS//hycA//dnaG//zitB//frsA//surE//holC//ugd//pdxB//ybcJ//yehB//sfmC//flgC//rclR//minD//intS//yidP//ydjH//
GO_0000162_7	menB//yafO//rlmC//hcaD//sdaB//yfgI//gcl//rhaA//yggT//
