#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	entB//dmsB//hyfA//fepD//
GO_0000023_6	ymjB//
GO_0000025_7	gloC//
GO_0000027_7	yfaX//ydbD//hpt//rpsE//caiE//diaA//frsA//ynhF//yhaV//yciG//dfp//hybB//ptsN//
GO_0000028_7	epmB//fabA//chbG//ygfA//infC//shiA//tolR//bipA//ssuE//
GO_0000032_8	narI//
GO_0000041_8	yidQ//hypT//potG//secM//elaB//pncB//mdlB//yghB//ybbN//pliG//serA//lptC//garD//thiE//serC//nfsB//xerD//bcr//bioD2//cysS//kch//hybG//panB//glmS//potG//yahN//ubiI//yfhM//lgoR//murJ//putA//dgoR//kup//hisB//potF//ubiJ//ygfZ//metE//mutH//
GO_0000050_5	bglB//dsdC//gstB//pgsA//grpE//hchA//nrfG//
GO_0000053_5	groS//
GO_0000096_5	hyaC//ldrD//panZ//xylR//pntB//dsbA//dcuC//agaC//ribF//ytfQ//prfB//ascF//yihQ//yjfP//pal//flgF//iraM//uxuB//polA//nrfB//pitB//
GO_0000097_6	dcd//zinT//deaD//ydiQ//brnQ//relA//cheW//ybbN//trmB//frmB//ydhQ//yqiI//hdeD//accC//
GO_0000098_6	pabC//cyoE//aas//intF//kbaY//
GO_0000101_6	hrsA//ybcQ//kdgR//lspA//ndh//hyfR//waaS//trmD//radD//atoS//tusC//umuD//ghrB//gcd//ybaO//
GO_0000103_5	rclR//gstA//sapB//
GO_0000105_6	sapB//sfsA//pbpC//cysK//treA//ldtE//nanK//der//
GO_0000154_7	sgrT//iap//yehX//mmuP//priB//folE//ybiY//nhaR//rpsG//nrdD//ghxQ//ccmD//rodZ//emrD//nrdE//trmD//ahpC//rimL//proC//ulaB//tag//rplB//rpmC//phoE//queF//yggF//comR//ggt//uof//dkgB//mreB//yihL//
GO_0000160_5	yqjA//bssR//lpxB//phnH//fmt//yohD//sgbU//flgM//ridA//yidH//ydeO//gltP//rffC//allD//yjiQ//ldcC//yihX//dgcM//csgB//cpxR//yddL//ykgA//hicA//alsK//uspF//mdoG//zraR//cstA//potD//hisS//slyD//epmA//ampG//ugd//abgT//fucA//gcl//yfbS//yjjG//rpmC//cheZ//dapB//gloA//
GO_0000162_7	borD//bcsA//ynhG//nrfA//roxA//clpB//zupT//basR//narK//
GO_0000255_5	napB//cydC//argB//truA//yggX//
GO_0000256_6	yjaA//gloC//mreB//mcrA//yahN//
GO_0000270_7	lpxC//tig//rpnB//ibsE//ddlB//casD//mgtL//glpB//yceK//nuoE//yfdO//yhgH//yebC//ynjD//adiA//uvrD//cspB//ldtD//slyD//edd//bioD1//folP//rclC//nmpC//mgrB//murD//bioA//rluA//ynbD//bamA//lptF//rpmB//yhdZ//ftsP//rhaA//ssuE//gabT//rplN//waaJ//pepA//sxy//gltI//ybiX//macA//pbpC//sutR//rpsH//panB//dsbC//tcyJ//hycB//yihO//htpX//mppA//yebG//lgt//yjjW//yphC//rfaD//rutB//coaD//proQ//mreC//
