#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	msrC//potD//hyaD//truB//
GO_0000023_6	rlmA//
GO_0000025_7	yhjD//
GO_0000027_7	ygeX//ampH//ygbI//fes//bcsQ//yghB//yaiV//yajD//pyrB//gpp//insK//sodA//elbB//
GO_0000028_7	panD//glpR//gshA//ybcM//ttcA//dapB//arsR//ybhD//rpmG//
GO_0000032_8	cdgI//
GO_0000041_8	ftsZ//motA//pgrR//slyD//rhaT//yccS//srlD//trxA//ybaT//intZ//betB//nth//argO//slmA//pntA//dauA//ygbL//ypdC//ybaQ//malK//pgsA//mnmA//aspS//tsaE//insA-1//yieF//mocA//moaC//nemR//fimD//garR//rbsR//mog//glnK//entB//trpE//mdtO//trkA//xylF//
GO_0000050_5	rph//truC//araF//alsK//gatC//ispA//dgcZ//
GO_0000053_5	sfmF//
GO_0000096_5	yjgX//lplT//ydfD//focB//mutY//sstT//pppA//yqeG//lhr//ydiQ//waaQ//mtr//sdaA//agaV//uhpB//afuB//ygeW//glcF//mltF//caiB//glyA//
GO_0000097_6	solA//recR//ppiC//uidR//yjhH//yjbE//rpsN//gldA//elfG//yabI//soxR//xseB//atoC//yqcG//
GO_0000098_6	recX//ppsR//pgsA//hofM//pgk//
GO_0000101_6	thiD//rof//argE//arnF//rnlA//norW//yjfP//yqeF//narI//rplW//metB//actP//guaD//insB-4//ivbL//
GO_0000103_5	dacC//tyrS//bamC//
GO_0000105_6	pagP//hybE//mtlD//cobT//lsrA//yhbQ//mmuP//glsA1//
GO_0000154_7	fruA//mtlA//leuS//tehA//yefM//prmB//acpP//fucP//mgtA//proX//cmoA//sppA//yfbV//lamB//rpsP//ilvD//ulaG//basR//ppc//rffM//radD//pheA//thiD//bdcA//ybcL//rnhA//yphB//rfe//yjbF//tnaC//pgpB//tomB//
GO_0000160_5	lpxL//tig//ybdZ//yihO//hslO//secA//ygfI//napD//cusA//pflA//leuA//gloA//rcsA//yeeY//rzoD//cra//ybaK//treF//rfaD//ispH//dgoK//ccmD//rnlB//yejA//ydjM//ispF//yjjU//pabA//sugE//selD//acpH//rfaB//ulaG//dcuR//sdhC//appA//ydjJ//dps//ybcL//nadB//mdtE//sufS//ydhQ//
GO_0000162_7	opgD//uidR//fruB//rplY//dxr//acrA//yggX//queF//ftsK//
GO_0000255_5	arcB//opgH//clpX//tsaD//yihR//
GO_0000256_6	mntP//paaX//zwf//sodB//kup//
