#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	yahI//yfbU//chbA//mug//
GO_0000023_6	potD//
GO_0000025_7	rlmE//
GO_0000027_7	astB//prlC//fecA//cho//glpG//essD//gadB//acrE//lolD//abpA//atoB//yciF//phnN//
GO_0000028_7	afuB//mdtA//rclB//yieK//cysK//bacA//wecE//waaY//sufB//
GO_0000032_8	amiA//
GO_0000041_8	glk//prkB//insH-6//nuoM//yfgI//cptB//tatC//garP//murG//yqaA//gabP//aroE//accA//cbl//dtpA//yhcF//lysR//flgG//nrfG//ypdI//tdcG//dapB//yidA//rcsA//fimG//nikC//yihP//galU//yqhC//ppiC//gatA//dut//aspS//mdtD//chbR//hipB//uvrB//cysE//intA//
GO_0000050_5	flgG//edd//cheY//rapA//feoC//ynfL//trmL//
GO_0000053_5	phnI//
GO_0000096_5	ilvM//rihB//rraB//birA//mepH//bamE//dgcZ//epd//eptB//yheT//yjaA//kdpA//mngB//msrQ//sfmH//amtB//gspE//lpxC//galM//recT//fes//
GO_0000097_6	ispG//evgS//yciF//cpxA//purT//elyC//yfiE//zraR//ycbU//dgoK//yciK//slmA//tauA//glsB//
GO_0000098_6	yhjB//aidB//yiaJ//yfhM//rpmG//
GO_0000101_6	hycB//coaE//fabB//dosP//nanA//cbtA//purU//yceK//ymfA//rutG//argF//dmlA//csgA//yobF//glmM//
GO_0000103_5	yibT//lldR//glyA//
GO_0000105_6	tas//radD//yiaJ//ynhG//ldcA//kefB//minC//yjaA//
GO_0000154_7	kdsD//mqsR//tpiA//slmA//yqgB//deoB//hflX//agaD//gpt//clcA//slt//dxs//dhaL//ansB//yfhM//etp//alr//narL//etk//qorA//pbpG//acrR//pal//ypdC//atpH//adhP//flgM//nanR//potA//yfiE//rutR//ompF//
GO_0000160_5	mdtK//yraH//menI//ompL//lyxK//dtpD//rsfS//csgD//atoS//yddM//yidZ//cpdA//pyrL//folX//yggW//yiiM//pitA//purN//argF//pdhR//yedX//yaaJ//infC//yadG//secD//tsaB//rihC//rfaF//yggN//corA//dgcF//eutN//xseB//nth//rsmF//mglA//lpoB//cvpA//dapF//yeiL//ydiF//ymjB//dxr//
GO_0000162_7	lapB//insE-1//nrfA//ghoS//sodB//potB//arfA//pta//sohB//
GO_0000255_5	pgaC//tsaE//srlD//glyA//rluF//
GO_0000256_6	ydjE//dgoD//gppA//miaB//tolA//
GO_0000270_7	ldtB//degS//recN//srlR//dut//lpxD//yqjH//pdeD//serB//iscU//appA//tatB//sad//yebS//sbcC//rfaQ//pykA//yfbU//rplK//pphA//yedF//dgcQ//atoS//trkA//dgcJ//yfcV//narK//insE-1//galU//pyrB//ycjP//ghoT//ybjN//ycjW//btuB//fimD//lgoR//puuR//yagU//suhB//glnD//pliG//livF//cpdB//rcnB//codB//uhpA//lgoD//rutB//pgaB//ariR//rluD//livM//hemB//fliZ//yicJ//rhlE//mrcA//paaB//fnr//bluR//dcuR//pgpC//
GO_0000271_6	tonB//queC//potI//clpB//cyoB//torS//entH//rluC//opgE//smpB//afuB//iaaA//exbB//pheA//paaC//pal//ribE//sufB//gatC//mtfA//ygeA//sstT//gadC//glmM//ghoT//ddpX//slmA//sbp//dgt//hfq//yqaE//pncB//bamB//alkB//kdpD//mrcB//yqhC//tsaE//clsB//fimG//hmp//pgaD//rimI//tbpA//mreB//alkA//pppA//fabZ//menB//holD//
GO_0000272_6	hdeB//yecS//osmC//fumC//cho//ompR//
GO_0000302_5	yeeA//nikE//plsB//dacA//dnaQ//elaD//nfi//ynbB//menD//rclB//yeeY//cysU//ydcM//rutG//dxs//tqsA//kdpA//ppiA//uof//cpsB//lptD//envC//yraJ//rpsP//cutC//sdhD//ubiX//frc//prfA//topA//bamB//
GO_0000303_6	rplX//rpoH//
GO_0000305_5	relE//cdd//uidR//
GO_0000372_11	ynaE//
GO_0000375_9	rpoE//
GO_0000376_10	dgcQ//
GO_0000413_9	gabT//hemE//hyfA//rhtC//lgoT//pyrE//ilvH//tpx//
GO_0000451_7	elfC//scpB//afuB//casB//yhbX//
