#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	kdpB//fiu//narV//hmp//
GO_0000023_6	hyfR//
GO_0000025_7	holB//
GO_0000027_7	minE//trpB//fucK//ibsB//pyrB//kdgT//araA//hdfR//gcvH//gshB//mdtM//modB//ygiW//
GO_0000028_7	rsmD//sbmC//phnJ//umpH//ydcP//cynS//yicJ//sfmF//yafN//
GO_0000032_8	degP//
GO_0000041_8	hupA//tig//chaC//yjjB//panZ//rutB//rlmG//ycjR//rtcR//ydjJ//gmk//kdsC//insI1//yhjD//dgoR//cfa//speB//ompR//ytfT//yhaV//rbsK//rimJ//psuT//ade//mepS//yigL//betI//dmsA//bioH//csrA//recE//mtn//yaaU//rsmI//lpp//cbpM//dctR//tilS//gntP//
GO_0000050_5	appY//dcp//yneL//betA//hxpB//rutE//glnK//
GO_0000053_5	rimI//
GO_0000096_5	ppiA//bamD//ydiZ//mtgA//qseC//yphF//dctR//narU//flgB//yqgF//cdd//ubiF//prfA//mdtM//adhP//rrrD//mglC//lpxB//asnA//scpC//mscS//
GO_0000097_6	trpGD//hycH//yciV//galS//shoB//ade//truB//aspA//livM//glgA//ansB//mdh//thiG//mhpA//
GO_0000098_6	ygjH//feaR//mgrB//galM//frwB//
GO_0000101_6	yibH//pepT//yqiI//tbpA//lysA//mgtL//araH//rcnB//qorA//bcsA//marR//cysG//ispG//rluE//rplN//
GO_0000103_5	gcvP//rpsR//rpe//
GO_0000105_6	yjfP//yafO//ftsB//asmA//lysP//ravA//fimZ//ygaV//
GO_0000154_7	fliL//rtcB//ogt//glvB//bdm//holB//pdxA//ygfA//yihL//yhbQ//djlC//guaB//alsK//gudD//treB//slyA//mtnN//rclB//yieE//kefC//feoC//araE//emrE//yjgX//cysW//mtfA//glgS//hybA//mepM//csdE//acrR//ribD//
GO_0000160_5	ebgR//phnK//cydD//flhA//nudF//yabI//ftsH//ydhK//mdh//dinD//rpoD//yehB//emrB//ychH//fabB//frmB//fdhD//paaB//dgcN//barA//epmB//torC//exoX//pntB//sgrT//diaA//bioF//ppiD//tap//menA//emrD//yaiW//sfmC//yjhG//yabI//yccS//dkgB//csgA//fadE//lpcA//ppsA//tufA//rfaE//
GO_0000162_7	gatY//hflK//rlmH//queA//cysW//yhbQ//lyxK//betT//yfiR//
GO_0000255_5	ybjC//dacD//xthA//yheT//rffG//
