#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	murR//ulaD//fumA//hemN//
GO_0000023_6	sgcX//
GO_0000025_7	ynhF//
GO_0000027_7	purD//gudP//fdhE//livK//tsaB//gcvH//tqsA//ybaT//ydcR//sfmA//rraA//hrsA//napD//
GO_0000028_7	dacB//dgcM//dhaM//gsiA//alsK//manY//dgkA//kdgK//araA//
GO_0000032_8	yjjI//
GO_0000041_8	rpsL//yebS//eutK//adeQ//vsr//ybaE//lspA//ybdO//torD//rplM//rhaA//ydfK//insF-1//gluQ//yeiE//blc//tesB//cbpM//uvrD//mscM//insH-5//sapC//ybaM//ytfR//metH//uidC//nadA//hsdR//fliK//serB//cheA//ybfA//dgcQ//gyrB//fryB//hslR//mdtE//tynA//truB//
GO_0000050_5	rpoA//tatD//tgt//mqsR//yfcU//gshA//phnH//
GO_0000053_5	manA//
GO_0000096_5	rplD//mngR//tnaA//nadC//ydeO//focA//rcsF//arnT//ybiO//bfr//rpsI//fiu//iraD//guaB//ygjH//rcdA//ompN//truA//yphC//aldA//yafQ//
GO_0000097_6	yqjA//frmA//hyfA//dcuA//waaZ//mreC//queA//udp//dctA//yedX//dgoD//dtpD//glrK//xseB//
GO_0000098_6	ypjD//gstB//frdD//rpnD//atpD//
GO_0000101_6	gadB//cusA//diaA//recC//mutS//pldB//prlC//ftsW//hyaD//rpmF//ydcR//garR//cspA//treC//yddG//
GO_0000103_5	pgk//gadW//mog//
GO_0000105_6	mnmE//deaD//kdpF//cspA//rarA//cpoB//elfA//ypdB//
GO_0000154_7	rssA//yihO//rep//fhuF//yoaB//tnaB//acpT//apt//hisH//ptsH//tufB//tolA//pinE//paaC//yebC//holE//putP//chaA//waaB//yieH//ytfT//yeaE//arsR//btuC//phoA//rzoR//hypF//ydhJ//rlmE//mepM//yafC//fadL//
