#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	aroK//tusE//hybF//yebQ//
GO_0000023_6	ccmC//
GO_0000025_7	ppsR//
GO_0000027_7	livH//pgrR//fdx//fdnH//cdaR//rpsH//ampH//aroD//ychF//hpf//cdaR//fabD//ptsP//
GO_0000028_7	yifB//agaR//ompN//yhiM//yihX//yfeO//glpX//gntR//yohD//
GO_0000032_8	paaG//
GO_0000041_8	rplJ//mlaE//cmtB//potC//gspI//chaC//mcbR//dgcF//deoC//hypB//yehA//nikA//csiD//yehW//asnS//tauD//rbsC//yfeX//kdgT//setB//ynjD//fsr//serA//hypA//glrK//idnO//thiM//patZ//fliG//entS//ypdC//yqiI//clsC//uhpB//entS//ydaN//flgE//kefG//hscC//
GO_0000050_5	yebQ//lapB//araA//rplI//mscL//csgD//yfaV//
GO_0000053_5	yihV//
GO_0000096_5	fabI//dgkA//pliG//metH//radD//yaaU//nuoN//ycbB//argT//phnO//rpsB//glsA//bioB//yfjV//avtA//pliG//yjhG//entB//agp//yhdJ//rutD//
GO_0000097_6	hsdR//kdpE//rluE//mdtF//maa//ppiC//paaK//yfeO//mipA//sapA//ydiR//nanT//appB//entH//
GO_0000098_6	bamA//cas3//mliC//ynaE//hmp//
GO_0000101_6	aidB//ycbB//ilvL//blr//ribE//pdeK//rsuA//ftsW//uxaA//ydjM//gsiC//treC//hslV//yhjR//pyrB//
GO_0000103_5	moaE//ycjY//kdpC//
GO_0000105_6	ygcR//holA//nhaA//yebC//nanE//yohC//tktA//yehZ//
GO_0000154_7	yagF//iclR//lacI//rnr//dinI//wbbK//tesB//lldD//ymfK//dppF//lptD//cydB//yqgF//entH//mltC//yfiF//yeiL//rfbD//ybgP//dcp//lrp//torS//fepB//fruB//hycH//kup//yeeY//ydeE//ccmG//frlR//slmA//ydfG//
GO_0000160_5	zitB//yeeJ//tdk//menI//ilvM//hypC//mdtK//yafS//ydiO//yjiX//uof//yhcN//acpT//yfeX//fixB//tyrR//ygbN//uspF//nikB//rpsS//exbD//cdgI//metL//yihU//dgoA//tyrS//cpxA//glxR//decR//acrF//yiiM//hrsA//ariR//msrB//yqgF//rsmA//tolC//alaC//gcvR//ghxQ//yjbB//cheZ//ydjL//
GO_0000162_7	queD//ycdY//yhjD//ycfL//fhuB//rlpA//yfdC//yjiY//trpA//
GO_0000255_5	fadJ//wecC//rlmE//yceK//elbB//
GO_0000256_6	ybdZ//rplT//hcp//yhhY//ampD//
GO_0000270_7	bolA//yqjA//glyS//fhlA//ycjD//wbbK//malX//elaD//ghxQ//menF//envR//nfuA//appB//kdsA//hisI//rutR//cmk//slyD//udk//eutR//ralR//lepA//narQ//yghU//rcsB//adiC//mraY//treC//ydiK//cbl//yphD//yjjI//rfaB//patD//alaC//ugpC//mdtI//adhE//cbrC//bglB//gapC//yedP//appB//skp//purF//paaJ//srlE//murP//nikA//tabA//bioA//ykgM//panF//trg//ada//yibF//fumA//nudG//yegD//dgcN//betA//cvrA//cas1//
GO_0000271_6	tcyL//sxy//tonB//yohD//eutA//yiaJ//tehA//ftsB//yhgF//ycbU//sucC//lpxP//ftnB//dadA//malQ//nikD//pal//ravA//bglA//ymjB//smrA//rng//lsrC//hokE//glsA2//yjcO//recN//rpsA//kefG//ispF//malP//yieL//nirC//yfcS//menH//pyrG//guaA//pntB//elaA//dgoD//yjbG//ftsN//livM//pfkB//rutC//trpL//yfdR//rfaQ//uup//rpoD//
GO_0000272_6	talB//hemL//rzpR//greB//ygfZ//dapD//
GO_0000302_5	slyA//frmR//ghxQ//dadA//pfkB//secB//cysH//yfcA//mnmA//dhaL//fabZ//marR//rpmA//thiD//ymfK//agaA//ariR//nrfD//tdcA//ybiI//yggD//araD//ampE//cysC//ycjP//ybcQ//fepG//yibF//frdD//lacI//exoX//
GO_0000303_6	rplX//metR//
GO_0000305_5	zapC//bdcA//blr//
GO_0000372_11	pgaB//
GO_0000375_9	gadX//
GO_0000376_10	purU//
GO_0000413_9	rpmH//rbsA//topA//rpiB//exuR//mrcB//tsaB//frdD//
GO_0000451_7	treB//zapB//cueO//tdcA//speA//
GO_0000453_8	dtpC//intF//borD//ftsL//crfC//
GO_0000455_9	ybeF//sugE//ribB//hcaB//rhlB//recO//kdpA//
GO_0000462_11	yhjC//sixA//
GO_0000469_8	cpxP//
GO_0000470_10	ppsA//
GO_0000478_9	dhaR//
GO_0000715_6	mukB//
GO_0000716_7	fdhD//
GO_0000724_8	sodB//
GO_0000725_7	yfcF//glnL//cysH//yqeG//cobC//moaA//
GO_0000726_7	nemA//
GO_0000731_7	hyaB//acpH//fsr//glgP//uxuR//fixB//dhaK//
GO_0000737_7	kbaY//
GO_0000738_7	fucP//hokB//udk//
GO_0000746_4	glpG//
GO_0000820_7	yeeL//
GO_0000902_5	rpnA//
GO_0000910_4	trpD//fadK//lsrR//sgrT//elaD//hokB//abgB//clpP//mdtA//kdgR//narW//dgcM//hemB//yhiM//csrD//tatC//rof//glpK//
GO_0000917_6	tolB//ymfK//prfB//dgcJ//uxuA//
GO_0000918_6	fabD//rssA//garD//agaC//
GO_0000920_3	cueR//recO//glk//ybiJ//ridA//
GO_0000921_6	ybiH//
GO_0000966_8	envC//ydiZ//ydiZ//leuO//
GO_0000967_10	yceK//betT//yagU//
GO_0001101_4	ycjP//mdtB//gmhB//yiaL//ybgP//ygiB//ycbX//ycfH//mlaF//etk//dsbA//plsC//pykF//msrB//elaB//rffH//clsB//yoeE//nanC//frdA//mlaE//yidD//fepG//mhpD//pitA//kduD//
GO_0001121_7	yhjR//hofO//
GO_0001123_8	mukB//
GO_0001124_8	hcaE//
GO_0001407_7	ampH//btuF//yieK//wza//
GO_0001505_4	yciA//iscA//cas3//epmA//trpL//thrL//nuoE//narK//hisA//ygaH//dgoR//rcsC//amtB//yiaJ//dsdA//glnE//
GO_0001510_5	csgD//ebgR//sstT//araG//pepD//intA//clsC//fkpB//yhjB//insA-2//yieE//hiuH//pagP//entD//cfa//dgoA//ibpA//lysO//rlmI//fliA//rnhB//nrdH//pbpG//ydhQ//ilvE//ydaN//blc//rffT//rpsP//fliZ//uacT//csdA//kdpD//yheT//treF//ykfM//nupG//manY//ydgA//rplO//
GO_0001514_8	ydcZ//
