#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lolD//fumB//chbC//sgcX//
GO_0000023_6	mrcB//
GO_0000025_7	yjaA//
GO_0000027_7	lysR//hflK//bepA//yfcV//coaD//murF//yfjR//frdD//mtlR//tusC//yahK//ugpC//dnaA//
GO_0000028_7	xylA//nadC//manZ//sapF//atpG//ldrA//rimL//waaS//cfa//
GO_0000032_8	astB//
GO_0000041_8	yeeA//ghxP//yciV//glrK//yibA//sodB//thrL//pepT//rutF//yegS//mutY//rsuA//csgA//dapD//ygjH//ubiC//yjcE//folD//deoA//menI//rhaM//idi//rplO//pabA//tusE//ybdO//nrfA//fnr//dgoR//rclB//pfkB//plsB//cmtA//sixA//rlmI//rusA//alkA//ubiX//csgA//
GO_0000050_5	cas1//nth//prfC//fdrA//sapC//ydiO//ulaR//
GO_0000053_5	fimA//
GO_0000096_5	nfo//mrr//yjgX//nupC//rsgA//sapD//ltaE//nrdI//frlR//ycgB//hcaD//flgD//yadI//dpiB//hyfA//yjcO//rsmJ//pgpB//fimG//gltS//pdxB//
GO_0000097_6	tpiA//phnG//insI3//iscX//gadC//hdhA//hipB//gdhA//tktA//yafC//ybiW//glnE//rlmG//agaW//
GO_0000098_6	murE//pgaB//alaE//rluD//yfjV//
GO_0000101_6	yihX//yqeA//ycdY//yigL//proS//gdhA//dtd//entS//blr//ybaM//ydjL//ygfZ//potB//flgE//proA//
GO_0000103_5	elaB//opgG//creB//
GO_0000105_6	frlA//melA//nmpC//dgcZ//xdhB//mdtL//rnhA//rnpA//
GO_0000154_7	pdhR//ssuA//relB//yfiC//pepT//bglX//glcE//rpmE//potC//yggX//allS//ybjD//metB//paaA//abpA//creC//yggX//rhmD//ompA//rutD//cspA//dapF//sfsA//pstS//yiaB//zitB//cobT//glsB//cfa//cysG//purB//setC//
GO_0000160_5	nrfG//lsrB//entD//rof//yaaU//yeiL//nuoM//nupC//dppF//ytfP//decR//thrL//tdcF//iscS//ulaG//rpmA//ydjH//garR//dbpA//appA//ilvL//yghU//glyA//metI//nuoF//afuB//cobU//mcrA//gppA//narX//glnL//yedX//rpsT//yqeG//bamA//ydgA//fixA//aroB//tsaE//dhaK//ssuC//frsA//yidC//
GO_0000162_7	csiD//rmf//fepE//rutR//ynaE//ettA//ybcQ//secB//fabH//
GO_0000255_5	yobA//yieH//cysG//sxy//nanS//
GO_0000256_6	kdsD//dusC//rpoE//sohB//insB-4//
GO_0000270_7	cdd//ibsB//menH//phnG//cysA//eco//iraD//nadA//aslB//trmH//ygeW//nanE//torZ//ilvN//selU//deoR//tolR//yjhP//efp//yafE//yrfG//cspD//spoT//betI//metF//yedX//sstT//pfkA//envC//murB//glsA//mepS//secM//ybhF//rnlA//sgcB//dgcE//pspG//arnA//livF//csiR//uidA//orn//yiiD//artJ//gppA//yjbF//ygcO//plsB//glsA//ycaN//dctR//zur//arnE//sgrT//sixA//leuB//rluD//cynS//yehZ//preA//pck//gltP//
GO_0000271_6	flgD//lptA//gcd//insI-1//melR//rutB//acrD//bfr//ymfK//mtn//lolA//flgC//secB//gcvP//gspI//yfgJ//nagZ//murQ//dedD//tas//amiB//alkB//dmsB//rfbX//grcA//yedA//rpnA//ycaN//ompT//cysW//nrfG//insH-5//holB//rutE//yqgF//phnP//mscL//rhlB//rutE//groS//znuA//ispB//sugE//osmF//panZ//yecS//ybdR//sapC//folM//nrdR//
GO_0000272_6	argA//kdsB//thrA//acrA//queE//fabG//
GO_0000302_5	xylH//phnC//ihfB//sgrR//spoT//ycfJ//yfbR//arnA//avtA//flgM//flgJ//recC//speA//metR//cspD//frwC//trpA//nuoM//tnaC//ldhA//tig//chbC//malZ//frwB//acrR//ftsL//fliS//holC//nrfC//tyrS//rstB//
GO_0000303_6	ybhI//plsC//
GO_0000305_5	modB//dcuB//sgrT//
GO_0000372_11	insF-1//
GO_0000375_9	rbsK//
GO_0000376_10	dgoK//
GO_0000413_9	fryC//amiD//bioD//pnp//asnS//ynfH//lpxL//cas1//
GO_0000451_7	hypA//curA//rffC//pdhR//opgG//
GO_0000453_8	ybaK//yefM//rsfS//rutA//hyfF//
GO_0000455_9	yciF//yjiQ//secD//alaC//cysB//lasT//lgoT//
GO_0000462_11	yejE//ybaL//
GO_0000469_8	rsfS//
GO_0000470_10	yaaU//
GO_0000478_9	csgD//
GO_0000715_6	sapB//
GO_0000716_7	dedD//
GO_0000724_8	ghxQ//
GO_0000725_7	fimA//adiC//amiD//yohC//rapZ//pfkB//
GO_0000726_7	sutR//
GO_0000731_7	tufA//ybaL//pntA//trmH//ybcM//entB//rdgC//
GO_0000737_7	priC//
GO_0000738_7	rph//ompG//gatY//
GO_0000746_4	zitB//
GO_0000820_7	nrdB//
GO_0000902_5	yhhY//
