#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tesB//yoaA//iscA//mgrB//
GO_0000023_6	purB//
GO_0000025_7	insI4//
GO_0000027_7	lpxM//sfsA//orn//malF//htpX//waaP//ybiV//caiT//pgaD//hyfA//hisG//glpA//intQ//
GO_0000028_7	leuE//ygbL//lgoT//ygiN//dnaG//yphB//nrdR//yjbF//lysC//
GO_0000032_8	bioB//
GO_0000041_8	gldA//malE//hexR//narY//nanR//entD//glcD//hdhA//ravA//kduI//recB//rpoH//aceF//glpX//hipB//yidQ//argE//emrD//nagB//agaC//lgoT//hybB//nepI//paaA//putP//sucA//xisE//ddlA//ribE//murP//rplF//gsiC//sdaB//abgT//rpsS//lgoT//narX//cho//cra//
GO_0000050_5	ftsX//yhiM//exbD//ftsB//curA//rutF//fimF//
GO_0000053_5	rplS//
GO_0000096_5	narY//ilvC//ibaG//phoB//prpD//amiB//lpxT//murI//rep//asmA//topB//patA//rep//yiiM//tpx//yfeW//motA//yihS//hyaC//yajR//rclA//
GO_0000097_6	manX//mutT//dacB//tsr//codB//cusR//mlaB//insH-5//yahB//yneL//ybbN//alaA//glnH//sfmH//
GO_0000098_6	paaA//thrL//sdhD//cobB//cpoB//
GO_0000101_6	cheR//cspB//dosP//rhsD//glpK//yqiI//lyxK//ais//hiuH//glcA//alr//yjgX//msrQ//zur//purD//
GO_0000103_5	dtd//hisH//cusF//
GO_0000105_6	tig//norR//ravA//dppB//gltI//hinT//rutE//gabT//
GO_0000154_7	ybaT//mglB//yiaL//iscS//dnaX//ihfB//fliK//pdeH//pspF//dapD//yeeJ//lon//ccmD//mutL//rutB//yejE//yoeB//chbB//pabC//secG//ftsX//ppc//sfmA//ivy//cysZ//tdcC//fruB//rimI//mutM//dtpD//thiH//argD//
GO_0000160_5	cheZ//rep//caiD//lptG//proP//mzrA//rhaR//iraP//pntA//malF//ybeY//rof//dnaE//aroG//ispG//zinT//bssR//ydhK//mcrB//osmE//yqgF//yajO//hcaD//amiC//glgA//baeS//rfbC//folM//tolA//frmR//cheB//ygjK//ynfH//ldtA//ldtD//ccmC//araB//rhlE//yadN//mdh//narZ//fdnG//pgrR//
GO_0000162_7	mlaF//fadL//cvpA//yfiF//ubiA//prlC//nagK//entC//artM//
GO_0000255_5	glnB//rdgB//tsaB//rnb//tonB//
GO_0000256_6	prlC//wecA//bluF//fadA//clsB//
