#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	tusA//rsmJ//fixC//lptE//
GO_0000023_6	prmA//
GO_0000025_7	appC//
GO_0000027_7	yghW//phoU//yjgX//ptsN//fis//dtpA//zntA//ybbW//fdoG//rof//cysB//cdaR//rsmH//
GO_0000028_7	hofM//glcC//citC//yodD//selU//yciF//sthA//alaC//alaE//
GO_0000032_8	proQ//
GO_0000041_8	dnaG//rsmA//gluQ//ydiO//cycA//intE//glmS//ydcT//ydfD//glgA//ldhA//dctA//rpmC//yoaB//eamA//gsiD//agaC//yjiY//lgt//dedD//yafC//nadD//nfi//abgA//setA//speC//frlB//fetB//narY//yrbG//gntK//fhuD//yjbB//asnA//osmY//cvpA//yibH//cyoE//relA//
GO_0000050_5	yjhC//paaF//hupB//lptE//rplP//pliG//hemL//
GO_0000053_5	ybeQ//
GO_0000096_5	norR//dcuA//macB//aldA//hrpA//rlmB//holE//folC//hisP//wzzB//casB//ynfL//uxuB//feoA//serB//yicJ//flgD//rplO//tcyL//priB//ybcL//
GO_0000097_6	nagA//eptC//bamE//uidC//tdcG//thiE//yjiA//ycgR//glpC//folD//ynjD//tufB//yhjV//cysE//
GO_0000098_6	acpT//recB//xerD//artP//yiaL//
GO_0000101_6	nanK//bioA//gltB//solA//waaZ//endA//glcA//potF//pheT//pitA//pyrH//ybiS//amiC//ugpC//recJ//
GO_0000103_5	dxr//bamB//glgC//
GO_0000105_6	lnt//nanK//ybeQ//nfsB//frr//yggT//caiT//tehA//
GO_0000154_7	yidC//mntP//lrp//hprS//atpA//ftsQ//feoA//lptA//puuD//hpt//opgE//panE//focA//ybhS//cusR//fryB//afuB//gltX//rluE//rpsO//ybfA//yddA//yehX//ybiX//rplP//gcvH//ymgA//cusS//ilvL//zntA//ftsQ//ycfL//
GO_0000160_5	glgC//metQ//opgD//yphC//bglA//rutC//cydD//hemC//patD//yggT//valS//astB//rpsS//cysU//dnaT//barA//caiB//proX//mnmC//mutL//pgrR//ebgR//recG//citT//nrfC//ldtC//sufS//alaA//sucC//yihL//kdgT//yphB//epmA//yjiA//gsiC//yjtD//uvrC//bamC//cusB//hybE//thiQ//atoS//tktA//
GO_0000162_7	ridA//htpX//abgT//srlE//yedA//kefF//ldrA//nrdI//lpxM//
GO_0000255_5	phnM//yejE//abpB//ybaL//pinR//
GO_0000256_6	fdhF//pgk//agaC//def//rpmH//
GO_0000270_7	cycA//rpnA//mltB//ftsI//xapB//glnL//galR//pyrH//casB//cadB//gnd//ibsC//dppD//deoA//ralR//surA//bioD1//bioA//ybiT//mltG//rluF//ilvA//nhaA//phoQ//yihO//dnaK//arcC//yggN//ydiB//ypdF//glpC//ddpA//gspE//chbC//groL//dppD//gutM//hflD//ydjH//evgS//bcsA//waaU//speG//pdhR//ybcJ//pabB//recG//ompN//yraH//mdtA//yiaN//lamB//yqiJ//treF//araE//rdgB//flgG//fis//cysH//elfG//lipB//bamE//smpB//
GO_0000271_6	rnhA//ynbC//paaZ//acrA//treB//proX//clpS//pgsA//murG//scpB//yadI//viaA//fdnH//pspD//hflC//gltS//apaH//hyi//frdD//recQ//stpA//patD//oppF//phnK//cspA//bglX//ypdI//frvA//ydcZ//narY//fimG//hemG//mntS//modB//sfsA//fadJ//yidR//ibsC//yahO//ftsZ//ebgR//ybiS//emrE//paaE//atpD//deoA//msrB//waaZ//bioF//prlC//
GO_0000272_6	potE//hybF//nikC//secY//argR//rarD//
GO_0000302_5	gpt//dapB//paaJ//pntA//waaZ//dgcF//trkG//cytR//yohC//fhuC//eptC//rffM//rpsK//rlmM//pgi//bioD1//mutM//truB//lsrK//rplR//uidA//yobA//recE//glnL//cpoB//garK//rplD//tufA//potG//rsmC//fdhD//
GO_0000303_6	yhdW//fadK//
GO_0000305_5	gltL//yceK//galF//
GO_0000372_11	dmlR//
GO_0000375_9	nuoL//
GO_0000376_10	mnaT//
GO_0000413_9	thiQ//hscB//serS//zraS//nadE//minC//plsB//uhpB//
GO_0000451_7	recR//yhaM//rlmA//hisA//adeQ//
GO_0000453_8	aroG//argB//eutR//recG//garK//
GO_0000455_9	galF//glsA1//umuD//nudC//ybaL//recT//tktA//
GO_0000462_11	arfA//rpoA//
GO_0000469_8	narV//
GO_0000470_10	rsmA//
GO_0000478_9	aspS//
GO_0000715_6	cysP//
GO_0000716_7	xthA//
GO_0000724_8	gloB//
GO_0000725_7	cysC//sxy//ydiR//hinT//murE//shoB//
GO_0000726_7	opgG//
GO_0000731_7	rpmH//aaeA//frlC//narV//yiaB//ybeY//ytfR//
GO_0000737_7	lasT//
GO_0000738_7	iscX//pyrG//cas3//
GO_0000746_4	cadA//
GO_0000820_7	thrB//
GO_0000902_5	gloA//
GO_0000910_4	aqpZ//elfA//crcB//prpR//ygbI//yfhM//yjbH//moaE//sdhE//ybdH//yehB//yahF//tufB//holE//ygiS//aroA//malI//yehW//
GO_0000917_6	pflC//entH//deoB//gatB//ccmE//
GO_0000918_6	chbB//relA//gloC//rstB//
GO_0000920_3	feoC//pspF//yqiJ//yeaD//gdhA//
GO_0000921_6	ydbK//
GO_0000966_8	phnG//mnmC//cysE//fic//
GO_0000967_10	nrdH//priB//rfaE//
GO_0001101_4	nikR//rrrD//yggW//hdhA//xisR//sapC//yiaA//rpsM//iraD//crr//cysW//cydC//appC//soxS//aspC//sad//rpnD//cueO//yehT//dapA//gcvT//fadR//ccmC//trkA//aroF//mdtM//
GO_0001121_7	ydbK//groS//
GO_0001123_8	metN//
GO_0001124_8	fdoI//
GO_0001407_7	allB//yfcP//tcdA//sugE//
GO_0001505_4	pgi//cvrA//arsB//yigL//gabD//cof//rluE//rpmJ//secM//phnJ//arnT//asnA//lepA//iscU//torS//yojI//
GO_0001510_5	gmd//ynhG//yieK//thiQ//rplP//mipA//rplB//ybiY//evgS//cysB//entH//glcC//grcA//rcsC//narU//cvpA//ychO//ssuA//uxaA//menE//napF//tyrB//rdgC//rpsM//elaB//yagF//insI3//iap//metH//pstA//norW//prkB//htrE//ybiS//prpC//yciT//dicB//bfr//yjfP//mraZ//
GO_0001514_8	ybfA//
GO_0001522_7	mtlA//yfcS//arnT//sfmF//glcE//frmB//aroK//sgcC//fryB//cvpA//galR//fimH//rplR//
GO_0001539_4	mtr//putA//grpE//narW//yihR//truD//ldcA//mltF//hisM//ydcO//yohD//radA//yqjA//uxaA//yhbQ//kdsB//pyrG//yohD//yifB//xylA//lysS//csgF//fabR//gltK//srmB//prmA//pflB//nusG//ppiD//fbaA//speA//
GO_0001558_5	mntR//aroC//ndh//hisP//fetA//yihT//phoU//cysU//
GO_0001561_6	ybgQ//
GO_0001666_4	cheR//
GO_0001676_6	paaH//yciF//ccmC//
GO_0001680_11	ydeP//
GO_0001682_11	codB//
GO_0001731_7	rffM//
GO_0001762_6	yegV//
GO_0001887_4	umuD//yciT//recX//
GO_0001896_5	cca//gph//ruvA//ptsN//
GO_0001907_5	rfaC//kch//der//uxuR//
GO_0001932_8	rsmA//dgcT//
GO_0001934_9	queC//
GO_0002047_6	ykfI//ortT//
GO_0002097_8	lasT//ybcJ//hdeB//mdtQ//malF//ybdZ//mltB//rimI//appB//rbsK//parC//mutS//rfaQ//rfaC//rffT//ybdG//hyfC//yneE//asd//
GO_0002098_9	proP//nuoH//rpsH//shoB//ilvE//ridA//ycjD//yraN//cmoM//hupA//kbaY//ileS//pdeF//
GO_0002099_9	flgH//mdtA//
GO_0002100_9	fruA//
GO_0002101_9	ynbB//moaA//
GO_0002128_7	yebZ//umuD//lpxD//metK//
GO_0002130_8	opgC//
GO_0002131_9	eptA//
GO_0002132_9	yqcG//
GO_0002136_10	fdhF//
GO_0002143_9	nuoB//rhtC//yedP//pphB//arcC//argK//
GO_0002181_7	panC//phnP//
GO_0002183_5	phr//
GO_0002184_8	asnS//
GO_0002188_6	dacB//
GO_0002190_6	hisI//
GO_0002192_8	hdfR//
GO_0002252_3	bioA//hybA//btuB//clcB//fadE//ybdZ//efeO//aaeA//hscA//yebK//
GO_0002790_6	ynaI//fryA//lysO//wcaB//lysA//ddlA//alaC//
GO_0002937_9	satP//
GO_0002938_8	yajR//
GO_0002939_7	mrp//
GO_0002943_8	diaA//
GO_0002949_8	cpxP//ftsI//waaS//rplP//
GO_0003333_7	yphF//purT//radA//manA//yphF//rffH//cydB//acpS//ftsA//araF//add//gspI//osmF//dnaJ//lldR//sgbE//rhaB//mfd//ssuB//dinB//flgK//ynfE//rpsK//thyA//torY//hypC//nanE//dld//kbaY//dtd//rpsE//gltK//eutK//ftsX//pdeD//rhtB//ybcQ//umuC//yjbG//adiY//puuP//folP//thiL//pitA//pflA//ogrK//tpiA//fimZ//yjjW//
