#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	lpxL//coaA//bioD1//fdnG//
GO_0000023_6	rarD//
GO_0000025_7	ybbW//
GO_0000027_7	gltK//dppC//torD//adiC//gutQ//cusA//scpC//yghB//fdoH//ibsB//adeD//hcp//gpmA//
GO_0000028_7	cysH//uspC//aaeR//bglX//yihT//ygaV//thiP//yjcO//lpxT//
GO_0000032_8	emrD//
GO_0000041_8	scpB//ynbC//trmB//frwC//atoS//csiR//ydiO//csrA//cysB//yjjW//yghG//moaC//murQ//rpiA//gudX//bamC//gldA//ydfD//yciF//araD//rutA//glnH//fdoI//nirC//rplT//lrp//tag//lplT//ushA//rseC//nagZ//yfjR//atoS//rnhA//mreB//cusS//lsrB//rfaF//creC//
GO_0000050_5	mepS//agp//ftsP//gabP//hisG//epmA//hemN//
GO_0000053_5	trmA//
GO_0000096_5	yqiH//rhlE//alsK//yejA//abgA//argE//cecR//sdhC//hemF//recC//msrA//tyrA//yihP//ribD//acpT//rarA//hokE//poxB//ybhJ//gsiA//prc//
GO_0000097_6	efp//rutB//glgS//qorA//menE//marA//hcp//pdeL//artP//mukB//gudX//ddlB//ratA//yadV//
GO_0000098_6	lacI//glnS//dgoA//gadC//yhjG//
GO_0000101_6	btuB//kbp//proB//ybhI//btuE//bioF//tamB//trmO//ompG//amtB//fruB//nuoH//acs//yqiH//lnt//
GO_0000103_5	lasT//ghxQ//flgA//
GO_0000105_6	kdgK//rihC//galU//ybgQ//yhaC//sucA//iscS//uxaA//
GO_0000154_7	phnM//dnaJ//yafO//gdhA//sodB//leuC//glpR//guaC//xapB//dgcT//galS//ldcA//cbrC//alpA//ldrD//dusC//livF//flgI//mraZ//hslO//cas1//ydcO//yciH//nirD//mdtC//dpiB//yaiV//dgcZ//yafC//uspG//cyaA//eamA//
GO_0000160_5	fau//thrC//purD//rbsC//rna//nadK//nrfE//lysS//rbfA//speB//ytfR//infC//sxy//ais//zapA//glrR//nikB//xseA//elyC//potE//xerC//dinB//casE//argC//shiA//mlaC//agaD//yihQ//puuR//yhaC//yfeD//ycdY//fmt//nanC//yhjG//ygcO//ygbM//araF//chbC//moeB//fadJ//trmH//lpoB//
GO_0000162_7	gatY//frwD//cysA//gstA//mraZ//narL//rplD//phnO//yqiH//
GO_0000255_5	yahI//ybcQ//recE//ilvB//acs//
GO_0000256_6	tyrA//allC//yehW//ung//rnr//
