#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	aldB//asnA//glpA//lacY//
GO_0000023_6	cynS//
GO_0000025_7	rsmD//
GO_0000027_7	cdh//casA//sufE//mrr//rhmR//yfdG//ugpE//yajL//yfdC//kup//ileS//yjhP//yedP//
GO_0000028_7	nagD//hybD//entS//garR//sufA//yihP//kdpF//ybcQ//yhjR//
GO_0000032_8	yqaB//
GO_0000041_8	tynA//hofP//xerC//chiP//ydeO//ftp//sanA//insH-5//proP//dinB//uup//ubiE//ihfB//mdtA//nrdI//mutY//ssuA//norV//yciE//ldtC//paaF//gph//ycjQ//wzzE//trpGD//ccmF//copA//mrp//yfdG//dgoT//patA//hemA//narV//emrD//ttdA//tdcD//sgbH//ilvH//narG//
GO_0000050_5	yahD//guaA//satP//torR//potH//setC//astB//
GO_0000053_5	oppF//
GO_0000096_5	soxS//yidA//asr//lpoA//pmbA//fliS//cpsG//patZ//rpiA//dnaQ//pgaA//gdhA//moaB//kdpF//sufB//sdhD//clpA//fliG//mliC//yhjC//trpL//
GO_0000097_6	tamA//ldtB//ydjM//eamB//thiC//fucA//dmlA//hmp//srlE//glpG//leuE//lsrG//csgE//glmU//
GO_0000098_6	asnS//rodZ//bamB//stpA//fdhD//
GO_0000101_6	yidC//upp//nikD//thiH//hypE//asnA//dusC//proQ//pdeK//fabZ//eno//speB//ygiW//norW//mnmA//
GO_0000103_5	rfe//nrfE//paaC//
GO_0000105_6	ycdY//fhuB//yidA//yjiY//htpG//hslR//casE//lpcA//
GO_0000154_7	yjgX//proS//ftsN//ybfE//yeiG//murA//aroH//cspD//xapB//yegT//trpD//tusB//dnaJ//fes//slt//entC//rnhA//yedX//ftsA//pdeK//yigL//yggP//rpmA//feoA//yjjV//lapB//dcyD//purF//hxpB//melA//fhuC//caiT//
GO_0000160_5	thiQ//narK//yeaG//tmk//yajD//kdpF//ykfM//gloA//puuC//emrK//yfaL//yafQ//soxR//prfC//dgcF//guaA//mscS//dapA//fimI//yedA//tnaA//betA//mreD//ubiH//ydeM//queF//fimI//priB//paaB//minC//gnsB//gltX//fau//coaA//ybiX//malG//fdoH//dtd//yphB//yadM//ycfL//astC//appC//
GO_0000162_7	plsB//gapA//selD//cvrA//dctR//yqgF//sodC//flgA//hexR//
GO_0000255_5	yjcO//rlmB//zntR//dgoD//yfbR//
GO_0000256_6	lamB//greB//alsA//epd//yeaK//
GO_0000270_7	paaH//ydhK//endA//ydiZ//metK//gnd//lldP//gadX//yqcC//iscX//upp//arnB//nirD//gpmA//mug//fieF//gloC//lexA//rpnD//rnd//nagA//mhpR//xisE//ybgQ//yddA//ytfT//btuD//rapA//codA//hcp//tktA//blr//pliG//phnI//truA//yjjG//dmsB//truC//rbbA//treB//rbfA//uspF//insB-2//pgk//ansA//cedA//rpmC//uup//rhlB//pstA//bamD//ycfL//arnD//csgG//trpS//asnA//thrS//ravA//tbpA//ddlB//rpoS//cvpA//ymjB//
GO_0000271_6	mscL//yfaU//hicB//elaA//oppB//yadN//yqhD//trpGD//dpiB//yhaC//yqiG//ftsK//rapZ//yedL//cdh//ybjD//sbcC//argG//rplW//sdaB//argA//bsmA//tdcD//ybjD//gpt//yiaU//ugd//cynS//betT//lpcA//narW//soxR//bdcR//rnb//suhB//mdtQ//narW//opgD//yraR//yigL//gpmM//yehY//cecR//chbB//elfA//feoC//asnB//paaB//yeaE//ydjL//
GO_0000272_6	dgcE//yfdK//srlB//cspB//cusF//gltS//
GO_0000302_5	rseB//yfeW//dsdC//gatC//intE//acrA//amyA//srmB//yjbG//insI-1//fiu//yfiR//dnaC//ydbK//rclA//sfsA//pdeK//mipA//casE//agaB//gadC//rpsT//rsmJ//ycjP//insA-1//manA//relA//gsiA//fepB//btuF//potC//
GO_0000303_6	acrZ//glsA//
GO_0000305_5	yibT//yodD//stpA//
GO_0000372_11	cusS//
GO_0000375_9	erfK//
GO_0000376_10	yjtD//
GO_0000413_9	efp//galP//cydD//flgF//ppsA//gatC//torR//nadA//
GO_0000451_7	lpoA//nupC//atoC//yfcG//kgtP//
GO_0000453_8	pnuC//sdiA//pdxH//arsC//sodC//
GO_0000455_9	abgB//yjbG//argH//yecS//tusA//mltG//cysD//
GO_0000462_11	gapC//hemA//
GO_0000469_8	yjtD//
GO_0000470_10	aroC//
GO_0000478_9	entE//
GO_0000715_6	sucC//
GO_0000716_7	ssuB//
GO_0000724_8	phoR//
GO_0000725_7	aroD//ynbD//dnaA//ddlB//acpS//nmpC//
GO_0000726_7	yegS//
GO_0000731_7	hrsA//ygeW//dppC//folA//yghB//mdtI//ompW//
GO_0000737_7	yhdX//
GO_0000738_7	fhuB//ccmC//rmf//
GO_0000746_4	purT//
GO_0000820_7	bcsA//
GO_0000902_5	cho//
GO_0000910_4	shiA//agp//ygeX//yfbU//queD//argO//yeiL//yfdO//ispU//flgB//pspG//yrfG//rbsK//thiE//exoX//agaW//pitB//xapA//
GO_0000917_6	ppk//cof//gyrB//lacY//phnI//
GO_0000918_6	pphB//serS//priA//yraH//
GO_0000920_3	ecpR//pykF//yciT//ispF//moaD//
GO_0000921_6	matP//
GO_0000966_8	mhpR//cheY//fabB//cvrA//
GO_0000967_10	rpmH//dtpB//degP//
GO_0001101_4	carA//gudD//ftnB//zupT//dacB//metI//cmoA//coaE//alpA//wecC//mdtI//argA//ilvM//yraR//bglB//rhaS//sbp//ugpB//kilR//hisI//opgG//gdhA//der//soxS//copA//modC//
GO_0001121_7	yhcN//cspA//
GO_0001123_8	rph//
GO_0001124_8	dnaT//
GO_0001407_7	yefM//yadV//gcvT//metN//
GO_0001505_4	add//yghB//yfeO//slyA//glpX//garR//holD//ilvC//gntR//ydcR//entC//rpiB//emrE//glpT//rfaG//glvB//
GO_0001510_5	yeaD//mrr//pepB//ybdN//murI//tdh//betB//gutQ//yejA//adk//thiM//cobU//mdtO//ppiD//ccmE//menI//ppiA//hyi//rbsR//feoC//caiT//nuoH//secD//ftsK//ggt//wcaJ//yqiG//ypjD//rnd//adhP//sgcE//ibpA//dcp//ydhK//rlmE//phnH//def//crl//yjjI//greB//
GO_0001514_8	atpF//
GO_0001522_7	tauD//msrB//mdtP//degP//hybG//hexR//rpmB//hdfR//srlE//cysM//thiI//fimG//cysW//
GO_0001539_4	yehD//iaaA//araG//rlmA//kdpE//ytfT//sufC//gatB//ybjL//cho//accA//cdh//fkpA//napD//acrE//truB//rhlB//gcvP//alsE//ygeA//gpmM//kdpD//dnaX//elaD//ansA//cdsA//rhaM//yjiM//proC//phnI//rffG//
GO_0001558_5	kduI//rhaD//yedA//lacZ//mdh//yqeG//yedL//mhpD//
GO_0001561_6	pykA//
GO_0001666_4	clsB//
GO_0001676_6	artJ//fadD//ybiV//
GO_0001680_11	cfa//
GO_0001682_11	ttdT//
GO_0001731_7	ygfA//
GO_0001762_6	pppA//
GO_0001887_4	yiaJ//phnH//creB//
GO_0001896_5	ompT//casC//speA//dinJ//
GO_0001907_5	gph//gntU//ubiE//rihB//
GO_0001932_8	hemC//yhgH//
GO_0001934_9	cpxA//
GO_0002047_6	holD//phnH//
GO_0002097_8	tcyJ//ilvM//lipB//ppiA//ldcA//exuT//eptB//yqjI//nikB//queD//rapA//fhuC//yqaB//nagC//asnS//era//dgt//selU//ydhQ//
GO_0002098_9	modA//yfgO//mnaT//fecB//iraP//hisI//glvC//hpf//lpxK//ydcT//mnmC//norW//atoB//
GO_0002099_9	ybdH//ribC//
GO_0002100_9	yfeD//
GO_0002101_9	holD//ydeO//
GO_0002128_7	apt//sad//qseB//pdeL//
GO_0002130_8	ybjX//
GO_0002131_9	pdeF//
GO_0002132_9	rusA//
GO_0002136_10	cysQ//
GO_0002143_9	pyrF//yghO//rhlB//ihfB//macB//hemH//
GO_0002181_7	livF//truD//
GO_0002183_5	guaB//
GO_0002184_8	tyrB//
GO_0002188_6	ycfJ//
GO_0002190_6	hybB//
GO_0002192_8	rnpA//
GO_0002252_3	rplE//metK//phoP//tyrB//yceO//ssuD//phr//yiaO//recX//lptF//
GO_0002790_6	ndk//yfcA//ykfI//atpC//mdtL//rplO//nadA//
GO_0002937_9	ybhP//
GO_0002938_8	astC//
GO_0002939_7	yeaD//
GO_0002943_8	hisP//
GO_0002949_8	cedA//ybfE//yicJ//hokE//
GO_0003333_7	ssuA//yjcO//mtnN//zapB//puuE//sodA//yfaU//ibsD//mazF//eptA//tqsA//gyrA//malX//dcd//yajO//nikE//narZ//btuE//srkA//yidR//eamB//fruB//rpsH//gspI//ubiB//yeiL//dppA//yihW//rlmE//hupA//ubiI//argI//hda//lysA//ydcP//fepD//atpG//insK//asnC//srlR//manZ//waaB//grpE//glmU//srlA//holD//pdxK//rng//parC//
GO_0005975_4	proB//emrY//fliS//insH-6//lacZ//zwf//ykfM//rplA//tsr//panB//pabC//glpX//aroD//aroB//gshA//proQ//deaD//dctA//argD//cheB//mrdB//mlaB//yfaX//bamB//yeeY//corA//ebgR//gltD//tldD//lit//nadB//ygeV//rpsG//yebK//gadW//modB//opgC//tsaE//cbrC//accD//dut//menB//rsmE//dpiA//bcr//csrD//mfd//nei//clcB//cstA//proV//yhcN//araD//rcsA//truA//ulaA//ftsX//tusB//dacC//potC//rpe//phoB//ldcC//gadC//adiY//rbsA//agaI//glsA//dapB//lipB//artJ//ada//tdcF//rbsK//flhD//acrF//narV//yoaA//ortT//trpL//ubiD//mppA//fabD//dacA//selU//rhaT//ampH//nth//dnaQ//ygbN//tsgA//sdhE//phnC//nlpD//ygiN//yjcS//rsmH//rnc//tig//lgoT//narL//tktB//secY//gldA//ycfJ//hycB//asd//ybdN//yoaB//glgB//waaF//fliM//ynfH//sixA//phoQ//ffh//rpmE//moeB//mmuM//uxuR//gcl//mqsR//waaQ//nth//proC//idnO//caiE//borD//yfgI//hybO//cysW//cyoC//mazG//sufB//crfC//actP//fumA//rmf//rseC//yggW//pepD//rsmE//hisI//cysP//kdpF//hlyE//glnD//iscS//rfbC//hcp//minC//yqjH//flgC//ibaG//opgG//yneJ//cbtA//aroB//cyoA//gltL//nepI//paoC//edd//ybdO//pdxH//sdhD//priA//hdeB//ynhF//sdhA//nuoE//holB//hybF//msbA//yciE//lexA//mhpT//betT//ligB//cysC//ytfT//yhaV//alkA//zitB//ascF//sbcC//nanK//bamE//smrA//napA//adk//potI//dinI//rtcB//entB//opgC//glyS//rcdA//menE//tufA//citC//rplN//hisD//dauA//gntU//rplX//tdcC//cpdB//opgH//aldA//mdtI//rpsM//yadC//arsC//hycB//folX//caiD//yagU//ybjG//thiC//tpx//ribB//ydhC//hupA//fimG//rhsD//fklB//ybjX//gspI//rfaD//waaZ//nudF//rhtB//cyaA//xerC//rhlE//ccmA//yraK//yehC//erfK//proX//mhpB//ynjA//murJ//fucK//aroL//rplK//sfmC//dhaM//pinR//yiaF//rapZ//ybdH//rsmA//
GO_0005976_5	waaH//zntA//dsdA//yfhM//rapZ//ligB//purF//fucK//oxyR//nrdG//pabC//sdaB//tolA//ilvD//cobU//sutR//yfdC//yceD//frdD//aaeR//acrD//sufA//waaB//feoC//yagE//hyfF//yfdK//caiT//yqhD//abgA//ybhP//clcA//srlD//mgtL//garR//zapB//yfeW//flgJ//rzoR//ydjE//rsmB//nmpC//yheT//thyA//thiP//ccmF//hemD//cynS//ompT//ihfA//yfaX//sucD//syd//diaA//metK//hycI//manY//malP//malQ//
GO_0005977_6	yedA//hupA//nikR//lipA//macB//paaB//manX//mdtB//
GO_0005978_7	nagD//sufS//pspF//araA//
GO_0005979_8	selA//
GO_0005980_7	crfC//yraN//yhjG//
GO_0005981_7	cusB//
GO_0005984_5	psd//cmoM//malS//pflC//yihT//araA//ykgA//rbsD//tag//rluF//tus//
GO_0005985_6	rhaD//
GO_0005986_7	nrfG//
GO_0005988_6	ydcT//uxaC//
GO_0005990_7	yihT//pstS//
GO_0005991_6	gltK//priA//tnaB//xseA//ihfA//
GO_0005992_7	sucB//atpD//
GO_0005993_7	mhpA//citT//cas3//
GO_0005994_6	evgA//
GO_0005995_7	dhaR//
GO_0005996_4	mreC//cysG//kdsD//trpC//hfq//waaY//udp//artQ//bioA//sgcC//yihW//pstC//ftsY//macA//fryA//fkpB//yehY//yhjD//tamB//yqaE//envC//nudG//osmC//sgcA//yceK//cydC//cheZ//pepD//ibpA//yphF//yjiR//hybA//ndh//flgG//kdgT//flhD//envY//hisC//mrdB//glpR//creC//lpxP//betI//apaH//hha//ybdG//hcaR//sgcA//sbp//yeeJ//radD//mhpC//xapA//ldtB//rpmE//mhpD//rplS//pmbA//srkA//metQ//sucD//kdpF//tdcA//fucP//sdhC//malY//yghU//macA//spy//prs//glpG//mutY//intE//lapB//panC//dgoT//pncB//entD//ampH//ydhK//eamA//lysC//
GO_0005997_6	relE//
GO_0005998_7	livJ//
GO_0006000_6	tktA//mqsA//gstA//
GO_0006001_7	hdhA//crl//
GO_0006002_5	lhr//proQ//yafQ//
GO_0006004_6	dtpA//mlc//lolA//hemN//fliZ//gcvT//
GO_0006006_6	gshB//hicA//torY//proA//yfaU//yggF//mhpA//dicA//hofQ//glpD//guaD//bcr//elaB//yibH//waaF//exuR//ydcM//rbsD//rph//secY//pckA//livF//ompF//
GO_0006007_7	otsB//dld//hypT//
GO_0006011_5	nanR//
GO_0006012_6	ycjQ//fdoH//pepN//fnr//yjjV//hchA//tsf//yeeA//ybjD//
GO_0006013_6	frwC//nemA//
GO_0006014_6	nlpI//preT//fabG//
GO_0006015_7	ydcM//emrY//
GO_0006020_5	kdgR//
GO_0006022_5	ykgO//hslU//yihI//pgk//envY//yfcA//nlpE//purL//lpxM//umpH//rpsO//groL//oppA//exbD//ygjR//dgoR//sdhE//treA//abgA//gmk//rep//glvC//bamD//glpA//lsrD//nuoI//trpB//ogt//ileS//lsrR//setC//hxpA//glpK//pspG//ppiC//atpF//gabD//pta//acrE//eptA//arsR//yheT//hisB//rfbD//fabH//chaC//fucP//cueR//trpC//paaG//rplR//aaeA//csgF//fadJ//casC//maa//pepN//mtlD//pykF//crl//bamA//hcp//yjhC//
GO_0006023_6	fruK//rph//ybdN//hcaB//yhjR//rfaB//cdd//yegT//pck//ydeP//rutR//phnJ//rof//dctR//azoR//sgrT//xylE//gpmM//mhpA//dacD//trmA//bioB//kefB//phoU//era//rusA//yciF//speE//rof//yidQ//nrfG//borD//lpxH//sucC//hycB//idi//cvpA//pgk//uvrD//
GO_0006024_7	dhaL//mrdA//dgcF//cysK//hha//proX//yphD//ygeA//norV//umuD//proB//lit//ydfG//phoQ//xseB//hyaA//hisI//yehB//ubiJ//tdcC//ulaC//lysO//glpF//ibsB//cdh//rssA//pphB//rhaR//eco//tusA//fixB//glrR//rpmF//ptsI//dcuS//adiC//hokE//clsB//dgoK//
GO_0006026_6	fbaA//ppiD//tsx//lsrB//gspJ//deoD//ybhI//dgcQ//glcA//gltD//
GO_0006027_7	fecD//fruA//mgsA//fdhD//umuC//yfjV//nimR//folX//rplE//waaS//
GO_0006040_5	sufC//ybhI//pnuC//queC//rcdA//pnuC//tatB//ghxQ//nhaB//mhpT//frr//nusA//ybbY//ybiV//flgI//relE//phoA//
GO_0006044_7	yddL//waaO//sgcX//mhpD//fliT//
GO_0006046_8	rihC//fdhE//paaD//rcdA//
GO_0006047_5	ptsH//cheY//evgS//ftsH//sdhD//dinI//frwC//
GO_0006048_6	ygfI//yjeI//yfjR//plsX//kdsD//dcm//
GO_0006050_6	ygiB//
GO_0006051_7	pagP//
GO_0006053_8	dcp//
GO_0006054_6	arnT//yjaA//ycgB//dapD//bioB//thiQ//sodB//
GO_0006056_6	panC//
GO_0006057_7	rbn//
GO_0006059_6	ldrA//lacY//sfmC//iscR//
GO_0006060_7	pckA//
GO_0006062_8	aspS//
GO_0006063_5	lpxL//cmk//csgA//fetB//ribC//rfbC//dgcT//lepA//mhpA//
GO_0006064_6	bisC//ybiS//yehD//ydfH//rplQ//rarD//
