#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	ftsK//napA//nfsB//nrfF//
GO_0000023_6	agaS//
GO_0000025_7	yihS//
GO_0000027_7	ydjL//macA//aroK//modC//ydiO//ygaZ//ydiF//apt//ygbI//yccX//hypB//ahpC//cysB//
GO_0000028_7	lgoD//yijO//yciG//rhlB//rdgB//yieF//uidC//rclC//gltD//
GO_0000032_8	rep//
GO_0000041_8	ppsA//nuoB//coaE//mntH//rpsL//frmR//yfjR//ulaG//rlmG//truA//ispF//ubiH//putP//ybjX//srlR//yebC//rclA//iraP//putP//artQ//carB//zinT//osmF//rutE//sucB//xseA//era//metK//yiaL//ubiB//yhbQ//phoE//ydaV//icd//iscS//ompT//hipB//arnF//gspI//
GO_0000050_5	yrbG//pdxK//lpxH//priA//lptD//pyrF//mdaB//
GO_0000053_5	crp//
GO_0000096_5	smpB//glpT//nlpI//cyoA//elfA//fepC//yneE//cobB//rodZ//yajD//yedX//ptrA//glcE//uvrD//pgpB//kdpF//dsdA//lysR//flgA//ybhS//cutA//
GO_0000097_6	gadB//cysM//yjhI//rpsJ//xylF//galS//cobU//phoQ//hycI//ccmG//ibaG//hyi//dgcN//mutS//
GO_0000098_6	tamA//murF//allR//rutR//moaD//
GO_0000101_6	rbsA//nupC//ycjU//dgcM//ydiZ//murA//ffh//ybhF//fbp//dxr//tdcD//nrdG//gltS//rbsK//ispH//
GO_0000103_5	hdeB//rzoD//yahK//
GO_0000105_6	xapA//pth//yddG//ispB//pheS//pheA//ybgI//narI//
GO_0000154_7	rutC//wecE//afuC//yfaV//ybaE//livH//mhpD//sdhB//pdxJ//gcvT//alaS//ynfE//thyA//gloA//glmM//murB//torS//eutN//proQ//nagZ//mscS//xthA//ggt//puuD//macA//ypjD//rclR//uspC//lsrB//rutG//argC//gmd//
GO_0000160_5	rne//manA//ptsG//ykgM//modA//nth//abgR//ybiY//dhaM//epmC//yqcG//moaA//tdcC//menE//rpoA//soxR//csdA//gltK//pyrE//ftnA//ycjQ//yghB//ynjD//sdaC//seqA//cmoA//dgcQ//ycfL//dam//fabH//carA//bcsA//rffM//sbcC//sfmH//torC//infB//waaU//ycjQ//eutK//rclA//mtlA//zupT//
GO_0000162_7	lolE//fiu//fepG//ansB//mhpA//entF//menI//ygbI//gltX//
GO_0000255_5	clcA//aroG//waaU//fepC//ftsX//
GO_0000256_6	pbpG//uidR//ldrA//dmlA//rpsO//
GO_0000270_7	alsA//yhhY//acrZ//ydcO//ugpB//murR//yidE//ygbM//cspG//ycfH//phoE//yfaL//ygfX//gltD//yfiR//rcsD//rfaE//ade//ybdR//fdhF//narP//fucI//tdh//frwC//lpxT//torA//fimB//asmA//alaE//zapE//luxS//rna//dedD//lhr//sucA//dppC//nlpD//flgA//ycdX//sgcA//tsaB//secE//rplR//ftp//ygcO//yhdZ//glgB//yraH//nuoF//flhD//cysC//nanR//alaS//gshB//mntP//alaC//gntU//ndk//lapB//citX//accD//yhjC//yqaB//
