#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	rpsH//ynfH//yfaV//dnaC//
GO_0000023_6	yajD//
GO_0000025_7	moaE//
GO_0000027_7	ybbW//hipB//fecD//malF//pntB//ompN//rnc//rffH//galR//sapF//amiD//metC//nrdH//
GO_0000028_7	csgB//treR//mscS//bglF//pspD//ykgM//yggD//entB//trpC//
GO_0000032_8	fadM//
GO_0000041_8	murG//phr//sgcB//yhcH//proS//ccmE//prmB//cutA//tyrR//uspC//emrE//gudX//ilvL//araE//pnp//dcyD//qseB//pstB//narG//dsbD//plaP//rfaD//rnlB//rseP//add//paaH//kdpE//glpC//mdtE//yehP//astC//srlB//tdk//cysM//cysS//ypdA//dtd//nuoN//frvA//
GO_0000050_5	yejA//crr//folX//macB//intQ//yddG//rne//
GO_0000053_5	xylE//
GO_0000096_5	edd//gsiD//yccX//ybfE//gltK//ariR//yigB//moaC//sucA//mdaB//rsgA//orn//ycdX//cstA//sfsA//yrfG//yadG//dgcN//pdxY//yhjA//crcB//
GO_0000097_6	cusC//frvR//cheA//ydjJ//prlF//ykgA//gltK//ycfH//yciV//rpmF//fepC//deaD//soxR//efp//
GO_0000098_6	hypB//menD//phoA//speG//cbl//
GO_0000101_6	arnB//napC//ddlA//lysC//frsA//rpoH//gatY//fpr//paaD//flgC//rpmA//rsmE//dcp//ompF//hflK//
GO_0000103_5	ubiD//rluE//secB//
GO_0000105_6	fliL//lgoR//ratA//yggP//frdD//frwC//fhuC//gdhA//
GO_0000154_7	alkA//rhtB//rfaE//hyfC//fryC//ydjJ//arsC//dcd//fdhD//btuE//sapD//yeiG//kduI//bdcA//srlR//uxuA//gcvT//yeaD//ybfA//rpoS//poxB//gluQ//ubiD//yjbG//ibsA//cstA//yfcF//tcyN//deoB//proW//glpT//oppF//
GO_0000160_5	yadN//kdgT//yejA//dtpD//bsmA//uraA//nuoG//yahO//baeS//glnE//flgH//tyrR//yqcC//bamC//mepH//lptA//ubiC//sgcR//fliM//nuoG//murI//bcsA//yjiM//mepS//relA//cysZ//murP//glcF//yafN//ybiH//yfeO//tpiA//hslJ//yeaV//entH//mzrA//soxR//ulaC//mukB//ycgV//hdfR//trkA//kup//
GO_0000162_7	dtpD//yedP//yrdA//ycaN//proS//hscC//bssS//srlA//ompG//
GO_0000255_5	dcuC//ydeP//dnaQ//creC//sufD//
GO_0000256_6	ykfI//glnS//prmB//ybcL//wza//
GO_0000270_7	rsmA//raiA//lplA//mioC//livG//hisI//ilvC//marA//cmtA//yggN//ffh//rplN//rluB//smpB//secE//garD//eamB//hyaB//murP//acrA//yajQ//guaA//dauA//osmE//yihI//hemF//ykgF//yjiA//ftsH//pntA//phnI//wcaJ//ndh//ygeR//fumA//ydcZ//yahK//mqsA//glpB//nagE//hcaC//yafS//cpoB//speD//dnaG//ndk//artQ//emrY//nth//cydA//corA//yehZ//waaF//trpR//yjjQ//xylE//allS//iaaA//purC//hofP//paaD//yagE//mglA//
