#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	xapA//yjcE//insF-1//ytfQ//
GO_0000023_6	thiI//
GO_0000025_7	deoC//
GO_0000027_7	etk//sapD//ligB//thiE//bdcR//cytR//acrF//serC//gatZ//cof//acrZ//focA//mtr//
GO_0000028_7	argG//aer//lysP//purL//trpE//ssuB//acrE//hisP//purB//
GO_0000032_8	dkgA//
GO_0000041_8	flgC//yaaJ//dcuD//galS//dsdX//moeA//entB//uacT//chpB//yceK//alkB//csiR//eptB//rfaE//nagA//ampE//ybdG//atpB//rpsR//yafO//rcdA//baeR//lysA//nanK//evgA//narW//ygcO//murJ//kup//pppA//xylF//solA//ydiK//argH//iscR//kduI//add//ycfL//sbp//
GO_0000050_5	ybiH//ulaC//tatA//rsfS//hypF//speG//ribC//
GO_0000053_5	htpG//
GO_0000096_5	yagI//ada//pinQ//zapA//sufD//glpD//secG//lpp//polA//gpmM//speG//sfmC//ascG//rutF//pncB//cpxP//cysA//dicC//azoR//cpsB//fdnH//
GO_0000097_6	fdoH//wcaC//yegT//tap//paaB//yggW//yedX//iscS//nth//idnT//yfdC//yghB//yfcG//leuC//
GO_0000098_6	tamA//ypdA//mtlA//ymjB//ttdR//
GO_0000101_6	ogrK//ompR//mngA//bamA//wecC//accB//gatA//fucO//mmuM//frwB//yeiG//sfsB//gpmM//recJ//preT//
GO_0000103_5	cbrA//bolA//ynfK//
GO_0000105_6	rpsL//ybjX//mutY//appB//yafN//rpmE//mtgA//rssB//
GO_0000154_7	clcB//yiaN//cmoA//murC//nemA//yqcG//lapB//narU//ytfE//eamB//yebK//tisB//ddpA//pinE//atoS//xerD//dinD//gutQ//ybiY//ubiF//rraB//trmA//paaG//insI3//pdeK//hmp//holB//allD//ydeM//pliG//rbn//ynjD//
GO_0000160_5	purC//clpX//entS//yqaB//clpB//tolA//ygaH//hofQ//fryA//yibA//ppsA//dsdA//waaZ//deoR//suhB//tauD//rfaQ//mrcB//frlA//frdC//greB//mgrB//ligB//ydcI//acrR//mnmE//uvrD//sbp//menC//phnN//trmJ//ybbY//hscC//ilvI//yeiE//mobA//paaA//murD//glgA//xerD//insI4//chaC//proA//
GO_0000162_7	kilR//cbpM//parC//ompW//fimF//blc//iscR//dgoT//yjjI//
GO_0000255_5	nepI//hokE//truB//trpE//xseB//
GO_0000256_6	tdcR//potI//oppC//mtnN//tusC//
GO_0000270_7	moaE//ynbC//ldcC//mdtL//waaY//stpA//cbrC//dbpA//dgcJ//waaZ//cutA//trxC//fiu//pagP//tdcE//rnr//truD//rpe//ftnB//argO//matP//thrS//yaiV//ybjC//rplT//rplY//mgsA//chbF//rlmE//glpD//sfmF//cvrA//glnE//fbp//moaB//gatC//gntK//uvrY//uxaA//fdoH//epmA//yhcF//glpR//ychF//mutH//hemN//ybiT//lptC//yqeG//maoP//bdm//fdnG//betT//srlE//nikR//nlpE//yjeI//viaA//rimL//holD//lgoD//recO//pckA//
GO_0000271_6	potI//flgM//ygeA//phoR//pcnB//flhD//yajD//acrB//mpaA//ychH//rtcR//tgt//ccmA//hyfR//dsbB//nimR//lepA//talB//mngR//ileS//rplR//ycjW//nadD//yfiC//cysQ//alsC//fhuF//menI//polB//acrE//glnD//lnt//secG//rplP//elfC//yiaL//araF//pnuC//basR//rpoH//patZ//mdtO//miaA//mlaE//etk//pspG//kdpB//qseC//ilvM//hemF//
GO_0000272_6	xylF//ivy//fre//sufB//ppk//ybhS//
GO_0000302_5	dinD//ycjW//uhpA//argA//psd//phnK//ruvB//fpr//fadK//torI//uspE//rnd//gadC//lnt//csgD//cas2//yaiP//xseB//pgaC//pgsA//bioD1//intS//fis//osmY//rodZ//tufB//nupX//zapD//yedL//malQ//yeaV//
GO_0000303_6	gspF//sdhD//
GO_0000305_5	rph//rutF//bioB//
GO_0000372_11	tcyN//
GO_0000375_9	yeeJ//
GO_0000376_10	rnc//
GO_0000413_9	entH//rfbC//xylR//metQ//ispB//hybF//yqaB//glgX//
GO_0000451_7	yidL//mrr//dppA//hofC//yfbU//
GO_0000453_8	eutD//yegS//ygdG//kefG//mrcA//
GO_0000455_9	mepH//ratA//pfkB//thyA//fiu//ynfK//ubiC//
GO_0000462_11	oxyR//prlF//
GO_0000469_8	yadC//
GO_0000470_10	preA//
GO_0000478_9	alaC//
GO_0000715_6	yehX//
GO_0000716_7	entF//
GO_0000724_8	ybhD//
GO_0000725_7	ybjC//secD//rna//paaJ//pdeD//hfq//
GO_0000726_7	asnS//
GO_0000731_7	kefB//malP//yahD//ydjL//aldA//ydbK//fimB//
GO_0000737_7	ileS//
GO_0000738_7	mcrA//glpA//pbpG//
GO_0000746_4	rfaF//
GO_0000820_7	priB//
GO_0000902_5	secF//
