#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Wed Oct  3 09:16:16 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/GOs.txt
GO_0000018_7	focB//tsgA//agaD//ybdM//
GO_0000023_6	tauB//
GO_0000025_7	entF//
GO_0000027_7	garP//rplW//dgcF//fcl//recO//uvrC//yhgF//kdpF//dmsB//thiC//mtgA//tehB//dnaG//
GO_0000028_7	mlaF//osmC//maoP//yfaX//rfaB//yraH//puuB//zapA//paaF//
GO_0000032_8	pitB//
GO_0000041_8	paaJ//ldrD//kdpF//entA//rluD//nac//yfbR//yjfP//yfdS//bioD//yhdH//aspA//ydcR//agaS//sad//alaE//cobU//mfd//pdxB//ubiG//ushA//livK//yhjD//arsR//rpmG//ypdB//nanK//araB//yciT//dcuD//trpA//ygfX//oppB//ydfK//csgD//mcrB//hda//entF//potF//
GO_0000050_5	trkG//kup//ynjD//artQ//ccmA//cspD//yihR//
GO_0000053_5	hcaF//
GO_0000096_5	rplK//fau//acrZ//manY//kbaZ//rpmG//hns//surA//dgcT//insH-6//maeA//clpS//mdtM//frwD//envR//pinE//tufA//hslR//abgT//mdtI//yeaK//
GO_0000097_6	yfaU//hpt//yahF//yjhG//yibF//fhlA//yhbX//fimH//dkgA//atoS//cmoM//nrfE//rplJ//ssuC//
GO_0000098_6	uxaA//bssR//murG//narI//rffH//
GO_0000101_6	rpnB//abgB//yidR//menB//narX//pgpB//ftp//rnhB//ftsQ//fucK//sgcR//waaU//fliG//ugpB//mscS//
GO_0000103_5	glnL//cusC//ybdG//
GO_0000105_6	mdtG//sutR//recJ//pheA//yciA//pntB//btuC//yjbH//
GO_0000154_7	dsdX//bglH//yagF//ygeW//gpsA//trmI//ribA//ldrB//sstT//feoC//yggF//hofO//glcC//sspA//emrD//ubiB//brnQ//thrS//ygiS//oppB//pdxH//soxR//hybD//fruA//xylR//sodC//uxuB//argG//yphC//frsA//hicA//yggE//
GO_0000160_5	yadG//ivbL//casB//mhpT//thiM//yfcR//tusD//yihW//yohC//gabD//pepQ//yadM//tus//sdaB//paaX//hslV//idnK//cusA//yneE//yiiE//nagZ//sfmH//narP//hslO//rsmE//mutM//paaH//recG//dcuS//nrfC//yibA//accB//mscL//rssB//comR//lipB//ccmD//recQ//rplT//ttdR//ynhF//ldtB//pgk//
GO_0000162_7	hybA//rplL//mepH//dcuR//emrY//metQ//epd//tcyN//ygbL//
GO_0000255_5	yfaU//clsB//hinT//glsA1//yjcE//
GO_0000256_6	agaS//acpT//emrB//rfe//baeR//
GO_0000270_7	alaA//fepA//dnaK//folA//rpsT//frlR//pgpC//fpr//ruvC//lplA//arnA//paaX//uspC//yaiV//dcuA//menD//mioC//argE//folM//glyS//ybhA//kefF//thrL//ompW//yadV//cspB//ebgA//yhaC//yqhC//yciE//ygeW//glyA//adeP//cyoE//kdpF//ibaG//nusA//phoR//frmR//lepA//gapA//yggD//purD//thiL//narV//infC//cysQ//dsdC//yjjQ//kefF//frwC//hfq//ygeX//bioC//fbp//tusD//nrfF//uvrA//ftsI//rnlA//mlaD//flgC//nrdH//
GO_0000271_6	nupG//entC//hiuH//ispA//uup//yneL//lpoB//recC//bamD//mhpT//mgtL//mgtA//hisA//fliZ//hemH//znuA//holD//tsaD//tolQ//sbmA//phnP//dinG//secG//ybiY//icd//znuB//wzc//fadD//paoC//cadA//torA//efp//gltS//cpsB//cyaY//yihI//gsiC//ddlB//mlaB//yhbQ//uacT//tatB//uidA//amtB//ycfL//hofN//metN//ybhF//priA//rimM//
GO_0000272_6	yfjR//prmA//frdD//exuT//fecC//prfC//
GO_0000302_5	dapF//mlaD//tolA//ybaM//phnJ//sodB//dsbG//ycjP//yjgX//fumA//rsfS//hybF//pdxJ//ybiI//trkA//trmD//aspS//minE//xanP//barA//sapA//agp//yfiF//ldcC//paaZ//artI//tabA//mdtK//nupG//rlmI//sanA//
GO_0000303_6	trmH//aldB//
GO_0000305_5	yagF//yciT//dsdA//
GO_0000372_11	allR//
GO_0000375_9	pabC//
GO_0000376_10	rlmH//
GO_0000413_9	feaB//cfa//mioC//atpA//tar//ybhI//ddlB//lhr//
GO_0000451_7	phnL//efp//csgB//emrY//gatD//
GO_0000453_8	yfgO//idnD//trpD//tdcG//tusD//
GO_0000455_9	ghoS//ydcR//rplK//yidR//queD//cdgI//srlD//
GO_0000462_11	gyrA//tatE//
GO_0000469_8	yehA//
GO_0000470_10	minD//
GO_0000478_9	sufD//
GO_0000715_6	adhE//
GO_0000716_7	speC//
GO_0000724_8	setC//
GO_0000725_7	iscA//yfaL//alpA//smpB//ansA//gntP//
GO_0000726_7	glnH//
GO_0000731_7	hpt//yaiW//proQ//gluQ//minE//rzpR//gabD//
GO_0000737_7	hns//
GO_0000738_7	treA//yghB//cueR//
GO_0000746_4	dcuC//
GO_0000820_7	puuA//
GO_0000902_5	fliZ//
GO_0000910_4	dinQ//ybgI//fhuB//rsmE//ytfR//miaB//rimI//ftsZ//pliG//yhhY//phnH//ybjG//ptsH//lon//fabH//livF//rutR//ptsH//
GO_0000917_6	tolA//miaA//gpp//dsbG//citE//
GO_0000918_6	adhE//insI-1//yahD//rplA//
GO_0000920_3	araB//dnaG//abgB//yjhI//astC//
GO_0000921_6	yebQ//
GO_0000966_8	ydfK//yefM//yadM//rsmE//
GO_0000967_10	gyrA//trpC//tamA//
GO_0001101_4	mdtJ//dgcN//yggP//cspG//ydcR//ddpA//nagK//glnB//ygaV//yciK//katG//yggX//ydcZ//rpsE//cmoM//lrp//adhE//yccS//nepI//artM//rbsB//flgF//yedF//hypE//waaO//cusA//
GO_0001121_7	ydeI//nhaR//
GO_0001123_8	gatB//
GO_0001124_8	frr//
GO_0001407_7	uhpC//yhjD//mazG//epmA//
GO_0001505_4	yafS//kdpD//tauA//radA//aroA//yjjQ//yfgJ//gnd//yfbR//yebC//atpC//ynfH//eutD//yjaA//cobU//rihC//
GO_0001510_5	yiaM//ygfZ//gstB//ydbD//mzrA//uspE//ccmG//rppH//gyrB//moaA//dcuD//sodA//hypA//glpR//glcF//caiE//rplC//hmp//ais//cysE//glcC//ilvM//uxuR//fabA//sbcB//yhcH//ascB//uhpT//sfmD//nrfF//thiH//yfiR//birA//leuA//dsbB//cas1//gloB//hdeD//csgD//rffT//
GO_0001514_8	ugpB//
GO_0001522_7	ycjQ//yqcC//clcA//yieH//ftsP//hpf//yedL//gltL//yhiM//fis//tcdA//yghB//ykfM//
GO_0001539_4	uxuB//yieF//aaeA//ycaN//htpG//atpF//paaG//borD//ygdG//nhaA//yebZ//ftsI//suhB//aspA//ygeA//mraY//dbpA//menI//zapC//aroH//nimR//htpG//waaG//ygcW//panD//folP//otsA//yagJ//galM//lysU//rplL//
GO_0001558_5	queC//ansB//mepA//bglH//sbcC//cheB//proV//narX//
GO_0001561_6	msrP//
GO_0001666_4	gshB//
GO_0001676_6	phnC//yccS//yihQ//
GO_0001680_11	hyaA//
GO_0001682_11	rimM//
GO_0001731_7	dhaM//
GO_0001762_6	baeR//
GO_0001887_4	hinT//fdx//flgH//
GO_0001896_5	elyC//gudX//fur//iraM//
